Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551733247,2019-03-04T21:00:47Z,IGO2624,"28.56962,77.073296",2125,159,284
1551733253,2019-03-04T21:00:53Z,IGO2624,"28.570738,77.068443",2225,167,284
1551733266,2019-03-04T21:01:06Z,IGO2624,"28.57338,77.057838",2525,182,285
1551733276,2019-03-04T21:01:16Z,IGO2624,"28.576509,77.045395",2825,202,285
1551733283,2019-03-04T21:01:23Z,IGO2624,"28.578047,77.039253",3025,211,285
1551733290,2019-03-04T21:01:30Z,IGO2624,"28.579742,77.032227",3250,219,285
1551733301,2019-03-04T21:01:41Z,IGO2624,"28.58312,77.017929",3675,237,284
1551733312,2019-03-04T21:01:52Z,IGO2624,"28.585922,77.003647",4175,247,280
1551733337,2019-03-04T21:02:17Z,IGO2624,"28.578964,76.971748",5625,256,242
1551733346,2019-03-04T21:02:26Z,IGO2624,"28.572506,76.962402",6100,259,228
1551733353,2019-03-04T21:02:33Z,IGO2624,"28.566971,76.957222",6450,262,219
1551733360,2019-03-04T21:02:40Z,IGO2624,"28.555847,76.951355",6925,272,199
1551733367,2019-03-04T21:02:47Z,IGO2624,"28.548161,76.949585",7250,280,190
1551733376,2019-03-04T21:02:56Z,IGO2624,"28.536804,76.947769",7875,281,187
1551733382,2019-03-04T21:03:02Z,IGO2624,"28.528561,76.946518",8275,279,187
1551733389,2019-03-04T21:03:09Z,IGO2624,"28.52005,76.945229",8650,280,187
1551733400,2019-03-04T21:03:20Z,IGO2624,"28.504913,76.942909",9300,284,187
1551733413,2019-03-04T21:03:33Z,IGO2624,"28.48819,76.940269",10050,282,188
1551733424,2019-03-04T21:03:44Z,IGO2624,"28.47307,76.937798",10625,284,188
1551733437,2019-03-04T21:03:57Z,IGO2624,"28.455688,76.934776",10875,303,188
1551733450,2019-03-04T21:04:10Z,IGO2624,"28.438948,76.931816",11200,318,188
1551733462,2019-03-04T21:04:22Z,IGO2624,"28.420235,76.928589",11650,326,188
1551733474,2019-03-04T21:04:34Z,IGO2624,"28.402634,76.925743",12200,332,187
1551733507,2019-03-04T21:05:07Z,IGO2624,"28.349854,76.918823",13825,341,186
1551733538,2019-03-04T21:05:38Z,IGO2624,"28.300049,76.91481",15225,352,182
1551733571,2019-03-04T21:06:11Z,IGO2624,"28.245941,76.912117",16625,363,182
1551733602,2019-03-04T21:06:42Z,IGO2624,"28.194855,76.90937",18000,367,182
1551733662,2019-03-04T21:07:42Z,IGO2624,"28.089481,76.902954",20400,382,183
1551733726,2019-03-04T21:08:46Z,IGO2624,"27.979614,76.896271",22725,390,183
1551733784,2019-03-04T21:09:44Z,IGO2624,"27.864494,76.888824",24200,417,183
1551733847,2019-03-04T21:10:47Z,IGO2624,"27.743271,76.881744",25950,430,182
1551733910,2019-03-04T21:11:50Z,IGO2624,"27.618139,76.874405",27800,428,183
1551733972,2019-03-04T21:12:52Z,IGO2624,"27.493008,76.866852",29450,426,183
1551734034,2019-03-04T21:13:54Z,IGO2624,"27.373041,76.859505",30750,427,183
1551734094,2019-03-04T21:14:54Z,IGO2624,"27.253006,76.852165",31700,433,183
1551734158,2019-03-04T21:15:58Z,IGO2624,"27.122269,76.844337",32450,445,183
1551734218,2019-03-04T21:16:58Z,IGO2624,"26.997225,76.837006",33350,449,183
1551734284,2019-03-04T21:18:04Z,IGO2624,"26.863388,76.829033",34125,455,183
1551734343,2019-03-04T21:19:03Z,IGO2624,"26.740402,76.821747",35125,452,183
1551734406,2019-03-04T21:20:06Z,IGO2624,"26.607817,76.813713",35975,453,183
1551734467,2019-03-04T21:21:07Z,IGO2624,"26.476044,76.805939",36775,452,183
