Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551819378,2019-03-05T20:56:18Z,IGO2624,"28.569481,77.073616",2000,156,283
1551819384,2019-03-05T20:56:24Z,IGO2624,"28.570496,77.068825",2100,163,283
1551819394,2019-03-05T20:56:34Z,IGO2624,"28.572327,77.060905",2275,174,284
1551819400,2019-03-05T20:56:40Z,IGO2624,"28.573578,77.055412",2400,180,284
1551819407,2019-03-05T20:56:47Z,IGO2624,"28.57502,77.049271",2500,190,284
1551819413,2019-03-05T20:56:53Z,IGO2624,"28.576538,77.042786",2625,198,284
1551819425,2019-03-05T20:57:05Z,IGO2624,"28.57935,77.03096",2775,220,284
1551819431,2019-03-05T20:57:11Z,IGO2624,"28.581352,77.022346",3000,229,284
1551819442,2019-03-05T20:57:22Z,IGO2624,"28.584425,77.009209",3600,232,284
1551819448,2019-03-05T20:57:28Z,IGO2624,"28.586006,77.002258",4050,229,284
1551819455,2019-03-05T20:57:35Z,IGO2624,"28.587589,76.995201",4525,222,284
1551819476,2019-03-05T20:57:56Z,IGO2624,"28.593109,76.970795",5925,215,284
1551819489,2019-03-05T20:58:09Z,IGO2624,"28.595901,76.958595",6525,219,284
1551819501,2019-03-05T20:58:21Z,IGO2624,"28.599289,76.943909",7150,224,284
1551819509,2019-03-05T20:58:29Z,IGO2624,"28.60067,76.933968",7575,226,273
1551819533,2019-03-05T20:58:53Z,IGO2624,"28.590912,76.906723",8600,246,231
1551819539,2019-03-05T20:58:59Z,IGO2624,"28.585634,76.900955",8725,256,222
1551819545,2019-03-05T20:59:05Z,IGO2624,"28.580429,76.896904",8850,268,211
1551819551,2019-03-05T20:59:11Z,IGO2624,"28.572144,76.893044",8950,280,198
1551819557,2019-03-05T20:59:17Z,IGO2624,"28.564316,76.891304",9075,292,189
1551819564,2019-03-05T20:59:24Z,IGO2624,"28.556122,76.890091",9200,300,187
1551819571,2019-03-05T20:59:31Z,IGO2624,"28.547321,76.889053",9325,310,185
1551819579,2019-03-05T20:59:39Z,IGO2624,"28.533588,76.887871",9525,321,184
1551819593,2019-03-05T20:59:53Z,IGO2624,"28.515701,76.886658",9950,330,183
1551819603,2019-03-05T21:00:03Z,IGO2624,"28.49675,76.885544",10550,332,182
1551819617,2019-03-05T21:00:17Z,IGO2624,"28.478073,76.884384",10975,339,183
1551819628,2019-03-05T21:00:28Z,IGO2624,"28.458733,76.88308",11400,346,183
1551819640,2019-03-05T21:00:40Z,IGO2624,"28.439026,76.881638",11875,352,183
1551819651,2019-03-05T21:00:51Z,IGO2624,"28.4198,76.880104",12375,355,184
1551819685,2019-03-05T21:01:25Z,IGO2624,"28.363533,76.875488",13625,368,184
1551819717,2019-03-05T21:01:57Z,IGO2624,"28.306973,76.870911",15200,368,184
1551819752,2019-03-05T21:02:32Z,IGO2624,"28.249008,76.866165",16425,377,184
1551819786,2019-03-05T21:03:06Z,IGO2624,"28.190081,76.861374",17625,386,184
1551819818,2019-03-05T21:03:38Z,IGO2624,"28.130074,76.856476",18775,392,184
1551819878,2019-03-05T21:04:38Z,IGO2624,"28.020769,76.848503",20775,404,182
1551819942,2019-03-05T21:05:42Z,IGO2624,"27.900192,76.844078",22600,414,182
1551820003,2019-03-05T21:06:43Z,IGO2624,"27.781403,76.838791",23725,435,182
1551820063,2019-03-05T21:07:43Z,IGO2624,"27.657522,76.833466",25175,444,182
1551820127,2019-03-05T21:08:47Z,IGO2624,"27.528992,76.828606",27525,423,181
1551820189,2019-03-05T21:09:49Z,IGO2624,"27.412191,76.823273",29050,416,182
1551820251,2019-03-05T21:10:51Z,IGO2624,"27.288038,76.817307",30050,425,182
1551820311,2019-03-05T21:11:51Z,IGO2624,"27.167358,76.81221",31075,427,182
1551820373,2019-03-05T21:12:53Z,IGO2624,"27.047424,76.807076",32075,427,182
1551820434,2019-03-05T21:13:54Z,IGO2624,"26.921206,76.801514",33025,429,182
1551820499,2019-03-05T21:14:59Z,IGO2624,"26.795105,76.795937",33025,442,182
1551820556,2019-03-05T21:15:56Z,IGO2624,"26.676086,76.790962",33025,442,182
1551820617,2019-03-05T21:16:57Z,IGO2624,"26.550339,76.785622",33025,438,182
1551820686,2019-03-05T21:18:06Z,IGO2624,"26.411459,76.779648",33000,438,182
1551820824,2019-03-05T21:20:24Z,IGO2624,"26.133087,76.767746",33050,436,182
1551820906,2019-03-05T21:21:46Z,IGO2624,"25.967789,76.760696",33025,435,182
1551820950,2019-03-05T21:22:30Z,IGO2624,"25.879349,76.756966",33000,434,182
1551821042,2019-03-05T21:24:02Z,IGO2624,"25.695345,76.749138",33000,433,182
1551821102,2019-03-05T21:25:02Z,IGO2624,"25.570908,76.743927",33000,435,182
1551821123,2019-03-05T21:25:23Z,IGO2624,"25.531248,76.742195",33000,435,182
1551821244,2019-03-05T21:27:24Z,IGO2624,"25.285128,76.740639",33000,461,170
1551821304,2019-03-05T21:28:24Z,IGO2624,"25.158413,76.764069",33000,462,170
1551821360,2019-03-05T21:29:20Z,IGO2624,"25.038803,76.78553",33000,462,170
1551821449,2019-03-05T21:30:49Z,IGO2624,"24.84938,76.819405",33000,462,170
1551821510,2019-03-05T21:31:50Z,IGO2624,"24.719936,76.842422",33000,463,170
1551821575,2019-03-05T21:32:55Z,IGO2624,"24.583818,76.866516",33000,464,170
1551821634,2019-03-05T21:33:54Z,IGO2624,"24.455612,76.889244",33000,466,170
1551821665,2019-03-05T21:34:25Z,IGO2624,"24.391092,76.900673",33025,465,170
1551821759,2019-03-05T21:35:59Z,IGO2624,"24.18952,76.936325",33025,463,170
1551821767,2019-03-05T21:36:07Z,IGO2624,"24.172297,76.939331",33000,463,170
1551821857,2019-03-05T21:37:37Z,IGO2624,"23.983429,76.972504",32975,464,170
1551821920,2019-03-05T21:38:40Z,IGO2624,"23.84903,76.996101",33000,464,170
1551821981,2019-03-05T21:39:41Z,IGO2624,"23.719437,77.018738",33000,465,170
1551822042,2019-03-05T21:40:42Z,IGO2624,"23.58732,77.041885",33000,466,170
1551822097,2019-03-05T21:41:37Z,IGO2624,"23.473114,77.061752",33000,467,170
1551822170,2019-03-05T21:42:50Z,IGO2624,"23.315689,77.089165",33025,466,170
1551822234,2019-03-05T21:43:54Z,IGO2624,"23.179092,77.112839",33000,465,170
1551822294,2019-03-05T21:44:54Z,IGO2624,"23.049969,77.135368",33000,464,170
1551822355,2019-03-05T21:45:55Z,IGO2624,"22.921717,77.157494",33025,461,170
1551822416,2019-03-05T21:46:56Z,IGO2624,"22.793465,77.179771",33025,454,170
1551822478,2019-03-05T21:47:58Z,IGO2624,"22.662415,77.202225",32975,449,170
1551822541,2019-03-05T21:49:01Z,IGO2624,"22.536823,77.223816",32950,449,170
1551822602,2019-03-05T21:50:02Z,IGO2624,"22.411331,77.24527",32975,449,170
1551822664,2019-03-05T21:51:04Z,IGO2624,"22.285488,77.266846",33000,451,170
1551822723,2019-03-05T21:52:03Z,IGO2624,"22.159973,77.288322",33000,453,170
1551822788,2019-03-05T21:53:08Z,IGO2624,"22.026764,77.311043",33025,455,170
1551822847,2019-03-05T21:54:07Z,IGO2624,"21.901474,77.332413",33025,455,170
1551822909,2019-03-05T21:55:09Z,IGO2624,"21.774065,77.354126",33025,455,171
1551822968,2019-03-05T21:56:08Z,IGO2624,"21.645218,77.37606",33025,453,171
1551823030,2019-03-05T21:57:10Z,IGO2624,"21.521347,77.402725",33000,454,167
1551823093,2019-03-05T21:58:13Z,IGO2624,"21.394638,77.432388",33000,452,167
1551823153,2019-03-05T21:59:13Z,IGO2624,"21.268972,77.461754",32975,451,167
1551823217,2019-03-05T22:00:17Z,IGO2624,"21.137882,77.491051",32975,450,168
1551823279,2019-03-05T22:01:19Z,IGO2624,"21.009026,77.518333",33000,451,168
1551823343,2019-03-05T22:02:23Z,IGO2624,"20.877869,77.54641",33025,452,168
1551823405,2019-03-05T22:03:25Z,IGO2624,"20.752382,77.573166",33000,451,168
1551823466,2019-03-05T22:04:26Z,IGO2624,"20.626007,77.600014",33000,452,168
1551823526,2019-03-05T22:05:26Z,IGO2624,"20.501186,77.626595",33000,453,168
1551823587,2019-03-05T22:06:27Z,IGO2624,"20.374798,77.653465",33000,453,168
1551823647,2019-03-05T22:07:27Z,IGO2624,"20.25106,77.679733",33000,453,168
1551823698,2019-03-05T22:08:18Z,IGO2624,"20.146366,77.701851",33000,453,168
1551823790,2019-03-05T22:09:50Z,IGO2624,"19.958342,77.741608",33000,452,168
1551823853,2019-03-05T22:10:53Z,IGO2624,"19.828367,77.769073",33000,452,168
1551823912,2019-03-05T22:11:52Z,IGO2624,"19.704391,77.795174",33000,452,168
1551823976,2019-03-05T22:12:56Z,IGO2624,"19.573074,77.822754",33000,451,168
1551824036,2019-03-05T22:13:56Z,IGO2624,"19.448914,77.848778",33000,451,168
1551824100,2019-03-05T22:15:00Z,IGO2624,"19.317596,77.876335",33000,452,168
1551824160,2019-03-05T22:16:00Z,IGO2624,"19.19339,77.90229",33000,453,168
1551824225,2019-03-05T22:17:05Z,IGO2624,"19.062012,77.929657",33000,454,168
1551824284,2019-03-05T22:18:04Z,IGO2624,"18.939102,77.955254",33000,454,168
1551824348,2019-03-05T22:19:08Z,IGO2624,"18.806305,77.982918",32975,455,168
1551824409,2019-03-05T22:20:09Z,IGO2624,"18.680296,78.009071",33000,457,168
1551824472,2019-03-05T22:21:12Z,IGO2624,"18.546387,78.036873",33025,458,168
1551824533,2019-03-05T22:22:13Z,IGO2624,"18.420502,78.062965",33025,457,168
1551824594,2019-03-05T22:23:14Z,IGO2624,"18.293839,78.089104",33000,457,168
1551824657,2019-03-05T22:24:17Z,IGO2624,"18.160355,78.116714",33000,458,168
1551824719,2019-03-05T22:25:19Z,IGO2624,"18.033691,78.14286",33000,458,168
1551824780,2019-03-05T22:26:20Z,IGO2624,"17.906319,78.169052",33000,458,168
1551824839,2019-03-05T22:27:19Z,IGO2624,"17.780394,78.194992",33000,457,168
1551824901,2019-03-05T22:28:21Z,IGO2624,"17.653015,78.221115",33000,459,168
1551824962,2019-03-05T22:29:22Z,IGO2624,"17.525803,78.247185",33000,459,168
1551825026,2019-03-05T22:30:26Z,IGO2624,"17.391953,78.274597",33000,458,168
1551825087,2019-03-05T22:31:27Z,IGO2624,"17.265341,78.300491",33000,458,168
1551825147,2019-03-05T22:32:27Z,IGO2624,"17.138397,78.326401",33025,455,168
1551825208,2019-03-05T22:33:28Z,IGO2624,"17.01265,78.352036",33025,452,168
1551825269,2019-03-05T22:34:29Z,IGO2624,"16.889008,78.377235",33000,447,168
1551825332,2019-03-05T22:35:32Z,IGO2624,"16.759003,78.403595",32975,445,168
1551825393,2019-03-05T22:36:33Z,IGO2624,"16.63493,78.428795",32950,447,168
1551825454,2019-03-05T22:37:34Z,IGO2624,"16.510208,78.45414",33000,449,168
1551825515,2019-03-05T22:38:35Z,IGO2624,"16.385921,78.479263",33000,451,168
1551825575,2019-03-05T22:39:35Z,IGO2624,"16.261162,78.50251",33000,452,173
1551825639,2019-03-05T22:40:39Z,IGO2624,"16.128489,78.500793",33025,448,189
1551825648,2019-03-05T22:40:48Z,IGO2624,"16.110214,78.496925",33025,447,192
1551825708,2019-03-05T22:41:48Z,IGO2624,"15.986923,78.46936",33025,450,192
1551825776,2019-03-05T22:42:56Z,IGO2624,"15.847964,78.438065",33025,450,192
1551825840,2019-03-05T22:44:00Z,IGO2624,"15.717728,78.408554",33000,451,192
1551825904,2019-03-05T22:45:04Z,IGO2624,"15.592163,78.380173",32975,452,192
1551825965,2019-03-05T22:46:05Z,IGO2624,"15.461162,78.350616",33000,454,192
1551826029,2019-03-05T22:47:09Z,IGO2624,"15.332584,78.321678",33000,455,192
1551826093,2019-03-05T22:48:13Z,IGO2624,"15.200729,78.292046",33025,455,192
1551826155,2019-03-05T22:49:15Z,IGO2624,"15.068261,78.262184",32650,454,192
1551826217,2019-03-05T22:50:17Z,IGO2624,"14.939346,78.233208",31475,462,192
1551826281,2019-03-05T22:51:21Z,IGO2624,"14.80751,78.203712",29350,452,192
1551826343,2019-03-05T22:52:23Z,IGO2624,"14.682203,78.175674",27275,443,192
1551826406,2019-03-05T22:53:26Z,IGO2624,"14.557388,78.147743",26000,416,192
1551826469,2019-03-05T22:54:29Z,IGO2624,"14.440796,78.121742",24525,408,192
1551826482,2019-03-05T22:54:42Z,IGO2624,"14.416946,78.117058",24025,409,189
1551826573,2019-03-05T22:56:13Z,IGO2624,"14.247917,78.091011",21200,392,188
1551826642,2019-03-05T22:57:22Z,IGO2624,"14.125951,78.071014",18875,393,189
1551826706,2019-03-05T22:58:26Z,IGO2624,"14.016083,78.052933",17375,360,188
1551826736,2019-03-05T22:58:56Z,IGO2624,"13.967208,78.044899",16600,352,189
1551826770,2019-03-05T22:59:30Z,IGO2624,"13.913269,78.036125",15425,353,189
1551826801,2019-03-05T23:00:01Z,IGO2624,"13.863675,78.027939",14425,352,189
1551826833,2019-03-05T23:00:33Z,IGO2624,"13.811966,78.019501",13375,350,189
1551826864,2019-03-05T23:01:04Z,IGO2624,"13.761154,78.011215",12400,347,189
1551826894,2019-03-05T23:01:34Z,IGO2624,"13.71199,78.003212",11325,349,189
1551826906,2019-03-05T23:01:46Z,IGO2624,"13.695419,78.000465",11125,343,189
1551826921,2019-03-05T23:02:01Z,IGO2624,"13.671249,77.996445",10800,336,189
1551826931,2019-03-05T23:02:11Z,IGO2624,"13.654796,77.993774",10500,335,189
1551826947,2019-03-05T23:02:27Z,IGO2624,"13.63147,77.989906",10250,327,189
1551826962,2019-03-05T23:02:42Z,IGO2624,"13.607871,77.986061",9775,325,189
1551826977,2019-03-05T23:02:57Z,IGO2624,"13.5852,77.982399",9450,319,189
1551826988,2019-03-05T23:03:08Z,IGO2624,"13.57021,77.979996",9200,316,189
1551827005,2019-03-05T23:03:25Z,IGO2624,"13.546646,77.976219",8700,316,188
1551827015,2019-03-05T23:03:35Z,IGO2624,"13.531153,77.973732",8375,315,188
1551827030,2019-03-05T23:03:50Z,IGO2624,"13.508621,77.969925",7850,316,189
1551827046,2019-03-05T23:04:06Z,IGO2624,"13.486649,77.966164",7375,316,189
1551827058,2019-03-05T23:04:18Z,IGO2624,"13.469421,77.963196",7050,315,189
1551827133,2019-03-05T23:05:33Z,IGO2624,"13.363678,77.945488",5475,286,189
1551827164,2019-03-05T23:06:04Z,IGO2624,"13.324951,77.93914",5475,253,189
1551827174,2019-03-05T23:06:14Z,IGO2624,"13.313644,77.937294",5475,242,189
1551827190,2019-03-05T23:06:30Z,IGO2624,"13.296343,77.934456",5475,225,189
1551827207,2019-03-05T23:06:47Z,IGO2624,"13.28019,77.931763",5475,217,189
1551827219,2019-03-05T23:06:59Z,IGO2624,"13.26828,77.929817",5475,212,189
1551827232,2019-03-05T23:07:12Z,IGO2624,"13.255238,77.927612",5475,210,189
1551827248,2019-03-05T23:07:28Z,IGO2624,"13.240036,77.925079",5475,209,189
1551827257,2019-03-05T23:07:37Z,IGO2624,"13.231124,77.923134",5475,209,194
