Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551905431,2019-03-06T20:50:31Z,IGO2624,"28.56926,77.075851",1900,162,284
1551905442,2019-03-06T20:50:42Z,IGO2624,"28.571686,77.065659",2175,170,284
1551905448,2019-03-06T20:50:48Z,IGO2624,"28.572968,77.060432",2250,174,284
1551905454,2019-03-06T20:50:54Z,IGO2624,"28.574295,77.054726",2375,184,284
1551905460,2019-03-06T20:51:00Z,IGO2624,"28.575811,77.048248",2475,193,284
1551905472,2019-03-06T20:51:12Z,IGO2624,"28.578651,77.036026",2700,206,284
1551905483,2019-03-06T20:51:23Z,IGO2624,"28.580374,77.021912",2825,230,271
1551905503,2019-03-06T20:51:43Z,IGO2624,"28.573059,77.000954",3200,254,238
1551905510,2019-03-06T20:51:50Z,IGO2624,"28.566641,76.994614",3475,263,220
1551905516,2019-03-06T20:51:56Z,IGO2624,"28.558594,76.990234",3825,267,211
1551905525,2019-03-06T20:52:05Z,IGO2624,"28.548206,76.98777",4350,272,190
1551905534,2019-03-06T20:52:14Z,IGO2624,"28.53653,76.985954",4925,272,187
1551905541,2019-03-06T20:52:21Z,IGO2624,"28.528748,76.984901",5250,272,186
1551905552,2019-03-06T20:52:32Z,IGO2624,"28.513184,76.982681",5900,275,187
1551905563,2019-03-06T20:52:43Z,IGO2624,"28.497232,76.980232",6550,276,187
1551905576,2019-03-06T20:52:56Z,IGO2624,"28.481497,76.977592",6825,291,188
1551905590,2019-03-06T20:53:10Z,IGO2624,"28.464598,76.974686",7075,306,188
1551905601,2019-03-06T20:53:21Z,IGO2624,"28.446396,76.971535",7350,322,188
1551905613,2019-03-06T20:53:33Z,IGO2624,"28.427948,76.968422",7775,328,188
1551905627,2019-03-06T20:53:47Z,IGO2624,"28.40918,76.965248",8325,332,188
1551905639,2019-03-06T20:53:59Z,IGO2624,"28.390686,76.962135",8875,334,188
1551905650,2019-03-06T20:54:10Z,IGO2624,"28.372009,76.959015",9525,334,188
1551905663,2019-03-06T20:54:23Z,IGO2624,"28.353516,76.955902",10100,334,188
1551905674,2019-03-06T20:54:34Z,IGO2624,"28.333879,76.952606",10525,341,188
1551905687,2019-03-06T20:54:47Z,IGO2624,"28.315025,76.949425",11000,345,188
1551905699,2019-03-06T20:54:59Z,IGO2624,"28.295195,76.946037",11500,347,188
1551905710,2019-03-06T20:55:10Z,IGO2624,"28.275604,76.942642",11925,352,188
1551905724,2019-03-06T20:55:24Z,IGO2624,"28.255234,76.939209",12425,355,188
1551905755,2019-03-06T20:55:55Z,IGO2624,"28.205256,76.930794",13800,355,188
1551905787,2019-03-06T20:56:27Z,IGO2624,"28.15036,76.921516",14950,364,188
1551905820,2019-03-06T20:57:00Z,IGO2624,"28.093857,76.911995",16225,366,188
1551905854,2019-03-06T20:57:34Z,IGO2624,"28.036783,76.902359",17350,372,188
1551905889,2019-03-06T20:58:09Z,IGO2624,"27.978407,76.892555",18400,380,188
1551905950,2019-03-06T20:59:10Z,IGO2624,"27.872681,76.883049",20875,371,183
1551906010,2019-03-06T21:00:10Z,IGO2624,"27.76387,76.876366",21850,391,183
1551906072,2019-03-06T21:01:12Z,IGO2624,"27.649237,76.869644",22850,415,182
1551906133,2019-03-06T21:02:13Z,IGO2624,"27.529083,76.862785",23850,433,182
1551906150,2019-03-06T21:02:30Z,IGO2624,"27.49585,76.860977",24175,435,182
1551906248,2019-03-06T21:04:08Z,IGO2624,"27.296997,76.849518",26800,432,182
1551906314,2019-03-06T21:05:14Z,IGO2624,"27.17012,76.842079",28200,423,182
1551906377,2019-03-06T21:06:17Z,IGO2624,"27.043451,76.834679",28925,435,182
1551906440,2019-03-06T21:07:20Z,IGO2624,"26.911802,76.827286",29750,444,182
1551906505,2019-03-06T21:08:25Z,IGO2624,"26.78113,76.819893",30975,442,182
1551906566,2019-03-06T21:09:26Z,IGO2624,"26.656586,76.812729",32025,441,182
1551906625,2019-03-06T21:10:25Z,IGO2624,"26.534271,76.805786",33050,440,182
1551906688,2019-03-06T21:11:28Z,IGO2624,"26.402069,76.798218",33825,446,182
1551906728,2019-03-06T21:12:08Z,IGO2624,"26.321659,76.793694",34375,447,182
1551906818,2019-03-06T21:13:38Z,IGO2624,"26.140106,76.783501",35000,443,182
1551906881,2019-03-06T21:14:41Z,IGO2624,"26.009995,76.776138",35000,444,182
1551906941,2019-03-06T21:15:41Z,IGO2624,"25.884247,76.769142",34975,437,182
1551907019,2019-03-06T21:16:59Z,IGO2624,"25.727421,76.760231",34950,437,182
1551907029,2019-03-06T21:17:09Z,IGO2624,"25.704895,76.75898",34975,437,182
1551907107,2019-03-06T21:18:27Z,IGO2624,"25.546326,76.750084",35025,442,182
1551907200,2019-03-06T21:20:00Z,IGO2624,"25.358139,76.739601",35050,441,182
1551907217,2019-03-06T21:20:17Z,IGO2624,"25.32106,76.737572",35050,441,182
1551907313,2019-03-06T21:21:53Z,IGO2624,"25.125221,76.726601",35025,439,182
1551907374,2019-03-06T21:22:54Z,IGO2624,"24.999527,76.732124",35025,455,172
1551907438,2019-03-06T21:23:58Z,IGO2624,"24.86499,76.768547",34950,476,161
1551907498,2019-03-06T21:24:58Z,IGO2624,"24.737595,76.814171",34975,480,161
1551907563,2019-03-06T21:26:03Z,IGO2624,"24.600815,76.85099",35000,464,174
1551907625,2019-03-06T21:27:05Z,IGO2624,"24.464081,76.863914",35025,465,175
1551907685,2019-03-06T21:28:05Z,IGO2624,"24.334946,76.876068",35025,466,175
1551907749,2019-03-06T21:29:09Z,IGO2624,"24.19725,76.888885",35025,467,175
1551907811,2019-03-06T21:30:11Z,IGO2624,"24.066513,76.901093",35050,463,175
1551907875,2019-03-06T21:31:15Z,IGO2624,"23.931427,76.913704",35025,457,175
1551907936,2019-03-06T21:32:16Z,IGO2624,"23.802671,76.925545",34950,457,175
1551907995,2019-03-06T21:33:15Z,IGO2624,"23.674047,76.937408",34975,456,175
1551908058,2019-03-06T21:34:18Z,IGO2624,"23.542053,76.949593",35000,453,175
1551908119,2019-03-06T21:35:19Z,IGO2624,"23.413513,76.961426",35000,449,175
1551908181,2019-03-06T21:36:21Z,IGO2624,"23.288086,76.973015",34975,448,175
1551908243,2019-03-06T21:37:23Z,IGO2624,"23.156294,76.986694",34975,455,171
1551908307,2019-03-06T21:38:27Z,IGO2624,"23.023434,77.018944",35025,462,166
1551908369,2019-03-06T21:39:29Z,IGO2624,"22.897091,77.051392",35000,462,166
1551908428,2019-03-06T21:40:28Z,IGO2624,"22.769623,77.084122",35000,463,166
1551908491,2019-03-06T21:41:31Z,IGO2624,"22.636826,77.118134",35000,463,166
1551908553,2019-03-06T21:42:33Z,IGO2624,"22.509077,77.150826",35000,465,166
1551908613,2019-03-06T21:43:33Z,IGO2624,"22.381618,77.18338",35025,465,166
1551908677,2019-03-06T21:44:37Z,IGO2624,"22.247128,77.217964",35000,468,166
1551908737,2019-03-06T21:45:37Z,IGO2624,"22.119528,77.250877",35000,472,166
1551908801,2019-03-06T21:46:41Z,IGO2624,"21.982758,77.285973",35000,474,166
1551908864,2019-03-06T21:47:44Z,IGO2624,"21.845335,77.321266",35000,477,166
1551908925,2019-03-06T21:48:45Z,IGO2624,"21.714478,77.354836",35025,480,166
1551908986,2019-03-06T21:49:46Z,IGO2624,"21.583054,77.388245",35025,478,167
1551909047,2019-03-06T21:50:47Z,IGO2624,"21.450294,77.419075",35000,478,167
1551909109,2019-03-06T21:51:49Z,IGO2624,"21.317341,77.450256",35000,478,167
1551909171,2019-03-06T21:52:51Z,IGO2624,"21.186296,77.480873",35000,478,167
1551909232,2019-03-06T21:53:52Z,IGO2624,"21.047569,77.513275",35000,478,167
1551909292,2019-03-06T21:54:52Z,IGO2624,"20.91783,77.543503",35000,478,167
1551909357,2019-03-06T21:55:57Z,IGO2624,"20.7778,77.576263",35000,481,167
1551909417,2019-03-06T21:56:57Z,IGO2624,"20.645599,77.607422",35000,481,167
1551909477,2019-03-06T21:57:57Z,IGO2624,"20.513031,77.638664",35000,481,167
1551909542,2019-03-06T21:59:02Z,IGO2624,"20.374969,77.671036",35000,482,167
1551909601,2019-03-06T22:00:01Z,IGO2624,"20.244265,77.701752",35000,481,167
1551909665,2019-03-06T22:01:05Z,IGO2624,"20.104431,77.734497",35000,479,167
1551909728,2019-03-06T22:02:08Z,IGO2624,"19.966999,77.766571",35000,478,167
1551909790,2019-03-06T22:03:10Z,IGO2624,"19.835861,77.797134",34950,478,167
1551909850,2019-03-06T22:04:10Z,IGO2624,"19.703384,77.828033",35000,481,167
1551909913,2019-03-06T22:05:13Z,IGO2624,"19.564728,77.860207",35025,484,167
1551909977,2019-03-06T22:06:17Z,IGO2624,"19.424946,77.89257",35025,484,167
1551910037,2019-03-06T22:07:17Z,IGO2624,"19.291855,77.923424",35000,485,167
1551910101,2019-03-06T22:08:21Z,IGO2624,"19.152895,77.955841",35025,485,167
1551910160,2019-03-06T22:09:20Z,IGO2624,"19.020452,77.986748",35000,484,167
1551910224,2019-03-06T22:10:24Z,IGO2624,"18.880646,78.012642",34975,479,174
1551910287,2019-03-06T22:11:27Z,IGO2624,"18.739929,78.026276",35000,481,174
1551910348,2019-03-06T22:12:28Z,IGO2624,"18.605118,78.039276",35000,481,174
1551910412,2019-03-06T22:13:32Z,IGO2624,"18.463165,78.052956",35000,482,174
1551910471,2019-03-06T22:14:31Z,IGO2624,"18.329178,78.065903",35000,481,174
1551910533,2019-03-06T22:15:33Z,IGO2624,"18.193592,78.078934",35000,479,174
1551910597,2019-03-06T22:16:37Z,IGO2624,"18.052679,78.092438",34975,478,174
1551910658,2019-03-06T22:17:38Z,IGO2624,"17.91898,78.10524",35000,477,174
1551910720,2019-03-06T22:18:40Z,IGO2624,"17.779278,78.118584",35000,477,174
1551910781,2019-03-06T22:19:41Z,IGO2624,"17.644547,78.131393",35000,475,174
1551910842,2019-03-06T22:20:42Z,IGO2624,"17.510971,78.144165",35000,475,174
1551910905,2019-03-06T22:21:45Z,IGO2624,"17.371674,78.157318",35000,473,174
1551910966,2019-03-06T22:22:46Z,IGO2624,"17.238667,78.16993",35000,471,174
1551911031,2019-03-06T22:23:51Z,IGO2624,"17.099567,78.183075",35000,469,174
1551911091,2019-03-06T22:24:51Z,IGO2624,"16.968105,78.195534",35000,467,174
1551911154,2019-03-06T22:25:54Z,IGO2624,"16.831055,78.208534",34975,468,174
1551911215,2019-03-06T22:26:55Z,IGO2624,"16.699871,78.220894",35000,468,174
1551911276,2019-03-06T22:27:56Z,IGO2624,"16.568024,78.233398",35050,466,174
1551911339,2019-03-06T22:28:59Z,IGO2624,"16.431061,78.246269",35000,464,174
1551911399,2019-03-06T22:29:59Z,IGO2624,"16.300644,78.254074",34975,465,178
1551911462,2019-03-06T22:31:02Z,IGO2624,"16.164007,78.257675",35000,466,178
1551911523,2019-03-06T22:32:03Z,IGO2624,"16.031937,78.261063",35000,468,178
1551911584,2019-03-06T22:33:04Z,IGO2624,"15.900336,78.264496",35000,468,178
1551911659,2019-03-06T22:34:19Z,IGO2624,"15.741825,78.26577",35000,468,182
1551911722,2019-03-06T22:35:22Z,IGO2624,"15.601181,78.258751",35000,468,182
1551911783,2019-03-06T22:36:23Z,IGO2624,"15.46994,78.252197",35000,469,182
1551911848,2019-03-06T22:37:28Z,IGO2624,"15.325742,78.244972",35000,470,182
1551911909,2019-03-06T22:38:29Z,IGO2624,"15.192974,78.23835",34975,470,182
1551911970,2019-03-06T22:39:30Z,IGO2624,"15.058456,78.231567",32375,484,182
1551912033,2019-03-06T22:40:33Z,IGO2624,"14.917694,78.224632",30075,468,182
1551912094,2019-03-06T22:41:34Z,IGO2624,"14.79039,78.218391",28225,448,182
1551912159,2019-03-06T22:42:39Z,IGO2624,"14.660019,78.211861",26275,432,182
