Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552078042,2019-03-08T20:47:22Z,IGO2624,"28.568457,77.077225",1800,160,282
1552078049,2019-03-08T20:47:29Z,IGO2624,"28.569574,77.072052",1925,169,283
1552078061,2019-03-08T20:47:41Z,IGO2624,"28.572182,77.060745",2225,185,284
1552078068,2019-03-08T20:47:48Z,IGO2624,"28.573608,77.054939",2375,194,284
1552078079,2019-03-08T20:47:59Z,IGO2624,"28.576721,77.042099",2700,211,285
1552078085,2019-03-08T20:48:05Z,IGO2624,"28.578373,77.035431",2875,220,285
1552078091,2019-03-08T20:48:11Z,IGO2624,"28.580109,77.028214",3100,230,285
1552078098,2019-03-08T20:48:18Z,IGO2624,"28.581863,77.021057",3300,238,285
1552078106,2019-03-08T20:48:26Z,IGO2624,"28.584564,77.009956",3600,250,285
1552078113,2019-03-08T20:48:33Z,IGO2624,"28.586287,77.00177",3800,260,282
1552078119,2019-03-08T20:48:39Z,IGO2624,"28.586929,76.993294",4000,269,274
1552078141,2019-03-08T20:49:01Z,IGO2624,"28.575951,76.966179",5225,268,226
1552078147,2019-03-08T20:49:07Z,IGO2624,"28.569248,76.961166",5725,263,214
1552078155,2019-03-08T20:49:15Z,IGO2624,"28.558411,76.957382",6475,258,190
1552078162,2019-03-08T20:49:22Z,IGO2624,"28.550953,76.956322",6925,262,186
1552078168,2019-03-08T20:49:28Z,IGO2624,"28.543505,76.955406",7300,265,186
1552078176,2019-03-08T20:49:36Z,IGO2624,"28.532684,76.954102",7675,270,186
1552078183,2019-03-08T20:49:43Z,IGO2624,"28.524698,76.95314",7950,275,186
1552078195,2019-03-08T20:49:55Z,IGO2624,"28.509195,76.951096",8525,281,186
1552078208,2019-03-08T20:50:08Z,IGO2624,"28.493225,76.948875",9125,286,187
1552078219,2019-03-08T20:50:19Z,IGO2624,"28.476889,76.946571",9775,289,187
1552078231,2019-03-08T20:50:31Z,IGO2624,"28.460495,76.944229",10400,292,187
1552078244,2019-03-08T20:50:44Z,IGO2624,"28.44351,76.94178",10700,307,187
1552078254,2019-03-08T20:50:54Z,IGO2624,"28.425961,76.939247",10925,323,187
1552078269,2019-03-08T20:51:09Z,IGO2624,"28.407211,76.936569",11175,338,187
1552078279,2019-03-08T20:51:19Z,IGO2624,"28.388113,76.933861",11675,346,186
1552078292,2019-03-08T20:51:32Z,IGO2624,"28.368654,76.931168",12425,343,186
1552078326,2019-03-08T20:52:06Z,IGO2624,"28.317169,76.924316",14650,330,186
1552078356,2019-03-08T20:52:36Z,IGO2624,"28.271118,76.917976",16175,333,187
1552078389,2019-03-08T20:53:09Z,IGO2624,"28.219362,76.910545",17675,337,187
1552078422,2019-03-08T20:53:42Z,IGO2624,"28.164709,76.902679",18175,372,187
1552078482,2019-03-08T20:54:42Z,IGO2624,"28.05574,76.887497",20200,395,186
1552078544,2019-03-08T20:55:44Z,IGO2624,"27.94455,76.871971",22350,407,187
1552078605,2019-03-08T20:56:45Z,IGO2624,"27.827637,76.855583",24325,418,187
1552078669,2019-03-08T20:57:49Z,IGO2624,"27.717728,76.823715",27300,376,195
1552078729,2019-03-08T20:58:49Z,IGO2624,"27.615555,76.790756",29550,363,195
1552078794,2019-03-08T20:59:54Z,IGO2624,"27.513153,76.760437",31225,366,191
1552078853,2019-03-08T21:00:53Z,IGO2624,"27.411621,76.739189",32450,367,191
1552078887,2019-03-08T21:01:27Z,IGO2624,"27.353943,76.731415",33000,389,180
1552078895,2019-03-08T21:01:35Z,IGO2624,"27.337418,76.731415",33125,394,179
1552078960,2019-03-08T21:02:40Z,IGO2624,"27.217896,76.730896",33375,418,180
1552079021,2019-03-08T21:03:41Z,IGO2624,"27.096451,76.730385",33775,436,180
1552079084,2019-03-08T21:04:44Z,IGO2624,"26.968643,76.730019",34925,431,180
1552079144,2019-03-08T21:05:44Z,IGO2624,"26.84729,76.729294",35625,435,180
1552079209,2019-03-08T21:06:49Z,IGO2624,"26.719681,76.728935",36675,428,180
1552079267,2019-03-08T21:07:47Z,IGO2624,"26.602112,76.728149",37000,424,180
1552079331,2019-03-08T21:08:51Z,IGO2624,"26.47654,76.727509",37000,422,180
1552079341,2019-03-08T21:09:01Z,IGO2624,"26.45871,76.727356",37000,422,180
1552079420,2019-03-08T21:10:20Z,IGO2624,"26.303923,76.726456",37000,426,180
1552079607,2019-03-08T21:13:27Z,IGO2624,"25.934647,76.724678",37000,424,180
1552079670,2019-03-08T21:14:30Z,IGO2624,"25.808933,76.724007",36975,426,180
1552079714,2019-03-08T21:15:14Z,IGO2624,"25.724907,76.723541",36950,427,180
1552079791,2019-03-08T21:16:31Z,IGO2624,"25.570259,76.728256",37000,443,170
1552079811,2019-03-08T21:16:51Z,IGO2624,"25.528549,76.735718",37000,444,170
1552079966,2019-03-08T21:19:26Z,IGO2624,"25.214539,76.78904",37025,445,171
1552080027,2019-03-08T21:20:27Z,IGO2624,"25.090347,76.810051",37000,443,171
1552080035,2019-03-08T21:20:35Z,IGO2624,"25.07222,76.813148",37000,444,171
1552080127,2019-03-08T21:22:07Z,IGO2624,"24.886175,76.844498",36975,444,171
1552080190,2019-03-08T21:23:10Z,IGO2624,"24.756775,76.866356",37000,443,171
1552080251,2019-03-08T21:24:11Z,IGO2624,"24.633348,76.88694",37025,441,171
1552080312,2019-03-08T21:25:12Z,IGO2624,"24.511057,76.907455",37025,439,171
1552080357,2019-03-08T21:25:57Z,IGO2624,"24.420979,76.922592",37000,437,171
1552080446,2019-03-08T21:27:26Z,IGO2624,"24.247101,76.919304",36975,416,184
1552080507,2019-03-08T21:28:27Z,IGO2624,"24.129747,76.909897",36975,416,184
1552080569,2019-03-08T21:29:29Z,IGO2624,"24.00927,76.899788",37000,418,184
1552080632,2019-03-08T21:30:32Z,IGO2624,"23.890282,76.889267",37025,420,184
1552080695,2019-03-08T21:31:35Z,IGO2624,"23.765476,76.877556",37050,419,185
1552080756,2019-03-08T21:32:36Z,IGO2624,"23.648071,76.865791",37025,417,185
1552080817,2019-03-08T21:33:37Z,IGO2624,"23.531067,76.853958",36975,416,185
1552080878,2019-03-08T21:34:38Z,IGO2624,"23.413588,76.841988",36975,417,185
1552080941,2019-03-08T21:35:41Z,IGO2624,"23.290695,76.82869",37025,417,185
1552081009,2019-03-08T21:36:49Z,IGO2624,"23.161274,76.824699",37025,438,167
1552081015,2019-03-08T21:36:55Z,IGO2624,"23.14856,76.828094",37025,442,165
1552081079,2019-03-08T21:37:59Z,IGO2624,"23.022083,76.865639",37025,440,165
1552081139,2019-03-08T21:38:59Z,IGO2624,"22.902603,76.899956",36975,438,165
1552081201,2019-03-08T21:40:01Z,IGO2624,"22.78299,76.934608",36950,439,164
1552081262,2019-03-08T21:41:02Z,IGO2624,"22.662886,76.969551",36975,440,164
1552081322,2019-03-08T21:42:02Z,IGO2624,"22.542177,77.004448",36975,443,164
1552081385,2019-03-08T21:43:05Z,IGO2624,"22.415497,77.041077",37000,449,164
1552081446,2019-03-08T21:44:06Z,IGO2624,"22.293447,77.076317",37050,452,164
1552081508,2019-03-08T21:45:08Z,IGO2624,"22.169712,77.111969",37050,454,164
1552081568,2019-03-08T21:46:08Z,IGO2624,"22.046036,77.147591",37025,455,165
1552081632,2019-03-08T21:47:12Z,IGO2624,"21.915909,77.184853",37000,454,164
1552081693,2019-03-08T21:48:13Z,IGO2624,"21.79216,77.220352",36975,453,164
1552081754,2019-03-08T21:49:14Z,IGO2624,"21.66923,77.255455",36975,453,164
1552081817,2019-03-08T21:50:17Z,IGO2624,"21.540894,77.292114",37000,453,165
1552081876,2019-03-08T21:51:16Z,IGO2624,"21.417194,77.327423",37000,453,165
1552081940,2019-03-08T21:52:20Z,IGO2624,"21.294064,77.362419",37000,451,165
1552082000,2019-03-08T21:53:20Z,IGO2624,"21.170235,77.397667",37000,450,165
1552082060,2019-03-08T21:54:20Z,IGO2624,"21.047836,77.432343",37000,449,165
1552082123,2019-03-08T21:55:23Z,IGO2624,"20.920349,77.46833",37000,449,165
1552082185,2019-03-08T21:56:25Z,IGO2624,"20.795769,77.503548",37000,450,165
1552082246,2019-03-08T21:57:26Z,IGO2624,"20.674593,77.537758",37000,450,165
1552082307,2019-03-08T21:58:27Z,IGO2624,"20.550066,77.572815",37025,449,165
1552082368,2019-03-08T21:59:28Z,IGO2624,"20.42824,77.607025",37025,448,165
1552082433,2019-03-08T22:00:33Z,IGO2624,"20.299568,77.643127",37000,447,165
1552082492,2019-03-08T22:01:32Z,IGO2624,"20.17836,77.677017",36975,446,165
1552082553,2019-03-08T22:02:33Z,IGO2624,"20.056412,77.71125",36975,448,165
1552082602,2019-03-08T22:03:22Z,IGO2624,"19.959549,77.738327",37000,447,165
1552082705,2019-03-08T22:05:05Z,IGO2624,"19.747227,77.797432",37000,447,165
1552082768,2019-03-08T22:06:08Z,IGO2624,"19.620651,77.832642",37000,448,165
1552082829,2019-03-08T22:07:09Z,IGO2624,"19.498032,77.866676",37000,449,165
1552082890,2019-03-08T22:08:10Z,IGO2624,"19.374577,77.900955",37025,448,165
1552082952,2019-03-08T22:09:12Z,IGO2624,"19.251114,77.934464",37025,446,166
1552083014,2019-03-08T22:10:14Z,IGO2624,"19.127106,77.962318",37000,442,167
1552083075,2019-03-08T22:11:15Z,IGO2624,"19.004393,77.990692",37000,434,167
1552083137,2019-03-08T22:12:17Z,IGO2624,"18.886429,78.01841",37000,426,167
1552083197,2019-03-08T22:13:17Z,IGO2624,"18.768036,78.046234",37000,428,167
1552083258,2019-03-08T22:14:18Z,IGO2624,"18.649014,78.074089",37000,429,167
1552083320,2019-03-08T22:15:20Z,IGO2624,"18.529606,78.102005",37000,429,167
1552083381,2019-03-08T22:16:21Z,IGO2624,"18.411438,78.129662",36950,432,167
1552083442,2019-03-08T22:17:22Z,IGO2624,"18.290701,78.157784",37000,435,167
1552083503,2019-03-08T22:18:23Z,IGO2624,"18.169373,78.186081",37050,437,167
1552083565,2019-03-08T22:19:25Z,IGO2624,"18.04793,78.214317",37050,435,167
1552083625,2019-03-08T22:20:25Z,IGO2624,"17.928385,78.242523",37000,433,167
1552083687,2019-03-08T22:21:27Z,IGO2624,"17.807373,78.270844",36975,432,167
1552083749,2019-03-08T22:22:29Z,IGO2624,"17.688126,78.298744",36975,431,167
1552083800,2019-03-08T22:23:20Z,IGO2624,"17.586914,78.317917",36975,428,177
1552083806,2019-03-08T22:23:26Z,IGO2624,"17.573959,78.318115",36975,428,179
1552083814,2019-03-08T22:23:34Z,IGO2624,"17.561508,78.318207",36975,428,179
1552083874,2019-03-08T22:24:34Z,IGO2624,"17.441025,78.320374",37000,431,178
1552083935,2019-03-08T22:25:35Z,IGO2624,"17.317429,78.322639",37000,433,179
1552083997,2019-03-08T22:26:37Z,IGO2624,"17.194016,78.32476",37000,435,179
1552084058,2019-03-08T22:27:38Z,IGO2624,"17.068424,78.326927",37000,438,179
1552084120,2019-03-08T22:28:40Z,IGO2624,"16.94441,78.329041",37025,438,179
1552084180,2019-03-08T22:29:40Z,IGO2624,"16.820938,78.331123",37050,435,179
1552084241,2019-03-08T22:30:41Z,IGO2624,"16.699451,78.333351",37000,433,178
1552084304,2019-03-08T22:31:44Z,IGO2624,"16.572327,78.335602",36975,432,178
1552084365,2019-03-08T22:32:45Z,IGO2624,"16.450928,78.337677",37000,430,179
1552084425,2019-03-08T22:33:45Z,IGO2624,"16.33049,78.339699",36975,429,179
1552084486,2019-03-08T22:34:46Z,IGO2624,"16.208908,78.341774",36975,429,179
1552084550,2019-03-08T22:35:50Z,IGO2624,"16.082495,78.343994",37000,430,179
1552084613,2019-03-08T22:36:53Z,IGO2624,"15.956726,78.346207",37000,432,179
1552084677,2019-03-08T22:37:57Z,IGO2624,"15.829422,78.348373",37025,433,179
1552084738,2019-03-08T22:38:58Z,IGO2624,"15.704817,78.350471",37000,433,179
1552084800,2019-03-08T22:40:00Z,IGO2624,"15.581497,78.352562",37000,433,179
1552084861,2019-03-08T22:41:01Z,IGO2624,"15.45781,78.354736",37000,434,179
1552084923,2019-03-08T22:42:03Z,IGO2624,"15.333423,78.356895",37000,436,179
1552084984,2019-03-08T22:43:04Z,IGO2624,"15.210068,78.354736",37000,435,185
1552085046,2019-03-08T22:44:06Z,IGO2624,"15.085718,78.335068",37025,434,188
1552085108,2019-03-08T22:45:08Z,IGO2624,"14.96282,78.315552",36650,432,188
1552085184,2019-03-08T22:46:24Z,IGO2624,"14.812223,78.291321",35450,434,188
1552085243,2019-03-08T22:47:23Z,IGO2624,"14.694763,78.272568",34500,436,188
1552085304,2019-03-08T22:48:24Z,IGO2624,"14.571075,78.252724",33425,438,188
1552085368,2019-03-08T22:49:28Z,IGO2624,"14.448212,78.233124",32325,435,188
1552085427,2019-03-08T22:50:27Z,IGO2624,"14.325623,78.213516",30150,429,188
1552085490,2019-03-08T22:51:30Z,IGO2624,"14.20481,78.194229",28000,418,188
1552085517,2019-03-08T22:51:57Z,IGO2624,"14.15387,78.18335",27075,411,198
1552085523,2019-03-08T22:52:03Z,IGO2624,"14.142975,78.178665",26875,411,203
1552085529,2019-03-08T22:52:09Z,IGO2624,"14.132003,78.173317",26650,409,205
1552085535,2019-03-08T22:52:15Z,IGO2624,"14.121901,78.168304",26450,408,205
1552085542,2019-03-08T22:52:22Z,IGO2624,"14.111612,78.163193",26250,407,205
1552085605,2019-03-08T22:53:25Z,IGO2624,"14.005005,78.112083",24050,393,204
1552085665,2019-03-08T22:54:25Z,IGO2624,"13.906494,78.065247",22000,382,205
1552085728,2019-03-08T22:55:28Z,IGO2624,"13.806152,78.017181",19925,374,205
1552085789,2019-03-08T22:56:29Z,IGO2624,"13.71238,77.972282",18500,351,205
1552085807,2019-03-08T22:56:47Z,IGO2624,"13.687729,77.957184",17900,347,218
1552085813,2019-03-08T22:56:53Z,IGO2624,"13.680771,77.949799",17550,351,227
1552085819,2019-03-08T22:56:59Z,IGO2624,"13.674767,77.942024",17350,353,232
1552085825,2019-03-08T22:57:05Z,IGO2624,"13.668947,77.933975",17225,350,233
1552085831,2019-03-08T22:57:11Z,IGO2624,"13.663376,77.92617",17075,347,233
1552085837,2019-03-08T22:57:17Z,IGO2624,"13.657216,77.917595",16875,346,233
1552085873,2019-03-08T22:57:53Z,IGO2624,"13.62204,77.870384",15650,347,232
