Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549106358,2019-02-02T11:19:18Z,IGO945,"28.570267,77.072739",1800,161,284
1549106368,2019-02-02T11:19:28Z,IGO945,"28.572281,77.063866",1975,172,284
1549106379,2019-02-02T11:19:39Z,IGO945,"28.574387,77.054672",2150,185,284
1549106390,2019-02-02T11:19:50Z,IGO945,"28.576813,77.044266",2350,198,284
1549106399,2019-02-02T11:19:59Z,IGO945,"28.578918,77.035233",2650,202,284
1549106409,2019-02-02T11:20:09Z,IGO945,"28.581619,77.023506",2900,215,284
1549106419,2019-02-02T11:20:19Z,IGO945,"28.58432,77.011467",3050,232,283
1549106429,2019-02-02T11:20:29Z,IGO945,"28.586891,76.999832",3325,245,283
1549106439,2019-02-02T11:20:39Z,IGO945,"28.589951,76.986008",3650,258,284
1549106449,2019-02-02T11:20:49Z,IGO945,"28.59271,76.973877",4075,265,284
1549106460,2019-02-02T11:21:00Z,IGO945,"28.596085,76.959015",4650,267,284
1549106469,2019-02-02T11:21:09Z,IGO945,"28.59906,76.946129",5175,270,284
1549106485,2019-02-02T11:21:25Z,IGO945,"28.604069,76.924278",5900,277,284
1549106499,2019-02-02T11:21:39Z,IGO945,"28.60881,76.903664",6850,274,283
1549106509,2019-02-02T11:21:49Z,IGO945,"28.61026,76.888786",7475,272,271
1549106529,2019-02-02T11:22:09Z,IGO945,"28.602722,76.861458",8175,283,236
1549106539,2019-02-02T11:22:19Z,IGO945,"28.593018,76.850685",8325,282,216
1549106550,2019-02-02T11:22:30Z,IGO945,"28.581352,76.844734",8500,284,196
1549106559,2019-02-02T11:22:39Z,IGO945,"28.567759,76.84317",8675,289,179
1549106569,2019-02-02T11:22:49Z,IGO945,"28.555468,76.844521",8875,290,173
1549106575,2019-02-02T11:22:55Z,IGO945,"28.548203,76.845512",8950,293,172
1549106585,2019-02-02T11:23:05Z,IGO945,"28.533495,76.847694",9000,312,172
1549106600,2019-02-02T11:23:20Z,IGO945,"28.511663,76.850769",9175,333,173
1549106614,2019-02-02T11:23:34Z,IGO945,"28.488235,76.853905",9350,341,173
1549106629,2019-02-02T11:23:49Z,IGO945,"28.46376,76.857117",9600,344,173
1549106645,2019-02-02T11:24:05Z,IGO945,"28.439926,76.860245",10050,349,173
1549106660,2019-02-02T11:24:20Z,IGO945,"28.416229,76.861565",10700,352,180
1549106675,2019-02-02T11:24:35Z,IGO945,"28.390411,76.860405",11325,355,182
1549106691,2019-02-02T11:24:51Z,IGO945,"28.366058,76.859138",12100,354,182
1549106724,2019-02-02T11:25:24Z,IGO945,"28.30702,76.856041",13450,365,182
1549106760,2019-02-02T11:26:00Z,IGO945,"28.247681,76.853119",14850,371,182
1549106794,2019-02-02T11:26:34Z,IGO945,"28.187668,76.850632",16100,377,182
1549106830,2019-02-02T11:27:10Z,IGO945,"28.126099,76.848045",17525,378,182
1549106864,2019-02-02T11:27:44Z,IGO945,"28.062899,76.845383",18550,389,182
1549106930,2019-02-02T11:28:50Z,IGO945,"27.94326,76.840317",20725,396,182
1549106995,2019-02-02T11:29:55Z,IGO945,"27.820456,76.835159",22350,410,182
1549107056,2019-02-02T11:30:56Z,IGO945,"27.704727,76.830246",23800,421,182
1549107120,2019-02-02T11:32:00Z,IGO945,"27.580353,76.825111",25350,427,182
1549107187,2019-02-02T11:33:07Z,IGO945,"27.44515,76.81942",26725,437,182
1549107248,2019-02-02T11:34:08Z,IGO945,"27.318558,76.814178",27825,446,182
1549107311,2019-02-02T11:35:11Z,IGO945,"27.188873,76.808792",28925,453,182
1549107399,2019-02-02T11:36:39Z,IGO945,"27.003138,76.801193",31000,449,182
1549107463,2019-02-02T11:37:43Z,IGO945,"26.871489,76.795753",32375,444,182
1549107523,2019-02-02T11:38:43Z,IGO945,"26.747007,76.790634",33025,436,182
1549107553,2019-02-02T11:39:13Z,IGO945,"26.68959,76.788269",33000,439,181
1549107773,2019-02-02T11:42:53Z,IGO945,"26.242035,76.770081",33000,438,181
1549107835,2019-02-02T11:43:55Z,IGO945,"26.112127,76.764801",33000,437,182
1549107897,2019-02-02T11:44:57Z,IGO945,"25.990494,76.759766",33000,435,182
1549107959,2019-02-02T11:45:59Z,IGO945,"25.863958,76.754715",33000,433,181
1549108021,2019-02-02T11:47:01Z,IGO945,"25.741199,76.74971",33000,433,182
1549108082,2019-02-02T11:48:02Z,IGO945,"25.615265,76.74469",32975,433,182
1549108144,2019-02-02T11:49:04Z,IGO945,"25.492052,76.739655",33000,434,181
1549108211,2019-02-02T11:50:11Z,IGO945,"25.358633,76.734375",33025,432,182
1549108272,2019-02-02T11:51:12Z,IGO945,"25.238388,76.72953",33025,430,182
1549108334,2019-02-02T11:52:14Z,IGO945,"25.108042,76.733284",32975,452,173
1549108396,2019-02-02T11:53:16Z,IGO945,"24.982864,76.749672",32975,455,173
1549108458,2019-02-02T11:54:18Z,IGO945,"24.849119,76.767075",33000,459,173
1549108521,2019-02-02T11:55:21Z,IGO945,"24.715235,76.784538",33050,457,173
