Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549193524,2019-02-03T11:32:04Z,IGO945,"28.570692,77.069038",1700,164,284
1549193530,2019-02-03T11:32:10Z,IGO945,"28.572134,77.06279",1800,171,284
1549193539,2019-02-03T11:32:19Z,IGO945,"28.573439,77.057137",1875,179,284
1549193550,2019-02-03T11:32:30Z,IGO945,"28.576126,77.04538",2050,195,284
1549193560,2019-02-03T11:32:40Z,IGO945,"28.578558,77.034897",2200,206,284
1549193569,2019-02-03T11:32:49Z,IGO945,"28.581211,77.023857",2300,227,285
1549193578,2019-02-03T11:32:58Z,IGO945,"28.583221,77.015427",2450,238,285
1549193588,2019-02-03T11:33:08Z,IGO945,"28.58638,77.002068",2700,251,285
1549193600,2019-02-03T11:33:20Z,IGO945,"28.590429,76.985077",3200,255,285
1549193610,2019-02-03T11:33:30Z,IGO945,"28.593109,76.973808",3575,259,284
1549193618,2019-02-03T11:33:38Z,IGO945,"28.595993,76.961182",4000,261,284
1549193624,2019-02-03T11:33:44Z,IGO945,"28.598007,76.952469",4250,265,284
1549193633,2019-02-03T11:33:53Z,IGO945,"28.600763,76.940598",4650,269,284
1549193643,2019-02-03T11:34:03Z,IGO945,"28.603884,76.926918",5175,267,284
1549193657,2019-02-03T11:34:17Z,IGO945,"28.6077,76.910057",5475,279,284
1549193665,2019-02-03T11:34:25Z,IGO945,"28.611238,76.89444",5650,289,284
1549193700,2019-02-03T11:35:00Z,IGO945,"28.602951,76.839836",6175,336,236
1549193707,2019-02-03T11:35:07Z,IGO945,"28.596947,76.83213",6275,341,226
1549193715,2019-02-03T11:35:15Z,IGO945,"28.585634,76.822273",6425,352,213
1549193721,2019-02-03T11:35:21Z,IGO945,"28.57637,76.817108",6525,353,204
1549193727,2019-02-03T11:35:27Z,IGO945,"28.567703,76.81382",6600,355,196
1549193733,2019-02-03T11:35:33Z,IGO945,"28.557724,76.811707",6700,355,188
1549193744,2019-02-03T11:35:44Z,IGO945,"28.542154,76.809944",6900,355,184
1549193754,2019-02-03T11:35:54Z,IGO945,"28.522369,76.809509",7125,354,180
1549193760,2019-02-03T11:36:00Z,IGO945,"28.513479,76.809349",7225,354,181
1549193773,2019-02-03T11:36:13Z,IGO945,"28.492401,76.808487",7450,352,182
1549193784,2019-02-03T11:36:24Z,IGO945,"28.474136,76.80748",7625,352,182
1549193797,2019-02-03T11:36:37Z,IGO945,"28.453491,76.806427",7850,353,182
1549193808,2019-02-03T11:36:48Z,IGO945,"28.433687,76.80558",8050,353,182
1549193821,2019-02-03T11:37:01Z,IGO945,"28.414078,76.804893",8275,356,181
1549193833,2019-02-03T11:37:13Z,IGO945,"28.393845,76.804367",8650,360,180
1549193845,2019-02-03T11:37:25Z,IGO945,"28.373869,76.804131",9075,363,180
1549193859,2019-02-03T11:37:39Z,IGO945,"28.348068,76.804047",9600,369,180
1549193872,2019-02-03T11:37:52Z,IGO945,"28.327316,76.803963",10250,366,180
1549193885,2019-02-03T11:38:05Z,IGO945,"28.307344,76.803909",10950,361,180
1549193895,2019-02-03T11:38:15Z,IGO945,"28.28784,76.803856",11450,361,180
1549193909,2019-02-03T11:38:29Z,IGO945,"28.268188,76.803833",11850,365,180
1549193921,2019-02-03T11:38:41Z,IGO945,"28.245895,76.803749",12250,369,180
1549193953,2019-02-03T11:39:13Z,IGO945,"28.189087,76.80336",13200,381,180
1549193986,2019-02-03T11:39:46Z,IGO945,"28.1304,76.802994",14400,385,180
1549194019,2019-02-03T11:40:19Z,IGO945,"28.069977,76.80262",15400,393,180
1549194053,2019-02-03T11:40:53Z,IGO945,"28.009178,76.802185",16350,399,180
1549194086,2019-02-03T11:41:26Z,IGO945,"27.946751,76.801865",17275,406,180
1549194115,2019-02-03T11:41:55Z,IGO945,"27.889847,76.801483",18150,409,180
1549194180,2019-02-03T11:43:00Z,IGO945,"27.767441,76.798836",19850,416,181
1549194242,2019-02-03T11:44:02Z,IGO945,"27.64407,76.7948",21225,429,181
1549194304,2019-02-03T11:45:04Z,IGO945,"27.51712,76.791054",22525,441,181
1549194370,2019-02-03T11:46:10Z,IGO945,"27.386124,76.787247",23825,448,181
1549194428,2019-02-03T11:47:08Z,IGO945,"27.262062,76.783607",25000,453,181
1549194494,2019-02-03T11:48:14Z,IGO945,"27.12767,76.77977",26175,457,181
1549194555,2019-02-03T11:49:15Z,IGO945,"26.992571,76.775894",27100,463,181
1549194617,2019-02-03T11:50:17Z,IGO945,"26.862597,76.772247",28375,459,181
1549194666,2019-02-03T11:51:06Z,IGO945,"26.757202,76.769302",29475,451,181
1549194757,2019-02-03T11:52:37Z,IGO945,"26.56848,76.763641",30925,451,181
1549194818,2019-02-03T11:53:38Z,IGO945,"26.439606,76.760025",31950,449,181
1549194845,2019-02-03T11:54:05Z,IGO945,"26.38504,76.758522",32375,448,181
1549194935,2019-02-03T11:55:35Z,IGO945,"26.197271,76.752914",33000,456,181
1549195000,2019-02-03T11:56:40Z,IGO945,"26.061338,76.749329",33000,451,181
1549195060,2019-02-03T11:57:40Z,IGO945,"25.937347,76.745827",33000,451,181
1549195089,2019-02-03T11:58:09Z,IGO945,"25.874771,76.744011",33000,450,181
1549195182,2019-02-03T11:59:42Z,IGO945,"25.679285,76.748055",33000,462,174
1549195242,2019-02-03T12:00:42Z,IGO945,"25.551453,76.760406",32975,462,175
1549195304,2019-02-03T12:01:44Z,IGO945,"25.415939,76.773338",33000,463,175
1549195368,2019-02-03T12:02:48Z,IGO945,"25.279541,76.786446",33000,463,175
1549195429,2019-02-03T12:03:49Z,IGO945,"25.151802,76.798531",33000,462,175
1549195492,2019-02-03T12:04:52Z,IGO945,"25.015091,76.811623",33000,460,175
1549195556,2019-02-03T12:05:56Z,IGO945,"24.880821,76.82428",32975,461,175
1549195616,2019-02-03T12:06:56Z,IGO945,"24.751419,76.836449",33000,463,175
1549195679,2019-02-03T12:07:59Z,IGO945,"24.615509,76.849213",33000,464,175
1549195739,2019-02-03T12:08:59Z,IGO945,"24.485229,76.861519",33000,463,175
1549195803,2019-02-03T12:10:03Z,IGO945,"24.349045,76.874336",32975,466,175
1549195863,2019-02-03T12:11:03Z,IGO945,"24.218353,76.886497",32975,469,175
1549195928,2019-02-03T12:12:08Z,IGO945,"24.081207,76.899261",33000,469,175
1549195987,2019-02-03T12:13:07Z,IGO945,"23.950102,76.911499",33025,467,175
1549196049,2019-02-03T12:14:09Z,IGO945,"23.815845,76.924042",33000,466,175
1549196114,2019-02-03T12:15:14Z,IGO945,"23.676132,76.93705",32975,465,175
1549196174,2019-02-03T12:16:14Z,IGO945,"23.546541,76.948967",33000,464,175
1549196237,2019-02-03T12:17:17Z,IGO945,"23.412048,76.961426",33000,463,175
1549196302,2019-02-03T12:18:22Z,IGO945,"23.275864,76.974007",32975,462,175
1549196362,2019-02-03T12:19:22Z,IGO945,"23.145866,76.988319",32975,471,170
1549196423,2019-02-03T12:20:23Z,IGO945,"23.014069,77.021248",33000,479,166
1549196486,2019-02-03T12:21:26Z,IGO945,"22.87698,77.05648",33000,478,166
1549196547,2019-02-03T12:22:27Z,IGO945,"22.748016,77.089615",33000,474,166
1549196611,2019-02-03T12:23:31Z,IGO945,"22.611027,77.124687",32975,473,166
1549196671,2019-02-03T12:24:31Z,IGO945,"22.482729,77.157494",32975,474,166
1549196734,2019-02-03T12:25:34Z,IGO945,"22.346237,77.19239",32975,478,166
1549196795,2019-02-03T12:26:35Z,IGO945,"22.214905,77.226349",33000,479,166
1549196858,2019-02-03T12:27:38Z,IGO945,"22.078354,77.261551",33050,475,166
1549196921,2019-02-03T12:28:41Z,IGO945,"21.943607,77.296089",32975,472,166
1549196982,2019-02-03T12:29:42Z,IGO945,"21.814178,77.329216",32975,471,166
1549197045,2019-02-03T12:30:45Z,IGO945,"21.679983,77.363686",33000,470,166
1549197106,2019-02-03T12:31:46Z,IGO945,"21.552151,77.395782",33000,465,167
1549197169,2019-02-03T12:32:49Z,IGO945,"21.418167,77.425346",33000,462,168
1549197229,2019-02-03T12:33:49Z,IGO945,"21.29048,77.452797",32975,463,168
1549197293,2019-02-03T12:34:53Z,IGO945,"21.156555,77.481682",32950,465,168
1549197356,2019-02-03T12:35:56Z,IGO945,"21.023642,77.510246",33000,468,168
1549197367,2019-02-03T12:36:07Z,IGO945,"21.004509,77.514336",33000,468,168
1549197455,2019-02-03T12:37:35Z,IGO945,"20.814344,77.555183",33025,470,168
1549197517,2019-02-03T12:38:37Z,IGO945,"20.681252,77.583702",33000,471,168
1549197581,2019-02-03T12:39:41Z,IGO945,"20.546265,77.612572",32975,472,168
1549197639,2019-02-03T12:40:39Z,IGO945,"20.417997,77.639931",32975,473,168
1549197703,2019-02-03T12:41:43Z,IGO945,"20.279039,77.669548",33000,475,168
1549197768,2019-02-03T12:42:48Z,IGO945,"20.138824,77.69931",33000,476,168
1549197829,2019-02-03T12:43:49Z,IGO945,"20.005266,77.727669",33000,477,168
1549197893,2019-02-03T12:44:53Z,IGO945,"19.867493,77.756866",33000,476,168
1549197954,2019-02-03T12:45:54Z,IGO945,"19.73447,77.785103",33000,475,168
1549198019,2019-02-03T12:46:59Z,IGO945,"19.596863,77.814163",32950,476,168
1549198080,2019-02-03T12:48:00Z,IGO945,"19.46402,77.8423",32975,479,168
1549198144,2019-02-03T12:49:04Z,IGO945,"19.324066,77.870697",33000,475,172
1549198156,2019-02-03T12:49:16Z,IGO945,"19.297211,77.872368",33000,468,179
1549198220,2019-02-03T12:50:20Z,IGO945,"19.16272,77.86869",33000,465,181
1549198285,2019-02-03T12:51:25Z,IGO945,"19.018661,77.865356",33000,465,181
1549198361,2019-02-03T12:52:41Z,IGO945,"18.853043,77.861336",32975,465,181
1549198425,2019-02-03T12:53:45Z,IGO945,"18.716217,77.858047",33000,463,181
1549198486,2019-02-03T12:54:46Z,IGO945,"18.58699,77.855003",33000,460,181
1549198549,2019-02-03T12:55:49Z,IGO945,"18.452795,77.851921",32975,458,181
1549198612,2019-02-03T12:56:52Z,IGO945,"18.317375,77.848724",32975,458,181
1549198672,2019-02-03T12:57:52Z,IGO945,"18.190475,77.845688",33000,456,181
1549198736,2019-02-03T12:58:56Z,IGO945,"18.056488,77.842567",32975,455,181
1549198799,2019-02-03T12:59:59Z,IGO945,"17.922146,77.839409",32975,455,181
1549198860,2019-02-03T13:01:00Z,IGO945,"17.79538,77.836403",33000,454,181
1549198923,2019-02-03T13:02:03Z,IGO945,"17.661314,77.833328",33525,451,181
1549198983,2019-02-03T13:03:03Z,IGO945,"17.536089,77.830536",34300,447,181
1549199047,2019-02-03T13:04:07Z,IGO945,"17.404812,77.827492",34975,445,181
1549199107,2019-02-03T13:05:07Z,IGO945,"17.27948,77.824501",35000,444,181
1549199172,2019-02-03T13:06:12Z,IGO945,"17.147982,77.821411",34975,447,181
1549199232,2019-02-03T13:07:12Z,IGO945,"17.022858,77.818573",35225,447,181
1549199296,2019-02-03T13:08:16Z,IGO945,"16.891806,77.815521",35875,445,181
1549199356,2019-02-03T13:09:16Z,IGO945,"16.767557,77.81263",36425,443,181
1549199419,2019-02-03T13:10:19Z,IGO945,"16.638428,77.809708",37000,441,181
1549199482,2019-02-03T13:11:22Z,IGO945,"16.507795,77.806694",37000,447,181
1549199542,2019-02-03T13:12:22Z,IGO945,"16.382217,77.803825",37000,445,181
1549199607,2019-02-03T13:13:27Z,IGO945,"16.251293,77.800812",37000,444,181
1549199667,2019-02-03T13:14:27Z,IGO945,"16.126394,77.798012",36975,444,181
1549199731,2019-02-03T13:15:31Z,IGO945,"15.995911,77.795006",37000,444,181
1549199793,2019-02-03T13:16:33Z,IGO945,"15.865235,77.79203",36975,445,181
1549199856,2019-02-03T13:17:36Z,IGO945,"15.740335,77.789238",37000,446,181
1549199916,2019-02-03T13:18:36Z,IGO945,"15.612717,77.783783",37000,442,183
1549199980,2019-02-03T13:19:40Z,IGO945,"15.48509,77.775749",37000,443,183
1549200045,2019-02-03T13:20:45Z,IGO945,"15.345899,77.767754",36975,444,183
1549200107,2019-02-03T13:21:47Z,IGO945,"15.218674,77.760506",37000,445,183
1549200172,2019-02-03T13:22:52Z,IGO945,"15.086882,77.752991",37000,444,183
1549200216,2019-02-03T13:23:36Z,IGO945,"14.994278,77.747688",37000,444,183
1549200303,2019-02-03T13:25:03Z,IGO945,"14.813599,77.737457",36975,444,183
1549200366,2019-02-03T13:26:06Z,IGO945,"14.683693,77.730003",37000,444,183
1549200427,2019-02-03T13:27:07Z,IGO945,"14.55867,77.722969",37000,444,183
1549200492,2019-02-03T13:28:12Z,IGO945,"14.424225,77.715248",37000,441,183
1549200554,2019-02-03T13:29:14Z,IGO945,"14.300766,77.70829",36975,440,183
1549200620,2019-02-03T13:30:20Z,IGO945,"14.164729,77.700516",36950,443,183
1549200685,2019-02-03T13:31:25Z,IGO945,"14.029404,77.692993",37000,444,183
1549200746,2019-02-03T13:32:26Z,IGO945,"13.904641,77.685913",37000,445,183
1549200807,2019-02-03T13:33:27Z,IGO945,"13.778824,77.678833",36975,446,183
1549200867,2019-02-03T13:34:27Z,IGO945,"13.65303,77.671776",37000,446,183
1549200933,2019-02-03T13:35:33Z,IGO945,"13.515977,77.66404",37000,449,183
1549201000,2019-02-03T13:36:40Z,IGO945,"13.378876,77.656342",36975,453,183
