Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549884481,2019-02-11T11:28:01Z,IGO945,"28.572182,77.063866",1875,170,284
1549884491,2019-02-11T11:28:11Z,IGO945,"28.574249,77.054779",2050,182,284
1549884502,2019-02-11T11:28:22Z,IGO945,"28.576355,77.045586",2250,195,284
1549884511,2019-02-11T11:28:31Z,IGO945,"28.578884,77.034622",2400,208,284
1549884521,2019-02-11T11:28:41Z,IGO945,"28.581665,77.02272",2525,231,284
1549884535,2019-02-11T11:28:55Z,IGO945,"28.585821,77.004738",3000,247,284
1549884545,2019-02-11T11:29:05Z,IGO945,"28.588806,76.99192",3550,250,284
1549884556,2019-02-11T11:29:16Z,IGO945,"28.591599,76.979561",4050,253,284
1549884566,2019-02-11T11:29:26Z,IGO945,"28.594849,76.965408",4600,253,284
1549884576,2019-02-11T11:29:36Z,IGO945,"28.597832,76.952278",5200,254,284
1549884591,2019-02-11T11:29:51Z,IGO945,"28.602493,76.932083",5900,263,284
1549884605,2019-02-11T11:30:05Z,IGO945,"28.606955,76.912643",6650,265,284
1549884621,2019-02-11T11:30:21Z,IGO945,"28.610458,76.892151",7450,268,274
1549884641,2019-02-11T11:30:41Z,IGO945,"28.60379,76.864662",8025,269,238
1549884647,2019-02-11T11:30:47Z,IGO945,"28.59993,76.859245",8150,270,229
1549884656,2019-02-11T11:30:56Z,IGO945,"28.589499,76.850441",8425,274,210
1549884666,2019-02-11T11:31:06Z,IGO945,"28.577408,76.845985",8600,279,192
1549884692,2019-02-11T11:31:32Z,IGO945,"28.542343,76.848465",9000,317,173
1549884711,2019-02-11T11:31:51Z,IGO945,"28.512039,76.852112",9000,330,174
1549884722,2019-02-11T11:32:02Z,IGO945,"28.496626,76.853889",9000,333,174
1549884736,2019-02-11T11:32:16Z,IGO945,"28.473955,76.856529",9000,335,174
1549884752,2019-02-11T11:32:32Z,IGO945,"28.450058,76.859344",9000,336,174
1549884766,2019-02-11T11:32:46Z,IGO945,"28.426472,76.861534",9000,336,177
1549884782,2019-02-11T11:33:02Z,IGO945,"28.402964,76.860947",9000,335,182
1549884796,2019-02-11T11:33:16Z,IGO945,"28.379595,76.85965",9000,335,182
1549884813,2019-02-11T11:33:33Z,IGO945,"28.356039,76.858467",9125,336,182
1549884827,2019-02-11T11:33:47Z,IGO945,"28.332438,76.857285",9525,341,182
1549884842,2019-02-11T11:34:02Z,IGO945,"28.308563,76.856071",10175,344,182
1549884857,2019-02-11T11:34:17Z,IGO945,"28.284674,76.854752",10800,349,182
1549884872,2019-02-11T11:34:32Z,IGO945,"28.260794,76.853348",11375,354,182
1549884887,2019-02-11T11:34:47Z,IGO945,"28.235003,76.851898",12250,351,182
1549884923,2019-02-11T11:35:23Z,IGO945,"28.178055,76.848785",13850,354,182
1549884956,2019-02-11T11:35:56Z,IGO945,"28.122906,76.845703",15050,364,182
