Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550057785,2019-02-13T11:36:25Z,IGO945,"28.569853,77.123756",1700,162,91
1550057793,2019-02-13T11:36:33Z,IGO945,"28.569717,77.12999",1925,169,91
1550057800,2019-02-13T11:36:40Z,IGO945,"28.569527,77.135979",2125,176,91
1550057812,2019-02-13T11:36:52Z,IGO945,"28.569168,77.147369",2475,194,92
1550057819,2019-02-13T11:36:59Z,IGO945,"28.568876,77.154022",2675,203,92
1550057829,2019-02-13T11:37:09Z,IGO945,"28.568363,77.168022",3050,220,92
1550057836,2019-02-13T11:37:16Z,IGO945,"28.568178,77.175186",3275,228,92
1550057843,2019-02-13T11:37:23Z,IGO945,"28.567945,77.182671",3500,236,91
1550057853,2019-02-13T11:37:33Z,IGO945,"28.567612,77.197968",3875,254,91
1550057859,2019-02-13T11:37:39Z,IGO945,"28.567429,77.206741",4050,266,91
1550057866,2019-02-13T11:37:46Z,IGO945,"28.567245,77.215256",4175,277,91
1550057872,2019-02-13T11:37:52Z,IGO945,"28.567108,77.22438",4325,288,91
1550057883,2019-02-13T11:38:03Z,IGO945,"28.566734,77.243149",4550,310,91
1550057891,2019-02-13T11:38:11Z,IGO945,"28.566502,77.253166",4675,321,91
1550057902,2019-02-13T11:38:22Z,IGO945,"28.566055,77.273979",4975,339,91
1550057922,2019-02-13T11:38:42Z,IGO945,"28.564178,77.307411",5875,346,98
1550057929,2019-02-13T11:38:49Z,IGO945,"28.560471,77.322304",6275,349,108
1550057936,2019-02-13T11:38:56Z,IGO945,"28.555887,77.333359",6400,354,115
1550057945,2019-02-13T11:39:05Z,IGO945,"28.547195,77.346817",6550,354,129
1550057954,2019-02-13T11:39:14Z,IGO945,"28.535452,77.357803",6700,352,145
1550057961,2019-02-13T11:39:21Z,IGO945,"28.5233,77.364403",6825,350,157
1550057967,2019-02-13T11:39:27Z,IGO945,"28.517668,77.366211",6900,348,162
1550057975,2019-02-13T11:39:35Z,IGO945,"28.504074,77.367996",7075,341,175
1550057995,2019-02-13T11:39:55Z,IGO945,"28.472466,77.360336",7600,329,202
1550058003,2019-02-13T11:40:03Z,IGO945,"28.46376,77.355759",7750,327,205
1550058015,2019-02-13T11:40:15Z,IGO945,"28.443092,77.345039",7975,332,204
1550058029,2019-02-13T11:40:29Z,IGO945,"28.425751,77.336411",8000,343,203
1550058040,2019-02-13T11:40:40Z,IGO945,"28.407759,77.327591",8000,351,203
1550058052,2019-02-13T11:40:52Z,IGO945,"28.390301,77.318977",8000,354,203
1550058064,2019-02-13T11:41:04Z,IGO945,"28.37182,77.308693",8000,354,209
1550058070,2019-02-13T11:41:10Z,IGO945,"28.364185,77.302177",8000,351,217
1550058076,2019-02-13T11:41:16Z,IGO945,"28.357342,77.294312",8000,347,226
1550058082,2019-02-13T11:41:22Z,IGO945,"28.351501,77.285332",8000,346,234
1550058089,2019-02-13T11:41:29Z,IGO945,"28.347054,77.27729",8000,345,238
1550058099,2019-02-13T11:41:39Z,IGO945,"28.339096,77.261986",8000,346,239
1550058105,2019-02-13T11:41:45Z,IGO945,"28.334299,77.252686",8000,346,239
1550058120,2019-02-13T11:42:00Z,IGO945,"28.322195,77.229042",8000,346,240
1550058130,2019-02-13T11:42:10Z,IGO945,"28.312746,77.210403",8000,345,240
1550058142,2019-02-13T11:42:22Z,IGO945,"28.30275,77.190842",8075,345,240
1550058155,2019-02-13T11:42:35Z,IGO945,"28.292908,77.171875",8350,348,239
1550058166,2019-02-13T11:42:46Z,IGO945,"28.283203,77.152969",8775,349,239
1550058180,2019-02-13T11:43:00Z,IGO945,"28.273453,77.134163",9275,349,239
1550058191,2019-02-13T11:43:11Z,IGO945,"28.263519,77.115257",9875,349,239
1550058204,2019-02-13T11:43:24Z,IGO945,"28.253344,77.095963",10475,353,238
1550058214,2019-02-13T11:43:34Z,IGO945,"28.241364,77.078812",11050,358,227
1550058220,2019-02-13T11:43:40Z,IGO945,"28.233673,77.071205",11375,360,221
1550058226,2019-02-13T11:43:46Z,IGO945,"28.225296,77.064705",11675,363,212
1550058234,2019-02-13T11:43:54Z,IGO945,"28.216278,77.059586",11975,366,206
1550058243,2019-02-13T11:44:03Z,IGO945,"28.201584,77.053932",12450,370,197
1550058252,2019-02-13T11:44:12Z,IGO945,"28.186707,77.049072",12925,371,195
1550058261,2019-02-13T11:44:21Z,IGO945,"28.17132,77.044106",13450,370,195
1550058296,2019-02-13T11:44:56Z,IGO945,"28.113548,77.025253",15850,356,196
1550058328,2019-02-13T11:45:28Z,IGO945,"28.06041,77.00766",17300,363,196
1550058361,2019-02-13T11:46:01Z,IGO945,"28.00676,76.990021",18825,366,196
1550058421,2019-02-13T11:47:01Z,IGO945,"27.908432,76.957932",21175,377,196
1550058486,2019-02-13T11:48:06Z,IGO945,"27.80278,76.92363",24125,369,196
1550058548,2019-02-13T11:49:08Z,IGO945,"27.698593,76.88958",26250,375,196
1550058610,2019-02-13T11:50:10Z,IGO945,"27.592909,76.855438",27975,385,196
1550058674,2019-02-13T11:51:14Z,IGO945,"27.481043,76.819206",29375,397,196
1550058738,2019-02-13T11:52:18Z,IGO945,"27.366013,76.78334",30200,419,193
1550058799,2019-02-13T11:53:19Z,IGO945,"27.247147,76.756813",31525,426,184
1550058806,2019-02-13T11:53:26Z,IGO945,"27.23497,76.7565",31625,429,182
1550058871,2019-02-13T11:54:31Z,IGO945,"27.106201,76.754631",33150,426,180
1550058932,2019-02-13T11:55:32Z,IGO945,"26.982468,76.752388",34150,429,180
1550058996,2019-02-13T11:56:36Z,IGO945,"26.858034,76.750381",35625,418,180
1550059060,2019-02-13T11:57:40Z,IGO945,"26.734251,76.748322",36300,425,180
1550059123,2019-02-13T11:58:43Z,IGO945,"26.6087,76.746315",36950,428,180
1550059187,2019-02-13T11:59:47Z,IGO945,"26.485794,76.74427",37000,429,180
1550059249,2019-02-13T12:00:49Z,IGO945,"26.357666,76.742142",37000,432,180
1550059279,2019-02-13T12:01:19Z,IGO945,"26.297079,76.741295",37000,431,180
1550059370,2019-02-13T12:02:50Z,IGO945,"26.116104,76.738205",36950,431,180
1550059431,2019-02-13T12:03:51Z,IGO945,"25.991959,76.735924",36975,435,180
1550059513,2019-02-13T12:05:13Z,IGO945,"25.826576,76.733131",37050,442,180
1550059538,2019-02-13T12:05:38Z,IGO945,"25.77713,76.73233",37050,444,180
1550059659,2019-02-13T12:07:39Z,IGO945,"25.525896,76.728149",37050,447,180
1550059722,2019-02-13T12:08:42Z,IGO945,"25.394302,76.725975",37025,446,180
