Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1550663097,2019-02-20T11:44:57Z,IGO945,"28.569855,77.127617",1725,169,90
1550663106,2019-02-20T11:45:06Z,IGO945,"28.569668,77.137596",2100,171,91
1550663112,2019-02-20T11:45:12Z,IGO945,"28.569481,77.14357",2225,178,91
1550663119,2019-02-20T11:45:19Z,IGO945,"28.569294,77.149284",2325,185,92
1550663125,2019-02-20T11:45:25Z,IGO945,"28.569109,77.155312",2450,192,92
1550663137,2019-02-20T11:45:37Z,IGO945,"28.568756,77.168549",2625,212,91
1550663145,2019-02-20T11:45:45Z,IGO945,"28.568619,77.175468",2700,222,91
1550663155,2019-02-20T11:45:55Z,IGO945,"28.56839,77.190262",2975,240,91
1550663161,2019-02-20T11:46:01Z,IGO945,"28.56827,77.197159",3100,249,91
1550663167,2019-02-20T11:46:07Z,IGO945,"28.568115,77.206055",3300,256,91
1550663173,2019-02-20T11:46:13Z,IGO945,"28.567945,77.2145",3575,261,91
1550663181,2019-02-20T11:46:21Z,IGO945,"28.567711,77.222794",3825,265,91
1550663190,2019-02-20T11:46:30Z,IGO945,"28.567293,77.239975",4400,271,91
1550663197,2019-02-20T11:46:37Z,IGO945,"28.567108,77.248253",4700,273,91
1550663203,2019-02-20T11:46:43Z,IGO945,"28.566879,77.25602",5025,275,92
1550663212,2019-02-20T11:46:52Z,IGO945,"28.565012,77.269753",5400,281,103
1550663220,2019-02-20T11:47:00Z,IGO945,"28.56221,77.278519",5625,287,113
1550663229,2019-02-20T11:47:09Z,IGO945,"28.555298,77.290298",5875,299,130
1550663237,2019-02-20T11:47:17Z,IGO945,"28.544952,77.299484",6200,304,148
1550663244,2019-02-20T11:47:24Z,IGO945,"28.537766,77.302818",6500,299,160
1550663252,2019-02-20T11:47:32Z,IGO945,"28.525675,77.304703",6975,292,177
1550663273,2019-02-20T11:47:53Z,IGO945,"28.499233,77.296356",8200,277,202
