Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551094644,2019-02-25T11:37:24Z,IGO945,"28.569668,77.121704",1725,164,92
1551094657,2019-02-25T11:37:37Z,IGO945,"28.569351,77.132584",2300,156,91
1551094663,2019-02-25T11:37:43Z,IGO945,"28.56926,77.137703",2500,158,91
1551094669,2019-02-25T11:37:49Z,IGO945,"28.569168,77.142982",2625,163,90
1551094675,2019-02-25T11:37:55Z,IGO945,"28.569122,77.148216",2700,171,90
1551094681,2019-02-25T11:38:01Z,IGO945,"28.569016,77.153374",2800,177,90
1551094687,2019-02-25T11:38:07Z,IGO945,"28.568922,77.15892",2925,182,91
1551094695,2019-02-25T11:38:15Z,IGO945,"28.568573,77.165222",3125,182,96
1551094702,2019-02-25T11:38:22Z,IGO945,"28.566422,77.172989",3375,183,115
1551094712,2019-02-25T11:38:32Z,IGO945,"28.561798,77.180542",3700,183,127
1551094721,2019-02-25T11:38:41Z,IGO945,"28.557005,77.187141",4000,183,129
1551094729,2019-02-25T11:38:49Z,IGO945,"28.552256,77.19339",4300,183,130
1551094735,2019-02-25T11:38:55Z,IGO945,"28.548523,77.198288",4525,184,131
1551094741,2019-02-25T11:39:01Z,IGO945,"28.54509,77.202774",4725,184,130
1551094748,2019-02-25T11:39:08Z,IGO945,"28.541702,77.207321",4925,183,130
1551094755,2019-02-25T11:39:15Z,IGO945,"28.538452,77.211594",5125,185,130
1551094764,2019-02-25T11:39:24Z,IGO945,"28.532005,77.220261",5475,187,130
1551094777,2019-02-25T11:39:37Z,IGO945,"28.524857,77.230087",5925,188,129
1551094790,2019-02-25T11:39:50Z,IGO945,"28.518402,77.239326",6300,192,128
1551094803,2019-02-25T11:40:03Z,IGO945,"28.510986,77.248627",6625,193,135
1551094815,2019-02-25T11:40:15Z,IGO945,"28.502884,77.257072",6800,200,138
1551094830,2019-02-25T11:40:30Z,IGO945,"28.492205,77.267494",7150,200,140
1551094841,2019-02-25T11:40:41Z,IGO945,"28.483545,77.275299",7600,198,141
1551094852,2019-02-25T11:40:52Z,IGO945,"28.475006,77.283432",8150,194,139
1551094865,2019-02-25T11:41:05Z,IGO945,"28.467066,77.291351",8650,195,138
1551094876,2019-02-25T11:41:16Z,IGO945,"28.458481,77.300072",9000,206,137
1551094890,2019-02-25T11:41:30Z,IGO945,"28.449469,77.308853",9150,220,141
1551094902,2019-02-25T11:41:42Z,IGO945,"28.439089,77.317039",9325,233,146
1551094913,2019-02-25T11:41:53Z,IGO945,"28.427544,77.325706",9450,253,146
1551094924,2019-02-25T11:42:04Z,IGO945,"28.415346,77.333519",9675,265,153
1551094932,2019-02-25T11:42:12Z,IGO945,"28.407806,77.337357",9775,272,156
1551094939,2019-02-25T11:42:19Z,IGO945,"28.400574,77.340843",9875,279,157
1551094951,2019-02-25T11:42:31Z,IGO945,"28.382154,77.34935",9975,285,158
1551094965,2019-02-25T11:42:45Z,IGO945,"28.367445,77.356026",10000,286,158
1551094975,2019-02-25T11:42:55Z,IGO945,"28.352734,77.362656",10000,287,158
1551094988,2019-02-25T11:43:08Z,IGO945,"28.337698,77.369438",10000,289,158
1551095001,2019-02-25T11:43:21Z,IGO945,"28.322475,77.376389",10000,289,158
1551095013,2019-02-25T11:43:33Z,IGO945,"28.307486,77.383171",10000,292,158
1551095025,2019-02-25T11:43:45Z,IGO945,"28.292355,77.390121",10000,294,157
1551095035,2019-02-25T11:43:55Z,IGO945,"28.277086,77.396584",10000,295,160
1551095050,2019-02-25T11:44:10Z,IGO945,"28.260885,77.402397",10000,296,162
1551095061,2019-02-25T11:44:21Z,IGO945,"28.246307,77.407448",10000,296,163
1551095072,2019-02-25T11:44:32Z,IGO945,"28.229092,77.41333",10000,296,163
1551095084,2019-02-25T11:44:44Z,IGO945,"28.213263,77.418823",10000,297,162
1551095096,2019-02-25T11:44:56Z,IGO945,"28.197529,77.424263",10200,296,163
1551095105,2019-02-25T11:45:05Z,IGO945,"28.185379,77.426674",10375,301,173
1551095129,2019-02-25T11:45:29Z,IGO945,"28.150269,77.423241",10800,324,187
1551095136,2019-02-25T11:45:36Z,IGO945,"28.141014,77.42173",10900,331,188
1551095151,2019-02-25T11:45:51Z,IGO945,"28.117785,77.417961",11175,346,188
1551095164,2019-02-25T11:46:04Z,IGO945,"28.098745,77.414841",11600,350,188
1551095175,2019-02-25T11:46:15Z,IGO945,"28.078819,77.411659",12150,352,188
1551095209,2019-02-25T11:46:49Z,IGO945,"28.025482,77.402695",13875,345,188
1551095241,2019-02-25T11:47:21Z,IGO945,"27.97282,77.393944",14825,357,188
1551095273,2019-02-25T11:47:53Z,IGO945,"27.91761,77.384895",15025,359,187
1551095307,2019-02-25T11:48:27Z,IGO945,"27.864214,77.376389",15950,353,189
1551095336,2019-02-25T11:48:56Z,IGO945,"27.815754,77.363876",16925,359,193
1551095370,2019-02-25T11:49:30Z,IGO945,"27.763569,77.343536",18450,350,202
1551095397,2019-02-25T11:49:57Z,IGO945,"27.725443,77.321671",19500,344,211
1551095406,2019-02-25T11:50:06Z,IGO945,"27.712641,77.312218",19700,348,213
1551095471,2019-02-25T11:51:11Z,IGO945,"27.627594,77.247826",21675,351,216
1551095534,2019-02-25T11:52:14Z,IGO945,"27.547007,77.173882",23750,349,218
1551095567,2019-02-25T11:52:47Z,IGO945,"27.500641,77.136703",24725,356,209
1551095576,2019-02-25T11:52:56Z,IGO945,"27.490911,77.13147",24750,366,204
1551095588,2019-02-25T11:53:08Z,IGO945,"27.466965,77.12014",24900,377,202
1551095652,2019-02-25T11:54:12Z,IGO945,"27.360006,77.070412",25625,404,202
1551095715,2019-02-25T11:55:15Z,IGO945,"27.248932,77.018517",26675,416,202
1551095775,2019-02-25T11:56:15Z,IGO945,"27.141258,76.968475",28400,408,202
1551095841,2019-02-25T11:57:21Z,IGO945,"27.025818,76.914612",29475,418,202
1551095905,2019-02-25T11:58:25Z,IGO945,"26.917667,76.864891",31700,388,202
1551095960,2019-02-25T11:59:20Z,IGO945,"26.823074,76.827499",32800,407,191
1551095969,2019-02-25T11:59:29Z,IGO945,"26.805849,76.824379",32925,417,188
1551095979,2019-02-25T11:59:39Z,IGO945,"26.788422,76.822525",33050,427,183
1551095987,2019-02-25T11:59:47Z,IGO945,"26.77047,76.821426",33225,428,182
1551096048,2019-02-25T12:00:48Z,IGO945,"26.642944,76.814026",33575,445,183
1551096112,2019-02-25T12:01:52Z,IGO945,"26.512756,76.806473",34525,441,182
1551096172,2019-02-25T12:02:52Z,IGO945,"26.388927,76.799294",35000,445,182
1551096180,2019-02-25T12:03:00Z,IGO945,"26.375793,76.798576",35000,444,182
