Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551526594,2019-03-02T11:36:34Z,IGO945,"28.56958,77.127037",1775,167,91
1551526601,2019-03-02T11:36:41Z,IGO945,"28.569489,77.133636",2075,166,90
1551526608,2019-03-02T11:36:48Z,IGO945,"28.569443,77.139023",2200,172,90
1551526614,2019-03-02T11:36:54Z,IGO945,"28.569397,77.144989",2350,178,90
1551526620,2019-03-02T11:37:00Z,IGO945,"28.569305,77.151222",2475,186,90
1551526626,2019-03-02T11:37:06Z,IGO945,"28.56926,77.157036",2575,194,91
1551526632,2019-03-02T11:37:12Z,IGO945,"28.569122,77.163582",2675,201,91
1551526638,2019-03-02T11:37:18Z,IGO945,"28.568922,77.16996",2700,214,92
1551526646,2019-03-02T11:37:26Z,IGO945,"28.568596,77.17691",2825,224,93
1551526652,2019-03-02T11:37:32Z,IGO945,"28.568178,77.184395",2975,232,93
1551526662,2019-03-02T11:37:42Z,IGO945,"28.567337,77.199234",3475,239,93
1551526669,2019-03-02T11:37:49Z,IGO945,"28.566971,77.207001",3800,240,93
1551526676,2019-03-02T11:37:56Z,IGO945,"28.566595,77.214767",4125,242,92
1551526687,2019-03-02T11:38:07Z,IGO945,"28.566036,77.229958",4675,246,92
1551526693,2019-03-02T11:38:13Z,IGO945,"28.565826,77.23764",4950,249,91
1551526700,2019-03-02T11:38:20Z,IGO945,"28.565617,77.245415",5200,252,91
1551526711,2019-03-02T11:38:31Z,IGO945,"28.565245,77.262108",5775,258,91
1551526722,2019-03-02T11:38:42Z,IGO945,"28.564964,77.279015",6175,269,91
1551526735,2019-03-02T11:38:55Z,IGO945,"28.564453,77.296516",6350,290,93
1551526741,2019-03-02T11:39:01Z,IGO945,"28.563009,77.305725",6425,298,101
1551526747,2019-03-02T11:39:07Z,IGO945,"28.560104,77.314545",6500,306,112
1551526755,2019-03-02T11:39:15Z,IGO945,"28.552917,77.32637",6625,314,127
1551526762,2019-03-02T11:39:22Z,IGO945,"28.546005,77.33313",6725,320,141
1551526768,2019-03-02T11:39:28Z,IGO945,"28.53829,77.337936",6825,323,153
1551526777,2019-03-02T11:39:37Z,IGO945,"28.525164,77.341972",6975,328,170
1551526783,2019-03-02T11:39:43Z,IGO945,"28.515619,77.342133",7100,331,182
1551526791,2019-03-02T11:39:51Z,IGO945,"28.506088,77.34095",7275,329,187
1551526800,2019-03-02T11:40:00Z,IGO945,"28.49263,77.337784",7475,329,193
1551526806,2019-03-02T11:40:06Z,IGO945,"28.479401,77.333397",7700,330,197
1551526812,2019-03-02T11:40:12Z,IGO945,"28.470558,77.33007",7850,330,198
1551526819,2019-03-02T11:40:19Z,IGO945,"28.462458,77.32695",8000,331,199
1551526834,2019-03-02T11:40:34Z,IGO945,"28.440491,77.318344",8325,330,198
1551526847,2019-03-02T11:40:47Z,IGO945,"28.422468,77.311653",8600,332,197
1551526858,2019-03-02T11:40:58Z,IGO945,"28.404602,77.305351",8825,334,196
1551526870,2019-03-02T11:41:10Z,IGO945,"28.386578,77.299431",9000,335,195
1551526882,2019-03-02T11:41:22Z,IGO945,"28.368668,77.293785",9200,336,195
1551526895,2019-03-02T11:41:35Z,IGO945,"28.350731,77.288277",9400,336,195
1551526902,2019-03-02T11:41:42Z,IGO945,"28.337883,77.282143",9575,332,207
1551526908,2019-03-02T11:41:48Z,IGO945,"28.333786,77.279312",9650,332,211
1551526915,2019-03-02T11:41:55Z,IGO945,"28.322937,77.269699",9975,330,219
1551526922,2019-03-02T11:42:02Z,IGO945,"28.31605,77.26313",10275,330,220
1551526929,2019-03-02T11:42:09Z,IGO945,"28.305634,77.25322",10775,328,220
1551526945,2019-03-02T11:42:25Z,IGO945,"28.287918,77.23642",11525,327,220
1551526958,2019-03-02T11:42:38Z,IGO945,"28.273409,77.222687",12200,324,219
1551526988,2019-03-02T11:43:08Z,IGO945,"28.237331,77.192368",13550,329,208
1551526996,2019-03-02T11:43:16Z,IGO945,"28.224995,77.186012",13900,332,203
1551527003,2019-03-02T11:43:23Z,IGO945,"28.216801,77.181969",14175,331,203
