Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551612007,2019-03-03T11:20:07Z,IGO945,"28.569387,77.131134",1925,173,91
1551612013,2019-03-03T11:20:13Z,IGO945,"28.569214,77.13665",2075,176,91
1551612019,2019-03-03T11:20:19Z,IGO945,"28.569016,77.143089",2175,185,91
1551612032,2019-03-03T11:20:32Z,IGO945,"28.568665,77.155449",2375,200,92
1551612039,2019-03-03T11:20:39Z,IGO945,"28.568457,77.161453",2500,207,91
1551612050,2019-03-03T11:20:50Z,IGO945,"28.568161,77.175789",2650,225,91
1551612056,2019-03-03T11:20:56Z,IGO945,"28.568037,77.182831",2725,236,91
1551612068,2019-03-03T11:21:08Z,IGO945,"28.567703,77.198235",3225,243,91
1551612075,2019-03-03T11:21:15Z,IGO945,"28.567572,77.206474",3575,243,90
1551612086,2019-03-03T11:21:26Z,IGO945,"28.567339,77.221016",4200,244,90
1551612092,2019-03-03T11:21:32Z,IGO945,"28.5672,77.229134",4525,244,91
1551612099,2019-03-03T11:21:39Z,IGO945,"28.567154,77.237389",4825,245,90
1551612118,2019-03-03T11:21:58Z,IGO945,"28.56678,77.26033",5800,244,91
1551612128,2019-03-03T11:22:08Z,IGO945,"28.566284,77.276192",6400,246,91
1551612142,2019-03-03T11:22:22Z,IGO945,"28.564732,77.291939",6750,258,102
1551612149,2019-03-03T11:22:29Z,IGO945,"28.560287,77.303871",6925,270,118
1551612156,2019-03-03T11:22:36Z,IGO945,"28.556076,77.310104",7075,277,132
1551612165,2019-03-03T11:22:45Z,IGO945,"28.546577,77.318115",7300,283,150
1551612172,2019-03-03T11:22:52Z,IGO945,"28.535477,77.322197",7475,283,170
1551612179,2019-03-03T11:22:59Z,IGO945,"28.527878,77.322731",7675,282,180
1551612186,2019-03-03T11:23:06Z,IGO945,"28.519251,77.321938",7825,286,186
1551612192,2019-03-03T11:23:12Z,IGO945,"28.511244,77.320374",7950,295,190
1551612200,2019-03-03T11:23:20Z,IGO945,"28.498024,77.316986",8000,310,193
1551612208,2019-03-03T11:23:28Z,IGO945,"28.490202,77.31488",8000,321,193
1551612214,2019-03-03T11:23:34Z,IGO945,"28.481461,77.312691",7975,325,192
1551612224,2019-03-03T11:23:44Z,IGO945,"28.46283,77.307182",8000,329,198
1551612230,2019-03-03T11:23:50Z,IGO945,"28.455194,77.30368",8050,331,203
1551612236,2019-03-03T11:23:56Z,IGO945,"28.446676,77.299431",8150,332,203
1551612242,2019-03-03T11:24:02Z,IGO945,"28.437691,77.294853",8250,333,204
1551612249,2019-03-03T11:24:09Z,IGO945,"28.42894,77.290436",8325,334,204
1551612260,2019-03-03T11:24:20Z,IGO945,"28.412554,77.282143",8525,333,204
1551612272,2019-03-03T11:24:32Z,IGO945,"28.394863,77.273201",8725,333,204
1551612284,2019-03-03T11:24:44Z,IGO945,"28.378601,77.264946",8900,335,204
1551612297,2019-03-03T11:24:57Z,IGO945,"28.360291,77.255646",9000,334,204
1551612309,2019-03-03T11:25:09Z,IGO945,"28.34404,77.247459",9025,333,204
1551612321,2019-03-03T11:25:21Z,IGO945,"28.326279,77.238426",9225,334,203
1551612334,2019-03-03T11:25:34Z,IGO945,"28.309952,77.230171",9650,333,204
1551612343,2019-03-03T11:25:43Z,IGO945,"28.292221,77.221107",10225,332,204
1551612356,2019-03-03T11:25:56Z,IGO945,"28.27718,77.213478",10775,333,204
1551612369,2019-03-03T11:26:09Z,IGO945,"28.25828,77.203835",11350,335,204
1551612382,2019-03-03T11:26:22Z,IGO945,"28.2418,77.195435",11775,340,204
1551612392,2019-03-03T11:26:32Z,IGO945,"28.22319,77.186188",12250,344,203
1551612426,2019-03-03T11:27:06Z,IGO945,"28.17485,77.163109",13500,353,203
1551612459,2019-03-03T11:27:39Z,IGO945,"28.123837,77.138512",14825,357,203
1551612492,2019-03-03T11:28:12Z,IGO945,"28.074305,77.114601",16100,361,203
1551612529,2019-03-03T11:28:49Z,IGO945,"28.017418,77.087135",17250,369,203
1551612561,2019-03-03T11:29:21Z,IGO945,"27.964348,77.061607",18525,369,203
1551612624,2019-03-03T11:30:24Z,IGO945,"27.863892,77.013176",20475,379,203
1551612687,2019-03-03T11:31:27Z,IGO945,"27.762032,76.964401",22300,382,203
1551612748,2019-03-03T11:32:28Z,IGO945,"27.66213,76.916336",23350,399,203
1551612811,2019-03-03T11:33:31Z,IGO945,"27.554123,76.864861",25225,393,202
1551612873,2019-03-03T11:34:33Z,IGO945,"27.445663,76.816673",26850,406,193
1551612880,2019-03-03T11:34:40Z,IGO945,"27.435883,76.814438",27000,413,190
1551612888,2019-03-03T11:34:48Z,IGO945,"27.422699,76.812416",27175,421,186
1551612894,2019-03-03T11:34:54Z,IGO945,"27.404093,76.811234",27450,427,182
1551612901,2019-03-03T11:35:01Z,IGO945,"27.394131,76.810806",27625,427,182
1551612907,2019-03-03T11:35:07Z,IGO945,"27.382141,76.810341",27750,427,181
