Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551784617,2019-03-05T11:16:57Z,IGO945,"28.570358,77.068932",1975,173,284
1551784630,2019-03-05T11:17:10Z,IGO945,"28.57353,77.056221",2375,188,286
1551784637,2019-03-05T11:17:17Z,IGO945,"28.575161,77.049706",2500,195,286
1551784649,2019-03-05T11:17:29Z,IGO945,"28.578838,77.035378",2700,220,286
1551784655,2019-03-05T11:17:35Z,IGO945,"28.580235,77.029938",2900,228,286
1551784661,2019-03-05T11:17:41Z,IGO945,"28.58219,77.022079",3125,235,285
1551784672,2019-03-05T11:17:52Z,IGO945,"28.585495,77.007912",3575,247,284
1551784678,2019-03-05T11:17:58Z,IGO945,"28.587158,77.000481",3875,252,284
1551784685,2019-03-05T11:18:05Z,IGO945,"28.589172,76.991341",4250,255,284
1551784696,2019-03-05T11:18:16Z,IGO945,"28.592152,76.974899",4900,259,277
1551784720,2019-03-05T11:18:40Z,IGO945,"28.584045,76.943016",6250,270,235
1551784728,2019-03-05T11:18:48Z,IGO945,"28.579926,76.937889",6550,274,225
1551784734,2019-03-05T11:18:54Z,IGO945,"28.57288,76.931976",6850,279,214
1551784740,2019-03-05T11:19:00Z,IGO945,"28.56529,76.927994",7150,285,201
1551784746,2019-03-05T11:19:06Z,IGO945,"28.557283,76.926056",7475,287,188
1551784753,2019-03-05T11:19:13Z,IGO945,"28.546484,76.924927",8025,284,184
1551784761,2019-03-05T11:19:21Z,IGO945,"28.537872,76.924225",8425,281,184
1551784768,2019-03-05T11:19:28Z,IGO945,"28.529772,76.923576",8775,282,184
1551784782,2019-03-05T11:19:42Z,IGO945,"28.510941,76.922043",9375,290,184
1551784795,2019-03-05T11:19:55Z,IGO945,"28.493317,76.92041",9625,292,184
1551784807,2019-03-05T11:20:07Z,IGO945,"28.477261,76.918839",9825,295,185
1551784817,2019-03-05T11:20:17Z,IGO945,"28.460829,76.917114",10025,298,185
1551784829,2019-03-05T11:20:29Z,IGO945,"28.444023,76.91539",10275,307,185
1551784843,2019-03-05T11:20:43Z,IGO945,"28.425522,76.913383",10500,324,185
1551784853,2019-03-05T11:20:53Z,IGO945,"28.407991,76.911407",10725,337,185
1551784865,2019-03-05T11:21:05Z,IGO945,"28.387848,76.909157",10900,349,185
1551784878,2019-03-05T11:21:18Z,IGO945,"28.369034,76.906883",11075,351,186
1551784891,2019-03-05T11:21:31Z,IGO945,"28.348543,76.904457",11275,353,186
1551784902,2019-03-05T11:21:42Z,IGO945,"28.329643,76.902252",11475,352,185
1551784914,2019-03-05T11:21:54Z,IGO945,"28.309113,76.89991",11775,352,185
1551784926,2019-03-05T11:22:06Z,IGO945,"28.2904,76.897781",12275,356,185
1551784957,2019-03-05T11:22:37Z,IGO945,"28.239704,76.891907",13700,359,185
1551784991,2019-03-05T11:23:11Z,IGO945,"28.185516,76.885757",14975,367,185
1551785024,2019-03-05T11:23:44Z,IGO945,"28.127607,76.879089",16250,373,185
1551785056,2019-03-05T11:24:16Z,IGO945,"28.069323,76.872414",17375,383,185
1551785086,2019-03-05T11:24:46Z,IGO945,"28.016739,76.866425",18400,389,185
1551785148,2019-03-05T11:25:48Z,IGO945,"27.89871,76.853065",20400,404,185
1551785212,2019-03-05T11:26:52Z,IGO945,"27.780945,76.839569",22250,413,185
1551785274,2019-03-05T11:27:54Z,IGO945,"27.661526,76.826126",24150,415,185
1551785340,2019-03-05T11:29:00Z,IGO945,"27.535463,76.811653",25525,429,185
1551785399,2019-03-05T11:29:59Z,IGO945,"27.419678,76.797699",26675,426,188
1551785463,2019-03-05T11:31:03Z,IGO945,"27.296324,76.766068",27825,421,193
1551785527,2019-03-05T11:32:07Z,IGO945,"27.177383,76.734375",29100,418,193
1551785586,2019-03-05T11:33:06Z,IGO945,"27.063126,76.703537",29800,426,193
1551785648,2019-03-05T11:34:08Z,IGO945,"26.940804,76.670998",30750,431,193
1551785711,2019-03-05T11:35:11Z,IGO945,"26.820328,76.639198",32075,423,193
1551785773,2019-03-05T11:36:13Z,IGO945,"26.701992,76.607933",33550,408,193
1551785835,2019-03-05T11:37:15Z,IGO945,"26.588823,76.577454",34275,412,193
1551785899,2019-03-05T11:38:19Z,IGO945,"26.470488,76.546082",34975,414,193
1551785962,2019-03-05T11:39:22Z,IGO945,"26.352011,76.515129",35000,421,193
1551786025,2019-03-05T11:40:25Z,IGO945,"26.23233,76.48381",35000,425,193
1551786048,2019-03-05T11:40:48Z,IGO945,"26.189804,76.472771",35000,424,193
1551786252,2019-03-05T11:44:12Z,IGO945,"25.777464,76.445671",35025,467,166
1551786320,2019-03-05T11:45:20Z,IGO945,"25.63623,76.494598",35000,471,162
1551786383,2019-03-05T11:46:23Z,IGO945,"25.506344,76.540558",35025,467,162
1551786394,2019-03-05T11:46:34Z,IGO945,"25.484091,76.548485",35000,466,162
1551786488,2019-03-05T11:48:08Z,IGO945,"25.29118,76.616783",34950,461,162
1551786549,2019-03-05T11:49:09Z,IGO945,"25.168467,76.641716",34975,446,171
1551786628,2019-03-05T11:50:28Z,IGO945,"25.004242,76.669975",34975,450,171
1551786690,2019-03-05T11:51:30Z,IGO945,"24.878128,76.691589",35000,452,171
1551786752,2019-03-05T11:52:32Z,IGO945,"24.747309,76.714211",35025,454,170
1551786814,2019-03-05T11:53:34Z,IGO945,"24.621872,76.735786",35025,455,171
1551786877,2019-03-05T11:54:37Z,IGO945,"24.48793,76.758675",35025,455,171
1551786940,2019-03-05T11:55:40Z,IGO945,"24.356735,76.781258",35025,456,171
1551787003,2019-03-05T11:56:43Z,IGO945,"24.223225,76.80407",35000,454,171
1551787067,2019-03-05T11:57:47Z,IGO945,"24.090866,76.826683",34975,454,171
1551787128,2019-03-05T11:58:48Z,IGO945,"23.965576,76.847893",35000,454,171
1551787190,2019-03-05T11:59:50Z,IGO945,"23.832367,76.870476",35000,456,171
1551787252,2019-03-05T12:00:52Z,IGO945,"23.705517,76.89196",35000,457,171
1551787315,2019-03-05T12:01:55Z,IGO945,"23.571632,76.914612",35025,458,171
1551787374,2019-03-05T12:02:54Z,IGO945,"23.445602,76.935905",35025,456,171
1551787439,2019-03-05T12:03:59Z,IGO945,"23.31395,76.95813",35025,453,171
1551787499,2019-03-05T12:04:59Z,IGO945,"23.187424,76.979355",35000,452,171
1551787563,2019-03-05T12:06:03Z,IGO945,"23.056686,77.010117",34975,458,166
1551787622,2019-03-05T12:07:02Z,IGO945,"22.931763,77.042229",34975,459,166
1551787687,2019-03-05T12:08:07Z,IGO945,"22.800064,77.076035",35000,461,166
1551787749,2019-03-05T12:09:09Z,IGO945,"22.668333,77.109734",35000,464,166
1551787810,2019-03-05T12:10:10Z,IGO945,"22.540054,77.142601",35025,464,166
1551787873,2019-03-05T12:11:13Z,IGO945,"22.408676,77.176208",35025,462,166
1551787933,2019-03-05T12:12:13Z,IGO945,"22.281967,77.208771",35000,461,166
1551787997,2019-03-05T12:13:17Z,IGO945,"22.149261,77.242928",34975,460,166
1551788058,2019-03-05T12:14:18Z,IGO945,"22.023491,77.272797",35000,455,168
1551788121,2019-03-05T12:15:21Z,IGO945,"21.893097,77.300751",35000,455,168
1551788184,2019-03-05T12:16:24Z,IGO945,"21.763138,77.329666",34975,454,168
1551788248,2019-03-05T12:17:28Z,IGO945,"21.63101,77.358757",34975,455,168
1551788312,2019-03-05T12:18:32Z,IGO945,"21.499649,77.387695",35000,457,168
1551788372,2019-03-05T12:19:32Z,IGO945,"21.375595,77.414963",35050,458,168
1551788434,2019-03-05T12:20:34Z,IGO945,"21.245184,77.443695",35025,456,168
1551788498,2019-03-05T12:21:38Z,IGO945,"21.111858,77.473045",35000,454,168
1551788562,2019-03-05T12:22:42Z,IGO945,"20.978851,77.502068",34975,454,168
1551788625,2019-03-05T12:23:45Z,IGO945,"20.850769,77.530075",34975,455,168
1551788686,2019-03-05T12:24:46Z,IGO945,"20.724962,77.557487",35000,458,168
1551788749,2019-03-05T12:25:49Z,IGO945,"20.592661,77.586296",35000,460,168
1551788809,2019-03-05T12:26:49Z,IGO945,"20.465061,77.61396",35025,463,168
1551788873,2019-03-05T12:27:53Z,IGO945,"20.330992,77.643127",35050,461,168
1551788937,2019-03-05T12:28:57Z,IGO945,"20.199646,77.671623",35000,462,168
1551788996,2019-03-05T12:29:56Z,IGO945,"20.074303,77.698708",35000,461,168
1551789059,2019-03-05T12:30:59Z,IGO945,"19.941971,77.727242",35000,460,168
1551789120,2019-03-05T12:32:00Z,IGO945,"19.814804,77.754662",35000,458,168
1551789181,2019-03-05T12:33:01Z,IGO945,"19.687593,77.782005",34975,457,168
1551789242,2019-03-05T12:34:02Z,IGO945,"19.560287,77.809341",34975,456,168
1551789305,2019-03-05T12:35:05Z,IGO945,"19.432571,77.836807",35000,454,168
1551789365,2019-03-05T12:36:05Z,IGO945,"19.308197,77.863441",34975,454,168
1551789425,2019-03-05T12:37:05Z,IGO945,"19.181076,77.890564",35000,456,168
1551789478,2019-03-05T12:37:58Z,IGO945,"19.074175,77.908051",35000,447,180
1551789488,2019-03-05T12:38:08Z,IGO945,"19.05304,77.907188",35025,446,182
1551789554,2019-03-05T12:39:14Z,IGO945,"18.914499,77.902504",34975,449,181
1551789617,2019-03-05T12:40:17Z,IGO945,"18.78434,77.898613",35025,452,181
1551789679,2019-03-05T12:41:19Z,IGO945,"18.656275,77.894615",35050,450,181
1551789740,2019-03-05T12:42:20Z,IGO945,"18.528629,77.890923",35025,445,181
1551789800,2019-03-05T12:43:20Z,IGO945,"18.40361,77.887085",34975,444,181
1551789862,2019-03-05T12:44:22Z,IGO945,"18.275478,77.883026",34950,445,181
1551789923,2019-03-05T12:45:23Z,IGO945,"18.148041,77.879044",34975,447,181
1551789986,2019-03-05T12:46:26Z,IGO945,"18.02005,77.875092",35000,449,181
1551790047,2019-03-05T12:47:27Z,IGO945,"17.891602,77.871193",35025,450,181
