Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551871272,2019-03-06T11:21:12Z,IGO945,"28.568436,77.078758",1950,158,283
1551871283,2019-03-06T11:21:23Z,IGO945,"28.570692,77.068665",2300,172,283
1551871290,2019-03-06T11:21:30Z,IGO945,"28.572098,77.062439",2475,181,284
1551871296,2019-03-06T11:21:36Z,IGO945,"28.57353,77.056114",2650,191,284
1551871306,2019-03-06T11:21:46Z,IGO945,"28.576231,77.044479",3025,205,284
1551871315,2019-03-06T11:21:55Z,IGO945,"28.57782,77.037613",3225,212,284
1551871326,2019-03-06T11:22:06Z,IGO945,"28.580841,77.024513",3625,226,284
1551871339,2019-03-06T11:22:19Z,IGO945,"28.584238,77.009956",4025,240,284
1551871350,2019-03-06T11:22:30Z,IGO945,"28.586752,76.994446",4450,255,274
1551871374,2019-03-06T11:22:54Z,IGO945,"28.579071,76.964401",5700,264,240
1551871382,2019-03-06T11:23:02Z,IGO945,"28.571365,76.954315",6025,272,223
1551871388,2019-03-06T11:23:08Z,IGO945,"28.567337,76.950829",6125,271,218
1551871394,2019-03-06T11:23:14Z,IGO945,"28.558075,76.946144",6325,271,198
1551871400,2019-03-06T11:23:20Z,IGO945,"28.554108,76.945076",6400,273,194
1551871409,2019-03-06T11:23:29Z,IGO945,"28.541456,76.943176",6700,282,186
1551871415,2019-03-06T11:23:35Z,IGO945,"28.533508,76.942169",6875,290,186
1551871422,2019-03-06T11:23:42Z,IGO945,"28.522293,76.940582",7125,299,187
1551871438,2019-03-06T11:23:58Z,IGO945,"28.499451,76.937202",7475,309,187
1551871448,2019-03-06T11:24:08Z,IGO945,"28.482697,76.934509",7775,316,188
1551871461,2019-03-06T11:24:21Z,IGO945,"28.464691,76.931496",8200,324,188
1551871473,2019-03-06T11:24:33Z,IGO945,"28.44722,76.928596",8925,321,188
1551871486,2019-03-06T11:24:46Z,IGO945,"28.429359,76.925621",9475,318,188
1551871497,2019-03-06T11:24:57Z,IGO945,"28.412842,76.92289",9875,322,188
1551871511,2019-03-06T11:25:11Z,IGO945,"28.393793,76.919914",10375,325,187
1551871521,2019-03-06T11:25:21Z,IGO945,"28.376429,76.917656",11000,326,186
1551871534,2019-03-06T11:25:34Z,IGO945,"28.356876,76.91523",11500,333,186
1551871546,2019-03-06T11:25:46Z,IGO945,"28.338955,76.913132",12125,334,185
1551871580,2019-03-06T11:26:20Z,IGO945,"28.287003,76.906937",13525,346,186
1551871609,2019-03-06T11:26:49Z,IGO945,"28.2388,76.900864",14875,353,186
1551871641,2019-03-06T11:27:21Z,IGO945,"28.184509,76.894104",16275,360,186
1551871677,2019-03-06T11:27:57Z,IGO945,"28.127335,76.886864",17400,375,186
