Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551957827,2019-03-07T11:23:47Z,IGO945,"28.569901,77.072311",2275,151,284
1551957833,2019-03-07T11:23:53Z,IGO945,"28.570999,77.067505",2475,153,283
1551957839,2019-03-07T11:23:59Z,IGO945,"28.571995,77.062843",2650,159,284
1551957845,2019-03-07T11:24:05Z,IGO945,"28.573204,77.057457",2800,168,284
1551957851,2019-03-07T11:24:11Z,IGO945,"28.574524,77.051765",3000,175,284
1551957857,2019-03-07T11:24:17Z,IGO945,"28.575714,77.046379",3175,183,284
1551957863,2019-03-07T11:24:23Z,IGO945,"28.576929,77.041138",3400,190,284
1551957869,2019-03-07T11:24:29Z,IGO945,"28.578278,77.03492",3575,201,284
1551957876,2019-03-07T11:24:36Z,IGO945,"28.579815,77.028107",3775,209,284
1551957888,2019-03-07T11:24:48Z,IGO945,"28.582764,77.015114",4250,224,284
1551957899,2019-03-07T11:24:59Z,IGO945,"28.586105,77.000534",4725,240,284
1551957911,2019-03-07T11:25:11Z,IGO945,"28.589539,76.986008",5175,255,285
1551957922,2019-03-07T11:25:22Z,IGO945,"28.591599,76.969475",5850,265,272
1551957944,2019-03-07T11:25:44Z,IGO945,"28.581757,76.942482",7275,275,232
1551957953,2019-03-07T11:25:53Z,IGO945,"28.571762,76.933434",7800,285,213
1551957960,2019-03-07T11:26:00Z,IGO945,"28.564732,76.930199",8125,292,200
1551957966,2019-03-07T11:26:06Z,IGO945,"28.556074,76.928047",8400,298,190
1551957972,2019-03-07T11:26:12Z,IGO945,"28.547791,76.926849",8625,300,187
1551957978,2019-03-07T11:26:18Z,IGO945,"28.540512,76.926003",8775,301,185
1551957984,2019-03-07T11:26:24Z,IGO945,"28.531311,76.92511",8900,303,184
1551957994,2019-03-07T11:26:34Z,IGO945,"28.518087,76.924011",8975,303,184
1551958004,2019-03-07T11:26:44Z,IGO945,"28.502352,76.922768",9000,302,183
1551958016,2019-03-07T11:26:56Z,IGO945,"28.484711,76.921303",9000,302,184
1551958030,2019-03-07T11:27:10Z,IGO945,"28.467911,76.919823",9175,303,184
1551958042,2019-03-07T11:27:22Z,IGO945,"28.450424,76.918137",9700,306,185
1551958054,2019-03-07T11:27:34Z,IGO945,"28.43399,76.916443",10450,306,185
1551958065,2019-03-07T11:27:45Z,IGO945,"28.416138,76.914543",10925,316,185
1551958076,2019-03-07T11:27:56Z,IGO945,"28.399887,76.912697",11175,329,185
1551958089,2019-03-07T11:28:09Z,IGO945,"28.378756,76.91011",11475,348,186
1551958101,2019-03-07T11:28:21Z,IGO945,"28.360601,76.907906",12025,354,186
1551958134,2019-03-07T11:28:54Z,IGO945,"28.303715,76.901123",13575,366,185
1551958168,2019-03-07T11:29:28Z,IGO945,"28.246687,76.894493",15200,375,185
1551958200,2019-03-07T11:30:00Z,IGO945,"28.190231,76.887978",16850,381,185
1551958233,2019-03-07T11:30:33Z,IGO945,"28.131844,76.881195",18475,384,185
1551958297,2019-03-07T11:31:37Z,IGO945,"28.016144,76.867798",20775,407,185
1551958362,2019-03-07T11:32:42Z,IGO945,"27.891912,76.858765",23100,427,181
1551958423,2019-03-07T11:33:43Z,IGO945,"27.766827,76.853752",25425,433,182
1551958484,2019-03-07T11:34:44Z,IGO945,"27.654497,76.848785",28075,404,183
1551958547,2019-03-07T11:35:47Z,IGO945,"27.528717,76.841537",28875,435,182
1551958612,2019-03-07T11:36:52Z,IGO945,"27.403198,76.835945",30625,427,182
1551958674,2019-03-07T11:37:54Z,IGO945,"27.276772,76.829613",32325,423,182
1551958737,2019-03-07T11:38:57Z,IGO945,"27.154758,76.823593",33900,417,182
1551958798,2019-03-07T11:39:58Z,IGO945,"27.040466,76.818016",35175,412,182
1551958861,2019-03-07T11:41:01Z,IGO945,"26.91806,76.811745",36075,413,182
1551958925,2019-03-07T11:42:05Z,IGO945,"26.798676,76.805832",36875,418,182
1551958984,2019-03-07T11:43:04Z,IGO945,"26.678854,76.800247",37000,419,182
1551959046,2019-03-07T11:44:06Z,IGO945,"26.557388,76.79438",37000,419,182
1551959111,2019-03-07T11:45:11Z,IGO945,"26.433525,76.788254",37025,424,182
1551959184,2019-03-07T11:46:24Z,IGO945,"26.285675,76.78112",37025,427,182
1551959203,2019-03-07T11:46:43Z,IGO945,"26.251598,76.779541",37025,427,182
1551959291,2019-03-07T11:48:11Z,IGO945,"26.076189,76.771088",37025,428,182
1551959354,2019-03-07T11:49:14Z,IGO945,"25.950851,76.765099",37000,426,182
1551959395,2019-03-07T11:49:55Z,IGO945,"25.871592,76.761261",36975,425,182
1551959597,2019-03-07T11:53:17Z,IGO945,"25.47208,76.742142",37000,433,182
