Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552046029,2019-03-08T11:53:49Z,IGO945,"28.569672,77.073105",1875,165,283
1552046037,2019-03-08T11:53:57Z,IGO945,"28.571274,77.066025",2075,169,284
1552046043,2019-03-08T11:54:03Z,IGO945,"28.572556,77.060745",2150,178,284
1552046055,2019-03-08T11:54:15Z,IGO945,"28.575302,77.049446",2375,190,285
1552046062,2019-03-08T11:54:22Z,IGO945,"28.576904,77.042946",2500,198,285
1552046073,2019-03-08T11:54:33Z,IGO945,"28.579815,77.030853",2700,213,285
1552046084,2019-03-08T11:54:44Z,IGO945,"28.583176,77.016541",2875,234,284
1552046091,2019-03-08T11:54:51Z,IGO945,"28.584824,77.009407",3000,243,284
1552046098,2019-03-08T11:54:58Z,IGO945,"28.586609,77.001587",3125,252,284
1552046126,2019-03-08T11:55:26Z,IGO945,"28.595177,76.963753",4375,271,284
1552046132,2019-03-08T11:55:32Z,IGO945,"28.597086,76.955406",4750,271,284
1552046151,2019-03-08T11:55:51Z,IGO945,"28.603455,76.927322",5950,270,284
1552046166,2019-03-08T11:56:06Z,IGO945,"28.607437,76.910004",6750,267,284
1552046177,2019-03-08T11:56:17Z,IGO945,"28.610229,76.894051",7225,262,278
1552046202,2019-03-08T11:56:42Z,IGO945,"28.602219,76.860672",7925,255,241
1552046208,2019-03-08T11:56:48Z,IGO945,"28.596434,76.853294",8125,260,225
1552046215,2019-03-08T11:56:55Z,IGO945,"28.589951,76.847885",8300,265,214
1552046222,2019-03-08T11:57:02Z,IGO945,"28.582993,76.844032",8450,273,206
1552046230,2019-03-08T11:57:10Z,IGO945,"28.57164,76.841019",8675,291,188
1552046254,2019-03-08T11:57:34Z,IGO945,"28.539362,76.844414",8975,326,172
1552046261,2019-03-08T11:57:41Z,IGO945,"28.525635,76.846672",8975,331,171
1552046273,2019-03-08T11:57:53Z,IGO945,"28.507278,76.849731",9000,333,171
1552046285,2019-03-08T11:58:05Z,IGO945,"28.488464,76.852745",9000,335,172
1552046296,2019-03-08T11:58:16Z,IGO945,"28.470291,76.855545",9000,336,172
1552046327,2019-03-08T11:58:47Z,IGO945,"28.424797,76.852112",9025,332,189
1552046333,2019-03-08T11:58:53Z,IGO945,"28.414581,76.850212",9025,340,189
1552046347,2019-03-08T11:59:07Z,IGO945,"28.395355,76.846619",9000,347,189
1552046359,2019-03-08T11:59:19Z,IGO945,"28.376129,76.843079",9150,349,189
1552046370,2019-03-08T11:59:30Z,IGO945,"28.3564,76.839485",9450,351,189
1552046383,2019-03-08T11:59:43Z,IGO945,"28.337311,76.836052",10050,348,189
1552046394,2019-03-08T11:59:54Z,IGO945,"28.318039,76.832619",10750,346,189
1552046406,2019-03-08T12:00:06Z,IGO945,"28.299362,76.829185",11250,349,189
1552046419,2019-03-08T12:00:19Z,IGO945,"28.280228,76.825699",11800,350,189
1552046432,2019-03-08T12:00:32Z,IGO945,"28.260269,76.82206",12450,349,189
1552046462,2019-03-08T12:01:02Z,IGO945,"28.206886,76.812256",13850,354,189
1552046496,2019-03-08T12:01:36Z,IGO945,"28.153427,76.802406",15000,364,189
1552046530,2019-03-08T12:02:10Z,IGO945,"28.096252,76.791954",16225,370,189
1552046562,2019-03-08T12:02:42Z,IGO945,"28.040085,76.781654",17375,376,188
1552046596,2019-03-08T12:03:16Z,IGO945,"27.981903,76.771034",18500,382,188
1552046658,2019-03-08T12:04:18Z,IGO945,"27.870499,76.766335",20325,402,180
1552046718,2019-03-08T12:05:18Z,IGO945,"27.753933,76.764381",22125,408,180
1552046784,2019-03-08T12:06:24Z,IGO945,"27.629265,76.762108",23525,425,180
1552046844,2019-03-08T12:07:24Z,IGO945,"27.512512,76.760315",25525,416,180
1552046906,2019-03-08T12:08:26Z,IGO945,"27.392408,76.758362",27225,412,180
1552046969,2019-03-08T12:09:29Z,IGO945,"27.267426,76.756294",27850,435,180
1552047034,2019-03-08T12:10:34Z,IGO945,"27.140442,76.754272",29000,438,180
1552047093,2019-03-08T12:11:33Z,IGO945,"27.016916,76.752228",30275,439,180
1552047155,2019-03-08T12:12:35Z,IGO945,"26.894852,76.750282",31850,429,180
1552047220,2019-03-08T12:13:40Z,IGO945,"26.767685,76.748154",33100,424,180
1552047283,2019-03-08T12:14:43Z,IGO945,"26.639923,76.745827",33625,438,180
1552047345,2019-03-08T12:15:45Z,IGO945,"26.515781,76.744148",34575,432,180
1552047406,2019-03-08T12:16:46Z,IGO945,"26.390808,76.742043",35025,426,180
1552047457,2019-03-08T12:17:37Z,IGO945,"26.292664,76.740379",35000,431,180
1552047664,2019-03-08T12:21:04Z,IGO945,"25.871017,76.733696",35025,437,180
1552047711,2019-03-08T12:21:51Z,IGO945,"25.774155,76.732178",35000,436,180
1552047805,2019-03-08T12:23:25Z,IGO945,"25.583771,76.729179",34975,437,180
1552047838,2019-03-08T12:23:58Z,IGO945,"25.517191,76.728149",34975,437,180
1552047930,2019-03-08T12:25:30Z,IGO945,"25.332458,76.724953",35000,438,181
1552047990,2019-03-08T12:26:30Z,IGO945,"25.210556,76.723122",35000,440,180
1552048067,2019-03-08T12:27:47Z,IGO945,"25.0513,76.723076",35000,447,176
1552048114,2019-03-08T12:28:34Z,IGO945,"24.951534,76.739655",35025,463,168
1552048204,2019-03-08T12:30:04Z,IGO945,"24.765427,76.76651",34975,451,172
1552048264,2019-03-08T12:31:04Z,IGO945,"24.63982,76.783859",35000,450,172
1552048328,2019-03-08T12:32:08Z,IGO945,"24.50798,76.80191",35000,450,172
1552048392,2019-03-08T12:33:12Z,IGO945,"24.37532,76.820168",35000,450,172
1552048451,2019-03-08T12:34:11Z,IGO945,"24.251587,76.836952",35000,450,172
1552048515,2019-03-08T12:35:15Z,IGO945,"24.11879,76.854958",35325,455,173
1552048575,2019-03-08T12:36:15Z,IGO945,"23.993349,76.871857",36000,458,173
1552048639,2019-03-08T12:37:19Z,IGO945,"23.861847,76.889748",36900,454,172
1552048700,2019-03-08T12:38:20Z,IGO945,"23.733307,76.907249",37000,448,172
1552048763,2019-03-08T12:39:23Z,IGO945,"23.601658,76.925026",37000,448,172
1552048826,2019-03-08T12:40:26Z,IGO945,"23.471741,76.942551",37000,448,172
1552048885,2019-03-08T12:41:25Z,IGO945,"23.349106,76.959076",37025,446,172
1552048951,2019-03-08T12:42:31Z,IGO945,"23.215879,76.976929",37000,446,172
1552049011,2019-03-08T12:43:31Z,IGO945,"23.091539,77.001495",37000,453,166
1552049075,2019-03-08T12:44:35Z,IGO945,"22.962172,77.034706",37000,451,166
1552049136,2019-03-08T12:45:36Z,IGO945,"22.838388,77.066498",37000,451,166
1552049199,2019-03-08T12:46:39Z,IGO945,"22.709112,77.099709",37000,453,166
1552049259,2019-03-08T12:47:39Z,IGO945,"22.58519,77.131447",37000,453,166
1552049323,2019-03-08T12:48:43Z,IGO945,"22.455217,77.164612",37000,452,166
1552049387,2019-03-08T12:49:47Z,IGO945,"22.325684,77.19783",37000,451,166
1552049449,2019-03-08T12:50:49Z,IGO945,"22.19648,77.231194",36975,452,166
1552049511,2019-03-08T12:51:51Z,IGO945,"22.07254,77.263054",37000,452,166
1552049573,2019-03-08T12:52:53Z,IGO945,"21.943794,77.296143",37000,453,166
1552049635,2019-03-08T12:53:55Z,IGO945,"21.819992,77.327873",37025,452,166
1552049699,2019-03-08T12:54:59Z,IGO945,"21.689896,77.361176",37025,450,166
