Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1521876443,2018-03-24T07:27:23Z,AIC464,"30.670372,76.786102",0,11,208
1521876499,2018-03-24T07:28:19Z,AIC464,"30.670883,76.786179",0,0,7
1521876801,2018-03-24T07:33:21Z,AIC464,"30.670818,76.786423",0,16,112
1521876812,2018-03-24T07:33:32Z,AIC464,"30.670658,76.786812",0,21,112
1521876820,2018-03-24T07:33:40Z,AIC464,"30.670546,76.787125",0,25,112
1521876828,2018-03-24T07:33:48Z,AIC464,"30.670383,76.787552",0,28,112
1521876869,2018-03-24T07:34:29Z,AIC464,"30.669285,76.789253",0,29,115
1521876875,2018-03-24T07:34:35Z,AIC464,"30.669044,76.789841",0,32,115
1521876882,2018-03-24T07:34:42Z,AIC464,"30.668896,76.790245",0,34,115
1521876891,2018-03-24T07:34:51Z,AIC464,"30.668678,76.790802",0,16,115
1521876898,2018-03-24T07:34:58Z,AIC464,"30.668486,76.791328",0,20,106
1521876909,2018-03-24T07:35:09Z,AIC464,"30.668579,76.791656",0,22,56
1521876915,2018-03-24T07:35:15Z,AIC464,"30.668839,76.791824",0,24,25
1521876922,2018-03-24T07:35:22Z,AIC464,"30.669254,76.79203",0,27,25
1521876929,2018-03-24T07:35:29Z,AIC464,"30.669514,76.79216",0,29,25
1521876937,2018-03-24T07:35:37Z,AIC464,"30.670074,76.792458",0,34,25
1521876943,2018-03-24T07:35:43Z,AIC464,"30.670465,76.792664",0,16,25
1521876949,2018-03-24T07:35:49Z,AIC464,"30.670942,76.792892",0,17,25
1521876974,2018-03-24T07:36:14Z,AIC464,"30.671631,76.793625",0,19,101
1521876982,2018-03-24T07:36:22Z,AIC464,"30.67149,76.793938",0,21,112
1521876990,2018-03-24T07:36:30Z,AIC464,"30.671379,76.79422",0,24,115
1521877003,2018-03-24T07:36:43Z,AIC464,"30.671059,76.795052",0,31,112
1521877029,2018-03-24T07:37:09Z,AIC464,"30.670256,76.797142",0,18,115
1521877080,2018-03-24T07:38:00Z,AIC464,"30.669697,76.7985",0,21,295
1521877202,2018-03-24T07:40:02Z,AIC464,"30.706461,76.709457",4350,214,295
1521877208,2018-03-24T07:40:08Z,AIC464,"30.708929,76.703415",4700,214,295
1521877217,2018-03-24T07:40:17Z,AIC464,"30.712559,76.694405",5225,216,294
1521877229,2018-03-24T07:40:29Z,AIC464,"30.717867,76.681053",5800,223,294
1521877243,2018-03-24T07:40:43Z,AIC464,"30.722626,76.667122",6400,234,285
1521877268,2018-03-24T07:41:08Z,AIC464,"30.720612,76.633247",7975,238,260
1521877276,2018-03-24T07:41:16Z,AIC464,"30.719496,76.625191",8325,239,260
1521877290,2018-03-24T07:41:30Z,AIC464,"30.716675,76.60659",9200,243,258
1521877298,2018-03-24T07:41:38Z,AIC464,"30.712692,76.595337",9650,248,243
1521877305,2018-03-24T07:41:45Z,AIC464,"30.708464,76.58844",10050,247,233
1521877311,2018-03-24T07:41:51Z,AIC464,"30.704224,76.583321",10450,244,224
1521877319,2018-03-24T07:41:59Z,AIC464,"30.698593,76.578445",10825,241,215
1521877326,2018-03-24T07:42:06Z,AIC464,"30.688843,76.573364",11350,243,200
1521877332,2018-03-24T07:42:12Z,AIC464,"30.681793,76.571747",11625,247,187
1521877356,2018-03-24T07:42:36Z,AIC464,"30.655207,76.581955",12975,256,139
1521877362,2018-03-24T07:42:42Z,AIC464,"30.651077,76.586876",13325,256,131
1521877368,2018-03-24T07:42:48Z,AIC464,"30.6465,76.59436",13625,260,122
1521877375,2018-03-24T07:42:55Z,AIC464,"30.643021,76.601852",13800,267,117
1521877384,2018-03-24T07:43:04Z,AIC464,"30.638262,76.613327",14050,279,115
1521877393,2018-03-24T07:43:13Z,AIC464,"30.632996,76.626518",14325,292,114
1521877425,2018-03-24T07:43:45Z,AIC464,"30.612213,76.677734",15025,340,115
1521877458,2018-03-24T07:44:18Z,AIC464,"30.588547,76.736214",15675,383,114
1521877490,2018-03-24T07:44:50Z,AIC464,"30.565338,76.793465",17350,384,115
1521877522,2018-03-24T07:45:22Z,AIC464,"30.540482,76.854591",19525,375,115
1521877585,2018-03-24T07:46:25Z,AIC464,"30.492693,76.971916",20000,382,115
1521877648,2018-03-24T07:47:28Z,AIC464,"30.445175,77.088371",20000,382,115
1521877703,2018-03-24T07:48:23Z,AIC464,"30.401917,77.186768",20000,375,127
1521877709,2018-03-24T07:48:29Z,AIC464,"30.394135,77.19651",20000,374,134
1521877715,2018-03-24T07:48:35Z,AIC464,"30.385948,77.204445",20000,373,141
1521877722,2018-03-24T07:48:42Z,AIC464,"30.378454,77.210045",20000,370,149
1521877730,2018-03-24T07:48:50Z,AIC464,"30.363976,77.218948",20000,368,152
1521877736,2018-03-24T07:48:56Z,AIC464,"30.355131,77.22422",20000,369,152
1521877743,2018-03-24T07:49:03Z,AIC464,"30.346848,77.229095",20000,370,152
1521877805,2018-03-24T07:50:05Z,AIC464,"30.248062,77.287254",20000,372,152
1521877869,2018-03-24T07:51:09Z,AIC464,"30.151558,77.343697",20000,371,153
1521877932,2018-03-24T07:52:12Z,AIC464,"30.053375,77.40094",20000,371,153
1521877956,2018-03-24T07:52:36Z,AIC464,"30.015253,77.419174",20000,367,165
1521877962,2018-03-24T07:52:42Z,AIC464,"30.007294,77.420708",20000,365,170
1521877970,2018-03-24T07:52:50Z,AIC464,"29.996958,77.42131",20000,363,179
1521877991,2018-03-24T07:53:11Z,AIC464,"29.959158,77.409775",20000,352,203
