Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1525766189,2018-05-08T07:56:29Z,AIC464,"30.670853,76.786224",0,10,292
1525766213,2018-05-08T07:56:53Z,AIC464,"30.671082,76.785645",0,19,295
1525766221,2018-05-08T07:57:01Z,AIC464,"30.671198,76.78537",0,21,295
1525766228,2018-05-08T07:57:08Z,AIC464,"30.671299,76.785103",0,23,292
1525766242,2018-05-08T07:57:22Z,AIC464,"30.671562,76.784416",0,27,295
1525766248,2018-05-08T07:57:28Z,AIC464,"30.671722,76.783997",0,29,295
1525766255,2018-05-08T07:57:35Z,AIC464,"30.671885,76.783554",0,31,292
1525766268,2018-05-08T07:57:48Z,AIC464,"30.672134,76.782921",0,25,292
1525766283,2018-05-08T07:58:03Z,AIC464,"30.672548,76.782516",0,22,2
1525766306,2018-05-08T07:58:26Z,AIC464,"30.673428,76.782951",0,23,22
1525766316,2018-05-08T07:58:36Z,AIC464,"30.67384,76.783165",0,22,22
1525766510,2018-05-08T08:01:50Z,AIC464,"30.675236,76.783813",0,20,351
1525766524,2018-05-08T08:02:04Z,AIC464,"30.675545,76.783363",0,19,292
1525766532,2018-05-08T08:02:12Z,AIC464,"30.675682,76.783005",0,24,295
1525766542,2018-05-08T08:02:22Z,AIC464,"30.675888,76.782501",0,29,292
1525766548,2018-05-08T08:02:28Z,AIC464,"30.676039,76.782104",0,31,295
1525766554,2018-05-08T08:02:34Z,AIC464,"30.676197,76.7817",0,34,292
1525766560,2018-05-08T08:02:40Z,AIC464,"30.676365,76.78125",0,15,295
1525766566,2018-05-08T08:02:46Z,AIC464,"30.676552,76.780785",0,15,295
1525766572,2018-05-08T08:02:52Z,AIC464,"30.676735,76.780327",0,15,295
1525766583,2018-05-08T08:03:03Z,AIC464,"30.676994,76.779572",0,26,284
1525766590,2018-05-08T08:03:10Z,AIC464,"30.676998,76.77919",0,28,264
1525766602,2018-05-08T08:03:22Z,AIC464,"30.676952,76.778481",0,19,284
1525766611,2018-05-08T08:03:31Z,AIC464,"30.677204,76.778305",0,20,357
1525766628,2018-05-08T08:03:48Z,AIC464,"30.677412,76.778679",0,16,81
1525766635,2018-05-08T08:03:55Z,AIC464,"30.677273,76.7789",0,2,112
1525766670,2018-05-08T08:04:30Z,AIC464,"30.677147,76.77919",0,17,115
1525766682,2018-05-08T08:04:42Z,AIC464,"30.675934,76.782318",0,78,115
1525766702,2018-05-08T08:05:02Z,AIC464,"30.67029,76.796738",1325,171,115
1525766708,2018-05-08T08:05:08Z,AIC464,"30.668152,76.801918",1575,172,115
1525766714,2018-05-08T08:05:14Z,AIC464,"30.666092,76.807144",1850,174,114
1525766725,2018-05-08T08:05:25Z,AIC464,"30.662189,76.816849",2425,167,114
1525766731,2018-05-08T08:05:31Z,AIC464,"30.660234,76.821793",2550,170,114
1525766739,2018-05-08T08:05:39Z,AIC464,"30.658419,76.826401",2675,176,114
1525766748,2018-05-08T08:05:48Z,AIC464,"30.655197,76.83493",2850,186,112
1525766754,2018-05-08T08:05:54Z,AIC464,"30.653046,76.841339",2975,195,110
1525766761,2018-05-08T08:06:01Z,AIC464,"30.651297,76.847168",3100,203,108
1525766767,2018-05-08T08:06:07Z,AIC464,"30.649481,76.853539",3175,209,108
1525766777,2018-05-08T08:06:17Z,AIC464,"30.645851,76.866287",3425,227,107
1525766783,2018-05-08T08:06:23Z,AIC464,"30.643707,76.874352",3600,234,107
1525766791,2018-05-08T08:06:31Z,AIC464,"30.641754,76.881393",3725,241,107
1525766802,2018-05-08T08:06:42Z,AIC464,"30.637377,76.896935",4000,256,108
1525766808,2018-05-08T08:06:48Z,AIC464,"30.634771,76.905121",4175,262,110
1525766820,2018-05-08T08:07:00Z,AIC464,"30.629417,76.921158",4775,263,111
1525766826,2018-05-08T08:07:06Z,AIC464,"30.627136,76.927643",5075,263,111
1525766837,2018-05-08T08:07:17Z,AIC464,"30.621185,76.944954",5600,265,112
1525766849,2018-05-08T08:07:29Z,AIC464,"30.615555,76.960793",6175,268,112
1525766863,2018-05-08T08:07:43Z,AIC464,"30.609819,76.977028",6800,270,112
1525766874,2018-05-08T08:07:54Z,AIC464,"30.604094,76.99334",7400,269,111
1525766886,2018-05-08T08:08:06Z,AIC464,"30.598618,77.009094",7925,272,111
1525766898,2018-05-08T08:08:18Z,AIC464,"30.592827,77.025803",8375,278,111
1525766910,2018-05-08T08:08:30Z,AIC464,"30.586962,77.04245",8925,281,112
1525766922,2018-05-08T08:08:42Z,AIC464,"30.58049,77.060081",9450,284,112
1525766936,2018-05-08T08:08:56Z,AIC464,"30.57444,77.077003",10000,287,112
1525766947,2018-05-08T08:09:07Z,AIC464,"30.568947,77.092712",10500,291,112
1525766959,2018-05-08T08:09:19Z,AIC464,"30.562317,77.111633",10775,304,112
1525766971,2018-05-08T08:09:31Z,AIC464,"30.555679,77.130539",11000,319,112
1525766983,2018-05-08T08:09:43Z,AIC464,"30.548742,77.150391",11200,334,112
1525766995,2018-05-08T08:09:55Z,AIC464,"30.54134,77.171593",11425,348,111
1525767008,2018-05-08T08:10:08Z,AIC464,"30.534073,77.192368",11600,363,111
1525767019,2018-05-08T08:10:19Z,AIC464,"30.526117,77.215103",11850,374,111
1525767030,2018-05-08T08:10:30Z,AIC464,"30.518297,77.237457",12400,375,111
1525767057,2018-05-08T08:10:57Z,AIC464,"30.499649,77.286392",13775,371,121
1525767064,2018-05-08T08:11:04Z,AIC464,"30.493469,77.296356",14025,371,126
1525767070,2018-05-08T08:11:10Z,AIC464,"30.48613,77.305298",14275,370,135
1525767076,2018-05-08T08:11:16Z,AIC464,"30.478455,77.312462",14525,369,143
1525767085,2018-05-08T08:11:25Z,AIC464,"30.464994,77.3209",14850,368,156
1525767092,2018-05-08T08:11:32Z,AIC464,"30.454971,77.324684",15125,367,163
1525767101,2018-05-08T08:11:41Z,AIC464,"30.439344,77.328537",15550,366,168
1525767110,2018-05-08T08:11:50Z,AIC464,"30.425171,77.331848",15925,366,168
1525767116,2018-05-08T08:11:56Z,AIC464,"30.414812,77.334244",16150,368,168
1525767149,2018-05-08T08:12:29Z,AIC464,"30.358109,77.347786",17400,375,168
1525767181,2018-05-08T08:13:01Z,AIC464,"30.301828,77.36116",18000,374,168
1525767244,2018-05-08T08:14:04Z,AIC464,"30.19931,77.385376",18000,373,168
1525767305,2018-05-08T08:15:05Z,AIC464,"30.093321,77.410324",18000,374,168
1525767355,2018-05-08T08:15:55Z,AIC464,"30.008923,77.427467",18000,371,178
1525767377,2018-05-08T08:16:17Z,AIC464,"29.970291,77.416077",18025,365,203
1525767383,2018-05-08T08:16:23Z,AIC464,"29.96077,77.411179",18000,366,204
1525767445,2018-05-08T08:17:25Z,AIC464,"29.867432,77.362503",18000,366,204
1525767476,2018-05-08T08:17:56Z,AIC464,"29.82169,77.340897",18000,370,193
1525767483,2018-05-08T08:18:03Z,AIC464,"29.803894,77.338203",18000,373,183
1525767505,2018-05-08T08:18:25Z,AIC464,"29.767269,77.34095",18000,374,174
1525767565,2018-05-08T08:19:25Z,AIC464,"29.665787,77.351669",17375,352,174
1525767598,2018-05-08T08:19:58Z,AIC464,"29.612595,77.357269",16800,344,174
1525767631,2018-05-08T08:20:31Z,AIC464,"29.560043,77.362816",15725,344,174
1525767666,2018-05-08T08:21:06Z,AIC464,"29.507742,77.368309",14700,341,174
1525767696,2018-05-08T08:21:36Z,AIC464,"29.460663,77.373329",14025,338,174
1525767727,2018-05-08T08:22:07Z,AIC464,"29.408258,77.378967",13775,336,174
1525767761,2018-05-08T08:22:41Z,AIC464,"29.357071,77.384262",12825,333,174
1525767794,2018-05-08T08:23:14Z,AIC464,"29.307474,77.38942",12025,332,174
