Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1537782109,2018-09-24T09:41:49Z,AIC464,"30.675671,76.783043",0,30,295
1537782116,2018-09-24T09:41:56Z,AIC464,"30.675842,76.782593",0,15,295
1537782130,2018-09-24T09:42:10Z,AIC464,"30.676369,76.78125",0,20,295
1537782136,2018-09-24T09:42:16Z,AIC464,"30.676645,76.780548",0,21,295
1537782145,2018-09-24T09:42:25Z,AIC464,"30.676941,76.779625",0,17,281
1537782155,2018-09-24T09:42:35Z,AIC464,"30.676952,76.778976",0,15,270
1537782166,2018-09-24T09:42:46Z,AIC464,"30.677147,76.778236",0,22,326
1537782172,2018-09-24T09:42:52Z,AIC464,"30.677376,76.778252",0,20,16
1537782184,2018-09-24T09:43:04Z,AIC464,"30.677401,76.778641",0,20,129
1537782195,2018-09-24T09:43:15Z,AIC464,"30.677168,76.779137",0,30,118
1537782206,2018-09-24T09:43:26Z,AIC464,"30.676449,76.781052",0,58,115
1537782217,2018-09-24T09:43:37Z,AIC464,"30.674236,76.786797",0,115,115
1537782226,2018-09-24T09:43:46Z,AIC464,"30.671951,76.792816",1275,147,114
1537782233,2018-09-24T09:43:53Z,AIC464,"30.670103,76.797676",1525,148,113
1537782240,2018-09-24T09:44:00Z,AIC464,"30.668472,76.801971",1800,145,113
1537782246,2018-09-24T09:44:06Z,AIC464,"30.666092,76.807899",2275,140,115
1537782254,2018-09-24T09:44:14Z,AIC464,"30.664444,76.812042",2625,135,114
1537782260,2018-09-24T09:44:20Z,AIC464,"30.662796,76.816132",2975,130,114
1537782271,2018-09-24T09:44:31Z,AIC464,"30.660189,76.824043",3400,141,108
1537782278,2018-09-24T09:44:38Z,AIC464,"30.659042,76.82901",3600,151,104
1537782285,2018-09-24T09:44:45Z,AIC464,"30.657768,76.834259",3825,162,106
1537782297,2018-09-24T09:44:57Z,AIC464,"30.654835,76.844528",4275,180,109
1537782308,2018-09-24T09:45:08Z,AIC464,"30.651077,76.856148",4825,194,110
1537782326,2018-09-24T09:45:26Z,AIC464,"30.644873,76.874908",5675,216,111
1537782338,2018-09-24T09:45:38Z,AIC464,"30.640078,76.889191",6250,232,111
1537782351,2018-09-24T09:45:51Z,AIC464,"30.635605,76.902519",6675,239,111
1537782363,2018-09-24T09:46:03Z,AIC464,"30.630348,76.918358",7000,241,111
1537782377,2018-09-24T09:46:17Z,AIC464,"30.62439,76.93618",7275,245,111
1537782388,2018-09-24T09:46:28Z,AIC464,"30.619629,76.9505",7475,248,111
1537782402,2018-09-24T09:46:42Z,AIC464,"30.61441,76.966125",7675,252,111
1537782413,2018-09-24T09:46:53Z,AIC464,"30.609213,76.98175",7875,257,111
1537782426,2018-09-24T09:47:06Z,AIC464,"30.604233,76.99675",8050,259,111
1537782438,2018-09-24T09:47:18Z,AIC464,"30.598801,77.013138",8125,260,110
1537782449,2018-09-24T09:47:29Z,AIC464,"30.593628,77.028755",8150,260,110
1537782461,2018-09-24T09:47:41Z,AIC464,"30.588181,77.045074",8150,259,110
1537782473,2018-09-24T09:47:53Z,AIC464,"30.58333,77.059532",8200,257,111
1537782486,2018-09-24T09:48:06Z,AIC464,"30.577789,77.076149",8550,261,111
