Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1537861402,2018-09-25T07:43:22Z,AIC464,"30.670738,76.795845",0,59,292
1537861414,2018-09-25T07:43:34Z,AIC464,"30.672867,76.790352",0,115,295
1537861427,2018-09-25T07:43:47Z,AIC464,"30.676296,76.781525",1300,153,293
1537861433,2018-09-25T07:43:53Z,AIC464,"30.677877,76.777458",1525,153,294
1537861440,2018-09-25T07:44:00Z,AIC464,"30.679642,76.772888",1775,155,294
1537861447,2018-09-25T07:44:07Z,AIC464,"30.681198,76.765137",2175,155,275
1537861469,2018-09-25T07:44:29Z,AIC464,"30.673141,76.748924",2775,184,217
1537861475,2018-09-25T07:44:35Z,AIC464,"30.668747,76.746452",2925,195,202
1537861482,2018-09-25T07:44:42Z,AIC464,"30.663261,76.745049",3050,205,188
1537861505,2018-09-25T07:45:05Z,AIC464,"30.640366,76.755714",4100,229,136
1537861511,2018-09-25T07:45:11Z,AIC464,"30.636122,76.761093",4475,227,130
1537861517,2018-09-25T07:45:17Z,AIC464,"30.632303,76.767242",4800,228,124
1537861527,2018-09-25T07:45:27Z,AIC464,"30.627686,76.776283",5125,235,120
1537861535,2018-09-25T07:45:35Z,AIC464,"30.622467,76.78743",5400,250,118
1537861541,2018-09-25T07:45:41Z,AIC464,"30.619129,76.794762",5625,258,117
1537861557,2018-09-25T07:45:57Z,AIC464,"30.610474,76.814255",6175,274,116
1537861570,2018-09-25T07:46:10Z,AIC464,"30.603441,76.830688",6725,283,116
1537861580,2018-09-25T07:46:20Z,AIC464,"30.596649,76.846725",7525,281,116
1537861593,2018-09-25T07:46:33Z,AIC464,"30.58943,76.863541",8350,276,116
1537861605,2018-09-25T07:46:45Z,AIC464,"30.582819,76.878922",9050,277,116
1537861618,2018-09-25T07:46:58Z,AIC464,"30.575729,76.895569",9525,286,116
1537861628,2018-09-25T07:47:08Z,AIC464,"30.568621,76.912041",10075,293,116
1537861640,2018-09-25T07:47:20Z,AIC464,"30.561264,76.92907",10600,297,116
1537861652,2018-09-25T07:47:32Z,AIC464,"30.553537,76.946762",10925,313,116
1537861664,2018-09-25T07:47:44Z,AIC464,"30.54538,76.966339",11225,327,114
1537861678,2018-09-25T07:47:58Z,AIC464,"30.537895,76.98494",11525,339,115
1537861690,2018-09-25T07:48:10Z,AIC464,"30.52803,77.005493",11825,353,120
1537861701,2018-09-25T07:48:21Z,AIC464,"30.519516,77.025574",12125,365,111
1537861709,2018-09-25T07:48:29Z,AIC464,"30.516762,77.037781",12350,369,102
1537861716,2018-09-25T07:48:36Z,AIC464,"30.515551,77.053932",12825,368,93
1537861723,2018-09-25T07:48:43Z,AIC464,"30.515224,77.066895",13175,367,91
1537861731,2018-09-25T07:48:51Z,AIC464,"30.514984,77.085464",13575,369,90
1537861737,2018-09-25T07:48:57Z,AIC464,"30.514853,77.097435",13775,373,90
1537861770,2018-09-25T07:49:30Z,AIC464,"30.513382,77.162964",15350,377,91
1537861803,2018-09-25T07:50:03Z,AIC464,"30.509918,77.232185",16425,392,99
1537861810,2018-09-25T07:50:10Z,AIC464,"30.507265,77.244873",16625,393,104
1537861817,2018-09-25T07:50:17Z,AIC464,"30.504044,77.256126",16875,394,108
1537861825,2018-09-25T07:50:25Z,AIC464,"30.496811,77.273201",17200,394,118
1537861831,2018-09-25T07:50:31Z,AIC464,"30.489668,77.284477",17400,394,128
1537861837,2018-09-25T07:50:37Z,AIC464,"30.482529,77.292427",17625,394,136
1537861844,2018-09-25T07:50:44Z,AIC464,"30.468161,77.303207",17975,392,150
1537861853,2018-09-25T07:50:53Z,AIC464,"30.458038,77.307884",18175,390,160
1537861861,2018-09-25T07:51:01Z,AIC464,"30.442978,77.312408",18550,390,166
1537861867,2018-09-25T07:51:07Z,AIC464,"30.431992,77.315315",18775,390,167
1537861873,2018-09-25T07:51:13Z,AIC464,"30.420631,77.31826",18925,393,167
1537861939,2018-09-25T07:52:19Z,AIC464,"30.297918,77.351387",19975,418,166
1537862004,2018-09-25T07:53:24Z,AIC464,"30.177395,77.384178",20000,419,166
1537862063,2018-09-25T07:54:23Z,AIC464,"30.063629,77.414894",20000,421,166
1537862099,2018-09-25T07:54:59Z,AIC464,"29.993362,77.42749",20000,417,177
1537862105,2018-09-25T07:55:05Z,AIC464,"29.982513,77.427872",20000,417,178
1537862173,2018-09-25T07:56:13Z,AIC464,"29.84976,77.431046",20000,416,179
1537862236,2018-09-25T07:57:16Z,AIC464,"29.725605,77.433205",20000,417,179
1537862303,2018-09-25T07:58:23Z,AIC464,"29.604057,77.43541",19675,414,179
1537862364,2018-09-25T07:59:24Z,AIC464,"29.484465,77.437508",18700,407,179
1537862428,2018-09-25T08:00:28Z,AIC464,"29.364361,77.439667",17700,403,179
1537862460,2018-09-25T08:01:00Z,AIC464,"29.305435,77.440674",16900,399,178
1537862496,2018-09-25T08:01:36Z,AIC464,"29.242584,77.44178",15500,391,179
1537862527,2018-09-25T08:02:07Z,AIC464,"29.181782,77.442787",14150,385,179
1537862559,2018-09-25T08:02:39Z,AIC464,"29.125717,77.443787",12725,382,179
1537862594,2018-09-25T08:03:14Z,AIC464,"29.06575,77.444847",11625,371,179
1537862606,2018-09-25T08:03:26Z,AIC464,"29.045525,77.44516",11425,360,179
1537862618,2018-09-25T08:03:38Z,AIC464,"29.024597,77.445534",11225,349,179
1537862628,2018-09-25T08:03:48Z,AIC464,"29.00647,77.4459",11050,340,178
1537862641,2018-09-25T08:04:01Z,AIC464,"28.987194,77.446342",10775,333,178
1537862653,2018-09-25T08:04:13Z,AIC464,"28.970993,77.446716",10550,329,178
1537862665,2018-09-25T08:04:25Z,AIC464,"28.950371,77.447151",10350,319,178
1537862681,2018-09-25T08:04:41Z,AIC464,"28.929245,77.447647",10100,310,178
1537862692,2018-09-25T08:04:52Z,AIC464,"28.912477,77.44812",9850,305,178
1537862709,2018-09-25T08:05:09Z,AIC464,"28.891434,77.44886",9500,301,178
1537862721,2018-09-25T08:05:21Z,AIC464,"28.875376,77.449409",9225,297,178
1537862732,2018-09-25T08:05:32Z,AIC464,"28.858246,77.45002",8775,298,178
1537862744,2018-09-25T08:05:44Z,AIC464,"28.841021,77.450653",8425,300,178
1537862779,2018-09-25T08:06:19Z,AIC464,"28.793863,77.440041",7450,295,196
1537862793,2018-09-25T08:06:33Z,AIC464,"28.777725,77.434441",7250,290,197
1537862803,2018-09-25T08:06:43Z,AIC464,"28.762756,77.429161",7100,283,197
1537862816,2018-09-25T08:06:56Z,AIC464,"28.747238,77.423767",7025,273,196
1537862828,2018-09-25T08:07:08Z,AIC464,"28.733734,77.419174",7000,262,196
1537862839,2018-09-25T08:07:19Z,AIC464,"28.719498,77.414421",7000,249,196
1537862852,2018-09-25T08:07:32Z,AIC464,"28.708008,77.410774",7000,240,195
1537862863,2018-09-25T08:07:43Z,AIC464,"28.694046,77.406288",7000,228,195
1537862874,2018-09-25T08:07:54Z,AIC464,"28.682739,77.402641",7000,220,196
1537862888,2018-09-25T08:08:08Z,AIC464,"28.670563,77.398682",7000,215,195
1537862902,2018-09-25T08:08:22Z,AIC464,"28.659348,77.395035",7000,212,196
1537862913,2018-09-25T08:08:33Z,AIC464,"28.647903,77.391289",6975,209,195
1537862924,2018-09-25T08:08:44Z,AIC464,"28.636871,77.387856",6825,208,195
1537862936,2018-09-25T08:08:56Z,AIC464,"28.625153,77.384155",6625,207,195
1537862950,2018-09-25T08:09:10Z,AIC464,"28.614029,77.380775",6425,206,195
1537862961,2018-09-25T08:09:21Z,AIC464,"28.602997,77.376236",6150,203,206
1537862967,2018-09-25T08:09:27Z,AIC464,"28.599228,77.373047",6050,203,218
1537862975,2018-09-25T08:09:35Z,AIC464,"28.593796,77.365456",5900,195,234
1537862983,2018-09-25T08:09:43Z,AIC464,"28.590662,77.359962",5700,193,237
1537862990,2018-09-25T08:09:50Z,AIC464,"28.586798,77.352798",5375,196,238
1537862996,2018-09-25T08:09:56Z,AIC464,"28.583912,77.347252",5150,197,239
1537863011,2018-09-25T08:10:11Z,AIC464,"28.576492,77.333031",4725,197,239
1537863018,2018-09-25T08:10:18Z,AIC464,"28.573929,77.328117",4575,195,239
1537863025,2018-09-25T08:10:25Z,AIC464,"28.571203,77.322853",4425,191,239
1537863032,2018-09-25T08:10:32Z,AIC464,"28.567749,77.314438",4200,187,249
1537863039,2018-09-25T08:10:39Z,AIC464,"28.566641,77.309334",4075,183,256
1537863046,2018-09-25T08:10:46Z,AIC464,"28.566101,77.303558",4000,177,264
1537863053,2018-09-25T08:10:53Z,AIC464,"28.565918,77.294945",3900,174,269
1537863061,2018-09-25T08:11:01Z,AIC464,"28.565964,77.289085",3825,174,270
1537863070,2018-09-25T08:11:10Z,AIC464,"28.566101,77.281319",3700,172,270
1537863081,2018-09-25T08:11:21Z,AIC464,"28.566284,77.270226",3525,170,271
1537863093,2018-09-25T08:11:33Z,AIC464,"28.566547,77.259735",3325,169,271
1537863106,2018-09-25T08:11:46Z,AIC464,"28.566788,77.249207",3125,169,271
1537863116,2018-09-25T08:11:56Z,AIC464,"28.567017,77.23896",2925,168,271
1537863125,2018-09-25T08:12:05Z,AIC464,"28.567154,77.233025",2825,166,271
1537863134,2018-09-25T08:12:14Z,AIC464,"28.567432,77.223549",2675,164,271
1537863141,2018-09-25T08:12:21Z,AIC464,"28.567566,77.21788",2575,161,271
1537863147,2018-09-25T08:12:27Z,AIC464,"28.567657,77.213394",2525,158,271
