Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538032963,2018-09-27T07:22:43Z,AIC464,"30.670429,76.786156",0,9,199
1538033017,2018-09-27T07:23:37Z,AIC464,"30.670883,76.786163",0,2,112
1538033119,2018-09-27T07:25:19Z,AIC464,"30.670773,76.786438",0,18,115
1538033126,2018-09-27T07:25:26Z,AIC464,"30.670647,76.786758",0,21,115
1538033140,2018-09-27T07:25:40Z,AIC464,"30.670349,76.787537",0,28,115
1538033156,2018-09-27T07:25:56Z,AIC464,"30.66996,76.788414",0,34,126
1538033164,2018-09-27T07:26:04Z,AIC464,"30.669491,76.788795",0,15,146
1538033176,2018-09-27T07:26:16Z,AIC464,"30.669022,76.789871",0,17,112
1538033182,2018-09-27T07:26:22Z,AIC464,"30.6688,76.790421",0,18,115
1538033188,2018-09-27T07:26:28Z,AIC464,"30.668598,76.790947",0,16,115
1538033199,2018-09-27T07:26:39Z,AIC464,"30.668463,76.791412",0,26,101
1538033210,2018-09-27T07:26:50Z,AIC464,"30.668919,76.791885",0,24,25
1538033218,2018-09-27T07:26:58Z,AIC464,"30.669239,76.792038",0,23,22
1538033224,2018-09-27T07:27:04Z,AIC464,"30.669533,76.792183",0,26,25
1538033232,2018-09-27T07:27:12Z,AIC464,"30.66979,76.79232",0,22,25
1538033240,2018-09-27T07:27:20Z,AIC464,"30.67,76.792442",0,15,25
1538033252,2018-09-27T07:27:32Z,AIC464,"30.670326,76.792618",0,15,25
1538033269,2018-09-27T07:27:49Z,AIC464,"30.670567,76.792725",0,13,22
1538033282,2018-09-27T07:28:02Z,AIC464,"30.670883,76.792892",0,20,22
1538033294,2018-09-27T07:28:14Z,AIC464,"30.671314,76.793114",0,23,22
1538033305,2018-09-27T07:28:25Z,AIC464,"30.671574,76.793449",0,23,70
1538033313,2018-09-27T07:28:33Z,AIC464,"30.671494,76.793869",0,25,112
1538033321,2018-09-27T07:28:41Z,AIC464,"30.671276,76.794418",0,30,115
1538033327,2018-09-27T07:28:47Z,AIC464,"30.671127,76.794815",0,33,115
1538033338,2018-09-27T07:28:58Z,AIC464,"30.670815,76.795616",0,16,115
1538033407,2018-09-27T07:30:07Z,AIC464,"30.669788,76.798286",0,23,295
1538033529,2018-09-27T07:32:09Z,AIC464,"30.702255,76.721085",3750,191,296
1538033537,2018-09-27T07:32:17Z,AIC464,"30.704636,76.715591",3850,199,296
1538033547,2018-09-27T07:32:27Z,AIC464,"30.710186,76.702477",4200,216,296
1538033555,2018-09-27T07:32:35Z,AIC464,"30.712418,76.697227",4450,218,296
1538033561,2018-09-27T07:32:41Z,AIC464,"30.715446,76.689896",4675,225,294
1538033569,2018-09-27T07:32:49Z,AIC464,"30.717913,76.678696",4900,239,279
1538033577,2018-09-27T07:32:57Z,AIC464,"30.717453,76.667336",5025,255,263
1538033584,2018-09-27T07:33:04Z,AIC464,"30.715347,76.658775",5050,268,252
1538033591,2018-09-27T07:33:11Z,AIC464,"30.711594,76.650322",5075,277,240
1538033599,2018-09-27T07:33:19Z,AIC464,"30.704224,76.640518",5175,282,225
1538033605,2018-09-27T07:33:25Z,AIC464,"30.697802,76.635239",5300,285,212
1538033614,2018-09-27T07:33:34Z,AIC464,"30.685932,76.62986",5650,289,195
1538033620,2018-09-27T07:33:40Z,AIC464,"30.677645,76.628815",6000,291,185
1538033642,2018-09-27T07:34:02Z,AIC464,"30.650553,76.637878",7050,297,150
1538033650,2018-09-27T07:34:10Z,AIC464,"30.641428,76.646721",7500,297,136
1538033662,2018-09-27T07:34:22Z,AIC464,"30.629654,76.661736",7875,295,131
1538033668,2018-09-27T07:34:28Z,AIC464,"30.624481,76.668686",8000,294,130
1538033674,2018-09-27T07:34:34Z,AIC464,"30.619734,76.675179",8100,294,130
1538033689,2018-09-27T07:34:49Z,AIC464,"30.605722,76.693962",8650,294,130
1538033703,2018-09-27T07:35:03Z,AIC464,"30.595247,76.707916",9175,298,130
1538033713,2018-09-27T07:35:13Z,AIC464,"30.58374,76.723183",9800,299,130
1538033726,2018-09-27T07:35:26Z,AIC464,"30.573257,76.737183",10450,297,130
1538033738,2018-09-27T07:35:38Z,AIC464,"30.562134,76.752052",11175,294,130
1538033749,2018-09-27T07:35:49Z,AIC464,"30.551788,76.765839",11825,293,131
1538033762,2018-09-27T07:36:02Z,AIC464,"30.540161,76.781189",12475,291,130
1538033774,2018-09-27T07:36:14Z,AIC464,"30.531704,76.795807",13000,294,119
