Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538204963,2018-09-29T07:09:23Z,AIC464,"30.670315,76.786072",0,9,199
1538204998,2018-09-29T07:09:58Z,AIC464,"30.670635,76.786224",0,9,168
1538205024,2018-09-29T07:10:24Z,AIC464,"30.670876,76.786224",0,2,104
1538205034,2018-09-29T07:10:34Z,AIC464,"30.670475,76.786156",0,2,101
1538205209,2018-09-29T07:13:29Z,AIC464,"30.670761,76.786461",0,16,112
1538205221,2018-09-29T07:13:41Z,AIC464,"30.670639,76.786781",0,19,115
1538205232,2018-09-29T07:13:52Z,AIC464,"30.670429,76.7873",0,24,115
1538205250,2018-09-29T07:14:10Z,AIC464,"30.670057,76.788269",0,21,118
1538205265,2018-09-29T07:14:25Z,AIC464,"30.669626,76.788635",0,23,149
1538205276,2018-09-29T07:14:36Z,AIC464,"30.669331,76.789047",0,26,118
1538205288,2018-09-29T07:14:48Z,AIC464,"30.669033,76.789818",0,30,115
1538205295,2018-09-29T07:14:55Z,AIC464,"30.668905,76.790146",0,32,112
1538205303,2018-09-29T07:15:03Z,AIC464,"30.668673,76.790741",0,29,115
1538205314,2018-09-29T07:15:14Z,AIC464,"30.668486,76.79126",0,20,106
1538205322,2018-09-29T07:15:22Z,AIC464,"30.668587,76.791649",0,23,56
1538205329,2018-09-29T07:15:29Z,AIC464,"30.668873,76.791847",0,25,25
1538205337,2018-09-29T07:15:37Z,AIC464,"30.669125,76.791985",0,29,22
1538205343,2018-09-29T07:15:43Z,AIC464,"30.669476,76.792152",0,33,25
1538205352,2018-09-29T07:15:52Z,AIC464,"30.670132,76.792496",0,17,22
1538205363,2018-09-29T07:16:03Z,AIC464,"30.671036,76.792961",0,18,25
1538205372,2018-09-29T07:16:12Z,AIC464,"30.671513,76.79332",0,27,50
1538205382,2018-09-29T07:16:22Z,AIC464,"30.671482,76.793884",0,29,106
1538205388,2018-09-29T07:16:28Z,AIC464,"30.671333,76.794258",0,34,115
1538205397,2018-09-29T07:16:37Z,AIC464,"30.671036,76.795036",0,18,115
1538205477,2018-09-29T07:17:57Z,AIC464,"30.669914,76.797935",0,19,289
1538205598,2018-09-29T07:19:58Z,AIC464,"30.71077,76.700188",3600,241,295
1538205604,2018-09-29T07:20:04Z,AIC464,"30.713745,76.693024",3925,239,295
1538205611,2018-09-29T07:20:11Z,AIC464,"30.716423,76.685341",4200,243,289
1538205619,2018-09-29T07:20:19Z,AIC464,"30.718704,76.672813",4525,252,277
1538205643,2018-09-29T07:20:43Z,AIC464,"30.712921,76.641647",5700,258,244
1538205650,2018-09-29T07:20:50Z,AIC464,"30.709488,76.635132",5800,266,237
1538205660,2018-09-29T07:21:00Z,AIC464,"30.701294,76.625626",5900,272,221
1538205666,2018-09-29T07:21:06Z,AIC464,"30.690447,76.61937",6050,272,200
1538205673,2018-09-29T07:21:13Z,AIC464,"30.683836,76.617935",6150,276,189
1538205697,2018-09-29T07:21:37Z,AIC464,"30.653578,76.628098",6575,283,148
1538205716,2018-09-29T07:21:56Z,AIC464,"30.634415,76.645256",7475,280,136
1538205725,2018-09-29T07:22:05Z,AIC464,"30.626907,76.65506",7875,283,128
1538205731,2018-09-29T07:22:11Z,AIC464,"30.622421,76.663086",8100,289,120
1538205737,2018-09-29T07:22:17Z,AIC464,"30.618477,76.672318",8375,293,115
1538205743,2018-09-29T07:22:23Z,AIC464,"30.615601,76.679451",8650,292,115
1538205763,2018-09-29T07:22:43Z,AIC464,"30.602417,76.705391",9425,297,124
1538205770,2018-09-29T07:22:50Z,AIC464,"30.595667,76.71566",9800,301,128
1538205778,2018-09-29T07:22:58Z,AIC464,"30.589615,76.724121",10100,302,130
1538205785,2018-09-29T07:23:05Z,AIC464,"30.580811,76.735626",10450,305,131
1538205800,2018-09-29T07:23:20Z,AIC464,"30.566162,76.75399",10800,321,133
1538205813,2018-09-29T07:23:33Z,AIC464,"30.553024,76.769981",10975,337,133
1538205825,2018-09-29T07:23:45Z,AIC464,"30.539944,76.785866",11175,351,133
1538205837,2018-09-29T07:23:57Z,AIC464,"30.525833,76.802834",11425,364,133
1538205848,2018-09-29T07:24:08Z,AIC464,"30.511919,76.819649",11850,370,133
1538205861,2018-09-29T07:24:21Z,AIC464,"30.49786,76.836563",12400,370,133
1538205895,2018-09-29T07:24:55Z,AIC464,"30.457764,76.884911",13750,376,133
1538205927,2018-09-29T07:25:27Z,AIC464,"30.417372,76.933517",15100,379,133
1538205960,2018-09-29T07:26:00Z,AIC464,"30.376686,76.982407",16225,386,133
1538205990,2018-09-29T07:26:30Z,AIC464,"30.339211,77.027397",17025,385,133
1538206024,2018-09-29T07:27:04Z,AIC464,"30.29631,77.078674",17650,403,133
1538206057,2018-09-29T07:27:37Z,AIC464,"30.254066,77.129349",19050,400,133
1538206121,2018-09-29T07:28:41Z,AIC464,"30.169388,77.230316",20000,427,134
1538206183,2018-09-29T07:29:43Z,AIC464,"30.08757,77.327919",20000,421,134
1538206220,2018-09-29T07:30:20Z,AIC464,"30.031267,77.389786",20000,421,145
1538206226,2018-09-29T07:30:26Z,AIC464,"30.021881,77.396095",20000,419,149
1538206232,2018-09-29T07:30:32Z,AIC464,"30.011719,77.401535",19975,418,156
1538206238,2018-09-29T07:30:38Z,AIC464,"30.00032,77.405632",20000,415,163
1538206247,2018-09-29T07:30:47Z,AIC464,"29.983784,77.408623",20000,410,173
1538206271,2018-09-29T07:31:11Z,AIC464,"29.940125,77.399597",20000,402,201
1538206277,2018-09-29T07:31:17Z,AIC464,"29.929226,77.394012",20000,401,204
1538206343,2018-09-29T07:32:23Z,AIC464,"29.81694,77.335777",20000,403,204
1538206406,2018-09-29T07:33:26Z,AIC464,"29.709684,77.280037",20000,403,204
1538206472,2018-09-29T07:34:32Z,AIC464,"29.600008,77.222954",20000,408,204
1538206531,2018-09-29T07:35:31Z,AIC464,"29.495499,77.168602",20000,409,204
1538206594,2018-09-29T07:36:34Z,AIC464,"29.391685,77.114975",20000,363,204
1538206655,2018-09-29T07:37:35Z,AIC464,"29.301142,77.067909",19475,349,204
1538206719,2018-09-29T07:38:39Z,AIC464,"29.21077,77.021187",18725,315,204
1538206779,2018-09-29T07:39:39Z,AIC464,"29.134905,76.983734",18000,298,194
1538206808,2018-09-29T07:40:08Z,AIC464,"29.093706,76.986748",17875,337,170
1538206846,2018-09-29T07:40:46Z,AIC464,"29.031139,76.999405",17250,359,169
1538206878,2018-09-29T07:41:18Z,AIC464,"28.976212,77.010567",16700,357,170
1538206911,2018-09-29T07:41:51Z,AIC464,"28.921005,77.02166",16325,362,169
1538206944,2018-09-29T07:42:24Z,AIC464,"28.866949,77.032631",15925,358,169
1538206973,2018-09-29T07:42:53Z,AIC464,"28.819607,77.042274",15625,357,170
1538207009,2018-09-29T07:43:29Z,AIC464,"28.763418,77.053741",15150,358,169
1538207042,2018-09-29T07:44:02Z,AIC464,"28.70961,77.064651",14600,360,169
1538207064,2018-09-29T07:44:24Z,AIC464,"28.672073,77.072258",14225,360,169
1538207162,2018-09-29T07:46:02Z,AIC464,"28.523348,77.102158",12675,306,170
1538207195,2018-09-29T07:46:35Z,AIC464,"28.477753,77.110023",12425,284,171
1538207228,2018-09-29T07:47:08Z,AIC464,"28.435913,77.116997",12225,268,171
1538207259,2018-09-29T07:47:39Z,AIC464,"28.400543,77.124832",11950,260,157
1538207267,2018-09-29T07:47:47Z,AIC464,"28.391098,77.13205",11800,259,140
1538207274,2018-09-29T07:47:54Z,AIC464,"28.38588,77.138779",11725,258,127
1538207282,2018-09-29T07:48:02Z,AIC464,"28.381456,77.148315",11650,258,113
1538207289,2018-09-29T07:48:09Z,AIC464,"28.378876,77.156822",11600,259,107
1538207295,2018-09-29T07:48:15Z,AIC464,"28.376707,77.165169",11550,260,106
1538207301,2018-09-29T07:48:21Z,AIC464,"28.37466,77.173355",11475,261,105
1538207307,2018-09-29T07:48:27Z,AIC464,"28.372938,77.180466",11400,261,105
1538207323,2018-09-29T07:48:43Z,AIC464,"28.367935,77.201141",11225,261,105
1538207334,2018-09-29T07:48:54Z,AIC464,"28.364273,77.216141",11075,260,105
1538207346,2018-09-29T07:49:06Z,AIC464,"28.360199,77.23262",10925,257,105
1538207357,2018-09-29T07:49:17Z,AIC464,"28.356504,77.247513",10800,252,105
1538207369,2018-09-29T07:49:29Z,AIC464,"28.352688,77.262756",10675,245,105
1538207381,2018-09-29T07:49:41Z,AIC464,"28.349102,77.277077",10550,239,105
1538207394,2018-09-29T07:49:54Z,AIC464,"28.345459,77.291832",10425,233,105
1538207405,2018-09-29T07:50:05Z,AIC464,"28.342073,77.305351",10325,229,105
1538207419,2018-09-29T07:50:19Z,AIC464,"28.338488,77.319786",10150,226,105
1538207430,2018-09-29T07:50:30Z,AIC464,"28.335323,77.332764",9975,224,105
1538207443,2018-09-29T07:50:43Z,AIC464,"28.331831,77.346985",9775,222,105
1538207453,2018-09-29T07:50:53Z,AIC464,"28.328796,77.359596",9575,221,105
1538207466,2018-09-29T07:51:06Z,AIC464,"28.325363,77.374123",9350,220,104
1538207478,2018-09-29T07:51:18Z,AIC464,"28.322479,77.386375",9175,220,104
1538207489,2018-09-29T07:51:29Z,AIC464,"28.319092,77.400902",8975,220,104
1538207504,2018-09-29T07:51:44Z,AIC464,"28.317074,77.413704",8750,224,94
1538207526,2018-09-29T07:52:06Z,AIC464,"28.326757,77.438698",8225,217,44
