Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538380607,2018-10-01T07:56:47Z,AIC464,"30.669891,76.785789",0,0,127
1538380669,2018-10-01T07:57:49Z,AIC464,"30.670097,76.785912",0,9,202
1538380703,2018-10-01T07:58:23Z,AIC464,"30.670429,76.786102",0,9,202
1538380725,2018-10-01T07:58:45Z,AIC464,"30.670698,76.786232",0,9,154
1538380749,2018-10-01T07:59:09Z,AIC464,"30.670919,76.786156",0,2,109
1538380913,2018-10-01T08:01:53Z,AIC464,"30.670761,76.786545",0,17,112
1538380921,2018-10-01T08:02:01Z,AIC464,"30.67067,76.786789",0,20,115
1538380934,2018-10-01T08:02:14Z,AIC464,"30.670418,76.787407",0,26,115
1538380950,2018-10-01T08:02:30Z,AIC464,"30.670006,76.788391",0,29,123
1538380956,2018-10-01T08:02:36Z,AIC464,"30.669802,76.788559",0,30,151
1538380965,2018-10-01T08:02:45Z,AIC464,"30.669353,76.788994",0,28,120
1538380981,2018-10-01T08:03:01Z,AIC464,"30.668987,76.78997",0,32,112
1538380987,2018-10-01T08:03:07Z,AIC464,"30.668827,76.790382",0,30,115
1538380997,2018-10-01T08:03:17Z,AIC464,"30.668633,76.790863",0,26,115
1538381006,2018-10-01T08:03:26Z,AIC464,"30.668495,76.791298",0,23,98
1538381013,2018-10-01T08:03:33Z,AIC464,"30.66865,76.791718",0,24,46
1538381019,2018-10-01T08:03:39Z,AIC464,"30.668894,76.791855",0,25,25
1538381025,2018-10-01T08:03:45Z,AIC464,"30.66917,76.792",0,26,22
1538381031,2018-10-01T08:03:51Z,AIC464,"30.669491,76.792145",0,29,22
1538381039,2018-10-01T08:03:59Z,AIC464,"30.669743,76.792274",0,30,25
1538381051,2018-10-01T08:04:11Z,AIC464,"30.670372,76.79261",0,23,25
1538381060,2018-10-01T08:04:20Z,AIC464,"30.670605,76.792732",0,12,25
1538381305,2018-10-01T08:08:25Z,AIC464,"30.671528,76.793274",0,18,42
1538381324,2018-10-01T08:08:44Z,AIC464,"30.671471,76.793938",0,21,112
1538381330,2018-10-01T08:08:50Z,AIC464,"30.67136,76.794212",0,26,115
1538381337,2018-10-01T08:08:57Z,AIC464,"30.67123,76.79454",0,30,115
1538381346,2018-10-01T08:09:06Z,AIC464,"30.670931,76.795357",0,16,115
1538381358,2018-10-01T08:09:18Z,AIC464,"30.670509,76.79644",0,18,115
1538381366,2018-10-01T08:09:26Z,AIC464,"30.670208,76.797195",0,15,115
1538381431,2018-10-01T08:10:31Z,AIC464,"30.668873,76.800629",0,32,112
1538381439,2018-10-01T08:10:39Z,AIC464,"30.66869,76.801102",0,32,115
1538381446,2018-10-01T08:10:46Z,AIC464,"30.668495,76.801422",0,28,129
1538381452,2018-10-01T08:10:52Z,AIC464,"30.668312,76.801682",0,27,135
1538381460,2018-10-01T08:11:00Z,AIC464,"30.667934,76.801987",0,26,143
1538381491,2018-10-01T08:11:31Z,AIC464,"30.66823,76.802399",0,19,284
1538381504,2018-10-01T08:11:44Z,AIC464,"30.668835,76.800735",0,46,295
1538381513,2018-10-01T08:11:53Z,AIC464,"30.670177,76.797272",0,88,295
1538381519,2018-10-01T08:11:59Z,AIC464,"30.671581,76.793648",0,115,295
1538381525,2018-10-01T08:12:05Z,AIC464,"30.673107,76.789711",0,140,295
1538381535,2018-10-01T08:12:15Z,AIC464,"30.67569,76.782898",1425,147,293
1538381543,2018-10-01T08:12:23Z,AIC464,"30.677353,76.778496",1675,146,293
1538381557,2018-10-01T08:12:37Z,AIC464,"30.681335,76.767937",2350,137,293
1538381568,2018-10-01T08:12:48Z,AIC464,"30.684631,76.759483",2600,149,294
1538381574,2018-10-01T08:12:54Z,AIC464,"30.686304,76.755104",2700,156,294
1538381582,2018-10-01T08:13:02Z,AIC464,"30.688202,76.750168",2800,167,293
1538381588,2018-10-01T08:13:08Z,AIC464,"30.69017,76.745049",2950,174,294
1538381594,2018-10-01T08:13:14Z,AIC464,"30.692169,76.739777",3050,181,294
1538381604,2018-10-01T08:13:24Z,AIC464,"30.696453,76.728462",3300,198,293
1538381610,2018-10-01T08:13:30Z,AIC464,"30.698967,76.721924",3375,212,294
1538381618,2018-10-01T08:13:38Z,AIC464,"30.701385,76.715752",3550,219,294
1538381628,2018-10-01T08:13:48Z,AIC464,"30.706322,76.702919",4075,224,293
1538381635,2018-10-01T08:13:55Z,AIC464,"30.709208,76.695335",4425,225,293
1538381641,2018-10-01T08:14:01Z,AIC464,"30.711685,76.688988",4750,226,294
1538381647,2018-10-01T08:14:07Z,AIC464,"30.71484,76.682152",5050,226,301
