Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538552955,2018-10-03T07:49:15Z,AIC464,"30.670429,76.78611",0,9,219
1538552975,2018-10-03T07:49:35Z,AIC464,"30.670635,76.786278",0,9,250
1538553452,2018-10-03T07:57:32Z,AIC464,"30.677202,76.77916",0,23,112
1538553463,2018-10-03T07:57:43Z,AIC464,"30.676132,76.781898",0,74,112
1538553469,2018-10-03T07:57:49Z,AIC464,"30.674852,76.785202",0,105,112
1538553484,2018-10-03T07:58:04Z,AIC464,"30.670755,76.795807",1300,158,114
1538553490,2018-10-03T07:58:10Z,AIC464,"30.668894,76.800644",1550,157,113
1538553496,2018-10-03T07:58:16Z,AIC464,"30.667145,76.805313",1800,159,113
1538553502,2018-10-03T07:58:22Z,AIC464,"30.665262,76.810257",2100,157,113
1538553508,2018-10-03T07:58:28Z,AIC464,"30.663727,76.814209",2300,159,113
1538553517,2018-10-03T07:58:37Z,AIC464,"30.6607,76.822006",2625,173,114
1538553523,2018-10-03T07:58:43Z,AIC464,"30.658447,76.827766",2800,180,114
1538553529,2018-10-03T07:58:49Z,AIC464,"30.65625,76.832291",2950,187,120
1538553535,2018-10-03T07:58:55Z,AIC464,"30.65288,76.837723",3125,196,127
1538553541,2018-10-03T07:59:01Z,AIC464,"30.64897,76.843155",3225,207,130
1538553547,2018-10-03T07:59:07Z,AIC464,"30.644686,76.848984",3450,219,130
1538553553,2018-10-03T07:59:13Z,AIC464,"30.64138,76.853378",3625,226,130
1538553562,2018-10-03T07:59:22Z,AIC464,"30.634369,76.862831",3975,241,130
1538553568,2018-10-03T07:59:28Z,AIC464,"30.6297,76.869133",4175,249,130
1538553574,2018-10-03T07:59:34Z,AIC464,"30.624893,76.875648",4375,260,130
1538553580,2018-10-03T07:59:40Z,AIC464,"30.620386,76.881775",4600,268,130
1538553586,2018-10-03T07:59:46Z,AIC464,"30.615591,76.888313",4850,275,130
1538553593,2018-10-03T07:59:53Z,AIC464,"30.610153,76.895683",5150,282,130
1538553606,2018-10-03T08:00:06Z,AIC464,"30.599854,76.909737",5850,288,130
1538553618,2018-10-03T08:00:18Z,AIC464,"30.588823,76.924728",6550,292,130
1538553631,2018-10-03T08:00:31Z,AIC464,"30.578339,76.939034",7250,297,130
1538553643,2018-10-03T08:00:43Z,AIC464,"30.566944,76.954559",7900,303,130
1538553655,2018-10-03T08:00:55Z,AIC464,"30.556366,76.969788",8525,311,128
1538553667,2018-10-03T08:01:07Z,AIC464,"30.545197,76.986206",9225,315,128
1538553678,2018-10-03T08:01:18Z,AIC464,"30.534714,77.001556",10025,314,128
1538553689,2018-10-03T08:01:29Z,AIC464,"30.523499,77.018036",10725,317,128
1538553703,2018-10-03T08:01:43Z,AIC464,"30.51265,77.033928",11150,329,128
1538553713,2018-10-03T08:01:53Z,AIC464,"30.500141,77.052231",11500,345,128
1538553727,2018-10-03T08:02:07Z,AIC464,"30.488297,77.06958",11850,360,128
1538553739,2018-10-03T08:02:19Z,AIC464,"30.475021,77.088966",12375,368,128
1538553771,2018-10-03T08:02:51Z,AIC464,"30.441055,77.138672",14375,368,128
1538553805,2018-10-03T08:03:25Z,AIC464,"30.404572,77.191612",16175,374,129
1538553814,2018-10-03T08:03:34Z,AIC464,"30.396004,77.207573",16725,373,117
1538553823,2018-10-03T08:03:43Z,AIC464,"30.391022,77.223221",17300,370,106
1538553829,2018-10-03T08:03:49Z,AIC464,"30.388412,77.235878",17750,368,102
1538553838,2018-10-03T08:03:58Z,AIC464,"30.385117,77.254189",18375,363,101
1538553846,2018-10-03T08:04:06Z,AIC464,"30.383436,77.264046",18750,361,101
1538553882,2018-10-03T08:04:42Z,AIC464,"30.369232,77.335022",19950,383,111
1538553891,2018-10-03T08:04:51Z,AIC464,"30.362228,77.350159",19975,394,121
1538553900,2018-10-03T08:05:00Z,AIC464,"30.350784,77.36599",19975,408,134
1538553907,2018-10-03T08:05:07Z,AIC464,"30.336418,77.378525",19975,419,147
1538553913,2018-10-03T08:05:13Z,AIC464,"30.328491,77.383224",19975,422,154
1538553919,2018-10-03T08:05:19Z,AIC464,"30.315981,77.388245",19975,422,164
1538553925,2018-10-03T08:05:25Z,AIC464,"30.303785,77.390938",20000,419,170
1538553931,2018-10-03T08:05:31Z,AIC464,"30.291504,77.392815",20000,418,172
1538553939,2018-10-03T08:05:39Z,AIC464,"30.281113,77.394066",20000,417,173
1538553947,2018-10-03T08:05:47Z,AIC464,"30.263809,77.396042",20000,417,174
1538554010,2018-10-03T08:06:50Z,AIC464,"30.142593,77.412148",20000,417,172
1538554070,2018-10-03T08:07:50Z,AIC464,"30.025909,77.427979",20000,417,175
1538554094,2018-10-03T08:08:14Z,AIC464,"29.985786,77.422577",20000,413,195
1538554102,2018-10-03T08:08:22Z,AIC464,"29.968842,77.414719",20000,408,203
