Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538638983,2018-10-04T07:43:03Z,AIC464,"30.668486,76.791328",0,20,98
1538638992,2018-10-04T07:43:12Z,AIC464,"30.668602,76.791672",0,20,47
1538639001,2018-10-04T07:43:21Z,AIC464,"30.66893,76.791878",0,23,25
1538639008,2018-10-04T07:43:28Z,AIC464,"30.669138,76.791992",0,25,25
1538639020,2018-10-04T07:43:40Z,AIC464,"30.669743,76.792305",0,27,25
1538639028,2018-10-04T07:43:48Z,AIC464,"30.670109,76.792496",0,19,22
1538639041,2018-10-04T07:44:01Z,AIC464,"30.670349,76.792618",0,12,25
1538639058,2018-10-04T07:44:18Z,AIC464,"30.670557,76.792717",0,2,22
1538639386,2018-10-04T07:49:46Z,AIC464,"30.670784,76.792847",0,16,25
1538639393,2018-10-04T07:49:53Z,AIC464,"30.67107,76.792992",0,22,25
1538639402,2018-10-04T07:50:02Z,AIC464,"30.671425,76.793205",0,24,33
1538639423,2018-10-04T07:50:23Z,AIC464,"30.671379,76.794136",0,26,115
1538639430,2018-10-04T07:50:30Z,AIC464,"30.67123,76.794518",0,28,115
1538639436,2018-10-04T07:50:36Z,AIC464,"30.671082,76.794907",0,30,115
1538639442,2018-10-04T07:50:42Z,AIC464,"30.670944,76.795258",0,33,115
1538639452,2018-10-04T07:50:52Z,AIC464,"30.670687,76.795929",0,15,112
1538639502,2018-10-04T07:51:42Z,AIC464,"30.668827,76.800735",0,16,115
1538639508,2018-10-04T07:51:48Z,AIC464,"30.668673,76.801132",0,15,115
1538639514,2018-10-04T07:51:54Z,AIC464,"30.668463,76.801506",0,27,126
1538639522,2018-10-04T07:52:02Z,AIC464,"30.668198,76.801788",0,24,140
1538639530,2018-10-04T07:52:10Z,AIC464,"30.667986,76.802017",0,23,135
1538639536,2018-10-04T07:52:16Z,AIC464,"30.66781,76.802223",0,23,132
1538639563,2018-10-04T07:52:43Z,AIC464,"30.668129,76.802582",0,16,315
1538639575,2018-10-04T07:52:55Z,AIC464,"30.668381,76.801903",0,17,295
1538639582,2018-10-04T07:53:02Z,AIC464,"30.668718,76.801041",0,35,292
1538639591,2018-10-04T07:53:11Z,AIC464,"30.669926,76.797905",0,90,295
1538639605,2018-10-04T07:53:25Z,AIC464,"30.674194,76.786949",1200,161,294
1538639613,2018-10-04T07:53:33Z,AIC464,"30.675737,76.782951",1475,164,294
1538639624,2018-10-04T07:53:44Z,AIC464,"30.679974,76.772842",2150,166,296
1538639635,2018-10-04T07:53:55Z,AIC464,"30.684116,76.763344",2850,164,296
1538639643,2018-10-04T07:54:03Z,AIC464,"30.686188,76.758514",3075,168,296
1538639654,2018-10-04T07:54:14Z,AIC464,"30.69072,76.747795",3500,185,295
1538639666,2018-10-04T07:54:26Z,AIC464,"30.69529,76.736702",3925,199,295
1538639672,2018-10-04T07:54:32Z,AIC464,"30.697802,76.730545",4150,208,295
1538639679,2018-10-04T07:54:39Z,AIC464,"30.70015,76.7248",4400,212,295
1538639690,2018-10-04T07:54:50Z,AIC464,"30.705551,76.711769",5075,219,295
1538639700,2018-10-04T07:55:00Z,AIC464,"30.711182,76.698463",5725,224,295
1538639711,2018-10-04T07:55:11Z,AIC464,"30.713909,76.688248",6250,227,284
1538639735,2018-10-04T07:55:35Z,AIC464,"30.706926,76.661003",7700,235,231
1538639741,2018-10-04T07:55:41Z,AIC464,"30.701752,76.655487",8075,237,219
1538639747,2018-10-04T07:55:47Z,AIC464,"30.695381,76.65139",8475,239,205
1538639753,2018-10-04T07:55:53Z,AIC464,"30.689842,76.649361",8825,241,195
1538639761,2018-10-04T07:56:01Z,AIC464,"30.683075,76.648376",9150,244,184
1538639782,2018-10-04T07:56:22Z,AIC464,"30.659956,76.657928",10300,258,144
1538639790,2018-10-04T07:56:30Z,AIC464,"30.651993,76.667877",10575,275,127
1538639799,2018-10-04T07:56:39Z,AIC464,"30.64682,76.679184",10850,289,113
1538639805,2018-10-04T07:56:45Z,AIC464,"30.644165,76.688881",11050,297,106
1538639813,2018-10-04T07:56:53Z,AIC464,"30.640915,76.704224",11350,311,103
1538639823,2018-10-04T07:57:03Z,AIC464,"30.638123,76.718658",11650,322,102
1538639829,2018-10-04T07:57:09Z,AIC464,"30.636108,76.729378",11825,332,102
1538639842,2018-10-04T07:57:22Z,AIC464,"30.632071,76.751205",12300,344,102
1538639873,2018-10-04T07:57:53Z,AIC464,"30.622622,76.805588",14325,346,100
1538639904,2018-10-04T07:58:24Z,AIC464,"30.612379,76.865952",16150,354,101
1538639930,2018-10-04T07:58:50Z,AIC464,"30.602692,76.911621",17225,366,111
1538639938,2018-10-04T07:58:58Z,AIC464,"30.594177,76.927368",17600,370,125
1538639947,2018-10-04T07:59:07Z,AIC464,"30.584169,76.94017",17925,376,134
1538639953,2018-10-04T07:59:13Z,AIC464,"30.576645,76.94873",18125,380,135
1538639959,2018-10-04T07:59:19Z,AIC464,"30.568085,76.958633",18350,385,134
1538640023,2018-10-04T08:00:23Z,AIC464,"30.492599,77.06279",20000,423,128
1538640086,2018-10-04T08:01:26Z,AIC464,"30.414532,77.176376",20325,422,130
1538640099,2018-10-04T08:01:39Z,AIC464,"30.397751,77.194839",20775,424,139
1538640107,2018-10-04T08:01:47Z,AIC464,"30.382919,77.206848",21150,426,147
1538640113,2018-10-04T08:01:53Z,AIC464,"30.373947,77.212616",21425,426,151
