Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1538811251,2018-10-06T07:34:11Z,AIC464,"30.670074,76.78595",0,10,205
1538811279,2018-10-06T07:34:39Z,AIC464,"30.670418,76.786125",0,10,205
1538811299,2018-10-06T07:34:59Z,AIC464,"30.670658,76.786285",0,10,151
1538811319,2018-10-06T07:35:19Z,AIC464,"30.670883,76.786163",0,2,112
1538811629,2018-10-06T07:40:29Z,AIC464,"30.670727,76.786598",0,23,115
1538811641,2018-10-06T07:40:41Z,AIC464,"30.670441,76.787308",0,30,115
1538811657,2018-10-06T07:40:57Z,AIC464,"30.670074,76.788254",0,29,115
1538811666,2018-10-06T07:41:06Z,AIC464,"30.669502,76.78875",0,31,146
1538811674,2018-10-06T07:41:14Z,AIC464,"30.669273,76.789207",0,34,112
1538811683,2018-10-06T07:41:23Z,AIC464,"30.669044,76.789803",0,15,115
1538811689,2018-10-06T07:41:29Z,AIC464,"30.66885,76.790298",0,16,115
1538811699,2018-10-06T07:41:39Z,AIC464,"30.668568,76.791039",0,33,112
1538811706,2018-10-06T07:41:46Z,AIC464,"30.668486,76.791443",0,24,87
1538811715,2018-10-06T07:41:55Z,AIC464,"30.668707,76.791771",0,27,36
1538811722,2018-10-06T07:42:02Z,AIC464,"30.669159,76.792007",0,29,22
1538811728,2018-10-06T07:42:08Z,AIC464,"30.669468,76.79216",0,30,25
1538811734,2018-10-06T07:42:14Z,AIC464,"30.669731,76.79229",0,25,25
1538811742,2018-10-06T07:42:22Z,AIC464,"30.669994,76.792427",0,22,25
1538811749,2018-10-06T07:42:29Z,AIC464,"30.670197,76.792542",0,2,25
1538811806,2018-10-06T07:43:26Z,AIC464,"30.670208,76.792549",0,0,89
1538811966,2018-10-06T07:46:06Z,AIC464,"30.670715,76.792816",0,25,25
1538811973,2018-10-06T07:46:13Z,AIC464,"30.671001,76.792969",0,28,22
1538811979,2018-10-06T07:46:19Z,AIC464,"30.67136,76.793144",0,29,25
1538811990,2018-10-06T07:46:30Z,AIC464,"30.671574,76.793762",0,29,101
1538811997,2018-10-06T07:46:37Z,AIC464,"30.671379,76.79422",0,34,118
1538812003,2018-10-06T07:46:43Z,AIC464,"30.671196,76.794632",0,17,115
1538812012,2018-10-06T07:46:52Z,AIC464,"30.67079,76.79567",0,20,115
1538812019,2018-10-06T07:46:59Z,AIC464,"30.670509,76.796425",0,22,115
1538812057,2018-10-06T07:47:37Z,AIC464,"30.668804,76.800789",0,20,115
1538812063,2018-10-06T07:47:43Z,AIC464,"30.668627,76.801231",0,18,115
1538812072,2018-10-06T07:47:52Z,AIC464,"30.668129,76.801826",0,33,140
1538812078,2018-10-06T07:47:58Z,AIC464,"30.667927,76.802025",0,31,137
1538812092,2018-10-06T07:48:12Z,AIC464,"30.66787,76.802811",0,24,30
1538812108,2018-10-06T07:48:28Z,AIC464,"30.668175,76.802551",0,11,292
1538812117,2018-10-06T07:48:37Z,AIC464,"30.668253,76.80233",0,19,298
1538812123,2018-10-06T07:48:43Z,AIC464,"30.668463,76.80175",0,24,295
1538812136,2018-10-06T07:48:56Z,AIC464,"30.669836,76.798172",0,82,295
1538812147,2018-10-06T07:49:07Z,AIC464,"30.672316,76.791756",0,125,295
1538812157,2018-10-06T07:49:17Z,AIC464,"30.675272,76.784218",1250,151,294
