Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1539162566,2018-10-10T09:09:26Z,AIC464,"30.604431,76.997734",7600,283,111
1539162579,2018-10-10T09:09:39Z,AIC464,"30.598925,77.014214",7900,287,111
1539162590,2018-10-10T09:09:50Z,AIC464,"30.592804,77.032471",8075,290,111
1539162602,2018-10-10T09:10:02Z,AIC464,"30.586761,77.050514",8100,291,111
1539162614,2018-10-10T09:10:14Z,AIC464,"30.580994,77.067909",8100,292,111
1539162626,2018-10-10T09:10:26Z,AIC464,"30.57518,77.085411",8100,292,111
1539162638,2018-10-10T09:10:38Z,AIC464,"30.569504,77.102325",8075,293,111
1539162650,2018-10-10T09:10:50Z,AIC464,"30.563871,77.119247",8200,294,111
1539162663,2018-10-10T09:11:03Z,AIC464,"30.557373,77.138512",8650,298,111
1539162675,2018-10-10T09:11:15Z,AIC464,"30.551489,77.156052",9200,301,111
1539162686,2018-10-10T09:11:26Z,AIC464,"30.545425,77.174217",9700,306,111
1539162700,2018-10-10T09:11:40Z,AIC464,"30.538687,77.194336",10275,310,111
1539162711,2018-10-10T09:11:51Z,AIC464,"30.532471,77.212883",10650,319,111
1539162725,2018-10-10T09:12:05Z,AIC464,"30.52565,77.233131",10975,332,111
1539162736,2018-10-10T09:12:16Z,AIC464,"30.518784,77.253433",11275,344,111
1539162748,2018-10-10T09:12:28Z,AIC464,"30.51178,77.274277",11750,350,111
1539162760,2018-10-10T09:12:40Z,AIC464,"30.504639,77.295547",12425,348,111
1539162794,2018-10-10T09:13:14Z,AIC464,"30.484686,77.350945",14200,343,120
1539162800,2018-10-10T09:13:20Z,AIC464,"30.479193,77.359955",14450,344,124
1539162810,2018-10-10T09:13:30Z,AIC464,"30.468063,77.37262",14825,345,135
1539162816,2018-10-10T09:13:36Z,AIC464,"30.456665,77.380531",15125,344,153
1539162823,2018-10-10T09:13:43Z,AIC464,"30.446411,77.384735",15375,343,163
1539162830,2018-10-10T09:13:50Z,AIC464,"30.437714,77.386566",15575,343,170
1539162836,2018-10-10T09:13:56Z,AIC464,"30.427551,77.387909",15750,345,173
1539162846,2018-10-10T09:14:06Z,AIC464,"30.412903,77.389473",15925,346,174
1539162853,2018-10-10T09:14:13Z,AIC464,"30.398565,77.390884",16000,346,175
1539162886,2018-10-10T09:14:46Z,AIC464,"30.345961,77.396263",16000,350,174
1539162919,2018-10-10T09:15:19Z,AIC464,"30.291122,77.401978",16650,356,174
1539162952,2018-10-10T09:15:52Z,AIC464,"30.237076,77.407623",17950,362,174
1539162982,2018-10-10T09:16:22Z,AIC464,"30.185682,77.41291",19325,362,174
1539163048,2018-10-10T09:17:28Z,AIC464,"30.079868,77.423782",20000,361,174
1539163106,2018-10-10T09:18:26Z,AIC464,"29.981461,77.421516",20000,353,201
1539163114,2018-10-10T09:18:34Z,AIC464,"29.971252,77.416451",20000,352,203
1539163177,2018-10-10T09:19:37Z,AIC464,"29.87677,77.36731",20000,353,204
1539163241,2018-10-10T09:20:41Z,AIC464,"29.783005,77.318329",20000,353,204
1539163305,2018-10-10T09:21:45Z,AIC464,"29.68734,77.268463",20000,353,204
1539163345,2018-10-10T09:22:25Z,AIC464,"29.625046,77.235947",19675,351,204
1539163435,2018-10-10T09:23:55Z,AIC464,"29.492294,77.166862",18050,347,204
1539163496,2018-10-10T09:24:56Z,AIC464,"29.405273,77.121597",16375,342,204
1539163528,2018-10-10T09:25:28Z,AIC464,"29.357237,77.096664",15450,340,204
1539163563,2018-10-10T09:26:03Z,AIC464,"29.30994,77.072212",14875,331,204
1539163596,2018-10-10T09:26:36Z,AIC464,"29.26404,77.048523",14425,323,204
1539163628,2018-10-10T09:27:08Z,AIC464,"29.218689,77.024986",13750,324,204
1539163660,2018-10-10T09:27:40Z,AIC464,"29.178223,77.004128",12950,315,204
1539163691,2018-10-10T09:28:11Z,AIC464,"29.133865,76.981308",11875,315,204
1539163704,2018-10-10T09:28:24Z,AIC464,"29.118238,76.973228",11500,314,204
1539163715,2018-10-10T09:28:35Z,AIC464,"29.102457,76.965096",11150,312,204
