Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1539330311,2018-10-12T07:45:11Z,AIC464,"30.693741,76.695183",5625,239,236
1539330317,2018-10-12T07:45:17Z,AIC464,"30.689301,76.690117",5825,249,222
1539330324,2018-10-12T07:45:24Z,AIC464,"30.682207,76.684952",6075,259,209
1539330330,2018-10-12T07:45:30Z,AIC464,"30.675505,76.682098",6300,266,197
1539330336,2018-10-12T07:45:36Z,AIC464,"30.663986,76.680695",6875,273,180
1539330356,2018-10-12T07:45:56Z,AIC464,"30.6427,76.688446",7625,270,150
1539330366,2018-10-12T07:46:06Z,AIC464,"30.633932,76.697037",7850,272,135
1539330372,2018-10-12T07:46:12Z,AIC464,"30.629196,76.704285",7950,273,125
1539330379,2018-10-12T07:46:19Z,AIC464,"30.623657,76.714569",8000,275,121
1539330387,2018-10-12T07:46:27Z,AIC464,"30.619316,76.723297",8000,275,119
1539330396,2018-10-12T07:46:36Z,AIC464,"30.61359,76.735161",8000,274,118
1539330406,2018-10-12T07:46:46Z,AIC464,"30.607025,76.749557",8275,276,117
1539330419,2018-10-12T07:46:59Z,AIC464,"30.599344,76.76664",8850,277,117
1539330430,2018-10-12T07:47:10Z,AIC464,"30.592455,76.781799",9650,280,117
1539330443,2018-10-12T07:47:23Z,AIC464,"30.584541,76.798935",10275,291,118
1539330456,2018-10-12T07:47:36Z,AIC464,"30.576767,76.815857",10725,309,118
1539330467,2018-10-12T07:47:47Z,AIC464,"30.567993,76.83477",11075,328,118
1539330480,2018-10-12T07:48:00Z,AIC464,"30.559204,76.853729",11500,344,118
1539330492,2018-10-12T07:48:12Z,AIC464,"30.549301,76.87513",12050,357,118
1539330523,2018-10-12T07:48:43Z,AIC464,"30.526199,76.925034",14200,354,117
1539330556,2018-10-12T07:49:16Z,AIC464,"30.499863,76.982132",15700,378,117
1539330589,2018-10-12T07:49:49Z,AIC464,"30.471838,77.042999",17950,376,118
1539330622,2018-10-12T07:50:22Z,AIC464,"30.444351,77.102478",19525,386,118
1539330666,2018-10-12T07:51:06Z,AIC464,"30.401459,77.187195",20000,430,128
1539330672,2018-10-12T07:51:12Z,AIC464,"30.392441,77.197693",20000,430,136
1539330679,2018-10-12T07:51:19Z,AIC464,"30.38205,77.206963",20000,428,143
1539330688,2018-10-12T07:51:28Z,AIC464,"30.366631,77.217133",20000,425,151
1539330694,2018-10-12T07:51:34Z,AIC464,"30.357552,77.222519",20000,424,152
1539330701,2018-10-12T07:51:41Z,AIC464,"30.346344,77.229095",20000,424,152
1539330707,2018-10-12T07:51:47Z,AIC464,"30.334396,77.236145",20000,424,152
1539330769,2018-10-12T07:52:49Z,AIC464,"30.225037,77.300507",20000,424,152
1539330829,2018-10-12T07:53:49Z,AIC464,"30.119297,77.362259",20000,424,153
1539330884,2018-10-12T07:54:44Z,AIC464,"30.02243,77.414948",20000,416,163
1539330891,2018-10-12T07:54:51Z,AIC464,"30.011156,77.41758",20000,414,169
1539330916,2018-10-12T07:55:16Z,AIC464,"29.963022,77.411316",20000,400,199
1539330923,2018-10-12T07:55:23Z,AIC464,"29.949783,77.404716",20000,397,204
1539330987,2018-10-12T07:56:27Z,AIC464,"29.843756,77.349731",20000,398,204
1539331050,2018-10-12T07:57:30Z,AIC464,"29.739075,77.295265",20000,398,204
1539331111,2018-10-12T07:58:31Z,AIC464,"29.634224,77.240669",20000,400,204
1539331178,2018-10-12T07:59:38Z,AIC464,"29.522173,77.182404",19600,399,204
1539331241,2018-10-12T08:00:41Z,AIC464,"29.418734,77.128761",18450,366,204
1539331305,2018-10-12T08:01:45Z,AIC464,"29.32608,77.080872",17250,324,204
1539331338,2018-10-12T08:02:18Z,AIC464,"29.282988,77.058426",16200,323,204
1539331371,2018-10-12T08:02:51Z,AIC464,"29.236771,77.034492",15250,316,204
1539331403,2018-10-12T08:03:23Z,AIC464,"29.196167,77.013527",14350,313,204
1539331440,2018-10-12T08:04:00Z,AIC464,"29.145447,76.987328",13300,305,204
1539331472,2018-10-12T08:04:32Z,AIC464,"29.103149,76.965569",12375,300,204
