Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1539589483,2018-10-15T07:44:43Z,AIC464,"30.737595,76.632011",5800,271,315
1539589494,2018-10-15T07:44:54Z,AIC464,"30.746683,76.625244",6225,273,333
1539589501,2018-10-15T07:45:01Z,AIC464,"30.758041,76.621178",6700,276,347
1539589528,2018-10-15T07:45:28Z,AIC464,"30.790787,76.630447",7950,285,34
1539589534,2018-10-15T07:45:34Z,AIC464,"30.796539,76.636284",8225,287,44
1539589544,2018-10-15T07:45:44Z,AIC464,"30.804129,76.648315",8675,290,60
1539589550,2018-10-15T07:45:50Z,AIC464,"30.807432,76.657158",8925,293,70
1539589556,2018-10-15T07:45:56Z,AIC464,"30.809481,76.667046",9175,295,79
1539589583,2018-10-15T07:46:23Z,AIC464,"30.801544,76.708321",9950,297,118
1539589589,2018-10-15T07:46:29Z,AIC464,"30.79715,76.717209",10000,297,120
1539589601,2018-10-15T07:46:41Z,AIC464,"30.789045,76.733078",10025,297,120
1539589612,2018-10-15T07:46:52Z,AIC464,"30.780199,76.750046",10250,300,121
1539589625,2018-10-15T07:47:05Z,AIC464,"30.771561,76.766647",10550,311,121
1539589637,2018-10-15T07:47:17Z,AIC464,"30.762405,76.784309",10800,326,120
1539589649,2018-10-15T07:47:29Z,AIC464,"30.752197,76.804077",11050,340,120
1539589661,2018-10-15T07:47:41Z,AIC464,"30.742306,76.823219",11300,352,120
1539589674,2018-10-15T07:47:54Z,AIC464,"30.731646,76.843872",11550,365,120
1539589685,2018-10-15T07:48:05Z,AIC464,"30.721125,76.864197",11850,371,120
1539589698,2018-10-15T07:48:18Z,AIC464,"30.710724,76.884262",11975,370,120
1539589710,2018-10-15T07:48:30Z,AIC464,"30.700037,76.905014",12000,370,120
1539589745,2018-10-15T07:49:05Z,AIC464,"30.671453,76.960495",12900,377,120
1539589776,2018-10-15T07:49:36Z,AIC464,"30.640869,77.019485",14350,381,121
1539589800,2018-10-15T07:50:00Z,AIC464,"30.61573,77.060799",15500,382,133
1539589807,2018-10-15T07:50:07Z,AIC464,"30.608093,77.068665",15700,382,139
1539589815,2018-10-15T07:50:15Z,AIC464,"30.594736,77.078651",16000,384,149
1539589821,2018-10-15T07:50:21Z,AIC464,"30.585388,77.084549",16200,385,151
1539589828,2018-10-15T07:50:28Z,AIC464,"30.575912,77.090202",16425,386,152
1539589834,2018-10-15T07:50:34Z,AIC464,"30.565659,77.096291",16625,388,152
1539589871,2018-10-15T07:51:11Z,AIC464,"30.506332,77.131508",17775,404,152
1539589905,2018-10-15T07:51:45Z,AIC464,"30.452042,77.163879",18600,409,152
1539589966,2018-10-15T07:52:46Z,AIC464,"30.342562,77.22905",19975,418,152
1539590027,2018-10-15T07:53:47Z,AIC464,"30.238657,77.290634",20000,418,152
1539590090,2018-10-15T07:54:50Z,AIC464,"30.12912,77.355392",20000,419,152
1539590151,2018-10-15T07:55:51Z,AIC464,"30.023438,77.414513",20000,413,163
1539590157,2018-10-15T07:55:57Z,AIC464,"30.012405,77.417313",20000,409,169
1539590163,2018-10-15T07:56:03Z,AIC464,"30.000412,77.418823",20000,405,175
1539590187,2018-10-15T07:56:27Z,AIC464,"29.958134,77.409065",20000,389,202
1539590195,2018-10-15T07:56:35Z,AIC464,"29.948265,77.403954",20025,389,204
1539590256,2018-10-15T07:57:36Z,AIC464,"29.843307,77.349457",20000,388,204
1539590316,2018-10-15T07:58:36Z,AIC464,"29.745483,77.298462",20000,389,204
