Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1539673672,2018-10-16T07:07:52Z,AIC464,"30.670034,76.785919",0,10,205
1539673698,2018-10-16T07:08:18Z,AIC464,"30.670303,76.786057",0,9,202
1539673727,2018-10-16T07:08:47Z,AIC464,"30.670624,76.786163",0,9,239
1539673777,2018-10-16T07:09:37Z,AIC464,"30.670727,76.78656",0,2,295
1539673874,2018-10-16T07:11:14Z,AIC464,"30.670853,76.786232",0,15,295
1539673886,2018-10-16T07:11:26Z,AIC464,"30.670988,76.785866",0,19,295
1539673894,2018-10-16T07:11:34Z,AIC464,"30.671127,76.785492",0,23,292
1539673900,2018-10-16T07:11:40Z,AIC464,"30.67123,76.78521",0,25,292
1539673907,2018-10-16T07:11:47Z,AIC464,"30.67136,76.784859",0,27,295
1539673921,2018-10-16T07:12:01Z,AIC464,"30.671722,76.783974",0,32,295
1539673929,2018-10-16T07:12:09Z,AIC464,"30.671871,76.783554",0,34,295
1539673936,2018-10-16T07:12:16Z,AIC464,"30.672071,76.783051",0,31,295
1539673943,2018-10-16T07:12:23Z,AIC464,"30.672256,76.782661",0,25,306
1539673958,2018-10-16T07:12:38Z,AIC464,"30.672878,76.782692",0,27,28
1539673978,2018-10-16T07:12:58Z,AIC464,"30.673782,76.783142",0,28,25
1539673996,2018-10-16T07:13:16Z,AIC464,"30.67448,76.783501",0,20,22
1539674015,2018-10-16T07:13:35Z,AIC464,"30.675247,76.783783",0,25,351
1539674027,2018-10-16T07:13:47Z,AIC464,"30.675545,76.78331",0,26,289
1539674034,2018-10-16T07:13:54Z,AIC464,"30.675678,76.782967",0,28,295
1539674040,2018-10-16T07:14:00Z,AIC464,"30.675831,76.78257",0,30,295
1539674047,2018-10-16T07:14:07Z,AIC464,"30.676016,76.782104",0,32,295
1539674058,2018-10-16T07:14:18Z,AIC464,"30.676334,76.78125",0,15,292
1539674067,2018-10-16T07:14:27Z,AIC464,"30.676655,76.780472",0,17,295
1539674073,2018-10-16T07:14:33Z,AIC464,"30.676819,76.780067",0,34,292
1539674081,2018-10-16T07:14:41Z,AIC464,"30.676924,76.779633",0,30,281
1539674088,2018-10-16T07:14:48Z,AIC464,"30.676924,76.779022",0,28,261
1539674097,2018-10-16T07:14:57Z,AIC464,"30.676929,76.778557",0,23,284
1539674108,2018-10-16T07:15:08Z,AIC464,"30.677238,76.778381",0,21,355
1539674118,2018-10-16T07:15:18Z,AIC464,"30.677378,76.778763",0,21,123
1539674131,2018-10-16T07:15:31Z,AIC464,"30.677193,76.779099",0,14,115
1539674143,2018-10-16T07:15:43Z,AIC464,"30.677078,76.779366",0,11,115
1539674158,2018-10-16T07:15:58Z,AIC464,"30.676983,76.779617",0,10,112
1539674188,2018-10-16T07:16:28Z,AIC464,"30.676907,76.779839",0,20,112
1539674194,2018-10-16T07:16:34Z,AIC464,"30.676796,76.780121",0,33,112
1539674201,2018-10-16T07:16:41Z,AIC464,"30.676506,76.780876",0,39,115
1539674213,2018-10-16T07:16:53Z,AIC464,"30.674456,76.786179",0,105,115
1539674228,2018-10-16T07:17:08Z,AIC464,"30.670336,76.796799",1125,163,114
1539674235,2018-10-16T07:17:15Z,AIC464,"30.668428,76.801628",1350,163,114
1539674246,2018-10-16T07:17:26Z,AIC464,"30.664627,76.811287",1875,161,114
1539674253,2018-10-16T07:17:33Z,AIC464,"30.662981,76.815804",2150,157,110
1539674259,2018-10-16T07:17:39Z,AIC464,"30.661926,76.82077",2400,155,101
1539674267,2018-10-16T07:17:47Z,AIC464,"30.660793,76.827942",2675,155,101
1539674276,2018-10-16T07:17:56Z,AIC464,"30.658745,76.8358",2875,162,109
1539674289,2018-10-16T07:18:09Z,AIC464,"30.654881,76.845795",3100,175,115
1539674297,2018-10-16T07:18:17Z,AIC464,"30.65126,76.853622",3250,188,118
1539674303,2018-10-16T07:18:23Z,AIC464,"30.64883,76.858925",3325,196,117
1539674309,2018-10-16T07:18:29Z,AIC464,"30.646408,76.864746",3425,204,114
1539674315,2018-10-16T07:18:35Z,AIC464,"30.644035,76.871445",3500,215,111
1539674323,2018-10-16T07:18:43Z,AIC464,"30.642288,76.876991",3600,223,109
1539674329,2018-10-16T07:18:49Z,AIC464,"30.639954,76.885178",3725,233,107
1539674337,2018-10-16T07:18:57Z,AIC464,"30.636795,76.896484",3950,245,108
1539674343,2018-10-16T07:19:03Z,AIC464,"30.634552,76.904083",4100,254,109
1539674349,2018-10-16T07:19:09Z,AIC464,"30.632172,76.911995",4250,263,109
1539674355,2018-10-16T07:19:15Z,AIC464,"30.6297,76.920128",4400,270,109
1539674361,2018-10-16T07:19:21Z,AIC464,"30.627043,76.928741",4600,276,109
1539674367,2018-10-16T07:19:27Z,AIC464,"30.624435,76.937088",4825,280,109
1539674373,2018-10-16T07:19:33Z,AIC464,"30.621737,76.945877",5100,282,109
1539674385,2018-10-16T07:19:45Z,AIC464,"30.61657,76.962418",5700,284,109
1539674396,2018-10-16T07:19:56Z,AIC464,"30.610983,76.9795",6325,285,111
1539674408,2018-10-16T07:20:08Z,AIC464,"30.605072,76.995148",6975,286,114
1539674420,2018-10-16T07:20:20Z,AIC464,"30.597761,77.013832",7600,286,114
1539674433,2018-10-16T07:20:33Z,AIC464,"30.591568,77.029671",8175,290,114
1539674445,2018-10-16T07:20:45Z,AIC464,"30.584427,77.048141",8725,294,113
1539674456,2018-10-16T07:20:56Z,AIC464,"30.577744,77.065742",9350,295,113
1539674469,2018-10-16T07:21:09Z,AIC464,"30.571367,77.082878",9925,296,113
1539674481,2018-10-16T07:21:21Z,AIC464,"30.56543,77.099464",10425,303,112
1539674492,2018-10-16T07:21:32Z,AIC464,"30.558105,77.120148",10675,319,112
1539674506,2018-10-16T07:21:46Z,AIC464,"30.551302,77.13913",10900,332,112
1539674519,2018-10-16T07:21:59Z,AIC464,"30.543915,77.159622",11150,345,112
1539674529,2018-10-16T07:22:09Z,AIC464,"30.536638,77.179504",11400,359,112
1539674543,2018-10-16T07:22:23Z,AIC464,"30.528259,77.202385",11775,367,112
1539674553,2018-10-16T07:22:33Z,AIC464,"30.520248,77.22419",12200,370,113
