Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1539760766,2018-10-17T07:19:26Z,AIC464,"30.669937,76.785873",0,0,37
1539760856,2018-10-17T07:20:56Z,AIC464,"30.669868,76.785789",0,0,227
1539761125,2018-10-17T07:25:25Z,AIC464,"30.669859,76.78582",0,0,187
1539761269,2018-10-17T07:27:49Z,AIC464,"30.669949,76.785873",0,0,37
1539761337,2018-10-17T07:28:57Z,AIC464,"30.669918,76.785866",0,0,180
1539761566,2018-10-17T07:32:46Z,AIC464,"30.669914,76.785858",0,0,236
1539762547,2018-10-17T07:49:07Z,AIC464,"30.67004,76.785927",0,9,205
1539762576,2018-10-17T07:49:36Z,AIC464,"30.670349,76.786072",0,9,208
1539762606,2018-10-17T07:50:06Z,AIC464,"30.670658,76.786247",0,9,255
1539762644,2018-10-17T07:50:44Z,AIC464,"30.670727,76.78656",0,2,295
1539762739,2018-10-17T07:52:19Z,AIC464,"30.67086,76.786224",0,16,295
1539762750,2018-10-17T07:52:30Z,AIC464,"30.671001,76.785843",0,20,295
1539762757,2018-10-17T07:52:37Z,AIC464,"30.671116,76.785538",0,23,292
1539762763,2018-10-17T07:52:43Z,AIC464,"30.671242,76.78524",0,25,295
1539762769,2018-10-17T07:52:49Z,AIC464,"30.671368,76.784912",0,28,295
1539762779,2018-10-17T07:52:59Z,AIC464,"30.671585,76.784348",0,31,292
1539762792,2018-10-17T07:53:12Z,AIC464,"30.671907,76.783485",0,15,292
1539762803,2018-10-17T07:53:23Z,AIC464,"30.672226,76.782692",0,24,295
1539762811,2018-10-17T07:53:31Z,AIC464,"30.672569,76.782516",0,25,348
1539762832,2018-10-17T07:53:52Z,AIC464,"30.673445,76.782951",0,22,22
1539762846,2018-10-17T07:54:06Z,AIC464,"30.673862,76.783165",0,18,22
1539763207,2018-10-17T08:00:07Z,AIC464,"30.675236,76.783791",0,23,354
1539763220,2018-10-17T08:00:20Z,AIC464,"30.675573,76.78334",0,24,292
1539763226,2018-10-17T08:00:26Z,AIC464,"30.675678,76.783051",0,25,295
1539763235,2018-10-17T08:00:35Z,AIC464,"30.675877,76.782547",0,29,292
1539763242,2018-10-17T08:00:42Z,AIC464,"30.676003,76.782166",0,31,292
1539763253,2018-10-17T08:00:53Z,AIC464,"30.676319,76.781349",0,15,295
1539763266,2018-10-17T08:01:06Z,AIC464,"30.676689,76.78038",0,16,295
1539763277,2018-10-17T08:01:17Z,AIC464,"30.676975,76.779327",0,17,278
1539763289,2018-10-17T08:01:29Z,AIC464,"30.677006,76.778381",0,26,272
1539763297,2018-10-17T08:01:37Z,AIC464,"30.677216,76.77813",0,20,343
1539763307,2018-10-17T08:01:47Z,AIC464,"30.677483,76.778282",0,19,50
1539763319,2018-10-17T08:01:59Z,AIC464,"30.677399,76.778732",0,23,115
1539763328,2018-10-17T08:02:08Z,AIC464,"30.677135,76.779396",0,23,115
1539763335,2018-10-17T08:02:15Z,AIC464,"30.676458,76.781075",0,60,115
1539763342,2018-10-17T08:02:22Z,AIC464,"30.67511,76.784538",0,98,115
1539763348,2018-10-17T08:02:28Z,AIC464,"30.674038,76.787308",0,115,115
1539763358,2018-10-17T08:02:38Z,AIC464,"30.671082,76.79493",1125,153,114
1539763365,2018-10-17T08:02:45Z,AIC464,"30.669453,76.799103",1300,154,114
1539763375,2018-10-17T08:02:55Z,AIC464,"30.666824,76.805908",1675,154,114
1539763386,2018-10-17T08:03:06Z,AIC464,"30.663261,76.815201",2150,151,114
1539763398,2018-10-17T08:03:18Z,AIC464,"30.659683,76.824158",2425,160,115
1539763409,2018-10-17T08:03:29Z,AIC464,"30.655701,76.834122",2650,174,114
1539763415,2018-10-17T08:03:35Z,AIC464,"30.653091,76.839508",2775,180,121
1539763423,2018-10-17T08:03:43Z,AIC464,"30.650087,76.844093",2900,188,128
1539763431,2018-10-17T08:03:51Z,AIC464,"30.644873,76.851456",3075,198,129
1539763437,2018-10-17T08:03:57Z,AIC464,"30.641241,76.856453",3175,206,130
1539763446,2018-10-17T08:04:06Z,AIC464,"30.635376,76.864281",3375,219,131
1539763453,2018-10-17T08:04:13Z,AIC464,"30.631094,76.869858",3525,227,131
1539763464,2018-10-17T08:04:24Z,AIC464,"30.621876,76.881882",3850,245,131
1539763472,2018-10-17T08:04:32Z,AIC464,"30.617386,76.887764",3975,252,131
1539763482,2018-10-17T08:04:42Z,AIC464,"30.607677,76.90062",4225,262,130
1539763490,2018-10-17T08:04:50Z,AIC464,"30.602928,76.906937",4475,264,130
1539763496,2018-10-17T08:04:56Z,AIC464,"30.598135,76.913361",4775,265,130
1539763507,2018-10-17T08:05:07Z,AIC464,"30.589476,76.927315",5325,271,118
1539763513,2018-10-17T08:05:13Z,AIC464,"30.586533,76.935692",5625,274,108
1539763519,2018-10-17T08:05:19Z,AIC464,"30.585007,76.944344",5900,276,98
1539763527,2018-10-17T08:05:27Z,AIC464,"30.584354,76.957909",6375,278,91
1539763533,2018-10-17T08:05:33Z,AIC464,"30.584309,76.966866",6675,279,90
1539763557,2018-10-17T08:05:57Z,AIC464,"30.584309,77.003555",7925,284,90
1539763570,2018-10-17T08:06:10Z,AIC464,"30.58429,77.021484",8525,286,90
1539763582,2018-10-17T08:06:22Z,AIC464,"30.584198,77.040977",9100,290,90
1539763594,2018-10-17T08:06:34Z,AIC464,"30.584061,77.057564",9575,297,90
1539763606,2018-10-17T08:06:46Z,AIC464,"30.583889,77.079529",10050,305,90
1539763619,2018-10-17T08:06:59Z,AIC464,"30.583656,77.098648",10425,314,90
1539763630,2018-10-17T08:07:10Z,AIC464,"30.58333,77.12056",10700,331,91
1539763642,2018-10-17T08:07:22Z,AIC464,"30.582962,77.140076",10925,345,91
1539763654,2018-10-17T08:07:34Z,AIC464,"30.582504,77.165436",11225,359,91
1539763668,2018-10-17T08:07:48Z,AIC464,"30.582092,77.188866",11475,372,91
1539763680,2018-10-17T08:08:00Z,AIC464,"30.581608,77.214005",11750,384,91
1539763691,2018-10-17T08:08:11Z,AIC464,"30.581131,77.239326",12125,391,91
1539763723,2018-10-17T08:08:43Z,AIC464,"30.579,77.303596",13275,403,95
1539763731,2018-10-17T08:08:51Z,AIC464,"30.575277,77.321945",13650,404,106
1539763737,2018-10-17T08:08:57Z,AIC464,"30.570993,77.333916",13950,402,115
1539763747,2018-10-17T08:09:07Z,AIC464,"30.563828,77.34935",14475,399,119
1539763755,2018-10-17T08:09:15Z,AIC464,"30.555267,77.366264",15000,398,120
1539763763,2018-10-17T08:09:23Z,AIC464,"30.544556,77.384033",15425,395,127
1539763769,2018-10-17T08:09:29Z,AIC464,"30.537477,77.393021",15750,394,133
1539763775,2018-10-17T08:09:35Z,AIC464,"30.529562,77.401596",16100,390,138
1539763783,2018-10-17T08:09:43Z,AIC464,"30.521463,77.409775",16450,389,139
1539763790,2018-10-17T08:09:50Z,AIC464,"30.508942,77.422218",16925,387,139
1539763826,2018-10-17T08:10:26Z,AIC464,"30.460386,77.471245",18625,385,138
1539763845,2018-10-17T08:10:45Z,AIC464,"30.434235,77.494003",19300,385,151
1539763853,2018-10-17T08:10:53Z,AIC464,"30.41942,77.500801",19625,380,162
1539763860,2018-10-17T08:11:00Z,AIC464,"30.409271,77.50338",19775,375,168
1539763867,2018-10-17T08:11:07Z,AIC464,"30.399076,77.504646",19900,370,175
1539763873,2018-10-17T08:11:13Z,AIC464,"30.388788,77.505302",19975,369,177
1539763881,2018-10-17T08:11:21Z,AIC464,"30.373148,77.50602",20000,369,177
1539763887,2018-10-17T08:11:27Z,AIC464,"30.362627,77.506401",20000,369,178
1539763910,2018-10-17T08:11:50Z,AIC464,"30.326614,77.50251",20000,365,190
1539763916,2018-10-17T08:11:56Z,AIC464,"30.318682,77.500748",20000,366,190
1539763981,2018-10-17T08:13:01Z,AIC464,"30.204767,77.476242",20000,369,190
1539764043,2018-10-17T08:14:03Z,AIC464,"30.103638,77.454422",20000,368,190
1539764106,2018-10-17T08:15:06Z,AIC464,"29.997471,77.429611",20000,366,198
1539764112,2018-10-17T08:15:12Z,AIC464,"29.982651,77.422752",20000,366,203
1539764119,2018-10-17T08:15:19Z,AIC464,"29.973129,77.417801",20000,366,204
1539764126,2018-10-17T08:15:26Z,AIC464,"29.964186,77.413132",20000,366,204
1539764186,2018-10-17T08:16:26Z,AIC464,"29.874207,77.36599",19325,349,204
1539764249,2018-10-17T08:17:29Z,AIC464,"29.779978,77.316772",17225,340,204
1539764283,2018-10-17T08:18:03Z,AIC464,"29.734589,77.293152",16175,338,204
1539764315,2018-10-17T08:18:35Z,AIC464,"29.685385,77.267387",16000,335,204
1539764345,2018-10-17T08:19:05Z,AIC464,"29.643951,77.24572",16000,335,204
1539764379,2018-10-17T08:19:39Z,AIC464,"29.595749,77.220627",16000,333,204
1539764414,2018-10-17T08:20:14Z,AIC464,"29.548691,77.196175",16000,335,204
1539764444,2018-10-17T08:20:44Z,AIC464,"29.505249,77.173569",16000,335,204
1539764481,2018-10-17T08:21:21Z,AIC464,"29.454758,77.147263",16000,336,204
1539764507,2018-10-17T08:21:47Z,AIC464,"29.413519,77.125908",15975,336,204
1539764543,2018-10-17T08:22:23Z,AIC464,"29.364899,77.100731",15100,332,204
1539764576,2018-10-17T08:22:56Z,AIC464,"29.318619,77.076752",14225,324,204
1539764606,2018-10-17T08:23:26Z,AIC464,"29.279449,77.056381",13425,317,204
1539764617,2018-10-17T08:23:37Z,AIC464,"29.263184,77.049446",12975,321,194
1539764625,2018-10-17T08:23:45Z,AIC464,"29.252426,77.047859",12675,325,184
1539764645,2018-10-17T08:24:05Z,AIC464,"29.222654,77.054337",11925,337,157
1539764652,2018-10-17T08:24:12Z,AIC464,"29.212135,77.06031",11650,339,152
1539764661,2018-10-17T08:24:21Z,AIC464,"29.200012,77.067612",11400,339,152
1539764704,2018-10-17T08:25:04Z,AIC464,"29.141281,77.102844",11000,337,152
1539764714,2018-10-17T08:25:14Z,AIC464,"29.126404,77.111664",11000,336,152
1539764726,2018-10-17T08:25:26Z,AIC464,"29.108788,77.122192",11000,336,152
1539764748,2018-10-17T08:25:48Z,AIC464,"29.077877,77.140663",11000,335,152
1539764762,2018-10-17T08:26:02Z,AIC464,"29.062004,77.150146",11000,334,152
1539764771,2018-10-17T08:26:11Z,AIC464,"29.045338,77.160103",11000,334,152
1539764785,2018-10-17T08:26:25Z,AIC464,"29.028122,77.170349",11000,332,152
1539764813,2018-10-17T08:26:53Z,AIC464,"28.990448,77.192848",11000,335,152
1539764823,2018-10-17T08:27:03Z,AIC464,"28.974335,77.202461",11000,335,152
1539764834,2018-10-17T08:27:14Z,AIC464,"28.96019,77.210907",11000,334,152
1539764848,2018-10-17T08:27:28Z,AIC464,"28.941713,77.221931",11000,335,152
1539764859,2018-10-17T08:27:39Z,AIC464,"28.925838,77.231354",11000,334,152
1539764874,2018-10-17T08:27:54Z,AIC464,"28.907959,77.24202",11000,335,152
1539764884,2018-10-17T08:28:04Z,AIC464,"28.892134,77.251442",11000,335,152
1539764899,2018-10-17T08:28:19Z,AIC464,"28.87175,77.263573",11000,327,152
1539764911,2018-10-17T08:28:31Z,AIC464,"28.856337,77.274277",10975,317,143
1539764917,2018-10-17T08:28:37Z,AIC464,"28.848907,77.282372",10900,313,134
1539764924,2018-10-17T08:28:44Z,AIC464,"28.84433,77.289345",10825,311,126
1539764933,2018-10-17T08:28:53Z,AIC464,"28.838287,77.303291",10750,304,112
1539764939,2018-10-17T08:28:59Z,AIC464,"28.835806,77.310577",10725,300,110
1539764947,2018-10-17T08:29:07Z,AIC464,"28.832291,77.321564",10675,294,109
