Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1539847850,2018-10-18T07:30:50Z,AIC464,"30.670046,76.785934",0,2,205
1539847894,2018-10-18T07:31:34Z,AIC464,"30.67028,76.786049",0,2,210
1539847957,2018-10-18T07:32:37Z,AIC464,"30.670658,76.786331",0,2,261
1539847997,2018-10-18T07:33:17Z,AIC464,"30.670755,76.786575",0,2,306
1539848114,2018-10-18T07:35:14Z,AIC464,"30.670872,76.786194",0,22,295
1539848125,2018-10-18T07:35:25Z,AIC464,"30.671164,76.785439",0,15,292
1539848132,2018-10-18T07:35:32Z,AIC464,"30.671356,76.784927",0,17,295
1539848144,2018-10-18T07:35:44Z,AIC464,"30.671757,76.78389",0,19,295
1539848150,2018-10-18T07:35:50Z,AIC464,"30.671963,76.78334",0,20,295
1539848157,2018-10-18T07:35:57Z,AIC464,"30.672192,76.782761",0,32,295
1539848164,2018-10-18T07:36:04Z,AIC464,"30.672525,76.782471",0,26,351
1539848183,2018-10-18T07:36:23Z,AIC464,"30.673456,76.782982",0,30,22
1539848190,2018-10-18T07:36:30Z,AIC464,"30.67384,76.783173",0,30,25
1539848213,2018-10-18T07:36:53Z,AIC464,"30.675167,76.783791",0,33,21
1539848220,2018-10-18T07:37:00Z,AIC464,"30.675545,76.78334",0,32,298
1539848230,2018-10-18T07:37:10Z,AIC464,"30.675842,76.7826",0,18,295
1539848240,2018-10-18T07:37:20Z,AIC464,"30.676186,76.78167",0,23,295
1539848251,2018-10-18T07:37:31Z,AIC464,"30.676769,76.780174",0,23,292
1539848259,2018-10-18T07:37:39Z,AIC464,"30.676918,76.779526",0,20,272
1539848266,2018-10-18T07:37:46Z,AIC464,"30.676889,76.778671",0,34,272
1539848276,2018-10-18T07:37:56Z,AIC464,"30.67725,76.778244",0,32,354
1539848282,2018-10-18T07:38:02Z,AIC464,"30.677483,76.778435",0,22,59
1539848290,2018-10-18T07:38:10Z,AIC464,"30.677343,76.778679",0,9,112
1539848325,2018-10-18T07:38:45Z,AIC464,"30.677134,76.779259",0,21,112
1539848336,2018-10-18T07:38:56Z,AIC464,"30.675945,76.782318",0,80,115
1539848343,2018-10-18T07:39:03Z,AIC464,"30.67412,76.787018",0,120,115
1539848349,2018-10-18T07:39:09Z,AIC464,"30.672432,76.791397",0,145,115
1539848357,2018-10-18T07:39:17Z,AIC464,"30.670523,76.796303",1200,164,114
1539848368,2018-10-18T07:39:28Z,AIC464,"30.66655,76.806656",1675,165,113
1539848376,2018-10-18T07:39:36Z,AIC464,"30.664658,76.811684",1975,164,114
1539848386,2018-10-18T07:39:46Z,AIC464,"30.660782,76.820824",2525,154,119
1539848394,2018-10-18T07:39:54Z,AIC464,"30.658813,76.825134",2775,152,116
1539848400,2018-10-18T07:40:00Z,AIC464,"30.657303,76.829918",2950,154,108
1539848406,2018-10-18T07:40:06Z,AIC464,"30.656387,76.834175",3075,159,102
1539848415,2018-10-18T07:40:15Z,AIC464,"30.655254,76.842606",3225,170,98
1539848423,2018-10-18T07:40:23Z,AIC464,"30.653299,76.851067",3375,181,107
1539848434,2018-10-18T07:40:34Z,AIC464,"30.650412,76.85997",3550,193,111
1539848440,2018-10-18T07:40:40Z,AIC464,"30.647665,76.868813",3725,203,107
1539848448,2018-10-18T07:40:48Z,AIC464,"30.646179,76.875595",3850,211,103
1539848455,2018-10-18T07:40:55Z,AIC464,"30.644918,76.882652",4050,218,101
1539848462,2018-10-18T07:41:02Z,AIC464,"30.643433,76.893097",4450,221,98
