Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1540195768,2018-10-22T08:09:28Z,AIC464,"30.670931,76.786003",0,0,322
1540195909,2018-10-22T08:11:49Z,AIC464,"30.670738,76.78653",0,22,115
1540195928,2018-10-22T08:12:08Z,AIC464,"30.670315,76.787598",0,28,115
1540195937,2018-10-22T08:12:17Z,AIC464,"30.670063,76.788254",0,30,115
1540195943,2018-10-22T08:12:23Z,AIC464,"30.669903,76.788498",0,29,135
1540195951,2018-10-22T08:12:31Z,AIC464,"30.669479,76.788795",0,30,146
1540195957,2018-10-22T08:12:37Z,AIC464,"30.669243,76.789177",0,32,115
1540195963,2018-10-22T08:12:43Z,AIC464,"30.669115,76.789589",0,33,112
1540195970,2018-10-22T08:12:50Z,AIC464,"30.668976,76.789955",0,34,112
1540195979,2018-10-22T08:12:59Z,AIC464,"30.668684,76.790695",0,15,115
1540195985,2018-10-22T08:13:05Z,AIC464,"30.668564,76.791039",0,15,112
1540195991,2018-10-22T08:13:11Z,AIC464,"30.668463,76.791466",0,30,95
1540195999,2018-10-22T08:13:19Z,AIC464,"30.668781,76.791824",0,25,22
1540196005,2018-10-22T08:13:25Z,AIC464,"30.668999,76.791924",0,21,22
1540196015,2018-10-22T08:13:35Z,AIC464,"30.66925,76.792053",0,12,25
1540196176,2018-10-22T08:16:16Z,AIC464,"30.669491,76.792175",0,13,25
1540196185,2018-10-22T08:16:25Z,AIC464,"30.669708,76.792282",0,16,22
1540196197,2018-10-22T08:16:37Z,AIC464,"30.670103,76.79248",0,22,22
1540196203,2018-10-22T08:16:43Z,AIC464,"30.670336,76.79261",0,24,25
1540196209,2018-10-22T08:16:49Z,AIC464,"30.670557,76.792717",0,20,25
1540196388,2018-10-22T08:19:48Z,AIC464,"30.670773,76.792831",0,14,22
1540196400,2018-10-22T08:20:00Z,AIC464,"30.671219,76.793076",0,27,25
1540196406,2018-10-22T08:20:06Z,AIC464,"30.671476,76.793304",0,29,47
1540196417,2018-10-22T08:20:17Z,AIC464,"30.671501,76.793854",0,27,109
1540196424,2018-10-22T08:20:24Z,AIC464,"30.671299,76.794395",0,33,112
1540196430,2018-10-22T08:20:30Z,AIC464,"30.671127,76.794838",0,17,115
1540196437,2018-10-22T08:20:37Z,AIC464,"30.670864,76.795509",0,21,112
1540196504,2018-10-22T08:21:44Z,AIC464,"30.669754,76.798401",0,2,289
1540196627,2018-10-22T08:23:47Z,AIC464,"30.70269,76.711868",3975,218,293
1540196639,2018-10-22T08:23:59Z,AIC464,"30.707748,76.698463",4575,220,293
1540196646,2018-10-22T08:24:06Z,AIC464,"30.710175,76.692001",4900,218,293
1540196652,2018-10-22T08:24:12Z,AIC464,"30.712513,76.685776",5200,219,293
1540196663,2018-10-22T08:24:23Z,AIC464,"30.716562,76.671936",5750,224,281
1540196688,2018-10-22T08:24:48Z,AIC464,"30.709208,76.643425",6575,249,233
1540196695,2018-10-22T08:24:55Z,AIC464,"30.701202,76.635132",6825,262,216
1540196703,2018-10-22T08:25:03Z,AIC464,"30.694544,76.630905",7000,269,205
1540196709,2018-10-22T08:25:09Z,AIC464,"30.687189,76.628319",7200,276,194
1540196736,2018-10-22T08:25:36Z,AIC464,"30.652451,76.636696",8325,291,147
1540196746,2018-10-22T08:25:46Z,AIC464,"30.643433,76.646011",8725,292,131
1540196752,2018-10-22T08:25:52Z,AIC464,"30.638763,76.653709",9025,292,122
1540196760,2018-10-22T08:26:00Z,AIC464,"30.632629,76.66655",9500,292,118
1540196767,2018-10-22T08:26:07Z,AIC464,"30.628859,76.67485",9800,292,117
1540196773,2018-10-22T08:26:13Z,AIC464,"30.625122,76.683495",10125,291,116
1540196791,2018-10-22T08:26:31Z,AIC464,"30.614428,76.709183",10725,304,115
1540196804,2018-10-22T08:26:44Z,AIC464,"30.606886,76.72731",10975,318,115
1540196814,2018-10-22T08:26:54Z,AIC464,"30.599075,76.745697",11200,331,116
1540196826,2018-10-22T08:27:06Z,AIC464,"30.590652,76.76519",11425,344,116
1540196838,2018-10-22T08:27:18Z,AIC464,"30.581562,76.786026",11625,358,116
1540196850,2018-10-22T08:27:30Z,AIC464,"30.57225,76.807304",11825,370,116
1540196862,2018-10-22T08:27:42Z,AIC464,"30.562729,76.82885",12125,379,117
1540196897,2018-10-22T08:28:17Z,AIC464,"30.535753,76.890343",13325,392,116
1540196929,2018-10-22T08:28:49Z,AIC464,"30.507843,76.953949",14475,402,117
1540196961,2018-10-22T08:29:21Z,AIC464,"30.481979,77.012489",15550,411,117
1540196994,2018-10-22T08:29:54Z,AIC464,"30.453264,77.077827",16650,420,116
1540197027,2018-10-22T08:30:27Z,AIC464,"30.42334,77.145782",17725,426,116
1540197047,2018-10-22T08:30:47Z,AIC464,"30.401505,77.1866",18000,425,129
1540197054,2018-10-22T08:30:54Z,AIC464,"30.388975,77.200928",18100,425,139
1540197061,2018-10-22T08:31:01Z,AIC464,"30.378708,77.209488",18200,427,146
1540197068,2018-10-22T08:31:08Z,AIC464,"30.368362,77.216118",18400,427,152
1540197078,2018-10-22T08:31:18Z,AIC464,"30.352478,77.225372",18700,428,153
1540197084,2018-10-22T08:31:24Z,AIC464,"30.336548,77.234749",18975,431,152
1540197146,2018-10-22T08:32:26Z,AIC464,"30.22966,77.297974",20000,437,152
1540197209,2018-10-22T08:33:29Z,AIC464,"30.11348,77.365829",20000,439,153
1540197268,2018-10-22T08:34:28Z,AIC464,"30.007965,77.423241",20000,434,164
1540197276,2018-10-22T08:34:36Z,AIC464,"29.990341,77.427116",20000,432,172
