Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1540281560,2018-10-23T07:59:20Z,AIC464,"30.599167,76.818886",7300,281,120
1540281571,2018-10-23T07:59:31Z,AIC464,"30.590965,76.834808",8225,270,120
1540281585,2018-10-23T07:59:45Z,AIC464,"30.583557,76.848991",9075,260,121
1540281596,2018-10-23T07:59:56Z,AIC464,"30.576115,76.863319",9800,256,121
1540281609,2018-10-23T08:00:09Z,AIC464,"30.568634,76.877693",10375,257,121
1540281620,2018-10-23T08:00:20Z,AIC464,"30.561127,76.892128",10925,259,121
1540281632,2018-10-23T08:00:32Z,AIC464,"30.553816,76.906113",11475,260,121
1540281644,2018-10-23T08:00:44Z,AIC464,"30.545763,76.921494",12075,262,121
1540281674,2018-10-23T08:01:14Z,AIC464,"30.526583,76.958183",13375,268,121
1540281708,2018-10-23T08:01:48Z,AIC464,"30.504089,77.001076",14300,298,121
1540281742,2018-10-23T08:02:22Z,AIC464,"30.478638,77.049324",14875,339,121
1540281774,2018-10-23T08:02:54Z,AIC464,"30.449726,77.104248",15425,377,121
1540281806,2018-10-23T08:03:26Z,AIC464,"30.418945,77.162476",16850,382,121
1540281824,2018-10-23T08:03:44Z,AIC464,"30.400406,77.192039",17675,365,132
1540281831,2018-10-23T08:03:51Z,AIC464,"30.392698,77.200104",17825,361,140
1540281839,2018-10-23T08:03:59Z,AIC464,"30.384567,77.206688",17925,360,147
1540281847,2018-10-23T08:04:07Z,AIC464,"30.371201,77.215256",18025,361,151
1540281856,2018-10-23T08:04:16Z,AIC464,"30.358063,77.223114",18025,364,152
1540281864,2018-10-23T08:04:24Z,AIC464,"30.34552,77.230492",18000,365,152
1540281927,2018-10-23T08:05:27Z,AIC464,"30.248667,77.287064",18000,366,153
1540281988,2018-10-23T08:06:28Z,AIC464,"30.156214,77.341003",18000,368,153
1540282050,2018-10-23T08:07:30Z,AIC464,"30.060362,77.396759",18000,367,153
1540282080,2018-10-23T08:08:00Z,AIC464,"30.017117,77.419388",18000,366,163
1540282087,2018-10-23T08:08:07Z,AIC464,"30.003983,77.422058",18000,364,172
1540282110,2018-10-23T08:08:30Z,AIC464,"29.968561,77.414993",18000,358,202
1540282117,2018-10-23T08:08:37Z,AIC464,"29.954643,77.407913",18025,358,204
1540282184,2018-10-23T08:09:44Z,AIC464,"29.853718,77.355225",18000,360,204
1540282246,2018-10-23T08:10:46Z,AIC464,"29.759628,77.306305",18000,361,204
1540282310,2018-10-23T08:11:50Z,AIC464,"29.661457,77.255104",18000,361,204
1540282334,2018-10-23T08:12:14Z,AIC464,"29.626635,77.236954",18000,361,204
1540282366,2018-10-23T08:12:46Z,AIC464,"29.577896,77.211594",18000,361,204
1540282467,2018-10-23T08:14:27Z,AIC464,"29.422922,77.131134",17925,357,204
1540282498,2018-10-23T08:14:58Z,AIC464,"29.378403,77.107964",17525,343,204
1540282530,2018-10-23T08:15:30Z,AIC464,"29.331711,77.083778",16975,324,204
1540282565,2018-10-23T08:16:05Z,AIC464,"29.287642,77.061012",16450,307,204
1540282597,2018-10-23T08:16:37Z,AIC464,"29.244553,77.038612",15875,294,204
1540282629,2018-10-23T08:17:09Z,AIC464,"29.206009,77.0187",15450,277,204
1540282666,2018-10-23T08:17:46Z,AIC464,"29.164791,76.997414",15025,264,204
1540282695,2018-10-23T08:18:15Z,AIC464,"29.133224,76.981094",14725,261,204
1540282752,2018-10-23T08:19:12Z,AIC464,"29.070328,76.948563",14025,262,204
1540282798,2018-10-23T08:19:58Z,AIC464,"29.019516,76.922417",13500,262,204
1540282828,2018-10-23T08:20:28Z,AIC464,"28.985229,76.90477",13125,259,204
