Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1540552685,2018-10-26T11:18:05Z,AIC464,"30.671059,76.792976",0,16,22
1540552692,2018-10-26T11:18:12Z,AIC464,"30.671413,76.793182",0,32,30
1540552700,2018-10-26T11:18:20Z,AIC464,"30.671471,76.793869",0,32,112
1540552708,2018-10-26T11:18:28Z,AIC464,"30.671345,76.794205",0,34,115
1540552714,2018-10-26T11:18:34Z,AIC464,"30.671093,76.794861",0,16,112
1540552727,2018-10-26T11:18:47Z,AIC464,"30.67067,76.795944",0,19,115
1540552768,2018-10-26T11:19:28Z,AIC464,"30.668882,76.800529",0,20,115
1540552780,2018-10-26T11:19:40Z,AIC464,"30.668474,76.801453",0,33,123
1540552790,2018-10-26T11:19:50Z,AIC464,"30.668068,76.801834",0,29,143
1540552796,2018-10-26T11:19:56Z,AIC464,"30.667858,76.802155",0,27,118
1540552805,2018-10-26T11:20:05Z,AIC464,"30.668118,76.802498",0,23,8
1540552813,2018-10-26T11:20:13Z,AIC464,"30.668312,76.802132",0,24,278
1540552827,2018-10-26T11:20:27Z,AIC464,"30.66861,76.801247",0,22,292
1540552837,2018-10-26T11:20:37Z,AIC464,"30.669626,76.798622",0,70,292
1540552843,2018-10-26T11:20:43Z,AIC464,"30.671198,76.794571",0,110,292
1540552856,2018-10-26T11:20:56Z,AIC464,"30.67424,76.786736",1200,148,294
1540552863,2018-10-26T11:21:03Z,AIC464,"30.676117,76.781937",1500,147,294
1540552870,2018-10-26T11:21:10Z,AIC464,"30.678484,76.775978",1925,144,294
1540552876,2018-10-26T11:21:16Z,AIC464,"30.680191,76.771439",2225,144,293
1540552883,2018-10-26T11:21:23Z,AIC464,"30.681881,76.767021",2500,145,293
1540552889,2018-10-26T11:21:29Z,AIC464,"30.683395,76.762283",2800,146,288
1540552896,2018-10-26T11:21:36Z,AIC464,"30.683836,76.758286",3050,150,275
1540552917,2018-10-26T11:21:57Z,AIC464,"30.67448,76.742142",3925,185,213
1540552924,2018-10-26T11:22:04Z,AIC464,"30.669891,76.740097",4200,196,198
1540552948,2018-10-26T11:22:28Z,AIC464,"30.646036,76.745872",5325,239,150
1540552957,2018-10-26T11:22:37Z,AIC464,"30.637424,76.754059",5800,253,136
1540552964,2018-10-26T11:22:44Z,AIC464,"30.630753,76.764923",6300,268,120
1540552970,2018-10-26T11:22:50Z,AIC464,"30.627882,76.772133",6600,274,114
1540552977,2018-10-26T11:22:57Z,AIC464,"30.625259,76.780701",6950,282,108
1540552983,2018-10-26T11:23:03Z,AIC464,"30.623087,76.790207",7325,287,104
1540552991,2018-10-26T11:23:11Z,AIC464,"30.620728,76.803162",7925,295,100
1540552997,2018-10-26T11:23:17Z,AIC464,"30.61908,76.812958",8475,290,101
1540553004,2018-10-26T11:23:24Z,AIC464,"30.617386,76.822495",8975,292,101
1540553016,2018-10-26T11:23:36Z,AIC464,"30.614136,76.840584",9975,293,101
1540553028,2018-10-26T11:23:48Z,AIC464,"30.610518,76.860458",10825,297,102
1540553040,2018-10-26T11:24:00Z,AIC464,"30.605301,76.8778",11500,310,113
1540553046,2018-10-26T11:24:06Z,AIC464,"30.600555,76.887375",11875,314,121
1540553053,2018-10-26T11:24:13Z,AIC464,"30.595247,76.895889",12325,315,125
1540553059,2018-10-26T11:24:19Z,AIC464,"30.590012,76.90403",12800,315,126
1540553065,2018-10-26T11:24:25Z,AIC464,"30.58548,76.911026",13250,315,126
1540553071,2018-10-26T11:24:31Z,AIC464,"30.579699,76.920059",13650,318,126
1540553103,2018-10-26T11:25:03Z,AIC464,"30.549347,76.967247",15775,332,126
1540553138,2018-10-26T11:25:38Z,AIC464,"30.519104,77.013947",17725,345,126
1540553167,2018-10-26T11:26:07Z,AIC464,"30.488892,77.060745",19375,359,126
1540553230,2018-10-26T11:27:10Z,AIC464,"30.41954,77.168129",20000,413,126
1540553245,2018-10-26T11:27:25Z,AIC464,"30.399124,77.193924",20000,414,138
1540553252,2018-10-26T11:27:32Z,AIC464,"30.389069,77.202682",20000,413,145
1540553262,2018-10-26T11:27:42Z,AIC464,"30.375847,77.211533",20000,413,151
