Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541143038,2018-11-02T07:17:18Z,AIC464,"30.670097,76.78598",0,2,202
1541143062,2018-11-02T07:17:42Z,AIC464,"30.670315,76.786087",0,9,210
1541143105,2018-11-02T07:18:25Z,AIC464,"30.670616,76.786316",0,2,253
1541143132,2018-11-02T07:18:52Z,AIC464,"30.670673,76.786522",0,2,281
1541143262,2018-11-02T07:21:02Z,AIC464,"30.670673,76.78669",0,0,180
1541143327,2018-11-02T07:22:07Z,AIC464,"30.670673,76.78669",0,0,180
1541143364,2018-11-02T07:22:44Z,AIC464,"30.67075,76.786476",0,16,295
1541143375,2018-11-02T07:22:55Z,AIC464,"30.670895,76.78611",0,21,295
1541143386,2018-11-02T07:23:06Z,AIC464,"30.671104,76.785576",0,27,295
1541143399,2018-11-02T07:23:19Z,AIC464,"30.671368,76.784904",0,32,295
1541143412,2018-11-02T07:23:32Z,AIC464,"30.671734,76.783936",0,16,295
1541143423,2018-11-02T07:23:43Z,AIC464,"30.672106,76.782951",0,16,292
1541143438,2018-11-02T07:23:58Z,AIC464,"30.672466,76.782478",0,20,348
1541143461,2018-11-02T07:24:21Z,AIC464,"30.673416,76.782974",0,26,25
1541143469,2018-11-02T07:24:29Z,AIC464,"30.673794,76.783173",0,25,22
1541143501,2018-11-02T07:25:01Z,AIC464,"30.674095,76.783325",0,0,23
1541144218,2018-11-02T07:36:58Z,AIC464,"30.674503,76.783546",0,25,25
1541144228,2018-11-02T07:37:08Z,AIC464,"30.675098,76.783813",0,33,11
1541144238,2018-11-02T07:37:18Z,AIC464,"30.675562,76.783516",0,32,309
1541144245,2018-11-02T07:37:25Z,AIC464,"30.675795,76.782814",0,16,289
1541144257,2018-11-02T07:37:37Z,AIC464,"30.676155,76.781761",0,18,292
1541144264,2018-11-02T07:37:44Z,AIC464,"30.676388,76.781151",0,20,295
1541144275,2018-11-02T07:37:55Z,AIC464,"30.67683,76.779907",0,22,289
1541144283,2018-11-02T07:38:03Z,AIC464,"30.676924,76.779221",0,19,275
1541144289,2018-11-02T07:38:09Z,AIC464,"30.676884,76.778671",0,15,261
1541144297,2018-11-02T07:38:17Z,AIC464,"30.67709,76.778221",0,24,329
1541144305,2018-11-02T07:38:25Z,AIC464,"30.677319,76.778275",0,23,22
1541144311,2018-11-02T07:38:31Z,AIC464,"30.677343,76.778679",0,24,115
1541144318,2018-11-02T07:38:38Z,AIC464,"30.67717,76.779114",0,17,115
1541144324,2018-11-02T07:38:44Z,AIC464,"30.676929,76.779747",0,32,115
1541144331,2018-11-02T07:38:51Z,AIC464,"30.676064,76.781921",0,66,115
1541144340,2018-11-02T07:39:00Z,AIC464,"30.674709,76.785454",0,100,115
1541144355,2018-11-02T07:39:15Z,AIC464,"30.671036,76.795135",1125,148,113
1541144361,2018-11-02T07:39:21Z,AIC464,"30.669296,76.799553",1350,144,114
1541144367,2018-11-02T07:39:27Z,AIC464,"30.667465,76.804237",1600,144,114
1541144378,2018-11-02T07:39:38Z,AIC464,"30.664352,76.812256",2075,141,113
1541144384,2018-11-02T07:39:44Z,AIC464,"30.662704,76.81678",2200,148,113
1541144390,2018-11-02T07:39:50Z,AIC464,"30.660965,76.821526",2375,156,112
1541144397,2018-11-02T07:39:57Z,AIC464,"30.659317,76.826157",2550,161,112
1541144409,2018-11-02T07:40:09Z,AIC464,"30.655998,76.836784",2950,178,108
1541144415,2018-11-02T07:40:15Z,AIC464,"30.654419,76.842468",3150,187,107
1541144428,2018-11-02T07:40:28Z,AIC464,"30.651169,76.854698",3675,203,107
1541144440,2018-11-02T07:40:40Z,AIC464,"30.647293,76.868149",4375,209,109
1541144450,2018-11-02T07:40:50Z,AIC464,"30.643337,76.879799",5050,213,111
1541144464,2018-11-02T07:41:04Z,AIC464,"30.638626,76.893852",5550,229,111
1541144476,2018-11-02T07:41:16Z,AIC464,"30.633774,76.907745",5950,247,112
1541144482,2018-11-02T07:41:22Z,AIC464,"30.630302,76.914902",6150,259,121
1541144490,2018-11-02T07:41:30Z,AIC464,"30.622879,76.925247",6500,270,131
1541144496,2018-11-02T07:41:36Z,AIC464,"30.618244,76.931107",6775,275,132
