Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541231254,2018-11-03T07:47:34Z,AIC464,"30.581747,76.933578",6275,263,128
1541231264,2018-11-03T07:47:44Z,AIC464,"30.573416,76.945717",6725,266,128
1541231279,2018-11-03T07:47:59Z,AIC464,"30.563639,76.960106",7350,270,128
1541231291,2018-11-03T07:48:11Z,AIC464,"30.553024,76.975601",7950,273,128
1541231302,2018-11-03T07:48:22Z,AIC464,"30.542587,76.988312",8475,273,138
1541231309,2018-11-03T07:48:29Z,AIC464,"30.536453,76.993889",8750,273,142
1541231318,2018-11-03T07:48:38Z,AIC464,"30.527048,77.001854",9150,275,144
1541231324,2018-11-03T07:48:44Z,AIC464,"30.520857,77.006912",9450,273,144
1541231342,2018-11-03T07:49:02Z,AIC464,"30.50235,77.022186",10350,273,144
1541231353,2018-11-03T07:49:13Z,AIC464,"30.48999,77.032417",10925,274,144
1541231366,2018-11-03T07:49:26Z,AIC464,"30.477264,77.042862",11225,285,144
1541231377,2018-11-03T07:49:37Z,AIC464,"30.464172,77.053581",11425,300,144
1541231390,2018-11-03T07:49:50Z,AIC464,"30.450657,77.064644",11725,311,144
1541231401,2018-11-03T07:50:01Z,AIC464,"30.435516,77.077065",12200,316,144
1541231435,2018-11-03T07:50:35Z,AIC464,"30.395233,77.110237",13800,318,144
1541231469,2018-11-03T07:51:09Z,AIC464,"30.35434,77.143745",14925,332,144
1541231498,2018-11-03T07:51:38Z,AIC464,"30.315125,77.175835",15875,347,144
1541231531,2018-11-03T07:52:11Z,AIC464,"30.271198,77.211746",17175,353,144
1541231565,2018-11-03T07:52:45Z,AIC464,"30.225857,77.248718",18175,366,144
1541231626,2018-11-03T07:53:46Z,AIC464,"30.138702,77.319679",20075,386,144
1541231689,2018-11-03T07:54:49Z,AIC464,"30.042709,77.397064",22025,402,148
1541231698,2018-11-03T07:54:58Z,AIC464,"30.02866,77.40538",22275,398,155
1541231705,2018-11-03T07:55:05Z,AIC464,"30.01799,77.409882",22450,394,160
1541231711,2018-11-03T07:55:11Z,AIC464,"30.007107,77.413071",22600,390,166
1541231717,2018-11-03T07:55:17Z,AIC464,"29.995834,77.414787",22750,383,174
1541231741,2018-11-03T07:55:41Z,AIC464,"29.954727,77.40757",23450,359,199
1541231747,2018-11-03T07:55:47Z,AIC464,"29.945984,77.403351",23650,354,203
1541231813,2018-11-03T07:56:53Z,AIC464,"29.845871,77.351463",24000,368,204
1541231876,2018-11-03T07:57:56Z,AIC464,"29.745529,77.299103",24000,369,204
1541231939,2018-11-03T07:58:59Z,AIC464,"29.644512,77.24649",24000,383,204
1541232000,2018-11-03T08:00:00Z,AIC464,"29.54731,77.195976",22950,377,204
1541232064,2018-11-03T08:01:04Z,AIC464,"29.448154,77.144379",20525,363,204
1541232127,2018-11-03T08:02:07Z,AIC464,"29.35207,77.094566",18150,354,204
1541232190,2018-11-03T08:03:10Z,AIC464,"29.261169,77.046593",16675,325,209
1541232198,2018-11-03T08:03:18Z,AIC464,"29.250732,77.038933",16400,320,214
1541232206,2018-11-03T08:03:26Z,AIC464,"29.243557,77.032417",16225,318,220
1541232214,2018-11-03T08:03:34Z,AIC464,"29.233595,77.021111",16075,314,226
1541232225,2018-11-03T08:03:45Z,AIC464,"29.225006,77.009827",16025,315,231
1541232231,2018-11-03T08:03:51Z,AIC464,"29.218231,76.997894",15975,315,240
1541232240,2018-11-03T08:04:00Z,AIC464,"29.214788,76.989334",15950,315,247
1541232249,2018-11-03T08:04:09Z,AIC464,"29.209351,76.973969",15875,314,246
1541232262,2018-11-03T08:04:22Z,AIC464,"29.197586,76.953575",15525,314,230
1541232270,2018-11-03T08:04:30Z,AIC464,"29.19142,76.946144",15325,314,225
1541232277,2018-11-03T08:04:37Z,AIC464,"29.18248,76.937042",15000,315,219
1541232283,2018-11-03T08:04:43Z,AIC464,"29.173962,76.930038",14775,316,213
1541232290,2018-11-03T08:04:50Z,AIC464,"29.166412,76.925583",14550,318,205
1541232297,2018-11-03T08:04:57Z,AIC464,"29.154007,76.921143",14250,320,194
1541232303,2018-11-03T08:05:03Z,AIC464,"29.1451,76.918571",14175,317,194
1541232309,2018-11-03T08:05:09Z,AIC464,"29.136673,76.916145",14100,313,194
1541232315,2018-11-03T08:05:15Z,AIC464,"29.12834,76.913719",14025,309,194
1541232353,2018-11-03T08:05:53Z,AIC464,"29.080078,76.899017",13575,286,195
1541232386,2018-11-03T08:06:26Z,AIC464,"29.038742,76.886337",13150,268,195
1541232419,2018-11-03T08:06:59Z,AIC464,"29.001392,76.874947",12750,253,194
1541232451,2018-11-03T08:07:31Z,AIC464,"28.963715,76.863518",12075,247,194
1541232486,2018-11-03T08:08:06Z,AIC464,"28.923651,76.851357",11250,245,195
1541232501,2018-11-03T08:08:21Z,AIC464,"28.910522,76.847374",11000,245,194
