Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541661044,2018-11-08T07:10:44Z,AIC464,"30.670498,76.786285",0,11,241
1541661058,2018-11-08T07:10:58Z,AIC464,"30.670601,76.786491",0,10,261
1541661077,2018-11-08T07:11:17Z,AIC464,"30.670647,76.786736",0,2,292
1541661754,2018-11-08T07:22:34Z,AIC464,"30.652954,76.839668",2800,187,123
1541661762,2018-11-08T07:22:42Z,AIC464,"30.647945,76.845573",3075,196,137
1541661769,2018-11-08T07:22:49Z,AIC464,"30.643105,76.850082",3275,205,141
1541661775,2018-11-08T07:22:55Z,AIC464,"30.638494,76.854362",3500,212,140
1541661781,2018-11-08T07:23:01Z,AIC464,"30.634415,76.858574",3775,219,137
1541661788,2018-11-08T07:23:08Z,AIC464,"30.629837,76.863976",4175,221,134
1541661796,2018-11-08T07:23:16Z,AIC464,"30.623598,76.872108",4775,219,130
1541661802,2018-11-08T07:23:22Z,AIC464,"30.619446,76.877907",5200,218,129
1541661818,2018-11-08T07:23:38Z,AIC464,"30.609678,76.891769",6050,226,128
1541661831,2018-11-08T07:23:51Z,AIC464,"30.601858,76.902977",6650,234,128
1541661841,2018-11-08T07:24:01Z,AIC464,"30.59334,76.915451",7275,241,128
1541661853,2018-11-08T07:24:13Z,AIC464,"30.584976,76.927673",7900,248,128
1541661865,2018-11-08T07:24:25Z,AIC464,"30.575417,76.94165",8275,266,128
1541661879,2018-11-08T07:24:39Z,AIC464,"30.566483,76.954704",8625,284,128
1541661889,2018-11-08T07:24:49Z,AIC464,"30.555771,76.970375",9075,299,128
1541661901,2018-11-08T07:25:01Z,AIC464,"30.545717,76.9851",9750,303,128
1541661915,2018-11-08T07:25:15Z,AIC464,"30.534485,77.001556",10350,309,128
1541661925,2018-11-08T07:25:25Z,AIC464,"30.524002,77.016907",10700,324,128
1541661937,2018-11-08T07:25:37Z,AIC464,"30.511826,77.034729",10950,343,128
1541661949,2018-11-08T07:25:49Z,AIC464,"30.500002,77.052063",11200,360,128
1541661963,2018-11-08T07:26:03Z,AIC464,"30.486082,77.072388",11475,378,128
1541661976,2018-11-08T07:26:16Z,AIC464,"30.473515,77.09079",11975,386,128
1541661987,2018-11-08T07:26:27Z,AIC464,"30.459362,77.111443",12475,392,128
1541662020,2018-11-08T07:27:00Z,AIC464,"30.421875,77.166245",14200,397,128
1541662037,2018-11-08T07:27:17Z,AIC464,"30.398941,77.195221",15275,394,138
1541662044,2018-11-08T07:27:24Z,AIC464,"30.390697,77.202194",15600,394,144
1541662052,2018-11-08T07:27:32Z,AIC464,"30.375778,77.212074",16050,394,151
1541662058,2018-11-08T07:27:38Z,AIC464,"30.365753,77.218163",16400,394,152
1541662065,2018-11-08T07:27:45Z,AIC464,"30.355364,77.224274",16775,393,152
1541662103,2018-11-08T07:28:23Z,AIC464,"30.297272,77.258286",18850,389,153
1541662164,2018-11-08T07:29:24Z,AIC464,"30.19029,77.320679",20000,441,153
1541662226,2018-11-08T07:30:26Z,AIC464,"30.076052,77.387314",21725,453,153
1541662248,2018-11-08T07:30:48Z,AIC464,"30.03001,77.4095",22800,446,164
1541662254,2018-11-08T07:30:54Z,AIC464,"30.017534,77.412636",23025,444,168
1541662262,2018-11-08T07:31:02Z,AIC464,"30.006546,77.414246",23275,441,173
1541662268,2018-11-08T07:31:08Z,AIC464,"29.994352,77.414719",23475,440,178
1541662288,2018-11-08T07:31:28Z,AIC464,"29.952408,77.405716",23950,435,198
1541662295,2018-11-08T07:31:35Z,AIC464,"29.940536,77.400024",23975,433,203
1541662357,2018-11-08T07:32:37Z,AIC464,"29.826096,77.340263",24000,432,204
1541662421,2018-11-08T07:33:41Z,AIC464,"29.709503,77.279526",24000,432,204
1541662483,2018-11-08T07:34:43Z,AIC464,"29.605362,77.225647",24000,373,204
1541662546,2018-11-08T07:35:46Z,AIC464,"29.511246,77.176575",24000,337,204
1541662606,2018-11-08T07:36:46Z,AIC464,"29.428299,77.133476",24000,319,204
1541662671,2018-11-08T07:37:51Z,AIC464,"29.345087,77.090363",24000,315,204
1541662733,2018-11-08T07:38:53Z,AIC464,"29.260921,77.046745",23925,317,204
1541662798,2018-11-08T07:39:58Z,AIC464,"29.176104,77.00296",22850,310,204
1541662871,2018-11-08T07:41:11Z,AIC464,"29.080719,76.948929",21525,293,224
1541662878,2018-11-08T07:41:18Z,AIC464,"29.075775,76.941322",21450,286,234
1541662890,2018-11-08T07:41:30Z,AIC464,"29.070282,76.924789",21350,279,256
1541662896,2018-11-08T07:41:36Z,AIC464,"29.069592,76.914856",21300,277,268
1541662916,2018-11-08T07:41:56Z,AIC464,"29.077927,76.887398",21125,275,299
1541662922,2018-11-08T07:42:02Z,AIC464,"29.080439,76.882698",21100,274,301
1541662990,2018-11-08T07:43:10Z,AIC464,"29.127409,76.798798",20300,270,293
1541662996,2018-11-08T07:43:16Z,AIC464,"29.129412,76.79023",20225,270,283
1541663005,2018-11-08T07:43:25Z,AIC464,"29.130482,76.778549",20125,271,272
1541663027,2018-11-08T07:43:47Z,AIC464,"29.124617,76.74823",19825,277,244
1541663035,2018-11-08T07:43:55Z,AIC464,"29.118193,76.737244",19650,280,232
1541663043,2018-11-08T07:44:03Z,AIC464,"29.109346,76.727867",19475,284,218
1541663049,2018-11-08T07:44:09Z,AIC464,"29.102097,76.722809",19375,288,209
1541663056,2018-11-08T07:44:16Z,AIC464,"29.095102,76.719467",19275,290,202
1541663062,2018-11-08T07:44:22Z,AIC464,"29.086908,76.717155",19175,296,191
1541663068,2018-11-08T07:44:28Z,AIC464,"29.078297,76.716347",19100,300,182
1541663088,2018-11-08T07:44:48Z,AIC464,"29.052973,76.722862",18825,312,160
1541663096,2018-11-08T07:44:56Z,AIC464,"29.041008,76.727867",18700,311,159
1541663158,2018-11-08T07:45:58Z,AIC464,"28.957397,76.762581",17625,298,159
1541663192,2018-11-08T07:46:32Z,AIC464,"28.913727,76.780701",17100,298,159
1541663225,2018-11-08T07:47:05Z,AIC464,"28.87175,76.798134",16550,299,159
1541663249,2018-11-08T07:47:29Z,AIC464,"28.841671,76.813065",16100,299,147
1541663255,2018-11-08T07:47:35Z,AIC464,"28.834808,76.819626",16000,301,140
1541663262,2018-11-08T07:47:42Z,AIC464,"28.829178,76.827286",15925,305,127
1541663269,2018-11-08T07:47:49Z,AIC464,"28.82361,76.839348",15775,308,115
1541663278,2018-11-08T07:47:58Z,AIC464,"28.821121,76.851059",15650,308,101
1541663313,2018-11-08T07:48:33Z,AIC464,"28.821281,76.912109",15050,304,89
1541663344,2018-11-08T07:49:04Z,AIC464,"28.821808,76.958961",14550,298,89
1541663374,2018-11-08T07:49:34Z,AIC464,"28.82226,77.006569",14050,297,89
1541663406,2018-11-08T07:50:06Z,AIC464,"28.822819,77.057999",13525,297,89
1541663438,2018-11-08T07:50:38Z,AIC464,"28.823273,77.105537",13000,294,89
1541663469,2018-11-08T07:51:09Z,AIC464,"28.82373,77.153076",12500,292,89
1541663499,2018-11-08T07:51:39Z,AIC464,"28.824142,77.199974",12000,290,89
1541663529,2018-11-08T07:52:09Z,AIC464,"28.824587,77.246056",11500,287,89
1541663564,2018-11-08T07:52:44Z,AIC464,"28.819979,77.297546",10850,287,111
1541663577,2018-11-08T07:52:57Z,AIC464,"28.811646,77.312004",10725,282,125
1541663585,2018-11-08T07:53:05Z,AIC464,"28.804895,77.322426",10575,278,126
1541663592,2018-11-08T07:53:12Z,AIC464,"28.799541,77.330612",10425,276,126
1541663608,2018-11-08T07:53:28Z,AIC464,"28.786926,77.350052",10075,275,126
1541663622,2018-11-08T07:53:42Z,AIC464,"28.776581,77.366142",9800,274,125
1541663634,2018-11-08T07:53:54Z,AIC464,"28.768398,77.379028",9550,273,125
1541663656,2018-11-08T07:54:16Z,AIC464,"28.75296,77.403168",9075,272,125
1541663666,2018-11-08T07:54:26Z,AIC464,"28.74353,77.417801",8825,272,126
1541663680,2018-11-08T07:54:40Z,AIC464,"28.73488,77.431099",8625,269,126
1541663690,2018-11-08T07:54:50Z,AIC464,"28.724266,77.444031",8350,267,138
1541663700,2018-11-08T07:55:00Z,AIC464,"28.714352,77.450165",8125,265,155
1541663707,2018-11-08T07:55:07Z,AIC464,"28.704901,77.452591",8000,261,170
1541663716,2018-11-08T07:55:16Z,AIC464,"28.6968,77.453293",7925,255,176
1541663724,2018-11-08T07:55:24Z,AIC464,"28.687042,77.45372",7825,249,178
1541663730,2018-11-08T07:55:30Z,AIC464,"28.679764,77.453934",7750,245,178
1541663749,2018-11-08T07:55:49Z,AIC464,"28.659094,77.454369",7575,232,179
1541663759,2018-11-08T07:55:59Z,AIC464,"28.647217,77.45462",7425,226,179
1541663772,2018-11-08T07:56:12Z,AIC464,"28.63385,77.454933",7275,220,178
1541663783,2018-11-08T07:56:23Z,AIC464,"28.623016,77.455177",7125,215,178
1541663796,2018-11-08T07:56:36Z,AIC464,"28.610167,77.455498",6925,212,178
1541663808,2018-11-08T07:56:48Z,AIC464,"28.598419,77.455727",6700,211,178
1541663819,2018-11-08T07:56:59Z,AIC464,"28.587311,77.455933",6475,210,179
1541663832,2018-11-08T07:57:12Z,AIC464,"28.575207,77.456146",6225,210,179
1541663843,2018-11-08T07:57:23Z,AIC464,"28.563538,77.456253",6000,209,179
1541663857,2018-11-08T07:57:37Z,AIC464,"28.551682,77.45636",5750,210,179
1541663870,2018-11-08T07:57:50Z,AIC464,"28.540293,77.456413",5550,208,179
1541663880,2018-11-08T07:58:00Z,AIC464,"28.528793,77.45652",5375,205,179
1541663892,2018-11-08T07:58:12Z,AIC464,"28.517075,77.456413",5150,203,183
1541663902,2018-11-08T07:58:22Z,AIC464,"28.509195,77.453773",4950,201,199
1541663909,2018-11-08T07:58:29Z,AIC464,"28.502958,77.448387",4825,197,219
1541663919,2018-11-08T07:58:39Z,AIC464,"28.498861,77.440956",4725,195,229
1541663928,2018-11-08T07:58:48Z,AIC464,"28.495743,77.431168",4600,194,251
1541663940,2018-11-08T07:59:00Z,AIC464,"28.492855,77.420006",4450,194,253
1541663954,2018-11-08T07:59:14Z,AIC464,"28.489838,77.408134",4350,192,254
1541663968,2018-11-08T07:59:28Z,AIC464,"28.486153,77.393616",4200,191,253
1541663977,2018-11-08T07:59:37Z,AIC464,"28.484056,77.385109",4100,191,254
1541663989,2018-11-08T07:59:49Z,AIC464,"28.482834,77.372169",3975,191,260
1541664009,2018-11-08T08:00:09Z,AIC464,"28.48564,77.352203",3800,190,282
1541664022,2018-11-08T08:00:22Z,AIC464,"28.48806,77.34095",3700,190,283
1541664028,2018-11-08T08:00:28Z,AIC464,"28.489334,77.334717",3650,189,283
1541664039,2018-11-08T08:00:39Z,AIC464,"28.491577,77.323677",3550,188,283
1541664046,2018-11-08T08:00:46Z,AIC464,"28.492859,77.317497",3500,188,283
1541664052,2018-11-08T08:00:52Z,AIC464,"28.494141,77.311531",3450,188,283
1541664064,2018-11-08T08:01:04Z,AIC464,"28.496441,77.30072",3350,188,283
1541664070,2018-11-08T08:01:10Z,AIC464,"28.497803,77.294472",3275,185,283
1541664082,2018-11-08T08:01:22Z,AIC464,"28.50032,77.282959",3175,179,284
1541664093,2018-11-08T08:01:33Z,AIC464,"28.502678,77.272285",3100,177,284
1541664100,2018-11-08T08:01:40Z,AIC464,"28.503937,77.266525",3025,176,283
1541664111,2018-11-08T08:01:51Z,AIC464,"28.506123,77.256615",2925,170,283
1541664117,2018-11-08T08:01:57Z,AIC464,"28.507286,77.251122",2900,167,283
1541664123,2018-11-08T08:02:03Z,AIC464,"28.508451,77.245842",2850,167,283
1541664129,2018-11-08T08:02:09Z,AIC464,"28.509567,77.240509",2800,167,283
1541664135,2018-11-08T08:02:15Z,AIC464,"28.510452,77.236092",2750,167,283
