Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541749184,2018-11-09T07:39:44Z,AIC464,"30.670143,76.78595",0,9,205
1541749208,2018-11-09T07:40:08Z,AIC464,"30.670383,76.786102",0,9,199
1541749285,2018-11-09T07:41:25Z,AIC464,"30.670887,76.78614",0,2,115
1541749329,2018-11-09T07:42:09Z,AIC464,"30.670979,76.785927",0,0,280
1541749505,2018-11-09T07:45:05Z,AIC464,"30.67079,76.786369",0,17,115
1541749519,2018-11-09T07:45:19Z,AIC464,"30.670593,76.786865",0,22,112
1541749529,2018-11-09T07:45:29Z,AIC464,"30.670383,76.787422",0,26,112
1541749545,2018-11-09T07:45:45Z,AIC464,"30.669975,76.788406",0,32,126
1541749554,2018-11-09T07:45:54Z,AIC464,"30.669479,76.78878",0,34,143
1541749570,2018-11-09T07:46:10Z,AIC464,"30.668999,76.789886",0,16,112
1541749576,2018-11-09T07:46:16Z,AIC464,"30.6688,76.790367",0,16,115
1541749583,2018-11-09T07:46:23Z,AIC464,"30.668598,76.790878",0,17,115
1541749593,2018-11-09T07:46:33Z,AIC464,"30.668591,76.791702",0,31,53
1541749600,2018-11-09T07:46:40Z,AIC464,"30.66893,76.791885",0,31,22
1541749606,2018-11-09T07:46:46Z,AIC464,"30.669277,76.792061",0,33,22
1541749618,2018-11-09T07:46:58Z,AIC464,"30.670092,76.79248",0,16,25
1541749627,2018-11-09T07:47:07Z,AIC464,"30.670803,76.792839",0,18,25
1541749633,2018-11-09T07:47:13Z,AIC464,"30.671209,76.793045",0,33,25
1541749642,2018-11-09T07:47:22Z,AIC464,"30.671524,76.793304",0,27,53
1541749651,2018-11-09T07:47:31Z,AIC464,"30.671453,76.793938",0,28,112
1541749658,2018-11-09T07:47:38Z,AIC464,"30.671337,76.794228",0,30,115
1541749664,2018-11-09T07:47:44Z,AIC464,"30.671152,76.794724",0,15,115
1541749671,2018-11-09T07:47:51Z,AIC464,"30.670887,76.795403",0,18,115
1541749714,2018-11-09T07:48:34Z,AIC464,"30.668884,76.800629",0,22,112
1541749721,2018-11-09T07:48:41Z,AIC464,"30.668839,76.801086",0,16,87
1541749727,2018-11-09T07:48:47Z,AIC464,"30.668827,76.801567",0,29,118
1541749734,2018-11-09T07:48:54Z,AIC464,"30.668568,76.801613",0,26,202
1541749741,2018-11-09T07:49:01Z,AIC464,"30.668552,76.801178",0,25,300
1541749751,2018-11-09T07:49:11Z,AIC464,"30.668896,76.800507",0,21,298
1541749771,2018-11-09T07:49:31Z,AIC464,"30.67123,76.794502",0,98,295
1541749781,2018-11-09T07:49:41Z,AIC464,"30.673782,76.787872",0,140,292
1541749787,2018-11-09T07:49:47Z,AIC464,"30.675922,76.782295",1075,157,293
1541749793,2018-11-09T07:49:53Z,AIC464,"30.677765,76.77758",1275,156,294
1541749801,2018-11-09T07:50:01Z,AIC464,"30.679642,76.773056",1500,155,295
1541749811,2018-11-09T07:50:11Z,AIC464,"30.683624,76.764114",2000,153,297
1541749817,2018-11-09T07:50:17Z,AIC464,"30.685547,76.75975",2225,152,296
1541749823,2018-11-09T07:50:23Z,AIC464,"30.687332,76.755714",2450,152,296
1541749835,2018-11-09T07:50:35Z,AIC464,"30.691238,76.746422",2850,156,295
1541749841,2018-11-09T07:50:41Z,AIC464,"30.6931,76.741982",2975,163,295
1541749847,2018-11-09T07:50:47Z,AIC464,"30.695251,76.736755",3125,169,295
1541749854,2018-11-09T07:50:54Z,AIC464,"30.697266,76.731911",3225,177,295
1541749860,2018-11-09T07:51:00Z,AIC464,"30.699463,76.726578",3375,185,295
1541749866,2018-11-09T07:51:06Z,AIC464,"30.701889,76.720703",3500,191,295
1541749872,2018-11-09T07:51:12Z,AIC464,"30.704178,76.714996",3650,198,295
1541749878,2018-11-09T07:51:18Z,AIC464,"30.706604,76.709023",3750,206,294
1541749885,2018-11-09T07:51:25Z,AIC464,"30.70871,76.70385",3925,215,295
1541749896,2018-11-09T07:51:36Z,AIC464,"30.713516,76.688774",4325,231,283
1541749902,2018-11-09T07:51:42Z,AIC464,"30.713974,76.681229",4525,240,270
1541749923,2018-11-09T07:52:03Z,AIC464,"30.703354,76.654953",5250,270,225
1541749929,2018-11-09T07:52:09Z,AIC464,"30.69722,76.64978",5525,275,214
1541749935,2018-11-09T07:52:15Z,AIC464,"30.689529,76.646278",5850,279,197
1541749941,2018-11-09T07:52:21Z,AIC464,"30.681839,76.645203",6200,282,183
1541749963,2018-11-09T07:52:43Z,AIC464,"30.656557,76.656723",7375,288,142
1541749969,2018-11-09T07:52:49Z,AIC464,"30.650803,76.663139",7675,289,134
1541749981,2018-11-09T07:53:01Z,AIC464,"30.640123,76.678307",8425,288,127
1541749995,2018-11-09T07:53:15Z,AIC464,"30.630295,76.692436",9100,289,129
1541750006,2018-11-09T07:53:26Z,AIC464,"30.62034,76.705719",9625,296,131
1541750017,2018-11-09T07:53:37Z,AIC464,"30.608276,76.720818",10150,302,133
1541750031,2018-11-09T07:53:51Z,AIC464,"30.596375,76.735298",10675,308,133
1541750041,2018-11-09T07:54:01Z,AIC464,"30.583923,76.750275",11200,316,134
1541750055,2018-11-09T07:54:15Z,AIC464,"30.571426,76.76503",11600,326,134
1541750065,2018-11-09T07:54:25Z,AIC464,"30.558193,76.780594",11925,340,134
1541750077,2018-11-09T07:54:37Z,AIC464,"30.54446,76.796684",12250,352,134
1541750109,2018-11-09T07:55:09Z,AIC464,"30.50894,76.838486",13075,362,134
1541750140,2018-11-09T07:55:40Z,AIC464,"30.46994,76.884369",13975,361,134
1541750175,2018-11-09T07:56:15Z,AIC464,"30.430361,76.930885",14775,366,134
