Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1541835793,2018-11-10T07:43:13Z,AIC464,"30.670715,76.786369",0,10,275
1541835960,2018-11-10T07:46:00Z,AIC464,"30.670898,76.78611",0,16,295
1541835977,2018-11-10T07:46:17Z,AIC464,"30.671127,76.785522",0,21,295
1541835983,2018-11-10T07:46:23Z,AIC464,"30.67123,76.78524",0,23,295
1541835989,2018-11-10T07:46:29Z,AIC464,"30.671356,76.784927",0,25,292
1541835999,2018-11-10T07:46:39Z,AIC464,"30.671539,76.784431",0,28,292
1541836008,2018-11-10T07:46:48Z,AIC464,"30.671734,76.783958",0,30,295
1541836016,2018-11-10T07:46:56Z,AIC464,"30.671963,76.783356",0,33,292
1541836027,2018-11-10T07:47:07Z,AIC464,"30.672234,76.782707",0,21,303
1541836123,2018-11-10T07:48:43Z,AIC464,"30.675716,76.782921",0,26,295
1541836134,2018-11-10T07:48:54Z,AIC464,"30.675982,76.782242",0,31,295
1541836140,2018-11-10T07:49:00Z,AIC464,"30.676109,76.781921",0,33,295
1541836147,2018-11-10T07:49:07Z,AIC464,"30.676346,76.781319",0,16,295
1541836153,2018-11-10T07:49:13Z,AIC464,"30.676506,76.780891",0,17,292
1541836162,2018-11-10T07:49:22Z,AIC464,"30.676807,76.780098",0,16,292
1541836172,2018-11-10T07:49:32Z,AIC464,"30.676884,76.779411",0,32,270
1541836182,2018-11-10T07:49:42Z,AIC464,"30.676861,76.778709",0,22,267
1541836189,2018-11-10T07:49:49Z,AIC464,"30.676929,76.778412",0,23,289
1541836195,2018-11-10T07:49:55Z,AIC464,"30.67709,76.778198",0,19,331
1541836204,2018-11-10T07:50:04Z,AIC464,"30.677366,76.778267",0,19,42
1541836211,2018-11-10T07:50:11Z,AIC464,"30.677437,76.778473",0,16,56
1541836219,2018-11-10T07:50:19Z,AIC464,"30.677341,76.778709",0,15,101
1541836231,2018-11-10T07:50:31Z,AIC464,"30.677238,76.778984",0,17,112
1541836240,2018-11-10T07:50:40Z,AIC464,"30.677055,76.779449",0,34,115
1541836247,2018-11-10T07:50:47Z,AIC464,"30.676495,76.780838",0,47,115
1541836254,2018-11-10T07:50:54Z,AIC464,"30.675621,76.783119",0,80,112
1541836262,2018-11-10T07:51:02Z,AIC464,"30.674091,76.787148",0,110,115
1541836269,2018-11-10T07:51:09Z,AIC464,"30.672443,76.791412",0,140,115
1541836280,2018-11-10T07:51:20Z,AIC464,"30.668755,76.800919",1050,170,114
1541836288,2018-11-10T07:51:28Z,AIC464,"30.6668,76.805862",1300,167,114
1541836295,2018-11-10T07:51:35Z,AIC464,"30.66481,76.810806",1575,163,114
1541836304,2018-11-10T07:51:44Z,AIC464,"30.661194,76.819962",1975,163,114
1541836311,2018-11-10T07:51:51Z,AIC464,"30.65921,76.825027",2100,169,113
1541836317,2018-11-10T07:51:57Z,AIC464,"30.657255,76.830193",2200,175,113
1541836324,2018-11-10T07:52:04Z,AIC464,"30.655472,76.83477",2325,183,115
1541836335,2018-11-10T07:52:15Z,AIC464,"30.649342,76.846451",2525,198,126
1541836343,2018-11-10T07:52:23Z,AIC464,"30.645897,76.851669",2625,205,127
1541836351,2018-11-10T07:52:31Z,AIC464,"30.640497,76.859474",2775,216,128
1541836362,2018-11-10T07:52:42Z,AIC464,"30.632401,76.870964",3050,232,129
1541836370,2018-11-10T07:52:50Z,AIC464,"30.628235,76.876884",3200,242,129
1541836380,2018-11-10T07:53:00Z,AIC464,"30.6194,76.889328",3550,256,129
1541836387,2018-11-10T07:53:07Z,AIC464,"30.614685,76.89595",3775,260,129
1541836394,2018-11-10T07:53:14Z,AIC464,"30.609741,76.902893",4025,263,129
1541836404,2018-11-10T07:53:24Z,AIC464,"30.600555,76.915886",4600,266,129
1541836410,2018-11-10T07:53:30Z,AIC464,"30.595854,76.922478",4900,267,129
1541836416,2018-11-10T07:53:36Z,AIC464,"30.590973,76.929443",5175,270,128
1541836430,2018-11-10T07:53:50Z,AIC464,"30.581039,76.943665",5650,279,128
1541836441,2018-11-10T07:54:01Z,AIC464,"30.571198,76.957611",6175,282,129
1541836454,2018-11-10T07:54:14Z,AIC464,"30.560799,76.972305",6675,287,129
1541836465,2018-11-10T07:54:25Z,AIC464,"30.550652,76.986748",7200,291,129
1541836477,2018-11-10T07:54:37Z,AIC464,"30.540115,77.00161",7725,296,129
1541836489,2018-11-10T07:54:49Z,AIC464,"30.52977,77.016258",8325,295,129
1541836501,2018-11-10T07:55:01Z,AIC464,"30.519012,77.031448",8950,295,129
1541836514,2018-11-10T07:55:14Z,AIC464,"30.508614,77.046127",9425,299,129
1541836524,2018-11-10T07:55:24Z,AIC464,"30.497581,77.061729",9850,305,129
1541836542,2018-11-10T07:55:42Z,AIC464,"30.483902,77.080994",10275,318,129
1541836554,2018-11-10T07:55:54Z,AIC464,"30.472458,77.097099",10500,330,129
1541836567,2018-11-10T07:56:07Z,AIC464,"30.460106,77.114464",10700,345,129
1541836577,2018-11-10T07:56:17Z,AIC464,"30.447464,77.132263",10900,358,129
1541836591,2018-11-10T07:56:31Z,AIC464,"30.434647,77.150467",11100,371,129
1541836602,2018-11-10T07:56:42Z,AIC464,"30.422306,77.167915",11350,381,129
1541836613,2018-11-10T07:56:53Z,AIC464,"30.407227,77.188004",11700,387,134
1541836619,2018-11-10T07:56:59Z,AIC464,"30.398844,77.196533",11925,388,140
1541836627,2018-11-10T07:57:07Z,AIC464,"30.390652,77.203178",12125,389,146
1541836634,2018-11-10T07:57:14Z,AIC464,"30.37587,77.212616",12500,389,152
1541836641,2018-11-10T07:57:21Z,AIC464,"30.366211,77.218376",12750,389,152
1541836649,2018-11-10T07:57:29Z,AIC464,"30.353315,77.225922",13025,393,153
1541836682,2018-11-10T07:58:02Z,AIC464,"30.300945,77.25663",14225,398,153
1541836712,2018-11-10T07:58:32Z,AIC464,"30.252205,77.285248",15625,394,153
1541836743,2018-11-10T07:59:03Z,AIC464,"30.197599,77.317215",16975,396,153
1541836777,2018-11-10T07:59:37Z,AIC464,"30.143831,77.348587",17975,385,152
1541836807,2018-11-10T08:00:07Z,AIC464,"30.095444,77.376816",18000,383,153
1541836861,2018-11-10T08:01:01Z,AIC464,"30.006134,77.42437",17975,406,165
1541836867,2018-11-10T08:01:07Z,AIC464,"29.994873,77.426414",17975,410,172
1541836891,2018-11-10T08:01:31Z,AIC464,"29.949894,77.420212",18000,411,192
1541836897,2018-11-10T08:01:37Z,AIC464,"29.938339,77.417313",18000,411,192
1541836960,2018-11-10T08:02:40Z,AIC464,"29.821014,77.389122",18000,413,191
1541837024,2018-11-10T08:03:44Z,AIC464,"29.701538,77.360863",18000,413,191
1541837104,2018-11-10T08:05:04Z,AIC464,"29.549789,77.340683",18000,427,173
