Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1542010866,2018-11-12T08:21:06Z,AIC464,"30.576965,76.94178",6525,245,130
1542010878,2018-11-12T08:21:18Z,AIC464,"30.567875,76.954117",7000,250,130
1542010888,2018-11-12T08:21:28Z,AIC464,"30.559662,76.965744",7475,251,128
1542010900,2018-11-12T08:21:40Z,AIC464,"30.55051,76.979279",8000,255,127
1542010912,2018-11-12T08:21:52Z,AIC464,"30.541155,76.993118",8600,257,128
1542010927,2018-11-12T08:22:07Z,AIC464,"30.531937,77.006577",9125,259,128
1542010937,2018-11-12T08:22:17Z,AIC464,"30.522953,77.019707",9575,264,128
1542010950,2018-11-12T08:22:30Z,AIC464,"30.514433,77.032234",10050,268,128
1542010964,2018-11-12T08:22:44Z,AIC464,"30.504181,77.047279",10425,276,128
1542010974,2018-11-12T08:22:54Z,AIC464,"30.494602,77.061348",10675,289,128
1542010986,2018-11-12T08:23:06Z,AIC464,"30.484453,77.076286",10925,302,127
1542010998,2018-11-12T08:23:18Z,AIC464,"30.474491,77.090897",11125,317,127
1542011012,2018-11-12T08:23:32Z,AIC464,"30.461838,77.109589",11375,331,128
1542011022,2018-11-12T08:23:42Z,AIC464,"30.451172,77.125259",11575,345,127
1542011034,2018-11-12T08:23:54Z,AIC464,"30.438263,77.144592",11775,357,127
1542011046,2018-11-12T08:24:06Z,AIC464,"30.42617,77.162643",12175,364,127
1542011076,2018-11-12T08:24:36Z,AIC464,"30.395819,77.208015",14125,347,127
1542011110,2018-11-12T08:25:10Z,AIC464,"30.363371,77.256081",16275,325,127
1542011143,2018-11-12T08:25:43Z,AIC464,"30.331787,77.29921",17425,332,137
1542011150,2018-11-12T08:25:50Z,AIC464,"30.323273,77.306427",17525,335,144
1542011158,2018-11-12T08:25:58Z,AIC464,"30.31356,77.312111",17600,341,155
1542011164,2018-11-12T08:26:04Z,AIC464,"30.303785,77.316231",17700,344,160
1542011171,2018-11-12T08:26:11Z,AIC464,"30.292007,77.320732",17825,350,161
1542011179,2018-11-12T08:26:19Z,AIC464,"30.278973,77.325676",17950,358,161
1542011213,2018-11-12T08:26:53Z,AIC464,"30.222643,77.347427",18000,400,161
1542011277,2018-11-12T08:27:57Z,AIC464,"30.102261,77.393684",18000,436,161
1542011320,2018-11-12T08:28:40Z,AIC464,"30.021212,77.4217",18000,427,171
1542011326,2018-11-12T08:28:46Z,AIC464,"30.009521,77.422859",18000,423,176
1542011348,2018-11-12T08:29:08Z,AIC464,"29.968826,77.415054",18000,408,200
1542011355,2018-11-12T08:29:15Z,AIC464,"29.952942,77.407135",18025,406,203
1542011418,2018-11-12T08:30:18Z,AIC464,"29.845322,77.35125",18000,406,204
1542011479,2018-11-12T08:31:19Z,AIC464,"29.741434,77.297005",18000,406,204
1542011544,2018-11-12T08:32:24Z,AIC464,"29.634796,77.241226",16725,403,204
1542011592,2018-11-12T08:33:12Z,AIC464,"29.546173,77.194962",16075,405,204
1542011627,2018-11-12T08:33:47Z,AIC464,"29.489353,77.165436",16000,405,204
1542011663,2018-11-12T08:34:23Z,AIC464,"29.425762,77.132477",15625,401,204
1542011697,2018-11-12T08:34:57Z,AIC464,"29.369761,77.103455",15075,399,204
1542011729,2018-11-12T08:35:29Z,AIC464,"29.316738,77.076042",14550,397,204
1542011764,2018-11-12T08:36:04Z,AIC464,"29.257553,77.04538",13950,393,204
1542011798,2018-11-12T08:36:38Z,AIC464,"29.199417,77.015266",13450,391,204
1542011834,2018-11-12T08:37:14Z,AIC464,"29.141235,76.985184",13125,387,204
1542011868,2018-11-12T08:37:48Z,AIC464,"29.08663,76.957077",13000,351,204
1542011905,2018-11-12T08:38:25Z,AIC464,"29.037657,76.931763",13000,310,204
