Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1542095652,2018-11-13T07:54:12Z,AIC464,"30.585938,76.932915",5550,278,139
1542095664,2018-11-13T07:54:24Z,AIC464,"30.574858,76.942642",6150,280,143
1542095676,2018-11-13T07:54:36Z,AIC464,"30.562408,76.953308",6725,281,143
1542095689,2018-11-13T07:54:49Z,AIC464,"30.547989,76.965691",7375,285,143
1542095702,2018-11-13T07:55:02Z,AIC464,"30.536127,76.975876",7925,287,143
1542095712,2018-11-13T07:55:12Z,AIC464,"30.523727,76.986534",8550,288,143
1542095725,2018-11-13T07:55:25Z,AIC464,"30.509033,76.999161",9100,291,143
1542095740,2018-11-13T07:55:40Z,AIC464,"30.492832,77.012955",9750,296,143
1542095752,2018-11-13T07:55:52Z,AIC464,"30.479099,77.024704",10275,300,143
1542095764,2018-11-13T07:56:04Z,AIC464,"30.465134,77.036575",10550,312,143
1542095778,2018-11-13T07:56:18Z,AIC464,"30.451767,77.047981",10750,326,143
1542095788,2018-11-13T07:56:28Z,AIC464,"30.43576,77.061623",10925,340,143
1542095801,2018-11-13T07:56:41Z,AIC464,"30.419449,77.075661",11150,355,143
1542095815,2018-11-13T07:56:55Z,AIC464,"30.400799,77.091614",11575,363,143
1542095828,2018-11-13T07:57:08Z,AIC464,"30.382599,77.10717",12200,363,143
1542095861,2018-11-13T07:57:41Z,AIC464,"30.33696,77.146049",13425,374,143
1542095893,2018-11-13T07:58:13Z,AIC464,"30.292236,77.184074",15325,360,143
1542095927,2018-11-13T07:58:47Z,AIC464,"30.248428,77.221336",17300,341,143
1542095962,2018-11-13T07:59:22Z,AIC464,"30.205399,77.257797",18025,361,143
1542096021,2018-11-13T08:00:21Z,AIC464,"30.116135,77.333466",18000,414,143
1542096084,2018-11-13T08:01:24Z,AIC464,"30.018997,77.411819",18025,378,155
1542096093,2018-11-13T08:01:33Z,AIC464,"30.004173,77.417084",18000,370,166
1542096119,2018-11-13T08:01:59Z,AIC464,"29.962044,77.411423",18025,362,198
1542096126,2018-11-13T08:02:06Z,AIC464,"29.950012,77.405357",18000,372,204
1542096189,2018-11-13T08:03:09Z,AIC464,"29.846924,77.35157",18000,386,204
1542096249,2018-11-13T08:04:09Z,AIC464,"29.751297,77.301704",18000,383,204
1542096313,2018-11-13T08:05:13Z,AIC464,"29.648888,77.248215",18000,383,204
1542096376,2018-11-13T08:06:16Z,AIC464,"29.546053,77.194733",17375,383,204
1542096408,2018-11-13T08:06:48Z,AIC464,"29.492569,77.166916",16825,382,204
1542096440,2018-11-13T08:07:20Z,AIC464,"29.442123,77.140869",16300,376,204
1542096471,2018-11-13T08:07:51Z,AIC464,"29.392757,77.115135",16000,372,204
1542096504,2018-11-13T08:08:24Z,AIC464,"29.341457,77.088585",15975,371,204
1542096539,2018-11-13T08:08:59Z,AIC464,"29.289644,77.061768",15550,353,204
1542096571,2018-11-13T08:09:31Z,AIC464,"29.241928,77.037102",15075,331,204
1542096604,2018-11-13T08:10:04Z,AIC464,"29.197266,77.014053",14675,309,204
1542096635,2018-11-13T08:10:35Z,AIC464,"29.158722,76.994034",14350,290,204
1542096668,2018-11-13T08:11:08Z,AIC464,"29.119822,76.97393",14000,272,204
1542096701,2018-11-13T08:11:41Z,AIC464,"29.082439,76.954704",13425,264,204
1542096713,2018-11-13T08:11:53Z,AIC464,"29.069963,76.946358",13100,260,217
1542096719,2018-11-13T08:11:59Z,AIC464,"29.064423,76.940636",12975,258,223
1542096727,2018-11-13T08:12:07Z,AIC464,"29.057209,76.932137",12800,256,226
1542096733,2018-11-13T08:12:13Z,AIC464,"29.054489,76.928802",12750,255,227
1542096739,2018-11-13T08:12:19Z,AIC464,"29.049852,76.923035",12625,254,227
1542096773,2018-11-13T08:12:53Z,AIC464,"29.021736,76.887062",12025,248,228
1542096808,2018-11-13T08:13:28Z,AIC464,"28.996038,76.854263",12000,250,228
1542096843,2018-11-13T08:14:03Z,AIC464,"28.97011,76.821091",11900,247,228
1542096853,2018-11-13T08:14:13Z,AIC464,"28.960752,76.809082",11775,242,228
1542096868,2018-11-13T08:14:28Z,AIC464,"28.949982,76.795334",11575,235,228
1542096889,2018-11-13T08:14:49Z,AIC464,"28.935562,76.776901",11200,233,228
1542096902,2018-11-13T08:15:02Z,AIC464,"28.924988,76.763374",10900,233,228
1542096917,2018-11-13T08:15:17Z,AIC464,"28.915421,76.749481",10600,233,228
1542096929,2018-11-13T08:15:29Z,AIC464,"28.908148,76.736267",10325,229,238
1542096937,2018-11-13T08:15:37Z,AIC464,"28.904518,76.729324",10175,228,238
