Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1542180603,2018-11-14T07:30:03Z,AIC464,"30.613724,76.971832",6925,272,109
1542180615,2018-11-14T07:30:15Z,AIC464,"30.608734,76.98793",6975,275,109
1542180626,2018-11-14T07:30:26Z,AIC464,"30.603516,77.004517",7100,274,109
1542180637,2018-11-14T07:30:37Z,AIC464,"30.598572,77.020081",7525,275,110
1542180649,2018-11-14T07:30:49Z,AIC464,"30.59306,77.037231",8175,280,110
1542180662,2018-11-14T07:31:02Z,AIC464,"30.587008,77.056015",8900,285,110
1542180675,2018-11-14T07:31:15Z,AIC464,"30.581085,77.074211",9575,289,110
1542180687,2018-11-14T07:31:27Z,AIC464,"30.575697,77.090843",10250,290,110
1542180697,2018-11-14T07:31:37Z,AIC464,"30.570465,77.107277",10625,300,110
1542180710,2018-11-14T07:31:50Z,AIC464,"30.564058,77.127098",10900,320,110
1542180723,2018-11-14T07:32:03Z,AIC464,"30.556051,77.148636",11125,338,116
1542180729,2018-11-14T07:32:09Z,AIC464,"30.551514,77.156715",11200,345,122
1542180735,2018-11-14T07:32:15Z,AIC464,"30.544876,77.165543",11300,352,129
1542180741,2018-11-14T07:32:21Z,AIC464,"30.536592,77.173409",11425,361,141
1542180748,2018-11-14T07:32:28Z,AIC464,"30.527115,77.179497",11675,365,153
1542180756,2018-11-14T07:32:36Z,AIC464,"30.514938,77.185577",12075,367,157
1542180763,2018-11-14T07:32:43Z,AIC464,"30.50354,77.190964",12450,369,157
1542180771,2018-11-14T07:32:51Z,AIC464,"30.488596,77.19796",12925,369,157
1542180805,2018-11-14T07:33:25Z,AIC464,"30.437485,77.222359",14325,380,157
1542180838,2018-11-14T07:33:58Z,AIC464,"30.383331,77.248428",15700,390,157
1542180872,2018-11-14T07:34:32Z,AIC464,"30.326935,77.275513",16950,403,157
1542180905,2018-11-14T07:35:05Z,AIC464,"30.267334,77.304169",18500,406,157
1542180967,2018-11-14T07:36:07Z,AIC464,"30.162735,77.354195",20000,402,157
1542181028,2018-11-14T07:37:08Z,AIC464,"30.052774,77.406815",20000,403,157
