Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543306503,2018-11-27T08:15:03Z,AIC464,"30.670315,76.786087",0,9,202
1543306569,2018-11-27T08:16:09Z,AIC464,"30.670698,76.78643",0,2,275
1543306605,2018-11-27T08:16:45Z,AIC464,"30.670681,76.786667",0,0,104
1543306656,2018-11-27T08:17:36Z,AIC464,"30.67067,76.786652",0,0,243
1543307116,2018-11-27T08:25:16Z,AIC464,"30.580124,76.934776",7025,284,127
1543307129,2018-11-27T08:25:29Z,AIC464,"30.570602,76.948944",7550,294,127
1543307140,2018-11-27T08:25:40Z,AIC464,"30.559937,76.964722",8250,298,128
1543307153,2018-11-27T08:25:53Z,AIC464,"30.549486,76.980103",8975,301,128
1543307163,2018-11-27T08:26:03Z,AIC464,"30.540024,76.993912",9600,302,128
1543307176,2018-11-27T08:26:16Z,AIC464,"30.528679,77.010483",10325,304,128
1543307190,2018-11-27T08:26:30Z,AIC464,"30.517179,77.027344",10725,319,128
1543307201,2018-11-27T08:26:41Z,AIC464,"30.5061,77.043549",11025,335,128
1543307213,2018-11-27T08:26:53Z,AIC464,"30.494322,77.060745",11425,345,128
1543307226,2018-11-27T08:27:06Z,AIC464,"30.481613,77.079216",11925,355,128
1543307238,2018-11-27T08:27:18Z,AIC464,"30.469116,77.097366",12275,366,128
1543307270,2018-11-27T08:27:50Z,AIC464,"30.43413,77.14962",14250,365,126
1543307304,2018-11-27T08:28:24Z,AIC464,"30.400705,77.202026",15700,374,125
1543307338,2018-11-27T08:28:58Z,AIC464,"30.366631,77.257286",17200,381,125
1543307367,2018-11-27T08:29:27Z,AIC464,"30.336092,77.307274",18700,380,125
1543307399,2018-11-27T08:29:59Z,AIC464,"30.301317,77.360008",19825,377,135
1543307406,2018-11-27T08:30:06Z,AIC464,"30.292425,77.368362",19925,371,142
1543307413,2018-11-27T08:30:13Z,AIC464,"30.283447,77.374825",20000,371,142
1543307420,2018-11-27T08:30:20Z,AIC464,"30.270905,77.380966",20025,362,160
1543307427,2018-11-27T08:30:27Z,AIC464,"30.260817,77.383797",20025,361,167
1543307434,2018-11-27T08:30:34Z,AIC464,"30.249504,77.386047",20050,363,170
1543307443,2018-11-27T08:30:43Z,AIC464,"30.23497,77.388771",20025,377,170
1543307449,2018-11-27T08:30:49Z,AIC464,"30.224833,77.39061",20000,386,170
1543307513,2018-11-27T08:31:53Z,AIC464,"30.106962,77.412361",20000,404,171
1543307587,2018-11-27T08:33:07Z,AIC464,"29.969492,77.422684",20000,399,191
1543307595,2018-11-27T08:33:15Z,AIC464,"29.955992,77.419777",20000,401,190
1543307657,2018-11-27T08:34:17Z,AIC464,"29.841148,77.393997",20000,399,191
1543307722,2018-11-27T08:35:22Z,AIC464,"29.725187,77.366318",20000,402,191
1543307741,2018-11-27T08:35:41Z,AIC464,"29.688038,77.353874",20000,398,202
1543307750,2018-11-27T08:35:50Z,AIC464,"29.673248,77.345543",20000,396,207
