Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543477081,2018-11-29T07:38:01Z,AIC464,"30.668673,76.791756",0,24,28
1543477088,2018-11-29T07:38:08Z,AIC464,"30.668919,76.791878",0,24,22
1543477099,2018-11-29T07:38:19Z,AIC464,"30.66943,76.792137",0,26,25
1543477105,2018-11-29T07:38:25Z,AIC464,"30.66972,76.79229",0,28,25
1543477114,2018-11-29T07:38:34Z,AIC464,"30.670151,76.792511",0,30,25
1543477120,2018-11-29T07:38:40Z,AIC464,"30.670523,76.792717",0,30,25
1543477130,2018-11-29T07:38:50Z,AIC464,"30.671047,76.792976",0,32,22
1543477136,2018-11-29T07:38:56Z,AIC464,"30.671373,76.793144",0,27,25
1543477143,2018-11-29T07:39:03Z,AIC464,"30.671606,76.793419",0,26,61
1543477154,2018-11-29T07:39:14Z,AIC464,"30.671442,76.793983",0,26,115
1543477160,2018-11-29T07:39:20Z,AIC464,"30.671288,76.79438",0,34,115
1543477169,2018-11-29T07:39:29Z,AIC464,"30.67099,76.795135",0,17,115
1543477175,2018-11-29T07:39:35Z,AIC464,"30.670795,76.795647",0,18,112
1543477181,2018-11-29T07:39:41Z,AIC464,"30.670612,76.796104",0,18,115
1543477192,2018-11-29T07:39:52Z,AIC464,"30.670185,76.797211",0,19,115
1543477231,2018-11-29T07:40:31Z,AIC464,"30.668713,76.80098",0,15,112
1543477237,2018-11-29T07:40:37Z,AIC464,"30.668598,76.801369",0,32,109
1543477246,2018-11-29T07:40:46Z,AIC464,"30.668591,76.802025",0,34,75
1543477273,2018-11-29T07:41:13Z,AIC464,"30.668015,76.802917",0,16,208
1543477286,2018-11-29T07:41:26Z,AIC464,"30.668091,76.802589",0,14,295
1543477296,2018-11-29T07:41:36Z,AIC464,"30.668196,76.802345",0,16,295
1543477305,2018-11-29T07:41:45Z,AIC464,"30.668289,76.802094",0,20,295
1543477312,2018-11-29T07:41:52Z,AIC464,"30.668449,76.801704",0,16,295
1543477332,2018-11-29T07:42:12Z,AIC464,"30.670898,76.79538",0,105,295
1543477338,2018-11-29T07:42:18Z,AIC464,"30.672546,76.791092",0,130,295
1543477344,2018-11-29T07:42:24Z,AIC464,"30.6742,76.786797",1000,143,294
1543477350,2018-11-29T07:42:30Z,AIC464,"30.67597,76.782349",1250,140,294
1543477356,2018-11-29T07:42:36Z,AIC464,"30.677582,76.778442",1500,140,296
1543477364,2018-11-29T07:42:44Z,AIC464,"30.679367,76.774452",1775,137,297
1543477374,2018-11-29T07:42:54Z,AIC464,"30.682905,76.766693",2325,132,297
1543477381,2018-11-29T07:43:01Z,AIC464,"30.684628,76.762848",2600,130,296
1543477389,2018-11-29T07:43:09Z,AIC464,"30.686211,76.75631",2800,144,278
1543477397,2018-11-29T07:43:17Z,AIC464,"30.685978,76.752304",2925,154,260
1543477404,2018-11-29T07:43:24Z,AIC464,"30.682709,76.744453",3125,170,234
1543477410,2018-11-29T07:43:30Z,AIC464,"30.679092,76.740524",3250,182,219
1543477418,2018-11-29T07:43:38Z,AIC464,"30.674423,76.737671",3375,193,204
1543477424,2018-11-29T07:43:44Z,AIC464,"30.668655,76.736107",3600,200,187
1543477448,2018-11-29T07:44:08Z,AIC464,"30.648468,76.745422",4500,210,135
1543477455,2018-11-29T07:44:15Z,AIC464,"30.644547,76.751587",4625,217,123
1543477463,2018-11-29T07:44:23Z,AIC464,"30.641521,76.761642",4875,229,102
1543477471,2018-11-29T07:44:31Z,AIC464,"30.640228,76.772675",5300,232,96
1543477480,2018-11-29T07:44:40Z,AIC464,"30.639799,76.783829",5800,233,91
1543477501,2018-11-29T07:45:01Z,AIC464,"30.640549,76.810646",7025,233,87
1543477513,2018-11-29T07:45:13Z,AIC464,"30.641008,76.825417",7700,234,87
1543477537,2018-11-29T07:45:37Z,AIC464,"30.633911,76.854645",8850,240,121
1543477543,2018-11-29T07:45:43Z,AIC464,"30.630209,76.860901",9100,245,125
1543477558,2018-11-29T07:45:58Z,AIC464,"30.619316,76.877434",9500,265,128
1543477572,2018-11-29T07:46:12Z,AIC464,"30.609604,76.891586",9750,283,128
1543477581,2018-11-29T07:46:21Z,AIC464,"30.602045,76.902596",9950,296,128
1543477631,2018-11-29T07:47:11Z,AIC464,"30.553986,76.973068",12000,334,128
1543477664,2018-11-29T07:47:44Z,AIC464,"30.52137,77.02092",13300,354,128
1543477698,2018-11-29T07:48:18Z,AIC464,"30.486921,77.071457",15000,358,128
1543477732,2018-11-29T07:48:52Z,AIC464,"30.452053,77.122543",16375,371,128
1543477761,2018-11-29T07:49:21Z,AIC464,"30.419142,77.170715",17650,380,128
1543477779,2018-11-29T07:49:39Z,AIC464,"30.397659,77.196945",18325,382,139
1543477785,2018-11-29T07:49:45Z,AIC464,"30.388962,77.203835",18525,381,145
1543477791,2018-11-29T07:49:51Z,AIC464,"30.379074,77.21019",18800,381,151
1543477800,2018-11-29T07:50:00Z,AIC464,"30.3657,77.218338",19150,382,152
1543477809,2018-11-29T07:50:09Z,AIC464,"30.350895,77.227127",19525,384,152
1543477873,2018-11-29T07:51:13Z,AIC464,"30.249086,77.286789",21175,392,153
1543477936,2018-11-29T07:52:16Z,AIC464,"30.148911,77.345261",23975,387,153
1543477995,2018-11-29T07:53:15Z,AIC464,"30.054916,77.399948",24000,385,153
1543478017,2018-11-29T07:53:37Z,AIC464,"30.018513,77.416428",24000,377,165
1543478023,2018-11-29T07:53:43Z,AIC464,"30.007572,77.418457",24000,373,172
1543478030,2018-11-29T07:53:50Z,AIC464,"29.997665,77.419037",24000,370,176
1543478051,2018-11-29T07:54:11Z,AIC464,"29.963209,77.411644",24000,359,199
1543478059,2018-11-29T07:54:19Z,AIC464,"29.949509,77.404877",24000,358,203
1543478123,2018-11-29T07:55:23Z,AIC464,"29.853928,77.355103",24000,361,204
1543478185,2018-11-29T07:56:25Z,AIC464,"29.758984,77.305458",23775,369,204
1543478246,2018-11-29T07:57:26Z,AIC464,"29.664276,77.256279",22800,362,204
1543478310,2018-11-29T07:58:30Z,AIC464,"29.564022,77.205505",21625,365,197
1543478317,2018-11-29T07:58:37Z,AIC464,"29.55162,77.202461",21375,368,192
1543478324,2018-11-29T07:58:44Z,AIC464,"29.539536,77.201416",21125,371,182
1543478385,2018-11-29T07:59:45Z,AIC464,"29.434525,77.214027",19000,365,173
1543478451,2018-11-29T08:00:51Z,AIC464,"29.326904,77.227707",16775,357,173
1543478487,2018-11-29T08:01:27Z,AIC464,"29.268137,77.235229",15675,351,173
1543478521,2018-11-29T08:02:01Z,AIC464,"29.211411,77.242447",14675,344,173
1543478556,2018-11-29T08:02:36Z,AIC464,"29.157715,77.24929",13625,339,173
1543478591,2018-11-29T08:03:11Z,AIC464,"29.102644,77.256287",12500,334,173
1543478622,2018-11-29T08:03:42Z,AIC464,"29.056185,77.262268",11600,329,173
1543478638,2018-11-29T08:03:58Z,AIC464,"29.032396,77.265282",11075,327,173
1543478653,2018-11-29T08:04:13Z,AIC464,"29.009125,77.268219",10600,326,173
1543478668,2018-11-29T08:04:28Z,AIC464,"28.986961,77.270996",10400,315,173
1543478683,2018-11-29T08:04:43Z,AIC464,"28.965729,77.273712",10200,305,173
1543478699,2018-11-29T08:04:59Z,AIC464,"28.946135,77.276215",9950,296,173
1543478713,2018-11-29T08:05:13Z,AIC464,"28.92421,77.279068",9550,293,173
1543478728,2018-11-29T08:05:28Z,AIC464,"28.903976,77.281685",9100,293,173
1543478744,2018-11-29T08:05:44Z,AIC464,"28.883743,77.284172",8675,293,173
1543478758,2018-11-29T08:05:58Z,AIC464,"28.863373,77.286705",8325,289,173
1543478773,2018-11-29T08:06:13Z,AIC464,"28.843781,77.289185",7900,288,173
1543478788,2018-11-29T08:06:28Z,AIC464,"28.823364,77.291618",7400,289,174
1543478803,2018-11-29T08:06:43Z,AIC464,"28.804708,77.29361",7075,288,174
1543478817,2018-11-29T08:06:57Z,AIC464,"28.784319,77.295601",7000,287,175
1543478833,2018-11-29T08:07:13Z,AIC464,"28.76358,77.297691",7000,283,175
1543478849,2018-11-29T08:07:29Z,AIC464,"28.743307,77.299805",7000,281,174
1543478863,2018-11-29T08:07:43Z,AIC464,"28.723984,77.301811",7000,279,174
1543478878,2018-11-29T08:07:58Z,AIC464,"28.704987,77.303764",7000,279,174
1543478888,2018-11-29T08:08:08Z,AIC464,"28.69182,77.305138",7000,278,174
