Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543564239,2018-11-30T07:50:39Z,AIC464,"30.64357,76.708359",6225,287,139
1543564248,2018-11-30T07:50:48Z,AIC464,"30.635841,76.720276",6825,290,122
1543564254,2018-11-30T07:50:54Z,AIC464,"30.632164,76.728241",7200,292,117
1543564260,2018-11-30T07:51:00Z,AIC464,"30.628876,76.736382",7625,291,114
1543564269,2018-11-30T07:51:09Z,AIC464,"30.623978,76.748604",8300,286,115
1543564275,2018-11-30T07:51:15Z,AIC464,"30.620153,76.757736",8800,283,116
1543564288,2018-11-30T07:51:28Z,AIC464,"30.612705,76.774605",9500,288,117
1543564300,2018-11-30T07:51:40Z,AIC464,"30.605621,76.789749",10025,298,118
1543564312,2018-11-30T07:51:52Z,AIC464,"30.596329,76.808975",10400,313,119
1543564323,2018-11-30T07:52:03Z,AIC464,"30.587723,76.82637",10675,329,119
1543564337,2018-11-30T07:52:17Z,AIC464,"30.57807,76.845741",10925,348,119
1543564348,2018-11-30T07:52:28Z,AIC464,"30.56769,76.866447",11200,365,120
1543564362,2018-11-30T07:52:42Z,AIC464,"30.557327,76.887115",11650,376,120
1543564374,2018-11-30T07:52:54Z,AIC464,"30.546799,76.908066",12300,378,120
1543564405,2018-11-30T07:53:25Z,AIC464,"30.517685,76.965851",14525,371,120
1543564439,2018-11-30T07:53:59Z,AIC464,"30.488876,77.022896",16300,375,120
1543564469,2018-11-30T07:54:29Z,AIC464,"30.462341,77.075394",17850,376,120
1543564503,2018-11-30T07:55:03Z,AIC464,"30.432678,77.134041",19125,391,120
1543564536,2018-11-30T07:55:36Z,AIC464,"30.399033,77.192795",19950,399,132
1543564542,2018-11-30T07:55:42Z,AIC464,"30.391479,77.200714",19975,400,138
1543564551,2018-11-30T07:55:51Z,AIC464,"30.376602,77.211861",20000,397,150
1543564559,2018-11-30T07:55:59Z,AIC464,"30.361588,77.220802",20025,396,152
1543564565,2018-11-30T07:56:05Z,AIC464,"30.352524,77.226089",20025,396,153
1543564571,2018-11-30T07:56:11Z,AIC464,"30.343964,77.231033",20000,397,153
1543564632,2018-11-30T07:57:12Z,AIC464,"30.242893,77.290298",20000,396,152
1543564697,2018-11-30T07:58:17Z,AIC464,"30.138803,77.351166",20000,397,153
1543564758,2018-11-30T07:59:18Z,AIC464,"30.034853,77.411209",20000,396,155
1543564767,2018-11-30T07:59:27Z,AIC464,"30.01977,77.417137",20000,393,163
1543564773,2018-11-30T07:59:33Z,AIC464,"30.00841,77.419662",20000,389,170
1543564781,2018-11-30T07:59:41Z,AIC464,"29.997345,77.420494",20000,386,178
1543564801,2018-11-30T08:00:01Z,AIC464,"29.959763,77.419281",20000,384,180
1543564870,2018-11-30T08:01:10Z,AIC464,"29.836493,77.421082",20000,386,178
1543564932,2018-11-30T08:02:12Z,AIC464,"29.72438,77.424248",19550,367,178
1543564981,2018-11-30T08:03:01Z,AIC464,"29.64819,77.426308",18800,354,178
1543565073,2018-11-30T08:04:33Z,AIC464,"29.493988,77.430321",17250,358,178
1543565105,2018-11-30T08:05:05Z,AIC464,"29.439402,77.431801",16725,359,178
1543565139,2018-11-30T08:05:39Z,AIC464,"29.384583,77.433281",16200,356,178
1543565169,2018-11-30T08:06:09Z,AIC464,"29.334753,77.434601",15700,355,178
1543565203,2018-11-30T08:06:43Z,AIC464,"29.281822,77.435951",15125,356,178
1543565235,2018-11-30T08:07:15Z,AIC464,"29.226059,77.4375",14550,351,178
1543565267,2018-11-30T08:07:47Z,AIC464,"29.172958,77.438927",14075,342,178
1543565302,2018-11-30T08:08:22Z,AIC464,"29.121414,77.440353",13625,323,178
1543565335,2018-11-30T08:08:55Z,AIC464,"29.073317,77.441658",13175,306,178
1543565369,2018-11-30T08:09:29Z,AIC464,"29.027802,77.442787",12725,290,178
1543565402,2018-11-30T08:10:02Z,AIC464,"28.985138,77.443787",12300,282,178
1543565433,2018-11-30T08:10:33Z,AIC464,"28.941946,77.445",12000,272,178
1543565463,2018-11-30T08:11:03Z,AIC464,"28.903446,77.445969",11850,270,178
1543565477,2018-11-30T08:11:17Z,AIC464,"28.888271,77.446396",11725,268,178
1543565488,2018-11-30T08:11:28Z,AIC464,"28.874491,77.446716",11600,268,178
1543565499,2018-11-30T08:11:39Z,AIC464,"28.859083,77.447151",11450,268,178
1543565512,2018-11-30T08:11:52Z,AIC464,"28.843674,77.448387",11300,271,170
1543565518,2018-11-30T08:11:58Z,AIC464,"28.836178,77.450974",11225,274,159
1543565524,2018-11-30T08:12:04Z,AIC464,"28.829428,77.455124",11150,276,149
1543565531,2018-11-30T08:12:11Z,AIC464,"28.823273,77.460899",11075,278,138
1543565539,2018-11-30T08:12:19Z,AIC464,"28.816114,77.471169",10950,277,124
1543565547,2018-11-30T08:12:27Z,AIC464,"28.812017,77.478493",10850,276,121
1543565554,2018-11-30T08:12:34Z,AIC464,"28.806839,77.488365",10725,274,120
1543565561,2018-11-30T08:12:41Z,AIC464,"28.802628,77.496552",10650,273,120
1543565575,2018-11-30T08:12:55Z,AIC464,"28.792791,77.515923",10425,271,119
1543565586,2018-11-30T08:13:06Z,AIC464,"28.785233,77.530991",10225,270,119
1543565601,2018-11-30T08:13:21Z,AIC464,"28.778046,77.545151",10075,269,120
1543565611,2018-11-30T08:13:31Z,AIC464,"28.771051,77.558846",9875,268,120
1543565623,2018-11-30T08:13:43Z,AIC464,"28.762619,77.57515",9700,268,120
1543565637,2018-11-30T08:13:57Z,AIC464,"28.755066,77.589622",9525,266,120
1543565649,2018-11-30T08:14:09Z,AIC464,"28.747404,77.604248",9350,265,120
1543565660,2018-11-30T08:14:20Z,AIC464,"28.739862,77.618568",9225,264,120
1543565672,2018-11-30T08:14:32Z,AIC464,"28.732224,77.633095",9075,264,120
1543565684,2018-11-30T08:14:44Z,AIC464,"28.724625,77.647667",8925,264,120
1543565696,2018-11-30T08:14:56Z,AIC464,"28.717346,77.661453",8800,265,120
1543565708,2018-11-30T08:15:08Z,AIC464,"28.709473,77.6763",8650,267,121
1543565720,2018-11-30T08:15:20Z,AIC464,"28.70155,77.690842",8500,266,121
1543565732,2018-11-30T08:15:32Z,AIC464,"28.693817,77.705139",8375,265,121
1543565744,2018-11-30T08:15:44Z,AIC464,"28.686049,77.718742",8225,261,125
1543565750,2018-11-30T08:15:50Z,AIC464,"28.68074,77.725037",8150,258,136
1543565761,2018-11-30T08:16:01Z,AIC464,"28.671707,77.731384",8050,254,154
1543565767,2018-11-30T08:16:07Z,AIC464,"28.66507,77.733658",8025,250,166
1543565774,2018-11-30T08:16:14Z,AIC464,"28.654495,77.734818",8025,249,176
1543565782,2018-11-30T08:16:22Z,AIC464,"28.647596,77.735222",8025,250,177
1543565788,2018-11-30T08:16:28Z,AIC464,"28.640945,77.735458",8000,250,178
1543565797,2018-11-30T08:16:37Z,AIC464,"28.629999,77.735863",8000,251,178
1543565807,2018-11-30T08:16:47Z,AIC464,"28.616364,77.736404",8000,251,177
1543565821,2018-11-30T08:17:01Z,AIC464,"28.603226,77.736931",8000,248,177
1543565832,2018-11-30T08:17:12Z,AIC464,"28.588486,77.737564",7950,250,177
1543565843,2018-11-30T08:17:23Z,AIC464,"28.574158,77.738205",7825,250,177
1543565872,2018-11-30T08:17:52Z,AIC464,"28.543304,77.735085",7550,245,191
