Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543650627,2018-12-01T07:50:27Z,AIC464,"30.670418,76.786156",0,2,196
1543650664,2018-12-01T07:51:04Z,AIC464,"30.670658,76.786278",0,2,157
1543651035,2018-12-01T07:57:15Z,AIC464,"30.670418,76.792656",0,15,25
1543651044,2018-12-01T07:57:24Z,AIC464,"30.671139,76.793022",0,16,25
1543651052,2018-12-01T07:57:32Z,AIC464,"30.671535,76.79335",0,31,56
1543651060,2018-12-01T07:57:40Z,AIC464,"30.671513,76.793785",0,29,112
1543651068,2018-12-01T07:57:48Z,AIC464,"30.671288,76.79438",0,34,112
1543651077,2018-12-01T07:57:57Z,AIC464,"30.670988,76.795135",0,18,115
1543651090,2018-12-01T07:58:10Z,AIC464,"30.670429,76.796562",0,23,115
1543651126,2018-12-01T07:58:46Z,AIC464,"30.668747,76.800896",0,25,115
1543651136,2018-12-01T07:58:56Z,AIC464,"30.668591,76.802025",0,15,75
1543651143,2018-12-01T07:59:03Z,AIC464,"30.668701,76.802429",0,33,75
1543651167,2018-12-01T07:59:27Z,AIC464,"30.66794,76.80291",0,24,258
1543651174,2018-12-01T07:59:34Z,AIC464,"30.668037,76.802643",0,22,303
1543651183,2018-12-01T07:59:43Z,AIC464,"30.668243,76.8022",0,27,295
1543651189,2018-12-01T07:59:49Z,AIC464,"30.668438,76.801727",0,19,295
1543651195,2018-12-01T07:59:55Z,AIC464,"30.668777,76.800858",0,39,292
1543651203,2018-12-01T08:00:03Z,AIC464,"30.669859,76.798042",0,80,295
1543651210,2018-12-01T08:00:10Z,AIC464,"30.671127,76.794762",0,105,295
1543651220,2018-12-01T08:00:20Z,AIC464,"30.674057,76.787163",0,150,295
1543651227,2018-12-01T08:00:27Z,AIC464,"30.675877,76.782402",1150,157,293
1543651234,2018-12-01T08:00:34Z,AIC464,"30.677673,76.777687",1375,153,293
1543651240,2018-12-01T08:00:40Z,AIC464,"30.679504,76.77327",1625,153,295
1543651247,2018-12-01T08:00:47Z,AIC464,"30.681509,76.768784",1925,150,297
1543651260,2018-12-01T08:01:00Z,AIC464,"30.685455,76.760239",2375,147,297
1543651271,2018-12-01T08:01:11Z,AIC464,"30.689209,76.751831",2750,148,297
1543651508,2018-12-01T08:05:08Z,AIC464,"30.56781,76.793144",9225,305,135
1543651523,2018-12-01T08:05:23Z,AIC464,"30.55513,76.807411",9725,310,135
1543651534,2018-12-01T08:05:34Z,AIC464,"30.542816,76.821358",10225,311,135
1543651546,2018-12-01T08:05:46Z,AIC464,"30.530228,76.835632",10525,323,135
1543651557,2018-12-01T08:05:57Z,AIC464,"30.516668,76.851067",10775,336,135
1543651569,2018-12-01T08:06:09Z,AIC464,"30.50322,76.866272",11000,348,135
1543651580,2018-12-01T08:06:20Z,AIC464,"30.488876,76.882492",11250,361,135
1543651594,2018-12-01T08:06:34Z,AIC464,"30.47406,76.899231",11500,371,135
1543651608,2018-12-01T08:06:48Z,AIC464,"30.458757,76.916328",11725,382,135
1543651618,2018-12-01T08:06:58Z,AIC464,"30.443069,76.934013",11925,393,135
1543651630,2018-12-01T08:07:10Z,AIC464,"30.427002,76.952118",12250,400,135
1543651663,2018-12-01T08:07:43Z,AIC464,"30.382597,77.002403",13250,412,135
1543651696,2018-12-01T08:08:16Z,AIC464,"30.336227,77.05455",14325,422,135
1543651728,2018-12-01T08:08:48Z,AIC464,"30.289215,77.107491",15450,429,135
1543651762,2018-12-01T08:09:22Z,AIC464,"30.241837,77.160858",16550,436,135
1543651795,2018-12-01T08:09:55Z,AIC464,"30.197891,77.210136",17500,443,135
1543651828,2018-12-01T08:10:28Z,AIC464,"30.1483,77.265854",18000,446,135
