Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543821534,2018-12-03T07:18:54Z,AIC464,"30.671848,76.783707",0,15,295
1543821540,2018-12-03T07:19:00Z,AIC464,"30.672054,76.783188",0,16,292
1543821547,2018-12-03T07:19:07Z,AIC464,"30.672203,76.782814",0,26,292
1543821555,2018-12-03T07:19:15Z,AIC464,"30.672306,76.782585",0,18,309
1543821561,2018-12-03T07:19:21Z,AIC464,"30.672514,76.782501",0,20,348
1543821567,2018-12-03T07:19:27Z,AIC464,"30.672741,76.7826",0,22,25
1543821578,2018-12-03T07:19:38Z,AIC464,"30.673048,76.782761",0,10,25
1543822109,2018-12-03T07:28:29Z,AIC464,"30.675713,76.782936",0,27,295
1543822120,2018-12-03T07:28:40Z,AIC464,"30.676014,76.782181",0,32,295
1543822132,2018-12-03T07:28:52Z,AIC464,"30.67638,76.781227",0,16,295
1543822138,2018-12-03T07:28:58Z,AIC464,"30.676586,76.780716",0,17,295
1543822146,2018-12-03T07:29:06Z,AIC464,"30.676804,76.780136",0,18,295
1543822155,2018-12-03T07:29:15Z,AIC464,"30.676994,76.77948",0,30,278
1543822162,2018-12-03T07:29:22Z,AIC464,"30.676975,76.778954",0,31,264
1543822169,2018-12-03T07:29:29Z,AIC464,"30.676975,76.778557",0,23,275
1543822176,2018-12-03T07:29:36Z,AIC464,"30.67709,76.77832",0,22,309
1543822184,2018-12-03T07:29:44Z,AIC464,"30.677378,76.778328",0,19,16
1543822198,2018-12-03T07:29:58Z,AIC464,"30.677387,76.778671",0,15,104
1543822246,2018-12-03T07:30:46Z,AIC464,"30.677284,76.778877",0,11,112
1543822254,2018-12-03T07:30:54Z,AIC464,"30.677202,76.779106",0,26,118
1543822261,2018-12-03T07:31:01Z,AIC464,"30.676878,76.779945",0,27,118
1543822274,2018-12-03T07:31:14Z,AIC464,"30.675213,76.784256",0,88,115
1543822288,2018-12-03T07:31:28Z,AIC464,"30.67164,76.793503",0,150,115
1543822296,2018-12-03T07:31:36Z,AIC464,"30.669313,76.799484",1150,161,114
1543822302,2018-12-03T07:31:42Z,AIC464,"30.667776,76.803497",1400,158,113
1543822308,2018-12-03T07:31:48Z,AIC464,"30.66596,76.808334",1675,158,113
1543822320,2018-12-03T07:32:00Z,AIC464,"30.662096,76.818329",2250,155,113
1543822326,2018-12-03T07:32:06Z,AIC464,"30.660561,76.822227",2525,153,114
1543822333,2018-12-03T07:32:13Z,AIC464,"30.658699,76.826897",2750,155,114
1543822339,2018-12-03T07:32:19Z,AIC464,"30.656837,76.831619",2925,162,115
1543822350,2018-12-03T07:32:30Z,AIC464,"30.652925,76.841675",3350,180,112
1543822362,2018-12-03T07:32:42Z,AIC464,"30.649475,76.853836",3775,198,105
1543822368,2018-12-03T07:32:48Z,AIC464,"30.647919,76.860893",4025,206,104
1543822546,2018-12-03T07:35:46Z,AIC464,"30.568726,77.099792",14575,289,114
1543822554,2018-12-03T07:35:54Z,AIC464,"30.561401,77.11261",14850,302,126
1543822561,2018-12-03T07:36:01Z,AIC464,"30.554993,77.119713",15000,312,137
1543822567,2018-12-03T07:36:07Z,AIC464,"30.54837,77.124794",15175,316,145
1543822575,2018-12-03T07:36:15Z,AIC464,"30.535904,77.132423",15425,328,153
1543822583,2018-12-03T07:36:23Z,AIC464,"30.526886,77.137268",15575,336,154
1543822593,2018-12-03T07:36:33Z,AIC464,"30.514664,77.143677",15800,348,155
1543822630,2018-12-03T07:37:10Z,AIC464,"30.451721,77.178093",16975,388,153
1543822663,2018-12-03T07:37:43Z,AIC464,"30.399948,77.207336",18900,388,154
1543822726,2018-12-03T07:38:46Z,AIC464,"30.295395,77.266357",20000,400,153
1543822789,2018-12-03T07:39:49Z,AIC464,"30.190104,77.325516",20000,405,153
1543822850,2018-12-03T07:40:50Z,AIC464,"30.088348,77.382523",20000,404,154
1543822892,2018-12-03T07:41:32Z,AIC464,"30.014742,77.41851",20000,396,167
1543822898,2018-12-03T07:41:38Z,AIC464,"30.005339,77.419937",20000,392,173
1543822904,2018-12-03T07:41:44Z,AIC464,"29.996958,77.420326",20000,390,178
1543822924,2018-12-03T07:42:04Z,AIC464,"29.963013,77.411606",20000,378,201
1543822930,2018-12-03T07:42:10Z,AIC464,"29.948591,77.404282",20000,378,204
1543822997,2018-12-03T07:43:17Z,AIC464,"29.843811,77.349876",20000,378,204
1543823061,2018-12-03T07:44:21Z,AIC464,"29.742085,77.296898",19475,373,204
1543823122,2018-12-03T07:45:22Z,AIC464,"29.64386,77.245682",18750,369,204
1543823137,2018-12-03T07:45:37Z,AIC464,"29.620834,77.233673",18625,379,204
1543823230,2018-12-03T07:47:10Z,AIC464,"29.467241,77.153809",17525,395,204
1543823263,2018-12-03T07:47:43Z,AIC464,"29.41296,77.125694",17125,392,204
1543823298,2018-12-03T07:48:18Z,AIC464,"29.360046,77.098404",16700,360,204
1543823329,2018-12-03T07:48:49Z,AIC464,"29.309509,77.072258",16425,348,204
1543823363,2018-12-03T07:49:23Z,AIC464,"29.261898,77.047493",16125,348,204
1543823396,2018-12-03T07:49:56Z,AIC464,"29.212921,77.022133",15800,345,204
1543823431,2018-12-03T07:50:31Z,AIC464,"29.166979,76.998489",15425,321,204
1543823462,2018-12-03T07:51:02Z,AIC464,"29.122787,76.975655",15150,315,204
1543823491,2018-12-03T07:51:31Z,AIC464,"29.082487,76.954811",14850,313,204
1543823525,2018-12-03T07:52:05Z,AIC464,"29.038925,76.932289",14600,315,204
1543823560,2018-12-03T07:52:40Z,AIC464,"28.996124,76.910423",14350,290,204
1543823591,2018-12-03T07:53:11Z,AIC464,"28.95607,76.889771",14175,284,204
1543823626,2018-12-03T07:53:46Z,AIC464,"28.91662,76.869347",13925,284,204
1543823657,2018-12-03T07:54:17Z,AIC464,"28.876694,76.848892",13675,282,204
1543823692,2018-12-03T07:54:52Z,AIC464,"28.834625,76.828026",13400,306,200
1543823698,2018-12-03T07:54:58Z,AIC464,"28.824326,76.825493",13325,310,189
1543823704,2018-12-03T07:55:04Z,AIC464,"28.819139,76.825073",13275,311,184
1543823725,2018-12-03T07:55:25Z,AIC464,"28.790836,76.832512",13100,313,159
1543823763,2018-12-03T07:56:03Z,AIC464,"28.736618,76.855965",13000,312,159
1543823797,2018-12-03T07:56:37Z,AIC464,"28.691071,76.875511",13000,312,159
1543823830,2018-12-03T07:57:10Z,AIC464,"28.646152,76.894928",13000,309,159
1543823862,2018-12-03T07:57:42Z,AIC464,"28.604441,76.91291",13000,288,160
1543823896,2018-12-03T07:58:16Z,AIC464,"28.561798,76.929703",13000,288,160
1543823931,2018-12-03T07:58:51Z,AIC464,"28.519623,76.946358",12775,287,160
1543823960,2018-12-03T07:59:20Z,AIC464,"28.483452,76.963104",12525,291,149
1543823966,2018-12-03T07:59:26Z,AIC464,"28.476656,76.969246",12475,292,139
1543823973,2018-12-03T07:59:33Z,AIC464,"28.469021,76.980125",12375,293,123
1543823981,2018-12-03T07:59:41Z,AIC464,"28.46567,76.988258",12325,294,112
1543823991,2018-12-03T07:59:51Z,AIC464,"28.462318,77.001991",12275,293,103
1543823998,2018-12-03T07:59:58Z,AIC464,"28.459259,77.01664",12225,292,103
1543824004,2018-12-03T08:00:04Z,AIC464,"28.457708,77.024124",12175,292,103
1543824040,2018-12-03T08:00:40Z,AIC464,"28.445984,77.078072",11900,286,103
1543824052,2018-12-03T08:00:52Z,AIC464,"28.442276,77.094917",11800,285,103
1543824064,2018-12-03T08:01:04Z,AIC464,"28.438339,77.11293",11700,285,103
1543824076,2018-12-03T08:01:16Z,AIC464,"28.434618,77.130112",11550,285,103
1543824092,2018-12-03T08:01:32Z,AIC464,"28.429777,77.152458",11325,284,103
