Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1543997533,2018-12-05T08:12:13Z,AIC464,"30.709534,76.654625",6000,234,230
1543997543,2018-12-05T08:12:23Z,AIC464,"30.700037,76.646889",6475,238,204
1543997549,2018-12-05T08:12:29Z,AIC464,"30.69459,76.644966",6775,238,193
1543997555,2018-12-05T08:12:35Z,AIC464,"30.686863,76.644363",7050,240,179
1543997562,2018-12-05T08:12:42Z,AIC464,"30.677582,76.646927",7425,243,159
1543997568,2018-12-05T08:12:48Z,AIC464,"30.673874,76.649132",7550,246,153
1543997576,2018-12-05T08:12:56Z,AIC464,"30.666504,76.656456",7775,254,135
1543997582,2018-12-05T08:13:02Z,AIC464,"30.662563,76.663147",7875,262,122
1543997589,2018-12-05T08:13:09Z,AIC464,"30.658792,76.672043",7950,276,114
1543997597,2018-12-05T08:13:17Z,AIC464,"30.654741,76.685173",8175,284,105
1543997603,2018-12-05T08:13:23Z,AIC464,"30.653112,76.694458",8425,287,99
1543997609,2018-12-05T08:13:29Z,AIC464,"30.652554,76.70105",8625,289,95
1543997616,2018-12-05T08:13:36Z,AIC464,"30.652042,76.713028",8975,291,91
1543997625,2018-12-05T08:13:45Z,AIC464,"30.651764,76.727112",9375,295,91
1543997631,2018-12-05T08:13:51Z,AIC464,"30.651627,76.737297",9650,298,90
1543997644,2018-12-05T08:14:04Z,AIC464,"30.651352,76.755821",10200,299,91
1543997656,2018-12-05T08:14:16Z,AIC464,"30.65097,76.775314",10575,309,91
1543997667,2018-12-05T08:14:27Z,AIC464,"30.650482,76.796806",10850,324,91
1543997679,2018-12-05T08:14:39Z,AIC464,"30.65004,76.81855",11075,339,91
1543997693,2018-12-05T08:14:53Z,AIC464,"30.649567,76.841232",11300,353,91
1543997703,2018-12-05T08:15:03Z,AIC464,"30.649155,76.864822",11525,367,91
1543997715,2018-12-05T08:15:15Z,AIC464,"30.648788,76.887764",11900,374,90
1543997726,2018-12-05T08:15:26Z,AIC464,"30.648468,76.912804",12400,378,90
1543997761,2018-12-05T08:16:01Z,AIC464,"30.64706,76.980324",13575,392,91
1543997794,2018-12-05T08:16:34Z,AIC464,"30.644501,77.050415",15075,395,96
1543997802,2018-12-05T08:16:42Z,AIC464,"30.640591,77.070244",15475,396,106
1543997808,2018-12-05T08:16:48Z,AIC464,"30.636587,77.082108",15725,396,113
1543997816,2018-12-05T08:16:56Z,AIC464,"30.63114,77.09359",15950,396,121
1543997825,2018-12-05T08:17:05Z,AIC464,"30.621038,77.107986",16325,394,133
1543997832,2018-12-05T08:17:12Z,AIC464,"30.609741,77.118958",16675,391,143
1543997839,2018-12-05T08:17:19Z,AIC464,"30.598135,77.126877",16975,391,151
1543997849,2018-12-05T08:17:29Z,AIC464,"30.584122,77.134407",17300,390,155
1543997858,2018-12-05T08:17:38Z,AIC464,"30.568176,77.142601",17800,390,156
1543997864,2018-12-05T08:17:44Z,AIC464,"30.558332,77.147591",18075,389,156
1543997926,2018-12-05T08:18:46Z,AIC464,"30.455612,77.200279",20000,377,156
1543997991,2018-12-05T08:19:51Z,AIC464,"30.353943,77.252144",20025,381,156
1543998051,2018-12-05T08:20:51Z,AIC464,"30.254471,77.302872",21850,391,156
1543998114,2018-12-05T08:21:54Z,AIC464,"30.149597,77.356026",23850,401,156
1543998176,2018-12-05T08:22:56Z,AIC464,"30.040512,77.411072",23975,399,157
1543998188,2018-12-05T08:23:08Z,AIC464,"30.018127,77.418228",23875,408,168
1543998195,2018-12-05T08:23:15Z,AIC464,"30.006821,77.419846",23800,413,173
1543998219,2018-12-05T08:23:39Z,AIC464,"29.96196,77.411659",23550,411,201
1543998226,2018-12-05T08:23:46Z,AIC464,"29.951571,77.406479",23500,410,204
1543998289,2018-12-05T08:24:49Z,AIC464,"29.841707,77.348755",22325,406,204
1543998352,2018-12-05T08:25:52Z,AIC464,"29.739012,77.295387",21500,362,204
1543998412,2018-12-05T08:26:52Z,AIC464,"29.648346,77.248039",20775,355,204
1543998474,2018-12-05T08:27:54Z,AIC464,"29.554184,77.198921",19725,355,204
1543998538,2018-12-05T08:28:58Z,AIC464,"29.45579,77.147827",18650,363,204
1543998601,2018-12-05T08:30:01Z,AIC464,"29.361101,77.098763",17575,347,204
1543998637,2018-12-05T08:30:37Z,AIC464,"29.310242,77.072418",17000,342,204
1543998667,2018-12-05T08:31:07Z,AIC464,"29.26539,77.049217",16500,342,204
1543998704,2018-12-05T08:31:44Z,AIC464,"29.213438,77.022346",16025,340,204
1543998728,2018-12-05T08:32:08Z,AIC464,"29.175705,77.006874",15900,345,189
1543998734,2018-12-05T08:32:14Z,AIC464,"29.167583,77.006241",15850,346,183
1543998754,2018-12-05T08:32:34Z,AIC464,"29.136534,77.015076",15600,351,155
1543998763,2018-12-05T08:32:43Z,AIC464,"29.12252,77.026222",15475,355,144
1543998774,2018-12-05T08:32:54Z,AIC464,"29.1129,77.037666",15375,357,131
1543998784,2018-12-05T08:33:04Z,AIC464,"29.100037,77.055145",15250,357,129
1543998790,2018-12-05T08:33:10Z,AIC464,"29.095459,77.061485",15200,358,129
1543998824,2018-12-05T08:33:44Z,AIC464,"29.057465,77.113304",14725,356,130
1543998860,2018-12-05T08:34:20Z,AIC464,"29.020065,77.163216",14275,353,130
1543998892,2018-12-05T08:34:52Z,AIC464,"28.985687,77.209114",13825,358,130
1543998929,2018-12-05T08:35:29Z,AIC464,"28.946089,77.262001",13350,351,130
1543998962,2018-12-05T08:36:02Z,AIC464,"28.911734,77.307556",12950,336,130
1543998994,2018-12-05T08:36:34Z,AIC464,"28.879658,77.349892",12625,311,130
1543999030,2018-12-05T08:37:10Z,AIC464,"28.84726,77.392502",12300,287,130
1543999066,2018-12-05T08:37:46Z,AIC464,"28.818649,77.430267",12025,266,130
1543999101,2018-12-05T08:38:21Z,AIC464,"28.789347,77.469017",12000,264,130
1543999138,2018-12-05T08:38:58Z,AIC464,"28.761383,77.505959",11500,261,130
1543999148,2018-12-05T08:39:08Z,AIC464,"28.753189,77.516838",11300,260,130
1543999193,2018-12-05T08:39:53Z,AIC464,"28.718866,77.562775",10400,254,130
1543999207,2018-12-05T08:40:07Z,AIC464,"28.70723,77.578583",10050,254,129
1543999314,2018-12-05T08:41:54Z,AIC464,"28.600983,77.629662",9000,248,179
1543999327,2018-12-05T08:42:07Z,AIC464,"28.58725,77.629715",9000,248,179
1543999354,2018-12-05T08:42:34Z,AIC464,"28.557749,77.622017",9000,244,213
1543999360,2018-12-05T08:42:40Z,AIC464,"28.552963,77.617035",9000,243,223
1543999369,2018-12-05T08:42:49Z,AIC464,"28.547012,77.607475",9025,242,236
1543999376,2018-12-05T08:42:56Z,AIC464,"28.542068,77.597862",9000,242,240
1543999383,2018-12-05T08:43:03Z,AIC464,"28.539597,77.591103",8975,241,250
1543999389,2018-12-05T08:43:09Z,AIC464,"28.53829,77.583405",8900,241,260
1543999412,2018-12-05T08:43:32Z,AIC464,"28.545273,77.555611",8425,238,297
1543999421,2018-12-05T08:43:41Z,AIC464,"28.548935,77.54821",8275,239,300
1543999434,2018-12-05T08:43:54Z,AIC464,"28.556717,77.531151",7875,241,289
1543999440,2018-12-05T08:44:00Z,AIC464,"28.558449,77.523895",7725,241,283
1543999446,2018-12-05T08:44:06Z,AIC464,"28.559464,77.516098",7600,241,277
1543999452,2018-12-05T08:44:12Z,AIC464,"28.559938,77.510109",7475,240,274
1543999458,2018-12-05T08:44:18Z,AIC464,"28.560356,77.501869",7350,239,272
1543999465,2018-12-05T08:44:25Z,AIC464,"28.560637,77.493301",7200,237,271
1543999479,2018-12-05T08:44:39Z,AIC464,"28.561102,77.475266",6850,231,271
1543999490,2018-12-05T08:44:50Z,AIC464,"28.561432,77.462486",6600,227,271
1543999503,2018-12-05T08:45:03Z,AIC464,"28.561846,77.446716",6275,221,271
1543999518,2018-12-05T08:45:18Z,AIC464,"28.562218,77.432556",6000,216,271
1543999530,2018-12-05T08:45:30Z,AIC464,"28.562622,77.418961",5725,210,271
1543999541,2018-12-05T08:45:41Z,AIC464,"28.562943,77.405914",5450,206,271
1543999552,2018-12-05T08:45:52Z,AIC464,"28.563217,77.393295",5250,203,271
