Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544080798,2018-12-06T07:19:58Z,AIC464,"30.723639,76.672592",5700,208,311
1544080812,2018-12-06T07:20:12Z,AIC464,"30.734985,76.665131",6275,213,342
1544080837,2018-12-06T07:20:37Z,AIC464,"30.757809,76.671989",7425,223,38
1544080844,2018-12-06T07:20:44Z,AIC464,"30.76372,76.680504",7800,229,57
1544080853,2018-12-06T07:20:53Z,AIC464,"30.766983,76.691032",8200,234,76
1544080859,2018-12-06T07:20:59Z,AIC464,"30.76749,76.698303",8475,236,87
1544080882,2018-12-06T07:21:22Z,AIC464,"30.76712,76.725716",9425,246,90
1544080898,2018-12-06T07:21:38Z,AIC464,"30.76684,76.751366",9850,273,90
1544080912,2018-12-06T07:21:52Z,AIC464,"30.766653,76.769493",10100,289,91
1544080920,2018-12-06T07:22:00Z,AIC464,"30.764648,76.784363",10275,303,104
1544080926,2018-12-06T07:22:06Z,AIC464,"30.761765,76.793625",10400,310,111
1544080932,2018-12-06T07:22:12Z,AIC464,"30.757736,76.80262",10525,317,119
1544080943,2018-12-06T07:22:23Z,AIC464,"30.749521,76.814865",10675,327,132
1544080950,2018-12-06T07:22:30Z,AIC464,"30.738464,76.825134",10850,338,144
1544080958,2018-12-06T07:22:38Z,AIC464,"30.726479,76.834312",11050,348,146
1544080965,2018-12-06T07:22:45Z,AIC464,"30.718597,76.840263",11175,353,146
1544080971,2018-12-06T07:22:51Z,AIC464,"30.70944,76.847221",11375,358,146
1544080984,2018-12-06T07:23:04Z,AIC464,"30.693287,76.859581",11825,364,146
1544080996,2018-12-06T07:23:16Z,AIC464,"30.676296,76.872604",12375,368,146
1544081030,2018-12-06T07:23:50Z,AIC464,"30.630112,76.907799",14225,366,146
1544081062,2018-12-06T07:24:22Z,AIC464,"30.580719,76.945496",15575,376,146
1544081077,2018-12-06T07:24:37Z,AIC464,"30.559961,76.965652",16125,386,135
1544081085,2018-12-06T07:24:45Z,AIC464,"30.552612,76.975441",16275,392,129
1544081092,2018-12-06T07:24:52Z,AIC464,"30.542587,76.989868",16600,396,128
1544081101,2018-12-06T07:25:01Z,AIC464,"30.533203,77.003601",16900,400,128
1544081133,2018-12-06T07:25:33Z,AIC464,"30.497395,77.056129",17950,410,128
1544081165,2018-12-06T07:26:05Z,AIC464,"30.457035,77.115234",18975,425,128
1544081209,2018-12-06T07:26:49Z,AIC464,"30.398844,77.19516",19975,439,139
1544081218,2018-12-06T07:26:58Z,AIC464,"30.383993,77.207138",20000,433,149
1544081226,2018-12-06T07:27:06Z,AIC464,"30.373856,77.213425",20000,431,152
1544081234,2018-12-06T07:27:14Z,AIC464,"30.356295,77.223724",20025,431,153
1544081242,2018-12-06T07:27:22Z,AIC464,"30.346024,77.229736",20000,432,153
1544081300,2018-12-06T07:28:20Z,AIC464,"30.240143,77.291939",20000,432,153
1544081365,2018-12-06T07:29:25Z,AIC464,"30.123859,77.359901",20000,434,153
1544081417,2018-12-06T07:30:17Z,AIC464,"30.027191,77.41317",20000,428,163
1544081424,2018-12-06T07:30:24Z,AIC464,"30.014053,77.416672",20000,424,168
1544081430,2018-12-06T07:30:30Z,AIC464,"30.002916,77.418236",20000,419,174
1544081453,2018-12-06T07:30:53Z,AIC464,"29.963301,77.411423",20000,399,199
1544081460,2018-12-06T07:31:00Z,AIC464,"29.947449,77.40358",20025,396,204
1544081523,2018-12-06T07:32:03Z,AIC464,"29.840195,77.351936",20000,407,192
1544081530,2018-12-06T07:32:10Z,AIC464,"29.828485,77.349998",20000,413,186
1544081556,2018-12-06T07:32:36Z,AIC464,"29.777161,77.352943",20000,425,175
1544081624,2018-12-06T07:33:44Z,AIC464,"29.645828,77.365196",18900,418,175
1544081686,2018-12-06T07:34:46Z,AIC464,"29.530609,77.375916",17900,401,175
1544081713,2018-12-06T07:35:13Z,AIC464,"29.476273,77.381073",17425,398,175
1544081752,2018-12-06T07:35:52Z,AIC464,"29.404814,77.387749",16775,397,175
1544081803,2018-12-06T07:36:43Z,AIC464,"29.313759,77.396149",16025,365,175
1544081839,2018-12-06T07:37:19Z,AIC464,"29.257141,77.401588",16025,333,175
1544081874,2018-12-06T07:37:54Z,AIC464,"29.203522,77.406433",15600,324,175
1544081909,2018-12-06T07:38:29Z,AIC464,"29.152594,77.411179",14825,317,175
1544081944,2018-12-06T07:39:04Z,AIC464,"29.101759,77.41581",14325,300,175
1544081979,2018-12-06T07:39:39Z,AIC464,"29.055439,77.420227",14025,286,175
1544082014,2018-12-06T07:40:14Z,AIC464,"29.009216,77.424301",13550,284,175
1544082050,2018-12-06T07:40:50Z,AIC464,"28.962196,77.428627",13025,281,175
1544082084,2018-12-06T07:41:24Z,AIC464,"28.917709,77.4328",12450,273,175
1544082119,2018-12-06T07:41:59Z,AIC464,"28.873747,77.436867",11950,263,175
1544082135,2018-12-06T07:42:15Z,AIC464,"28.855312,77.438538",11675,261,175
1544082149,2018-12-06T07:42:29Z,AIC464,"28.838226,77.440094",11425,258,175
1544082165,2018-12-06T07:42:45Z,AIC464,"28.818466,77.44194",11175,256,175
1544082180,2018-12-06T07:43:00Z,AIC464,"28.801071,77.443527",11025,254,175
1544082195,2018-12-06T07:43:15Z,AIC464,"28.78311,77.446716",11000,261,163
1544082205,2018-12-06T07:43:25Z,AIC464,"28.773697,77.452507",10975,262,144
1544082215,2018-12-06T07:43:35Z,AIC464,"28.763884,77.462555",11000,263,135
1544082225,2018-12-06T07:43:45Z,AIC464,"28.755066,77.472626",11000,264,134
1544082235,2018-12-06T07:43:55Z,AIC464,"28.746552,77.482613",11000,264,134
1544082249,2018-12-06T07:44:09Z,AIC464,"28.734283,77.496925",11000,265,134
1544082265,2018-12-06T07:44:25Z,AIC464,"28.721102,77.512207",11000,265,134
1544082280,2018-12-06T07:44:40Z,AIC464,"28.707928,77.527557",11000,264,134
1544082291,2018-12-06T07:44:51Z,AIC464,"28.698338,77.536659",10975,262,146
1544082300,2018-12-06T07:45:00Z,AIC464,"28.687538,77.542686",11000,260,156
1544082306,2018-12-06T07:45:06Z,AIC464,"28.682045,77.545273",11000,260,157
1544082315,2018-12-06T07:45:15Z,AIC464,"28.671021,77.55027",11000,261,158
1544082336,2018-12-06T07:45:36Z,AIC464,"28.648851,77.560242",11000,251,158
1544082350,2018-12-06T07:45:50Z,AIC464,"28.63228,77.567787",11000,249,157
1544082366,2018-12-06T07:46:06Z,AIC464,"28.615906,77.57531",10875,247,157
1544082380,2018-12-06T07:46:20Z,AIC464,"28.6008,77.582176",10625,244,158
1544082396,2018-12-06T07:46:36Z,AIC464,"28.584732,77.589203",10375,238,158
1544082412,2018-12-06T07:46:52Z,AIC464,"28.569294,77.596062",10050,229,158
1544082426,2018-12-06T07:47:06Z,AIC464,"28.55452,77.602455",9625,228,159
1544082440,2018-12-06T07:47:20Z,AIC464,"28.53978,77.608849",9175,227,159
1544082456,2018-12-06T07:47:36Z,AIC464,"28.524511,77.615288",8700,228,159
1544082471,2018-12-06T07:47:51Z,AIC464,"28.509243,77.62175",8300,232,159
1544082486,2018-12-06T07:48:06Z,AIC464,"28.494781,77.627808",8050,232,159
1544082500,2018-12-06T07:48:20Z,AIC464,"28.478989,77.631134",7775,228,181
1544082506,2018-12-06T07:48:26Z,AIC464,"28.473679,77.630241",7700,227,189
1544082516,2018-12-06T07:48:36Z,AIC464,"28.463425,77.627441",7525,226,194
1544082527,2018-12-06T07:48:47Z,AIC464,"28.453217,77.624268",7375,226,195
1544082541,2018-12-06T07:49:01Z,AIC464,"28.438934,77.619888",7100,225,194
1544082556,2018-12-06T07:49:16Z,AIC464,"28.422592,77.615189",7025,226,194
1544082571,2018-12-06T07:49:31Z,AIC464,"28.406937,77.610588",7000,227,194
1544082587,2018-12-06T07:49:47Z,AIC464,"28.391977,77.6064",7000,229,193
1544082600,2018-12-06T07:50:00Z,AIC464,"28.376907,77.601768",7000,228,200
1544082607,2018-12-06T07:50:07Z,AIC464,"28.371643,77.598816",7000,226,210
1544082616,2018-12-06T07:50:16Z,AIC464,"28.364365,77.591209",6950,222,229
1544082627,2018-12-06T07:50:27Z,AIC464,"28.359995,77.580276",6800,217,254
1544082652,2018-12-06T07:50:52Z,AIC464,"28.366886,77.554375",6575,215,310
1544082661,2018-12-06T07:51:01Z,AIC464,"28.374023,77.546097",6450,214,315
1544082676,2018-12-06T07:51:16Z,AIC464,"28.384552,77.534477",6300,214,315
1544082687,2018-12-06T07:51:27Z,AIC464,"28.392023,77.526154",6200,212,315
1544082702,2018-12-06T07:51:42Z,AIC464,"28.401985,77.515007",6075,210,315
1544082717,2018-12-06T07:51:57Z,AIC464,"28.411835,77.503792",5925,209,314
1544082731,2018-12-06T07:52:11Z,AIC464,"28.422592,77.491379",5775,207,314
1544082746,2018-12-06T07:52:26Z,AIC464,"28.432989,77.479462",5600,206,314
1544082761,2018-12-06T07:52:41Z,AIC464,"28.442673,77.468422",5450,197,315
1544082778,2018-12-06T07:52:58Z,AIC464,"28.452402,77.457542",5300,193,315
1544082792,2018-12-06T07:53:12Z,AIC464,"28.46134,77.446396",5150,182,306
1544082802,2018-12-06T07:53:22Z,AIC464,"28.465164,77.43824",5050,179,294
1544082812,2018-12-06T07:53:32Z,AIC464,"28.467903,77.429649",4950,177,287
1544082823,2018-12-06T07:53:43Z,AIC464,"28.469879,77.421608",4850,176,285
1544082832,2018-12-06T07:53:52Z,AIC464,"28.472351,77.411514",4750,173,284
1544082842,2018-12-06T07:54:02Z,AIC464,"28.474274,77.403015",4650,174,283
1544082852,2018-12-06T07:54:12Z,AIC464,"28.47633,77.393944",4550,173,284
1544082863,2018-12-06T07:54:23Z,AIC464,"28.478302,77.384842",4450,175,283
1544082872,2018-12-06T07:54:32Z,AIC464,"28.48027,77.375862",4350,176,283
1544082882,2018-12-06T07:54:42Z,AIC464,"28.482243,77.366852",4250,176,284
1544082897,2018-12-06T07:54:57Z,AIC464,"28.485168,77.353256",4100,175,283
1544082907,2018-12-06T07:55:07Z,AIC464,"28.487129,77.344124",4000,175,283
1544082918,2018-12-06T07:55:18Z,AIC464,"28.488993,77.335617",3875,171,283
1544082928,2018-12-06T07:55:28Z,AIC464,"28.490854,77.327057",3775,169,283
1544082938,2018-12-06T07:55:38Z,AIC464,"28.492722,77.318184",3675,169,283
1544082948,2018-12-06T07:55:48Z,AIC464,"28.494598,77.309525",3600,170,283
1544082958,2018-12-06T07:55:58Z,AIC464,"28.496429,77.300812",3475,169,283
1544082967,2018-12-06T07:56:07Z,AIC464,"28.498398,77.292198",3375,168,284
1544082978,2018-12-06T07:56:18Z,AIC464,"28.500229,77.283691",3275,166,283
1544082987,2018-12-06T07:56:27Z,AIC464,"28.502119,77.274979",3175,166,283
1544082997,2018-12-06T07:56:37Z,AIC464,"28.50375,77.267387",3075,169,284
1544083009,2018-12-06T07:56:49Z,AIC464,"28.505859,77.257706",2975,167,283
1544083018,2018-12-06T07:56:58Z,AIC464,"28.50766,77.249344",2875,166,283
1544083027,2018-12-06T07:57:07Z,AIC464,"28.509476,77.240784",2775,166,283
1544083038,2018-12-06T07:57:18Z,AIC464,"28.511244,77.232269",2675,166,283
1544083048,2018-12-06T07:57:28Z,AIC464,"28.51306,77.223816",2600,163,283
1544083058,2018-12-06T07:57:38Z,AIC464,"28.515015,77.215149",2575,163,284
1544083073,2018-12-06T07:57:53Z,AIC464,"28.517622,77.203133",2575,156,284
1544083084,2018-12-06T07:58:04Z,AIC464,"28.519251,77.195435",2525,147,283
1544083093,2018-12-06T07:58:13Z,AIC464,"28.520927,77.187569",2400,144,283
1544083104,2018-12-06T07:58:24Z,AIC464,"28.522417,77.180626",2250,135,284
1544083114,2018-12-06T07:58:34Z,AIC464,"28.523952,77.173889",2150,130,284
1544083124,2018-12-06T07:58:44Z,AIC464,"28.525396,77.167213",2025,129,282
1544083133,2018-12-06T07:58:53Z,AIC464,"28.52656,77.16156",1925,129,283
1544083144,2018-12-06T07:59:04Z,AIC464,"28.528198,77.15387",1800,130,284
1544083153,2018-12-06T07:59:13Z,AIC464,"28.529585,77.147232",1650,132,283
1544083164,2018-12-06T07:59:24Z,AIC464,"28.531036,77.140396",1550,130,283
1544083174,2018-12-06T07:59:34Z,AIC464,"28.532473,77.133774",1425,131,284
1544083184,2018-12-06T07:59:44Z,AIC464,"28.533869,77.127197",1325,130,282
1544083194,2018-12-06T07:59:54Z,AIC464,"28.535265,77.120468",1200,132,283
1544083204,2018-12-06T08:00:04Z,AIC464,"28.536804,77.113617",1075,130,284
1544083213,2018-12-06T08:00:13Z,AIC464,"28.538151,77.10717",975,129,283
