Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544426528,2018-12-10T07:22:08Z,AIC464,"30.670315,76.786057",0,2,213
1544426950,2018-12-10T07:29:10Z,AIC464,"30.67725,76.778877",0,0,318
1544427014,2018-12-10T07:30:14Z,AIC464,"30.677147,76.779167",0,24,115
1544427021,2018-12-10T07:30:21Z,AIC464,"30.676655,76.780418",0,44,115
1544427027,2018-12-10T07:30:27Z,AIC464,"30.675934,76.78231",0,72,112
1544427042,2018-12-10T07:30:42Z,AIC464,"30.673222,76.78933",0,130,115
1544427052,2018-12-10T07:30:52Z,AIC464,"30.669731,76.798225",1100,158,114
1544427058,2018-12-10T07:30:58Z,AIC464,"30.668242,76.802017",1350,155,114
1544427066,2018-12-10T07:31:06Z,AIC464,"30.666008,76.807564",1625,153,114
1544427078,2018-12-10T07:31:18Z,AIC464,"30.662659,76.816246",2100,150,113
1544427084,2018-12-10T07:31:24Z,AIC464,"30.660919,76.820824",2200,156,113
1544427098,2018-12-10T07:31:38Z,AIC464,"30.656185,76.833435",2500,175,112
1544427104,2018-12-10T07:31:44Z,AIC464,"30.654602,76.838974",2600,184,106
1544427113,2018-12-10T07:31:53Z,AIC464,"30.653,76.84716",2775,194,101
1544427119,2018-12-10T07:31:59Z,AIC464,"30.651672,76.854431",2900,201,102
1544427125,2018-12-10T07:32:05Z,AIC464,"30.650087,76.861008",3025,207,106
1544427132,2018-12-10T07:32:12Z,AIC464,"30.64813,76.867325",3250,210,110
1544427140,2018-12-10T07:32:20Z,AIC464,"30.644669,76.876617",3725,209,113
1544427147,2018-12-10T07:32:27Z,AIC464,"30.642359,76.882492",4075,208,114
1544427153,2018-12-10T07:32:33Z,AIC464,"30.639862,76.888733",4425,206,114
1544427164,2018-12-10T07:32:44Z,AIC464,"30.635376,76.901123",5025,206,111
1544427176,2018-12-10T07:32:56Z,AIC464,"30.63114,76.913857",5575,209,111
1544427188,2018-12-10T07:33:08Z,AIC464,"30.626862,76.926758",6125,212,111
