Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544516108,2018-12-11T08:15:08Z,AIC464,"30.593262,76.915604",6675,225,128
1544516122,2018-12-11T08:15:22Z,AIC464,"30.585611,76.926872",7275,228,128
1544516133,2018-12-11T08:15:33Z,AIC464,"30.577698,76.938576",7825,233,128
1544516145,2018-12-11T08:15:45Z,AIC464,"30.569504,76.950562",8475,234,128
1544516156,2018-12-11T08:15:56Z,AIC464,"30.561497,76.962357",9100,234,128
1544516168,2018-12-11T08:16:08Z,AIC464,"30.553816,76.973679",9700,237,127
1544516181,2018-12-11T08:16:21Z,AIC464,"30.544971,76.986694",10275,239,128
1544516193,2018-12-11T08:16:33Z,AIC464,"30.536545,76.99897",10900,240,128
1544516207,2018-12-11T08:16:47Z,AIC464,"30.528122,77.011307",11425,244,128
1544516216,2018-12-11T08:16:56Z,AIC464,"30.520203,77.022942",11700,259,128
1544516231,2018-12-11T08:17:11Z,AIC464,"30.510178,77.037643",11900,277,128
1544516242,2018-12-11T08:17:22Z,AIC464,"30.500015,77.052559",12125,293,128
1544516274,2018-12-11T08:17:54Z,AIC464,"30.46994,77.096771",12725,333,128
1544516307,2018-12-11T08:18:27Z,AIC464,"30.437119,77.145081",13725,356,128
1544516341,2018-12-11T08:19:01Z,AIC464,"30.401413,77.194092",14925,368,137
1544516347,2018-12-11T08:19:07Z,AIC464,"30.393219,77.201248",15125,369,144
1544516353,2018-12-11T08:19:13Z,AIC464,"30.38443,77.20723",15375,370,150
1544516360,2018-12-11T08:19:20Z,AIC464,"30.37501,77.213013",15625,371,152
1544516369,2018-12-11T08:19:29Z,AIC464,"30.360352,77.221878",15950,374,152
1544516375,2018-12-11T08:19:35Z,AIC464,"30.351315,77.227242",16125,377,152
1544516408,2018-12-11T08:20:08Z,AIC464,"30.29924,77.257797",17550,380,152
1544516441,2018-12-11T08:20:41Z,AIC464,"30.247925,77.287743",18800,387,153
1544516502,2018-12-11T08:21:42Z,AIC464,"30.149139,77.345207",20025,401,153
1544516566,2018-12-11T08:22:46Z,AIC464,"30.034853,77.409668",20000,440,160
1544516574,2018-12-11T08:22:54Z,AIC464,"30.017715,77.414948",20000,437,168
1544516580,2018-12-11T08:23:00Z,AIC464,"30.005722,77.416832",20000,434,174
1544516587,2018-12-11T08:23:07Z,AIC464,"29.99295,77.417206",20000,429,180
1544516595,2018-12-11T08:23:15Z,AIC464,"29.975451,77.414833",20000,422,190
1544516602,2018-12-11T08:23:22Z,AIC464,"29.964615,77.411606",20000,419,195
1544516609,2018-12-11T08:23:29Z,AIC464,"29.948591,77.404343",20000,413,203
1544516616,2018-12-11T08:23:36Z,AIC464,"29.93779,77.398735",20000,412,204
1544516624,2018-12-11T08:23:44Z,AIC464,"29.922226,77.390709",20000,411,204
1544516685,2018-12-11T08:24:45Z,AIC464,"29.816162,77.33551",20000,415,204
1544516748,2018-12-11T08:25:48Z,AIC464,"29.705868,77.277939",20000,416,204
1544516811,2018-12-11T08:26:51Z,AIC464,"29.594376,77.21978",20000,416,204
1544516872,2018-12-11T08:27:52Z,AIC464,"29.490284,77.16571",19050,412,204
1544516936,2018-12-11T08:28:56Z,AIC464,"29.37991,77.108459",17150,398,204
1544516969,2018-12-11T08:29:29Z,AIC464,"29.325302,77.080238",16100,391,204
1544517001,2018-12-11T08:30:01Z,AIC464,"29.273769,77.053474",15075,391,204
1544517034,2018-12-11T08:30:34Z,AIC464,"29.216675,77.02404",13775,380,204
1544517068,2018-12-11T08:31:08Z,AIC464,"29.162743,76.99617",12400,371,204
1544517101,2018-12-11T08:31:41Z,AIC464,"29.112839,76.970428",11700,344,204
1544517115,2018-12-11T08:31:55Z,AIC464,"29.095688,76.961555",11500,335,204
1544517124,2018-12-11T08:32:04Z,AIC464,"29.08136,76.954262",11325,329,204
1544517152,2018-12-11T08:32:32Z,AIC464,"29.040482,76.940163",10725,315,194
1544517164,2018-12-11T08:32:44Z,AIC464,"29.023178,76.934998",10500,309,194
1544517176,2018-12-11T08:32:56Z,AIC464,"29.00684,76.929985",10325,302,195
1544517188,2018-12-11T08:33:08Z,AIC464,"28.990965,76.925087",10125,295,195
1544517201,2018-12-11T08:33:21Z,AIC464,"28.97537,76.920181",9850,291,195
1544517213,2018-12-11T08:33:33Z,AIC464,"28.959263,76.915123",9525,289,195
1544517225,2018-12-11T08:33:45Z,AIC464,"28.943848,76.910316",9200,289,195
1544517237,2018-12-11T08:33:57Z,AIC464,"28.928165,76.905479",8875,288,195
