Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544600954,2018-12-12T07:49:14Z,AIC464,"30.583702,76.929893",7100,247,128
1544600967,2018-12-12T07:49:27Z,AIC464,"30.575089,76.942642",7800,247,128
1544600977,2018-12-12T07:49:37Z,AIC464,"30.566895,76.954704",8475,247,128
1544600990,2018-12-12T07:49:50Z,AIC464,"30.557961,76.96785",9200,248,127
1544601004,2018-12-12T07:50:04Z,AIC464,"30.549408,76.980446",9725,252,128
1544601015,2018-12-12T07:50:15Z,AIC464,"30.540457,76.993454",10300,256,128
1544601027,2018-12-12T07:50:27Z,AIC464,"30.531464,77.006622",10900,257,128
1544601039,2018-12-12T07:50:39Z,AIC464,"30.522673,77.019432",11475,260,128
1544601051,2018-12-12T07:50:51Z,AIC464,"30.513382,77.032845",12250,263,128
1544601084,2018-12-12T07:51:24Z,AIC464,"30.488663,77.068932",14350,272,128
1544601115,2018-12-12T07:51:55Z,AIC464,"30.463087,77.106499",16050,287,128
1544601149,2018-12-12T07:52:29Z,AIC464,"30.43634,77.145676",17875,291,128
1544601181,2018-12-12T07:53:01Z,AIC464,"30.405579,77.189835",18700,318,131
1544601188,2018-12-12T07:53:08Z,AIC464,"30.399033,77.196777",18825,320,138
1544601194,2018-12-12T07:53:14Z,AIC464,"30.391489,77.202904",18950,323,145
1544601200,2018-12-12T07:53:20Z,AIC464,"30.383575,77.207962",19100,327,151
1544601207,2018-12-12T07:53:27Z,AIC464,"30.375732,77.212669",19225,331,152
1544601215,2018-12-12T07:53:35Z,AIC464,"30.363007,77.220207",19400,338,152
1544601278,2018-12-12T07:54:38Z,AIC464,"30.268171,77.275635",20000,366,153
1544601341,2018-12-12T07:55:41Z,AIC464,"30.173578,77.331169",20000,352,152
1544601406,2018-12-12T07:56:46Z,AIC464,"30.081497,77.384781",20000,352,152
1544601450,2018-12-12T07:57:30Z,AIC464,"30.01395,77.420876",20000,350,165
1544601458,2018-12-12T07:57:38Z,AIC464,"30.00436,77.422684",20000,350,171
1544601485,2018-12-12T07:58:05Z,AIC464,"29.962044,77.417084",20000,347,186
1544601548,2018-12-12T07:59:08Z,AIC464,"29.857452,77.416855",20000,350,179
1544601608,2018-12-12T08:00:08Z,AIC464,"29.76004,77.419334",20000,346,178
1544601647,2018-12-12T08:00:47Z,AIC464,"29.700003,77.405792",20025,343,208
1544601711,2018-12-12T08:01:51Z,AIC464,"29.610672,77.346077",20000,354,210
1544601774,2018-12-12T08:02:54Z,AIC464,"29.521194,77.286285",19875,345,210
1544601810,2018-12-12T08:03:30Z,AIC464,"29.47229,77.25338",19325,335,210
1544601898,2018-12-12T08:04:58Z,AIC464,"29.356586,77.176208",17600,326,210
1544601931,2018-12-12T08:05:31Z,AIC464,"29.312988,77.147156",16800,320,210
1544601965,2018-12-12T08:06:05Z,AIC464,"29.271973,77.11985",15975,321,210
1544601994,2018-12-12T08:06:34Z,AIC464,"29.232012,77.093163",15175,316,210
1544602027,2018-12-12T08:07:07Z,AIC464,"29.190348,77.06543",14325,307,210
1544602060,2018-12-12T08:07:40Z,AIC464,"29.150162,77.038612",13500,300,210
1544602095,2018-12-12T08:08:15Z,AIC464,"29.110186,77.012009",12650,293,210
1544602125,2018-12-12T08:08:45Z,AIC464,"29.075224,76.988899",11900,288,210
1544602138,2018-12-12T08:08:58Z,AIC464,"29.06131,76.979668",11650,284,210
1544602152,2018-12-12T08:09:12Z,AIC464,"29.044327,76.968422",11425,276,210
1544602165,2018-12-12T08:09:25Z,AIC464,"29.03096,76.959595",11225,272,210
1544602178,2018-12-12T08:09:38Z,AIC464,"29.018097,76.951042",11025,268,210
1544602187,2018-12-12T08:09:47Z,AIC464,"29.005629,76.942802",10825,263,210
1544602200,2018-12-12T08:10:00Z,AIC464,"28.992508,76.93409",10600,258,210
1544602212,2018-12-12T08:10:12Z,AIC464,"28.981796,76.926956",10450,254,210
1544602225,2018-12-12T08:10:25Z,AIC464,"28.96876,76.918297",10300,247,210
1544602239,2018-12-12T08:10:39Z,AIC464,"28.953323,76.908096",10075,241,210
1544602252,2018-12-12T08:10:52Z,AIC464,"28.941992,76.900635",9925,239,210
1544602263,2018-12-12T08:11:03Z,AIC464,"28.93012,76.892769",9775,239,210
1544602275,2018-12-12T08:11:15Z,AIC464,"28.91954,76.885757",9650,242,210
1544602287,2018-12-12T08:11:27Z,AIC464,"28.906658,76.877205",9500,243,210
1544602301,2018-12-12T08:11:41Z,AIC464,"28.895533,76.869881",9350,244,210
1544602311,2018-12-12T08:11:51Z,AIC464,"28.884018,76.862198",9200,242,210
1544602323,2018-12-12T08:12:03Z,AIC464,"28.872908,76.854912",9025,239,209
1544602336,2018-12-12T08:12:16Z,AIC464,"28.860199,76.846565",8875,238,210
1544602348,2018-12-12T08:12:28Z,AIC464,"28.849548,76.839485",8700,238,210
1544602363,2018-12-12T08:12:43Z,AIC464,"28.834396,76.829613",8500,239,208
1544602369,2018-12-12T08:12:49Z,AIC464,"28.828032,76.826691",8375,240,199
1544602376,2018-12-12T08:12:56Z,AIC464,"28.820938,76.824432",8300,239,195
