Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544690138,2018-12-13T08:35:38Z,AIC464,"30.479706,77.037834",15850,369,119
1544690146,2018-12-13T08:35:46Z,AIC464,"30.474957,77.047394",16100,370,119
1544690202,2018-12-13T08:36:42Z,AIC464,"30.424028,77.150223",17625,394,119
1544690219,2018-12-13T08:36:59Z,AIC464,"30.407829,77.180328",17775,406,123
1544690249,2018-12-13T08:37:29Z,AIC464,"30.36421,77.218948",18325,420,152
1544690310,2018-12-13T08:38:30Z,AIC464,"30.252274,77.284836",19875,438,152
1544690374,2018-12-13T08:39:34Z,AIC464,"30.136826,77.352257",20000,439,153
1544690407,2018-12-13T08:40:07Z,AIC464,"30.077354,77.386925",20000,441,153
1544690473,2018-12-13T08:41:13Z,AIC464,"29.954643,77.407417",20000,424,202
1544690545,2018-12-13T08:42:25Z,AIC464,"29.827881,77.341599",20000,424,204
1544690605,2018-12-13T08:43:25Z,AIC464,"29.715178,77.28273",20000,425,204
1544690665,2018-12-13T08:44:25Z,AIC464,"29.607037,77.226402",20000,427,204
1544690729,2018-12-13T08:45:29Z,AIC464,"29.496149,77.168884",20000,379,204
1544690793,2018-12-13T08:46:33Z,AIC464,"29.403671,77.120804",19325,337,204
1544690852,2018-12-13T08:47:32Z,AIC464,"29.317528,77.076096",18675,330,204
1544690915,2018-12-13T08:48:35Z,AIC464,"29.230911,77.03138",17950,328,204
1544690949,2018-12-13T08:49:09Z,AIC464,"29.183552,77.006836",17400,328,204
1544690981,2018-12-13T08:49:41Z,AIC464,"29.138535,76.983627",16875,324,204
1544691017,2018-12-13T08:50:17Z,AIC464,"29.09317,76.960281",16325,324,204
1544691048,2018-12-13T08:50:48Z,AIC464,"29.048264,76.937096",15775,323,204
1544691082,2018-12-13T08:51:22Z,AIC464,"29.00235,76.915497",15175,322,194
1544691090,2018-12-13T08:51:30Z,AIC464,"28.988962,76.913826",14925,324,183
1544691110,2018-12-13T08:51:50Z,AIC464,"28.96225,76.921516",14550,321,154
1544691118,2018-12-13T08:51:58Z,AIC464,"28.95108,76.930283",14350,318,139
1544691128,2018-12-13T08:52:08Z,AIC464,"28.942474,76.941162",14175,317,126
1544691135,2018-12-13T08:52:15Z,AIC464,"28.936707,76.952682",14000,314,115
1544691141,2018-12-13T08:52:21Z,AIC464,"28.933054,76.962997",13925,311,111
1544691148,2018-12-13T08:52:28Z,AIC464,"28.929842,76.972801",13875,308,110
1544691156,2018-12-13T08:52:36Z,AIC464,"28.925446,76.986275",13750,303,110
1544691193,2018-12-13T08:53:13Z,AIC464,"28.908325,77.038086",12750,301,110
1544691226,2018-12-13T08:53:46Z,AIC464,"28.891483,77.08902",11800,301,110
1544691238,2018-12-13T08:53:58Z,AIC464,"28.885574,77.106804",11450,301,110
1544691250,2018-12-13T08:54:10Z,AIC464,"28.879612,77.124832",11175,299,110
1544691261,2018-12-13T08:54:21Z,AIC464,"28.873993,77.142036",11050,296,110
1544691274,2018-12-13T08:54:34Z,AIC464,"28.868179,77.159622",11000,297,110
1544691286,2018-12-13T08:54:46Z,AIC464,"28.862137,77.178108",11000,297,110
1544691299,2018-12-13T08:54:59Z,AIC464,"28.856369,77.195541",10975,293,110
1544691310,2018-12-13T08:55:10Z,AIC464,"28.85083,77.212494",11000,281,110
1544691322,2018-12-13T08:55:22Z,AIC464,"28.845629,77.22834",11000,269,110
1544691334,2018-12-13T08:55:34Z,AIC464,"28.840322,77.244499",11000,260,110
1544691347,2018-12-13T08:55:47Z,AIC464,"28.835129,77.260193",11000,255,110
1544691358,2018-12-13T08:55:58Z,AIC464,"28.830313,77.274765",11000,250,110
1544691371,2018-12-13T08:56:11Z,AIC464,"28.825516,77.289291",11000,250,110
1544691382,2018-12-13T08:56:22Z,AIC464,"28.821003,77.304436",11000,251,103
1544691388,2018-12-13T08:56:28Z,AIC464,"28.819885,77.312515",11000,251,96
1544691395,2018-12-13T08:56:35Z,AIC464,"28.819519,77.320724",11000,252,92
1544691401,2018-12-13T08:56:41Z,AIC464,"28.819466,77.327057",10950,253,90
1544691409,2018-12-13T08:56:49Z,AIC464,"28.819473,77.34037",10800,253,89
1544691426,2018-12-13T08:57:06Z,AIC464,"28.819611,77.364082",10500,251,89
1544691438,2018-12-13T08:57:18Z,AIC464,"28.819702,77.379349",10300,251,89
1544691455,2018-12-13T08:57:35Z,AIC464,"28.819702,77.400269",10075,252,90
1544691467,2018-12-13T08:57:47Z,AIC464,"28.819698,77.416451",10025,254,90
1544691483,2018-12-13T08:58:03Z,AIC464,"28.819698,77.436325",10000,258,90
1544691493,2018-12-13T08:58:13Z,AIC464,"28.819656,77.453087",10000,257,90
1544691507,2018-12-13T08:58:27Z,AIC464,"28.819656,77.469246",10000,256,90
1544691517,2018-12-13T08:58:37Z,AIC464,"28.819653,77.485603",10000,255,90
1544691533,2018-12-13T08:58:53Z,AIC464,"28.819607,77.505852",10000,254,90
1544691545,2018-12-13T08:59:05Z,AIC464,"28.819565,77.521912",10000,254,90
1544691562,2018-12-13T08:59:22Z,AIC464,"28.819559,77.541931",10000,255,90
1544691572,2018-12-13T08:59:32Z,AIC464,"28.818329,77.558144",10000,254,102
1544691580,2018-12-13T08:59:40Z,AIC464,"28.815928,77.565575",10000,252,113
1544691587,2018-12-13T08:59:47Z,AIC464,"28.809814,77.575516",10000,250,130
1544691594,2018-12-13T08:59:54Z,AIC464,"28.804569,77.580605",10000,249,142
1544691602,2018-12-13T09:00:02Z,AIC464,"28.795303,77.585663",10000,247,160
1544691608,2018-12-13T09:00:08Z,AIC464,"28.789719,77.586983",10000,245,172
1544691633,2018-12-13T09:00:33Z,AIC464,"28.762161,77.582176",10000,242,194
1544691642,2018-12-13T09:00:42Z,AIC464,"28.751953,77.579109",10000,242,195
1544691653,2018-12-13T09:00:53Z,AIC464,"28.738791,77.575058",10000,242,195
1544691666,2018-12-13T09:01:06Z,AIC464,"28.725803,77.571121",10000,243,195
1544691677,2018-12-13T09:01:17Z,AIC464,"28.71254,77.567123",10000,243,195
1544691688,2018-12-13T09:01:28Z,AIC464,"28.699081,77.562988",10000,244,194
1544691702,2018-12-13T09:01:42Z,AIC464,"28.686218,77.55909",10000,244,194
1544691713,2018-12-13T09:01:53Z,AIC464,"28.672873,77.555077",10000,244,194
1544691725,2018-12-13T09:02:05Z,AIC464,"28.66008,77.551117",10000,244,195
1544691738,2018-12-13T09:02:18Z,AIC464,"28.646757,77.547104",10000,244,194
1544691750,2018-12-13T09:02:30Z,AIC464,"28.633209,77.542984",9975,243,194
1544691762,2018-12-13T09:02:42Z,AIC464,"28.620455,77.539131",9850,242,194
1544691774,2018-12-13T09:02:54Z,AIC464,"28.60742,77.535309",9600,241,194
1544691786,2018-12-13T09:03:06Z,AIC464,"28.594208,77.531364",9325,242,194
1544691795,2018-12-13T09:03:15Z,AIC464,"28.584915,77.527351",9125,240,206
1544691801,2018-12-13T09:03:21Z,AIC464,"28.579256,77.522873",8950,240,218
1544691807,2018-12-13T09:03:27Z,AIC464,"28.575346,77.518295",8725,243,229
1544691815,2018-12-13T09:03:35Z,AIC464,"28.570953,77.511185",8525,246,237
1544691823,2018-12-13T09:03:43Z,AIC464,"28.565571,77.500572",8225,249,240
1544691830,2018-12-13T09:03:50Z,AIC464,"28.562172,77.493629",8050,251,241
1544691836,2018-12-13T09:03:56Z,AIC464,"28.558821,77.486679",7900,252,241
1544691849,2018-12-13T09:04:09Z,AIC464,"28.550262,77.46904",7600,251,241
1544691865,2018-12-13T09:04:25Z,AIC464,"28.542435,77.453033",7425,242,240
1544691876,2018-12-13T09:04:36Z,AIC464,"28.535591,77.439072",7275,236,240
1544691888,2018-12-13T09:04:48Z,AIC464,"28.529352,77.426361",7125,228,240
1544691906,2018-12-13T09:05:06Z,AIC464,"28.522018,77.411407",6950,219,240
1544691918,2018-12-13T09:05:18Z,AIC464,"28.515701,77.398575",6825,211,240
1544691930,2018-12-13T09:05:30Z,AIC464,"28.510071,77.387169",6700,205,240
1544691939,2018-12-13T09:05:39Z,AIC464,"28.504681,77.376282",6550,201,240
1544691952,2018-12-13T09:05:52Z,AIC464,"28.499908,77.365616",6325,199,245
1544691964,2018-12-13T09:06:04Z,AIC464,"28.495331,77.352623",6075,198,250
1544691973,2018-12-13T09:06:13Z,AIC464,"28.492722,77.344017",5900,197,252
1544691981,2018-12-13T09:06:21Z,AIC464,"28.491394,77.335144",5725,196,265
1544691987,2018-12-13T09:06:27Z,AIC464,"28.491365,77.332062",5675,196,270
1544691994,2018-12-13T09:06:34Z,AIC464,"28.492264,77.322731",5475,195,279
1544692005,2018-12-13T09:06:45Z,AIC464,"28.493927,77.313698",5300,195,282
1544692014,2018-12-13T09:06:54Z,AIC464,"28.495834,77.304245",5100,196,283
1544692025,2018-12-13T09:07:05Z,AIC464,"28.498215,77.293259",4775,196,283
1544692031,2018-12-13T09:07:11Z,AIC464,"28.499746,77.286072",4625,196,283
1544692042,2018-12-13T09:07:22Z,AIC464,"28.502151,77.274818",4500,182,283
1544692048,2018-12-13T09:07:28Z,AIC464,"28.503376,77.269165",4350,179,283
1544692055,2018-12-13T09:07:35Z,AIC464,"28.504539,77.263725",4225,178,283
1544692061,2018-12-13T09:07:41Z,AIC464,"28.505768,77.257973",4050,177,283
1544692073,2018-12-13T09:07:53Z,AIC464,"28.507845,77.248268",3700,177,283
1544692086,2018-12-13T09:08:06Z,AIC464,"28.510391,77.236473",3350,175,283
1544692097,2018-12-13T09:08:17Z,AIC464,"28.512634,77.22612",2975,175,283
1544692108,2018-12-13T09:08:28Z,AIC464,"28.514969,77.215202",2725,171,283
1544692115,2018-12-13T09:08:35Z,AIC464,"28.516113,77.209908",2650,166,283
1544692122,2018-12-13T09:08:42Z,AIC464,"28.517029,77.205734",2550,163,283
1544692132,2018-12-13T09:08:52Z,AIC464,"28.519226,77.195381",2400,150,284
1544692139,2018-12-13T09:08:59Z,AIC464,"28.520233,77.190842",2325,148,283
1544692146,2018-12-13T09:09:06Z,AIC464,"28.521206,77.186226",2225,145,284
1544692157,2018-12-13T09:09:17Z,AIC464,"28.523163,77.177475",2075,141,284
1544692169,2018-12-13T09:09:29Z,AIC464,"28.525085,77.168655",1950,140,284
1544692175,2018-12-13T09:09:35Z,AIC464,"28.525955,77.16452",1850,141,283
1544692181,2018-12-13T09:09:41Z,AIC464,"28.526886,77.160217",1750,140,283
1544692189,2018-12-13T09:09:49Z,AIC464,"28.527769,77.15596",1675,139,283
1544692197,2018-12-13T09:09:57Z,AIC464,"28.529114,77.14959",1575,138,283
1544692204,2018-12-13T09:10:04Z,AIC464,"28.530098,77.145027",1475,140,283
1544692215,2018-12-13T09:10:15Z,AIC464,"28.531914,77.136574",1350,138,283
