Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545032675,2018-12-17T07:44:35Z,AIC464,"30.605396,76.873642",6875,279,109
1545032687,2018-12-17T07:44:47Z,AIC464,"30.600182,76.890671",7500,277,109
1545032700,2018-12-17T07:45:00Z,AIC464,"30.594923,76.908089",8125,277,109
1545032709,2018-12-17T07:45:09Z,AIC464,"30.589691,76.92083",8525,280,118
1545032716,2018-12-17T07:45:16Z,AIC464,"30.585938,76.927589",8775,281,123
1545032724,2018-12-17T07:45:24Z,AIC464,"30.578722,76.938576",9250,281,128
1545032730,2018-12-17T07:45:30Z,AIC464,"30.574625,76.944397",9525,280,129
1545032738,2018-12-17T07:45:38Z,AIC464,"30.566299,76.956055",9850,284,129
1545032751,2018-12-17T07:45:51Z,AIC464,"30.555725,76.97113",10275,290,128
1545032763,2018-12-17T07:46:03Z,AIC464,"30.545609,76.985725",10800,291,128
1545032775,2018-12-17T07:46:15Z,AIC464,"30.535583,77.000374",11375,291,128
1545032787,2018-12-17T07:46:27Z,AIC464,"30.525879,77.014534",11825,294,128
1545032798,2018-12-17T07:46:38Z,AIC464,"30.515945,77.029129",12275,297,128
1545032832,2018-12-17T07:47:12Z,AIC464,"30.486549,77.07222",13450,308,128
1545032865,2018-12-17T07:47:45Z,AIC464,"30.456619,77.115997",14800,312,128
1545032898,2018-12-17T07:48:18Z,AIC464,"30.42724,77.159012",15900,321,128
1545032926,2018-12-17T07:48:46Z,AIC464,"30.400007,77.195877",16900,326,138
1545032933,2018-12-17T07:48:53Z,AIC464,"30.392899,77.201736",17125,328,145
1545032941,2018-12-17T07:49:01Z,AIC464,"30.380968,77.209496",17400,330,151
1545032947,2018-12-17T07:49:07Z,AIC464,"30.372589,77.214493",17575,331,152
1545032953,2018-12-17T07:49:13Z,AIC464,"30.364302,77.219383",17750,334,152
1545032959,2018-12-17T07:49:19Z,AIC464,"30.355728,77.224411",17925,336,153
1545032992,2018-12-17T07:49:52Z,AIC464,"30.308765,77.251907",18875,347,153
1545033054,2018-12-17T07:50:54Z,AIC464,"30.211899,77.308586",19900,389,153
1545033115,2018-12-17T07:51:55Z,AIC464,"30.114807,77.365181",20000,394,153
1545033181,2018-12-17T07:53:01Z,AIC464,"30.010208,77.422913",20000,391,162
1545033188,2018-12-17T07:53:08Z,AIC464,"29.994305,77.426041",20000,388,172
1545033212,2018-12-17T07:53:32Z,AIC464,"29.957203,77.421425",20000,384,191
1545033278,2018-12-17T07:54:38Z,AIC464,"29.835562,77.39109",20000,382,196
1545033297,2018-12-17T07:54:57Z,AIC464,"29.802324,77.385651",20000,388,182
1545033318,2018-12-17T07:55:18Z,AIC464,"29.765408,77.387428",20000,389,177
1545033379,2018-12-17T07:56:19Z,AIC464,"29.654892,77.394104",20000,387,177
1545033440,2018-12-17T07:57:20Z,AIC464,"29.548847,77.40062",19750,364,177
1545033498,2018-12-17T07:58:18Z,AIC464,"29.450729,77.406555",18750,363,177
1545033561,2018-12-17T07:59:21Z,AIC464,"29.348648,77.412781",17775,334,176
1545033597,2018-12-17T07:59:57Z,AIC464,"29.294815,77.416214",17425,311,176
1545033628,2018-12-17T08:00:28Z,AIC464,"29.251785,77.418861",16900,300,177
1545033662,2018-12-17T08:01:02Z,AIC464,"29.204174,77.421677",16125,296,176
1545033692,2018-12-17T08:01:32Z,AIC464,"29.163254,77.424194",15450,291,176
1545033725,2018-12-17T08:02:05Z,AIC464,"29.119766,77.426781",14675,288,177
1545033769,2018-12-17T08:02:49Z,AIC464,"29.060486,77.430321",13600,287,177
1545033805,2018-12-17T08:03:25Z,AIC464,"29.014055,77.433205",12825,283,176
1545033839,2018-12-17T08:03:59Z,AIC464,"28.968433,77.435844",12000,281,176
1545033874,2018-12-17T08:04:34Z,AIC464,"28.922905,77.438644",11350,273,176
1545033889,2018-12-17T08:04:49Z,AIC464,"28.903793,77.439774",11150,266,177
1545033904,2018-12-17T08:05:04Z,AIC464,"28.886595,77.440796",11025,262,176
1545033919,2018-12-17T08:05:19Z,AIC464,"28.867218,77.441994",11000,265,176
1545033935,2018-12-17T08:05:35Z,AIC464,"28.849073,77.443054",11000,265,176
1545033950,2018-12-17T08:05:50Z,AIC464,"28.830231,77.444214",11000,264,176
1545033965,2018-12-17T08:06:05Z,AIC464,"28.812195,77.44532",11000,264,176
1545033979,2018-12-17T08:06:19Z,AIC464,"28.79377,77.446396",11000,263,176
1545033990,2018-12-17T08:06:30Z,AIC464,"28.781013,77.447205",11000,263,176
1545034005,2018-12-17T08:06:45Z,AIC464,"28.762756,77.448387",11000,263,176
1545034020,2018-12-17T08:07:00Z,AIC464,"28.744217,77.449654",11000,263,176
1545034035,2018-12-17T08:07:15Z,AIC464,"28.726269,77.450867",11000,264,176
1545034049,2018-12-17T08:07:29Z,AIC464,"28.707741,77.452049",11000,264,176
1545034065,2018-12-17T08:07:45Z,AIC464,"28.689468,77.453247",11000,264,176
1545034081,2018-12-17T08:08:01Z,AIC464,"28.670975,77.454514",11000,264,176
