Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545118530,2018-12-18T07:35:30Z,AIC464,"30.668827,76.801033",0,23,106
1545118538,2018-12-18T07:35:38Z,AIC464,"30.668661,76.801765",0,20,104
1545118564,2018-12-18T07:36:04Z,AIC464,"30.668032,76.802849",0,17,225
1545118583,2018-12-18T07:36:23Z,AIC464,"30.668196,76.802345",0,18,292
1545118590,2018-12-18T07:36:30Z,AIC464,"30.668312,76.802071",0,28,295
1545118597,2018-12-18T07:36:37Z,AIC464,"30.668718,76.800972",0,41,292
1545118608,2018-12-18T07:36:48Z,AIC464,"30.670006,76.797676",0,88,295
1545118624,2018-12-18T07:37:04Z,AIC464,"30.674294,76.786469",950,151,294
1545118630,2018-12-18T07:37:10Z,AIC464,"30.676025,76.781883",1150,152,293
1545118636,2018-12-18T07:37:16Z,AIC464,"30.677645,76.777847",1350,154,295
1545118644,2018-12-18T07:37:24Z,AIC464,"30.679508,76.77356",1675,152,296
1545118653,2018-12-18T07:37:33Z,AIC464,"30.683487,76.764709",2100,157,297
1545118660,2018-12-18T07:37:40Z,AIC464,"30.685822,76.759483",2300,164,297
1545118666,2018-12-18T07:37:46Z,AIC464,"30.687927,76.754524",2450,172,296
1545118674,2018-12-18T07:37:54Z,AIC464,"30.690125,76.749466",2625,181,296
1545118685,2018-12-18T07:38:05Z,AIC464,"30.695009,76.738022",3025,191,296
1545118691,2018-12-18T07:38:11Z,AIC464,"30.697311,76.732666",3250,194,296
1545118703,2018-12-18T07:38:23Z,AIC464,"30.701981,76.721298",3775,197,293
1545118712,2018-12-18T07:38:32Z,AIC464,"30.704224,76.711929",4250,195,279
1545118740,2018-12-18T07:39:00Z,AIC464,"30.697815,76.685326",5500,201,234
1545118747,2018-12-18T07:39:07Z,AIC464,"30.691406,76.678482",5850,208,216
1545118754,2018-12-18T07:39:14Z,AIC464,"30.686783,76.675522",6075,212,205
1545118760,2018-12-18T07:39:20Z,AIC464,"30.680099,76.673157",6275,219,193
1545118766,2018-12-18T07:39:26Z,AIC464,"30.673782,76.672668",6400,229,181
1545118786,2018-12-18T07:39:46Z,AIC464,"30.652863,76.684677",6925,260,134
1545118793,2018-12-18T07:39:53Z,AIC464,"30.649109,76.690666",7100,267,123
1545118808,2018-12-18T07:40:08Z,AIC464,"30.639221,76.7108",7525,287,118
1545118820,2018-12-18T07:40:20Z,AIC464,"30.630981,76.728355",7950,301,118
1545118826,2018-12-18T07:40:26Z,AIC464,"30.626862,76.736916",8250,304,119
1545118932,2018-12-18T07:42:12Z,AIC464,"30.54483,76.904839",12750,371,119
1545118966,2018-12-18T07:42:46Z,AIC464,"30.516481,76.962471",14600,372,119
