Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545206088,2018-12-19T07:54:48Z,AIC464,"30.676987,76.778343",0,28,284
1545206098,2018-12-19T07:54:58Z,AIC464,"30.677332,76.778198",0,22,19
1545206105,2018-12-19T07:55:05Z,AIC464,"30.67746,76.778503",0,21,84
1545206113,2018-12-19T07:55:13Z,AIC464,"30.677343,76.77874",0,15,109
1545206133,2018-12-19T07:55:33Z,AIC464,"30.677216,76.779007",0,23,115
1545206142,2018-12-19T07:55:42Z,AIC464,"30.676691,76.780357",0,47,115
1545206157,2018-12-19T07:55:57Z,AIC464,"30.674095,76.787086",0,115,115
1545206168,2018-12-19T07:56:08Z,AIC464,"30.671082,76.794884",0,155,115
1545206175,2018-12-19T07:56:15Z,AIC464,"30.668793,76.800575",1050,167,115
1545206182,2018-12-19T07:56:22Z,AIC464,"30.666752,76.805588",1275,165,115
1545206188,2018-12-19T07:56:28Z,AIC464,"30.664843,76.810471",1475,168,114
1545206194,2018-12-19T07:56:34Z,AIC464,"30.662796,76.815544",1700,167,115
1545206200,2018-12-19T07:56:40Z,AIC464,"30.660828,76.820335",1975,166,114
1545206206,2018-12-19T07:56:46Z,AIC464,"30.659225,76.824379",2200,163,114
1545206212,2018-12-19T07:56:52Z,AIC464,"30.657022,76.830086",2400,162,113
1545206218,2018-12-19T07:56:58Z,AIC464,"30.655161,76.834915",2575,165,113
1545206224,2018-12-19T07:57:04Z,AIC464,"30.653206,76.840027",2675,170,114
1545206231,2018-12-19T07:57:11Z,AIC464,"30.651169,76.845383",2775,177,112
1545206237,2018-12-19T07:57:17Z,AIC464,"30.649429,76.850441",2875,183,111
1545206243,2018-12-19T07:57:23Z,AIC464,"30.647461,76.856476",2975,190,110
1545206249,2018-12-19T07:57:29Z,AIC464,"30.645676,76.862396",3075,198,108
1545206255,2018-12-19T07:57:35Z,AIC464,"30.644211,76.867462",3175,204,108
1545206261,2018-12-19T07:57:41Z,AIC464,"30.642126,76.874687",3275,211,108
1545206272,2018-12-19T07:57:52Z,AIC464,"30.63789,76.888748",3425,231,110
1545206278,2018-12-19T07:57:58Z,AIC464,"30.634724,76.895782",3500,243,120
1545206285,2018-12-19T07:58:05Z,AIC464,"30.630432,76.902519",3650,254,128
1545206293,2018-12-19T07:58:13Z,AIC464,"30.624577,76.910561",3825,265,130
1545206300,2018-12-19T07:58:20Z,AIC464,"30.618385,76.918633",3975,274,131
1545206308,2018-12-19T07:58:28Z,AIC464,"30.610565,76.928589",4300,281,132
1545206315,2018-12-19T07:58:35Z,AIC464,"30.60507,76.935555",4575,283,132
1545206328,2018-12-19T07:58:48Z,AIC464,"30.594223,76.949318",5150,286,132
1545206340,2018-12-19T07:59:00Z,AIC464,"30.583469,76.963127",5650,291,131
1545206351,2018-12-19T07:59:11Z,AIC464,"30.572754,76.976837",6150,295,131
1545206363,2018-12-19T07:59:23Z,AIC464,"30.561356,76.991486",6700,298,132
1545206375,2018-12-19T07:59:35Z,AIC464,"30.550045,77.006088",7250,301,131
1545206388,2018-12-19T07:59:48Z,AIC464,"30.538834,77.020515",7800,302,131
1545206399,2018-12-19T07:59:59Z,AIC464,"30.527161,77.035484",8350,305,131
1545206411,2018-12-19T08:00:11Z,AIC464,"30.515596,77.050308",8900,306,131
1545206423,2018-12-19T08:00:23Z,AIC464,"30.50461,77.064423",9425,308,131
1545206436,2018-12-19T08:00:36Z,AIC464,"30.492554,77.079918",10000,308,132
1545206448,2018-12-19T08:00:48Z,AIC464,"30.480789,77.095047",10350,317,131
1545206460,2018-12-19T08:01:00Z,AIC464,"30.468487,77.110786",10575,331,132
1545206472,2018-12-19T08:01:12Z,AIC464,"30.45587,77.126877",10750,344,132
1545206484,2018-12-19T08:01:24Z,AIC464,"30.442883,77.143578",10950,356,131
1545206496,2018-12-19T08:01:36Z,AIC464,"30.429382,77.160912",11150,368,131
1545206508,2018-12-19T08:01:48Z,AIC464,"30.41523,77.179123",11375,380,132
1545206520,2018-12-19T08:02:00Z,AIC464,"30.39917,77.196365",11675,384,141
1545206526,2018-12-19T08:02:06Z,AIC464,"30.392513,77.201752",11825,385,146
1545206532,2018-12-19T08:02:12Z,AIC464,"30.381062,77.209335",12025,385,151
1545206539,2018-12-19T08:02:19Z,AIC464,"30.371201,77.215256",12225,386,152
1545206545,2018-12-19T08:02:25Z,AIC464,"30.361975,77.220703",12425,387,152
1545206551,2018-12-19T08:02:31Z,AIC464,"30.352058,77.226524",12625,390,153
1545206581,2018-12-19T08:03:01Z,AIC464,"30.304047,77.254623",13775,391,153
1545206615,2018-12-19T08:03:35Z,AIC464,"30.248154,77.287338",14700,403,153
1545206647,2018-12-19T08:04:07Z,AIC464,"30.192627,77.319786",15700,412,153
1545206680,2018-12-19T08:04:40Z,AIC464,"30.13504,77.353279",16625,423,153
1545206710,2018-12-19T08:05:10Z,AIC464,"30.082289,77.384071",18000,415,153
1545206746,2018-12-19T08:05:46Z,AIC464,"30.021057,77.416565",19775,395,163
1545206752,2018-12-19T08:05:52Z,AIC464,"30.010784,77.419113",19875,394,169
1545206759,2018-12-19T08:05:59Z,AIC464,"29.999147,77.42038",19950,392,176
1545206765,2018-12-19T08:06:05Z,AIC464,"29.988672,77.419937",20000,392,184
1545206771,2018-12-19T08:06:11Z,AIC464,"29.976522,77.417526",20000,391,191
1545206778,2018-12-19T08:06:18Z,AIC464,"29.966234,77.41362",20000,389,200
1545206784,2018-12-19T08:06:24Z,AIC464,"29.956411,77.408737",20000,387,204
1545206792,2018-12-19T08:06:32Z,AIC464,"29.941727,77.401001",20000,388,204
1545206799,2018-12-19T08:06:39Z,AIC464,"29.931553,77.395714",20000,388,204
1545206858,2018-12-19T08:07:38Z,AIC464,"29.83287,77.344223",20000,387,204
1545206886,2018-12-19T08:08:06Z,AIC464,"29.786179,77.323418",20000,396,194
1545206892,2018-12-19T08:08:12Z,AIC464,"29.77565,77.321404",20000,400,188
1545206898,2018-12-19T08:08:18Z,AIC464,"29.765268,77.320488",20000,404,183
1545206905,2018-12-19T08:08:25Z,AIC464,"29.752899,77.319878",20000,405,182
1545206913,2018-12-19T08:08:33Z,AIC464,"29.73642,77.319298",20000,405,181
1545206919,2018-12-19T08:08:39Z,AIC464,"29.724426,77.318871",20000,405,181
