Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545645870,2018-12-24T10:04:30Z,AIC464,"30.668859,76.800682",0,17,112
1545645876,2018-12-24T10:04:36Z,AIC464,"30.668707,76.801125",0,18,109
1545645884,2018-12-24T10:04:44Z,AIC464,"30.668602,76.801933",0,19,92
1545645901,2018-12-24T10:05:01Z,AIC464,"30.668056,76.802963",0,26,210
1545645908,2018-12-24T10:05:08Z,AIC464,"30.668102,76.802605",0,20,309
1545645915,2018-12-24T10:05:15Z,AIC464,"30.668209,76.802391",0,18,292
1545645922,2018-12-24T10:05:22Z,AIC464,"30.668289,76.802162",0,22,295
1545645931,2018-12-24T10:05:31Z,AIC464,"30.668655,76.801216",0,34,292
1545645940,2018-12-24T10:05:40Z,AIC464,"30.669685,76.798569",0,76,295
1545645946,2018-12-24T10:05:46Z,AIC464,"30.670876,76.795525",0,105,295
1545645953,2018-12-24T10:05:53Z,AIC464,"30.672188,76.792114",0,125,295
1545645965,2018-12-24T10:06:05Z,AIC464,"30.675411,76.78389",1050,163,294
1545645975,2018-12-24T10:06:15Z,AIC464,"30.679596,76.773376",1500,163,294
1545645982,2018-12-24T10:06:22Z,AIC464,"30.681519,76.768692",1775,161,296
1545645988,2018-12-24T10:06:28Z,AIC464,"30.683418,76.764328",2050,158,297
1545645996,2018-12-24T10:06:36Z,AIC464,"30.685606,76.759499",2275,157,297
1545646005,2018-12-24T10:06:45Z,AIC464,"30.689655,76.750381",2600,162,297
1545646013,2018-12-24T10:06:53Z,AIC464,"30.691406,76.746399",2725,168,297
1545646024,2018-12-24T10:07:04Z,AIC464,"30.696213,76.735573",2975,180,297
1545646030,2018-12-24T10:07:10Z,AIC464,"30.698454,76.730545",3150,182,297
1545646036,2018-12-24T10:07:16Z,AIC464,"30.700968,76.724998",3375,182,297
1545646042,2018-12-24T10:07:22Z,AIC464,"30.703354,76.719627",3600,183,297
1545646054,2018-12-24T10:07:34Z,AIC464,"30.708435,76.708916",3800,197,303
1545646060,2018-12-24T10:07:40Z,AIC464,"30.711502,76.704552",3900,203,310
1545646066,2018-12-24T10:07:46Z,AIC464,"30.715912,76.698303",4000,212,306
1545646073,2018-12-24T10:07:53Z,AIC464,"30.718689,76.692383",4050,221,294
1545646083,2018-12-24T10:08:03Z,AIC464,"30.720932,76.681335",4200,235,276
1545646090,2018-12-24T10:08:10Z,AIC464,"30.720016,76.670082",4400,246,257
1545646097,2018-12-24T10:08:17Z,AIC464,"30.717636,76.662491",4575,252,247
1545646105,2018-12-24T10:08:25Z,AIC464,"30.711365,76.652527",5100,249,226
1545646111,2018-12-24T10:08:31Z,AIC464,"30.705856,76.647438",5500,244,214
1545646117,2018-12-24T10:08:37Z,AIC464,"30.700083,76.644028",5800,243,203
1545646126,2018-12-24T10:08:46Z,AIC464,"30.689981,76.641449",6225,245,186
1545646150,2018-12-24T10:09:10Z,AIC464,"30.664145,76.651993",7225,255,144
1545646158,2018-12-24T10:09:18Z,AIC464,"30.658606,76.657051",7525,255,141
1545646172,2018-12-24T10:09:32Z,AIC464,"30.645721,76.66922",8350,251,140
1545646185,2018-12-24T10:09:45Z,AIC464,"30.63398,76.680504",8950,249,140
1545646197,2018-12-24T10:09:57Z,AIC464,"30.623245,76.690819",9250,261,140
1545646208,2018-12-24T10:10:08Z,AIC464,"30.611618,76.701698",9550,273,141
1545646219,2018-12-24T10:10:19Z,AIC464,"30.600601,76.711868",10025,277,141
1545646234,2018-12-24T10:10:34Z,AIC464,"30.586716,76.724693",10375,288,141
1545646244,2018-12-24T10:10:44Z,AIC464,"30.573898,76.736755",10575,302,140
1545646258,2018-12-24T10:10:58Z,AIC464,"30.560892,76.749222",10825,315,140
1545646265,2018-12-24T10:11:05Z,AIC464,"30.551376,76.760506",11125,322,130
1545646271,2018-12-24T10:11:11Z,AIC464,"30.546228,76.76944",11375,326,120
1545646278,2018-12-24T10:11:18Z,AIC464,"30.542175,76.779243",11650,327,114
1545646287,2018-12-24T10:11:27Z,AIC464,"30.53701,76.793831",12050,329,111
1545646296,2018-12-24T10:11:36Z,AIC464,"30.531984,76.80899",12425,331,110
1545646336,2018-12-24T10:12:16Z,AIC464,"30.510178,76.874352",13875,344,111
1545646366,2018-12-24T10:12:46Z,AIC464,"30.492228,76.927261",15100,352,111
1545646398,2018-12-24T10:13:18Z,AIC464,"30.472116,76.986588",15950,360,111
1545646433,2018-12-24T10:13:53Z,AIC464,"30.45195,77.046097",16000,360,111
1545646465,2018-12-24T10:14:25Z,AIC464,"30.431763,77.105446",16000,360,111
1545646498,2018-12-24T10:14:58Z,AIC464,"30.411226,77.165718",16000,361,111
1545646511,2018-12-24T10:15:11Z,AIC464,"30.402008,77.185524",16000,358,123
1545646518,2018-12-24T10:15:18Z,AIC464,"30.39212,77.198883",16000,354,134
1545646525,2018-12-24T10:15:25Z,AIC464,"30.384319,77.2062",16000,352,143
1545646532,2018-12-24T10:15:32Z,AIC464,"30.376053,77.211967",16000,349,150
1545646539,2018-12-24T10:15:39Z,AIC464,"30.364288,77.219025",16025,349,152
1545646545,2018-12-24T10:15:45Z,AIC464,"30.354218,77.224892",16000,349,153
1545646552,2018-12-24T10:15:52Z,AIC464,"30.345566,77.230011",16000,350,153
1545646585,2018-12-24T10:16:25Z,AIC464,"30.297825,77.258057",16000,350,152
1545646618,2018-12-24T10:16:58Z,AIC464,"30.249664,77.286339",16000,350,152
1545646651,2018-12-24T10:17:31Z,AIC464,"30.202486,77.313919",16000,351,153
1545646686,2018-12-24T10:18:06Z,AIC464,"30.152481,77.342995",16000,353,153
1545646715,2018-12-24T10:18:35Z,AIC464,"30.108444,77.368683",16000,354,153
1545646751,2018-12-24T10:19:11Z,AIC464,"30.055344,77.399544",16000,355,153
1545646777,2018-12-24T10:19:37Z,AIC464,"30.016205,77.420006",16000,348,163
1545646784,2018-12-24T10:19:44Z,AIC464,"30.005152,77.422409",16000,344,172
1545646809,2018-12-24T10:20:09Z,AIC464,"29.968842,77.414886",16025,326,203
1545646815,2018-12-24T10:20:15Z,AIC464,"29.960602,77.41066",16025,327,204
1545646849,2018-12-24T10:20:49Z,AIC464,"29.914793,77.386818",16000,328,204
1545646881,2018-12-24T10:21:21Z,AIC464,"29.868484,77.362709",16000,327,204
1545646914,2018-12-24T10:21:54Z,AIC464,"29.824017,77.339439",16000,327,204
1545646947,2018-12-24T10:22:27Z,AIC464,"29.776953,77.315636",16000,328,198
1545646955,2018-12-24T10:22:35Z,AIC464,"29.768435,77.313049",16000,329,193
1545646961,2018-12-24T10:22:41Z,AIC464,"29.758987,77.311584",16000,332,186
