Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545728653,2018-12-25T09:04:13Z,AIC464,"30.670109,76.785965",0,9,208
1545728713,2018-12-25T09:05:13Z,AIC464,"30.670624,76.786224",0,2,165
1545728749,2018-12-25T09:05:49Z,AIC464,"30.670872,76.786156",0,2,120
1545728867,2018-12-25T09:07:47Z,AIC464,"30.670755,76.786484",0,17,112
1545728876,2018-12-25T09:07:56Z,AIC464,"30.670624,76.786827",0,21,112
1545728890,2018-12-25T09:08:10Z,AIC464,"30.670336,76.787582",0,28,112
1545728896,2018-12-25T09:08:16Z,AIC464,"30.670189,76.787971",0,29,115
1545728903,2018-12-25T09:08:23Z,AIC464,"30.670052,76.788284",0,25,118
1545728910,2018-12-25T09:08:30Z,AIC464,"30.669868,76.788498",0,24,143
1545728917,2018-12-25T09:08:37Z,AIC464,"30.669582,76.788673",0,25,149
1545728924,2018-12-25T09:08:44Z,AIC464,"30.669399,76.788902",0,26,123
1545728930,2018-12-25T09:08:50Z,AIC464,"30.669254,76.789246",0,26,115
1545728941,2018-12-25T09:09:01Z,AIC464,"30.66901,76.789848",0,27,115
1545728951,2018-12-25T09:09:11Z,AIC464,"30.668789,76.790421",0,28,115
1545728959,2018-12-25T09:09:19Z,AIC464,"30.668613,76.790894",0,26,112
1545728967,2018-12-25T09:09:27Z,AIC464,"30.668484,76.791298",0,24,101
1545728973,2018-12-25T09:09:33Z,AIC464,"30.668568,76.791649",0,25,56
1545728983,2018-12-25T09:09:43Z,AIC464,"30.668964,76.791885",0,25,25
1545728990,2018-12-25T09:09:50Z,AIC464,"30.669209,76.792015",0,26,25
1545728999,2018-12-25T09:09:59Z,AIC464,"30.66964,76.792236",0,28,25
1545729009,2018-12-25T09:10:09Z,AIC464,"30.670267,76.792564",0,28,25
1545729022,2018-12-25T09:10:22Z,AIC464,"30.670601,76.79274",0,0,21
1545729229,2018-12-25T09:13:49Z,AIC464,"30.670853,76.792862",0,15,22
1545729240,2018-12-25T09:14:00Z,AIC464,"30.671082,76.792976",0,19,22
1545729252,2018-12-25T09:14:12Z,AIC464,"30.671505,76.793289",0,23,47
1545729258,2018-12-25T09:14:18Z,AIC464,"30.671562,76.79361",0,24,92
1545729266,2018-12-25T09:14:26Z,AIC464,"30.671431,76.793991",0,27,112
1545729272,2018-12-25T09:14:32Z,AIC464,"30.671265,76.794434",0,32,112
1545729279,2018-12-25T09:14:39Z,AIC464,"30.671116,76.794838",0,15,112
1545729289,2018-12-25T09:14:49Z,AIC464,"30.670698,76.795914",0,20,115
1545729359,2018-12-25T09:15:59Z,AIC464,"30.668789,76.80085",0,18,112
1545729365,2018-12-25T09:16:05Z,AIC464,"30.668613,76.801353",0,34,106
1545729372,2018-12-25T09:16:12Z,AIC464,"30.668575,76.801826",0,15,87
1545729381,2018-12-25T09:16:21Z,AIC464,"30.668707,76.802521",0,29,92
1545729399,2018-12-25T09:16:39Z,AIC464,"30.668219,76.803223",0,23,185
1545729406,2018-12-25T09:16:46Z,AIC464,"30.667992,76.802933",0,21,258
1545729415,2018-12-25T09:16:55Z,AIC464,"30.668091,76.802605",0,19,295
1545729424,2018-12-25T09:17:04Z,AIC464,"30.668196,76.802345",0,21,295
1545729433,2018-12-25T09:17:13Z,AIC464,"30.668463,76.801682",0,18,295
1545729447,2018-12-25T09:17:27Z,AIC464,"30.669743,76.79834",0,74,295
1545729453,2018-12-25T09:17:33Z,AIC464,"30.671104,76.79483",0,100,295
1545729459,2018-12-25T09:17:39Z,AIC464,"30.672455,76.791328",0,125,295
1545729472,2018-12-25T09:17:52Z,AIC464,"30.675751,76.782852",1075,153,294
