Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546415525,2019-01-02T07:52:05Z,AIC464,"30.669941,76.785881",0,0,136
1546415619,2019-01-02T07:53:39Z,AIC464,"30.669971,76.786194",0,9,230
1546415631,2019-01-02T07:53:51Z,AIC464,"30.670624,76.786224",0,2,244
1546415761,2019-01-02T07:56:01Z,AIC464,"30.670795,76.786392",0,11,295
1546415783,2019-01-02T07:56:23Z,AIC464,"30.67099,76.785858",0,18,292
1546415791,2019-01-02T07:56:31Z,AIC464,"30.671116,76.785538",0,20,295
1546415799,2019-01-02T07:56:39Z,AIC464,"30.671209,76.785286",0,22,295
1546415808,2019-01-02T07:56:48Z,AIC464,"30.671408,76.784782",0,25,292
1546415816,2019-01-02T07:56:56Z,AIC464,"30.671558,76.784393",0,27,292
1546415825,2019-01-02T07:57:05Z,AIC464,"30.671734,76.783958",0,27,295
1546415843,2019-01-02T07:57:23Z,AIC464,"30.672094,76.783035",0,21,292
1546415849,2019-01-02T07:57:29Z,AIC464,"30.672176,76.782791",0,20,292
1546415857,2019-01-02T07:57:37Z,AIC464,"30.672293,76.782524",0,19,303
1546415863,2019-01-02T07:57:43Z,AIC464,"30.672501,76.78244",0,19,357
1546415884,2019-01-02T07:58:04Z,AIC464,"30.672874,76.782654",0,11,22
1546415956,2019-01-02T07:59:16Z,AIC464,"30.673899,76.783188",0,18,22
1546415979,2019-01-02T07:59:39Z,AIC464,"30.674492,76.783485",0,15,25
1546415989,2019-01-02T07:59:49Z,AIC464,"30.674725,76.783615",0,18,25
1546416005,2019-01-02T08:00:05Z,AIC464,"30.675236,76.783821",0,21,354
1546416017,2019-01-02T08:00:17Z,AIC464,"30.675539,76.783417",0,21,295
1546416028,2019-01-02T08:00:28Z,AIC464,"30.675678,76.783035",0,24,292
1546416036,2019-01-02T08:00:36Z,AIC464,"30.675865,76.782562",0,26,295
1546416044,2019-01-02T08:00:44Z,AIC464,"30.676039,76.782104",0,29,292
1546416052,2019-01-02T08:00:52Z,AIC464,"30.67622,76.781654",0,31,295
1546416063,2019-01-02T08:01:03Z,AIC464,"30.676516,76.780907",0,15,295
1546416070,2019-01-02T08:01:10Z,AIC464,"30.676712,76.780388",0,16,295
1546416077,2019-01-02T08:01:17Z,AIC464,"30.676952,76.779587",0,16,281
1546416084,2019-01-02T08:01:24Z,AIC464,"30.676958,76.779091",0,33,267
1546416092,2019-01-02T08:01:32Z,AIC464,"30.676924,76.778725",0,28,270
1546416100,2019-01-02T08:01:40Z,AIC464,"30.677181,76.778214",0,27,331
1546416109,2019-01-02T08:01:49Z,AIC464,"30.677467,76.778397",0,21,67
1546416119,2019-01-02T08:01:59Z,AIC464,"30.677355,76.778725",0,19,132
1546416126,2019-01-02T08:02:06Z,AIC464,"30.677191,76.779083",0,25,115
1546416132,2019-01-02T08:02:12Z,AIC464,"30.67697,76.77964",0,27,115
1546416138,2019-01-02T08:02:18Z,AIC464,"30.67646,76.780983",0,57,115
1546416151,2019-01-02T08:02:31Z,AIC464,"30.674194,76.786842",0,110,115
1546416159,2019-01-02T08:02:39Z,AIC464,"30.672283,76.791794",0,140,115
1546416173,2019-01-02T08:02:53Z,AIC464,"30.668381,76.801796",950,171,114
1546416184,2019-01-02T08:03:04Z,AIC464,"30.664425,76.811684",1425,170,115
1546416195,2019-01-02T08:03:15Z,AIC464,"30.660233,76.821251",1925,166,122
1546416203,2019-01-02T08:03:23Z,AIC464,"30.657257,76.825829",2175,166,128
1546416211,2019-01-02T08:03:31Z,AIC464,"30.652647,76.831894",2475,168,132
1546416218,2019-01-02T08:03:38Z,AIC464,"30.649475,76.835793",2575,174,133
1546416225,2019-01-02T08:03:45Z,AIC464,"30.644302,76.842308",2725,183,132
1546416232,2019-01-02T08:03:52Z,AIC464,"30.640636,76.847",2825,191,132
1546416244,2019-01-02T08:04:04Z,AIC464,"30.633682,76.856369",2975,205,129
1546416250,2019-01-02T08:04:10Z,AIC464,"30.629696,76.862",3100,215,129
1546416257,2019-01-02T08:04:17Z,AIC464,"30.626495,76.866547",3200,221,128
1546416268,2019-01-02T08:04:28Z,AIC464,"30.618011,76.878922",3500,238,128
1546416276,2019-01-02T08:04:36Z,AIC464,"30.613543,76.885513",3650,247,127
1546416286,2019-01-02T08:04:46Z,AIC464,"30.604837,76.898529",3975,260,127
1546416293,2019-01-02T08:04:53Z,AIC464,"30.600174,76.905426",4225,264,127
1546416299,2019-01-02T08:04:59Z,AIC464,"30.595825,76.911888",4475,266,127
1546416306,2019-01-02T08:05:06Z,AIC464,"30.59198,76.917542",4750,267,127
1546416322,2019-01-02T08:05:22Z,AIC464,"30.576965,76.939629",5625,272,128
1546416335,2019-01-02T08:05:35Z,AIC464,"30.56749,76.953468",6125,277,128
1546416346,2019-01-02T08:05:46Z,AIC464,"30.557877,76.967575",6675,280,128
1546416358,2019-01-02T08:05:58Z,AIC464,"30.54808,76.981903",7300,280,128
1546416372,2019-01-02T08:06:12Z,AIC464,"30.538267,76.996307",7875,282,128
1546416382,2019-01-02T08:06:22Z,AIC464,"30.528492,77.010643",8375,286,128
1546416396,2019-01-02T08:06:36Z,AIC464,"30.518784,77.024826",8900,288,128
1546416407,2019-01-02T08:06:47Z,AIC464,"30.508474,77.039871",9400,292,128
1546416419,2019-01-02T08:06:59Z,AIC464,"30.49828,77.05481",9825,298,128
1546416430,2019-01-02T08:07:10Z,AIC464,"30.487526,77.070518",10200,306,128
1546416443,2019-01-02T08:07:23Z,AIC464,"30.477036,77.085838",10575,313,128
1546416456,2019-01-02T08:07:36Z,AIC464,"30.466187,77.10173",10975,319,128
1546416466,2019-01-02T08:07:46Z,AIC464,"30.45488,77.118263",11375,326,128
1546416481,2019-01-02T08:08:01Z,AIC464,"30.443161,77.135437",11775,331,128
1546416490,2019-01-02T08:08:10Z,AIC464,"30.432129,77.151489",12275,332,128
1546416525,2019-01-02T08:08:45Z,AIC464,"30.39875,77.19664",13725,334,139
1546416533,2019-01-02T08:08:53Z,AIC464,"30.387222,77.205719",13900,338,150
1546416540,2019-01-02T08:09:00Z,AIC464,"30.378296,77.211212",14050,341,152
1546416546,2019-01-02T08:09:06Z,AIC464,"30.369781,77.216225",14175,346,153
1546416552,2019-01-02T08:09:12Z,AIC464,"30.362906,77.220154",14300,351,153
1546416584,2019-01-02T08:09:44Z,AIC464,"30.310684,77.250473",14975,377,153
1546416617,2019-01-02T08:10:17Z,AIC464,"30.258116,77.281181",15750,395,153
1546416651,2019-01-02T08:10:51Z,AIC464,"30.202347,77.313759",16525,412,153
1546416684,2019-01-02T08:11:24Z,AIC464,"30.145599,77.346878",17575,418,153
1546416718,2019-01-02T08:11:58Z,AIC464,"30.090017,77.379509",18000,395,153
1546416761,2019-01-02T08:12:41Z,AIC464,"30.022156,77.416451",18000,390,163
1546416770,2019-01-02T08:12:50Z,AIC464,"30.006042,77.420059",18000,384,173
1546416793,2019-01-02T08:13:13Z,AIC464,"29.963379,77.411926",18000,368,202
1546416802,2019-01-02T08:13:22Z,AIC464,"29.949051,77.404495",18000,370,204
1546416864,2019-01-02T08:14:24Z,AIC464,"29.849016,77.35231",18000,373,204
1546416926,2019-01-02T08:15:26Z,AIC464,"29.755074,77.303307",18000,374,204
1546416990,2019-01-02T08:16:30Z,AIC464,"29.654148,77.250793",18000,373,204
1546417053,2019-01-02T08:17:33Z,AIC464,"29.554138,77.198654",18000,374,204
1546417116,2019-01-02T08:18:36Z,AIC464,"29.455416,77.147507",17375,354,204
1546417150,2019-01-02T08:19:10Z,AIC464,"29.40798,77.122948",16850,332,204
1546417181,2019-01-02T08:19:41Z,AIC464,"29.362427,77.099304",16325,317,204
1546417214,2019-01-02T08:20:14Z,AIC464,"29.318785,77.07663",15775,311,204
1546417245,2019-01-02T08:20:45Z,AIC464,"29.279076,77.055954",15275,311,204
1546417278,2019-01-02T08:21:18Z,AIC464,"29.235443,77.033386",14700,311,204
1546417309,2019-01-02T08:21:49Z,AIC464,"29.194445,77.012276",14225,308,204
1546417346,2019-01-02T08:22:26Z,AIC464,"29.150436,76.989548",13600,304,204
1546417378,2019-01-02T08:22:58Z,AIC464,"29.107361,76.967522",13100,290,204
1546417415,2019-01-02T08:23:35Z,AIC464,"29.06461,76.945496",12675,270,204
1546417443,2019-01-02T08:24:03Z,AIC464,"29.030914,76.928062",12350,262,204
1546417477,2019-01-02T08:24:37Z,AIC464,"28.994202,76.90905",11850,260,204
1546417489,2019-01-02T08:24:49Z,AIC464,"28.981064,76.902344",11650,259,204
1546417504,2019-01-02T08:25:04Z,AIC464,"28.966141,76.894684",11425,258,204
1546417521,2019-01-02T08:25:21Z,AIC464,"28.948463,76.885612",11150,257,204
1546417530,2019-01-02T08:25:30Z,AIC464,"28.935242,76.878838",10950,256,204
1546417543,2019-01-02T08:25:43Z,AIC464,"28.923185,76.872627",10775,255,204
1546417554,2019-01-02T08:25:54Z,AIC464,"28.909685,76.865738",10550,254,204
1546417567,2019-01-02T08:26:07Z,AIC464,"28.896881,76.859138",10375,253,204
1546417579,2019-01-02T08:26:19Z,AIC464,"28.884109,76.852531",10225,252,204
1546417591,2019-01-02T08:26:31Z,AIC464,"28.870468,76.845512",10100,252,204
1546417603,2019-01-02T08:26:43Z,AIC464,"28.8582,76.839279",9950,251,204
1546417617,2019-01-02T08:26:57Z,AIC464,"28.845703,76.832939",9800,249,204
1546417629,2019-01-02T08:27:09Z,AIC464,"28.831663,76.82637",9700,250,198
1546417638,2019-01-02T08:27:18Z,AIC464,"28.820984,76.824326",9600,257,185
1546417665,2019-01-02T08:27:45Z,AIC464,"28.788742,76.835579",9350,268,155
1546417682,2019-01-02T08:28:02Z,AIC464,"28.769211,76.845985",9050,263,154
1546417694,2019-01-02T08:28:14Z,AIC464,"28.755936,76.852745",8850,259,158
1546417700,2019-01-02T08:28:20Z,AIC464,"28.749023,76.854858",8725,256,166
1546417706,2019-01-02T08:28:26Z,AIC464,"28.742329,76.8554",8675,251,178
1546417727,2019-01-02T08:28:47Z,AIC464,"28.720404,76.845703",8350,240,218
1546417733,2019-01-02T08:28:53Z,AIC464,"28.716679,76.841286",8275,238,226
1546417757,2019-01-02T08:29:17Z,AIC464,"28.711092,76.811935",7875,231,279
1546417763,2019-01-02T08:29:23Z,AIC464,"28.712629,76.804878",7775,233,284
1546417781,2019-01-02T08:29:41Z,AIC464,"28.717758,76.785873",7525,232,287
1546417793,2019-01-02T08:29:53Z,AIC464,"28.719845,76.772087",7300,231,277
1546417873,2019-01-02T08:31:13Z,AIC464,"28.652948,76.749626",6150,215,138
1546417886,2019-01-02T08:31:26Z,AIC464,"28.644424,76.759048",6000,210,135
1546417898,2019-01-02T08:31:38Z,AIC464,"28.636322,76.768341",5850,207,134
1546417909,2019-01-02T08:31:49Z,AIC464,"28.62851,76.777412",5725,203,134
1546417921,2019-01-02T08:32:01Z,AIC464,"28.62027,76.787003",5575,202,134
1546417933,2019-01-02T08:32:13Z,AIC464,"28.612448,76.796104",5450,202,134
1546417946,2019-01-02T08:32:26Z,AIC464,"28.605326,76.805962",5275,203,124
1546417953,2019-01-02T08:32:33Z,AIC464,"28.603092,76.810593",5175,204,116
1546417962,2019-01-02T08:32:42Z,AIC464,"28.599833,76.820389",5000,204,107
1546417971,2019-01-02T08:32:51Z,AIC464,"28.597412,76.830299",4850,203,104
1546417977,2019-01-02T08:32:57Z,AIC464,"28.596176,76.835686",4775,203,104
1546417988,2019-01-02T08:33:08Z,AIC464,"28.593246,76.848892",4550,203,103
1546417994,2019-01-02T08:33:14Z,AIC464,"28.591919,76.855072",4425,202,103
1546418000,2019-01-02T08:33:20Z,AIC464,"28.590569,76.861481",4300,202,103
1546418006,2019-01-02T08:33:26Z,AIC464,"28.589266,76.867676",4175,202,103
1546418013,2019-01-02T08:33:33Z,AIC464,"28.587961,76.873817",4075,201,103
