Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546592376,2019-01-04T08:59:36Z,AIC464,"30.670887,76.786156",0,2,115
1546592514,2019-01-04T09:01:54Z,AIC464,"30.670773,76.786476",0,14,115
1546592526,2019-01-04T09:02:06Z,AIC464,"30.670635,76.786827",0,17,115
1546592532,2019-01-04T09:02:12Z,AIC464,"30.670555,76.787041",0,18,115
1546592547,2019-01-04T09:02:27Z,AIC464,"30.670336,76.787621",0,22,115
1546592558,2019-01-04T09:02:38Z,AIC464,"30.670132,76.788147",0,24,115
1546592566,2019-01-04T09:02:46Z,AIC464,"30.669964,76.788429",0,25,132
1546592574,2019-01-04T09:02:54Z,AIC464,"30.669603,76.788681",0,26,151
1546592592,2019-01-04T09:03:12Z,AIC464,"30.66917,76.789467",0,27,112
1546592598,2019-01-04T09:03:18Z,AIC464,"30.66901,76.789894",0,28,112
1546592605,2019-01-04T09:03:25Z,AIC464,"30.668846,76.790314",0,29,115
1546592612,2019-01-04T09:03:32Z,AIC464,"30.668713,76.790665",0,29,115
1546592618,2019-01-04T09:03:38Z,AIC464,"30.668575,76.791016",0,26,112
1546592624,2019-01-04T09:03:44Z,AIC464,"30.668484,76.791313",0,22,101
1546592633,2019-01-04T09:03:53Z,AIC464,"30.668541,76.791603",0,23,61
1546592642,2019-01-04T09:04:02Z,AIC464,"30.668928,76.791878",0,23,22
1546592651,2019-01-04T09:04:11Z,AIC464,"30.669342,76.792091",0,25,25
1546592660,2019-01-04T09:04:20Z,AIC464,"30.669685,76.792282",0,23,25
1546592668,2019-01-04T09:04:28Z,AIC464,"30.67004,76.792465",0,24,25
1546592674,2019-01-04T09:04:34Z,AIC464,"30.670244,76.792564",0,17,25
1546592693,2019-01-04T09:04:53Z,AIC464,"30.670498,76.792694",0,12,22
1546592706,2019-01-04T09:05:06Z,AIC464,"30.670721,76.792816",0,16,25
1546592718,2019-01-04T09:05:18Z,AIC464,"30.671036,76.792976",0,19,25
1546592725,2019-01-04T09:05:25Z,AIC464,"30.671356,76.793144",0,24,28
1546592731,2019-01-04T09:05:31Z,AIC464,"30.671547,76.793373",0,25,61
1546592738,2019-01-04T09:05:38Z,AIC464,"30.671558,76.793678",0,24,98
1546592748,2019-01-04T09:05:48Z,AIC464,"30.671396,76.794159",0,28,112
1546592755,2019-01-04T09:05:55Z,AIC464,"30.671232,76.794571",0,33,115
1546592763,2019-01-04T09:06:03Z,AIC464,"30.670977,76.795219",0,17,112
1546592779,2019-01-04T09:06:19Z,AIC464,"30.670279,76.797043",0,22,115
1546592835,2019-01-04T09:07:15Z,AIC464,"30.66873,76.801041",0,17,112
1546592842,2019-01-04T09:07:22Z,AIC464,"30.668598,76.801689",0,15,95
1546592870,2019-01-04T09:07:50Z,AIC464,"30.668083,76.803116",0,23,202
1546592994,2019-01-04T09:09:54Z,AIC464,"30.692642,76.743164",2825,165,295
1546593004,2019-01-04T09:10:04Z,AIC464,"30.69635,76.733795",3300,164,294
1546593018,2019-01-04T09:10:18Z,AIC464,"30.700083,76.723846",3725,168,293
1546593027,2019-01-04T09:10:27Z,AIC464,"30.703808,76.713791",4150,171,292
1546593033,2019-01-04T09:10:33Z,AIC464,"30.70546,76.70929",4350,170,293
1546593041,2019-01-04T09:10:41Z,AIC464,"30.707565,76.703583",4650,168,293
1546593052,2019-01-04T09:10:52Z,AIC464,"30.711908,76.693802",5075,169,305
1546593063,2019-01-04T09:11:03Z,AIC464,"30.717308,76.688744",5350,169,330
1546593070,2019-01-04T09:11:10Z,AIC464,"30.724337,76.686935",5625,171,354
1546593090,2019-01-04T09:11:30Z,AIC464,"30.737278,76.69413",6100,182,44
1546593097,2019-01-04T09:11:37Z,AIC464,"30.740816,76.701599",6350,189,68
1546593103,2019-01-04T09:11:43Z,AIC464,"30.74176,76.708374",6525,194,84
1546593128,2019-01-04T09:12:08Z,AIC464,"30.740891,76.735138",7150,214,93
1546593142,2019-01-04T09:12:22Z,AIC464,"30.740118,76.751915",7475,233,92
1546593155,2019-01-04T09:12:35Z,AIC464,"30.739235,76.769218",7850,248,93
1546593167,2019-01-04T09:12:47Z,AIC464,"30.738144,76.786301",8200,265,94
1546593180,2019-01-04T09:13:00Z,AIC464,"30.737045,76.803772",8475,282,93
1546593192,2019-01-04T09:13:12Z,AIC464,"30.736176,76.819962",8850,296,93
1546593205,2019-01-04T09:13:25Z,AIC464,"30.73509,76.841949",9475,304,92
1546593216,2019-01-04T09:13:36Z,AIC464,"30.734207,76.861778",10150,304,93
1546593227,2019-01-04T09:13:47Z,AIC464,"30.733183,76.882492",10575,317,93
1546593238,2019-01-04T09:13:58Z,AIC464,"30.732252,76.900124",10800,333,93
1546593251,2019-01-04T09:14:11Z,AIC464,"30.730911,76.925194",11050,351,93
1546593265,2019-01-04T09:14:25Z,AIC464,"30.729691,76.948189",11375,363,93
1546593276,2019-01-04T09:14:36Z,AIC464,"30.728434,76.972466",12025,365,93
1546593310,2019-01-04T09:15:10Z,AIC464,"30.725826,77.036575",13900,366,92
1546593344,2019-01-04T09:15:44Z,AIC464,"30.721161,77.104309",15050,387,103
1546593352,2019-01-04T09:15:52Z,AIC464,"30.716217,77.119446",15325,392,114
1546593360,2019-01-04T09:16:00Z,AIC464,"30.706741,77.137314",15675,393,125
1546593366,2019-01-04T09:16:06Z,AIC464,"30.699526,77.147972",15950,394,128
1546593372,2019-01-04T09:16:12Z,AIC464,"30.692413,77.158272",16175,396,128
1546593378,2019-01-04T09:16:18Z,AIC464,"30.685272,77.16851",16400,399,128
1546593416,2019-01-04T09:16:56Z,AIC464,"30.643803,77.228836",17925,408,128
1546593448,2019-01-04T09:17:28Z,AIC464,"30.604559,77.287994",19050,423,127
1546593469,2019-01-04T09:17:49Z,AIC464,"30.577139,77.323921",19750,423,138
