Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547280294,2019-01-12T08:04:54Z,AIC464,"30.670057,76.78595",0,10,205
1547280316,2019-01-12T08:05:16Z,AIC464,"30.670313,76.786087",0,10,205
1547280344,2019-01-12T08:05:44Z,AIC464,"30.670624,76.786263",0,10,157
1547280417,2019-01-12T08:06:57Z,AIC464,"30.670767,76.786484",0,10,112
1547280441,2019-01-12T08:07:21Z,AIC464,"30.670647,76.786797",0,10,112
1547280456,2019-01-12T08:07:36Z,AIC464,"30.670555,76.787018",0,10,112
1547280617,2019-01-12T08:10:17Z,AIC464,"30.670326,76.787605",0,13,112
1547280645,2019-01-12T08:10:45Z,AIC464,"30.66993,76.78846",0,22,137
1547280656,2019-01-12T08:10:56Z,AIC464,"30.669498,76.788773",0,24,143
1547280665,2019-01-12T08:11:05Z,AIC464,"30.669277,76.7892",0,26,115
1547280675,2019-01-12T08:11:15Z,AIC464,"30.669081,76.789726",0,27,112
1547280681,2019-01-12T08:11:21Z,AIC464,"30.66893,76.7901",0,28,115
1547280687,2019-01-12T08:11:27Z,AIC464,"30.668793,76.790436",0,30,115
1547280693,2019-01-12T08:11:33Z,AIC464,"30.668655,76.790787",0,31,115
1547280704,2019-01-12T08:11:44Z,AIC464,"30.668472,76.791313",0,29,106
1547280711,2019-01-12T08:11:51Z,AIC464,"30.668591,76.791687",0,21,42
1547280717,2019-01-12T08:11:57Z,AIC464,"30.668839,76.791832",0,21,25
1547280725,2019-01-12T08:12:05Z,AIC464,"30.669172,76.792015",0,23,25
1547280732,2019-01-12T08:12:12Z,AIC464,"30.669441,76.792137",0,25,22
1547280740,2019-01-12T08:12:20Z,AIC464,"30.669708,76.792282",0,27,22
1547280749,2019-01-12T08:12:29Z,AIC464,"30.670174,76.792526",0,30,25
1547280761,2019-01-12T08:12:41Z,AIC464,"30.670826,76.792854",0,34,22
1547280772,2019-01-12T08:12:52Z,AIC464,"30.671501,76.793236",0,25,33
1547280781,2019-01-12T08:13:01Z,AIC464,"30.671597,76.793655",0,23,95
1547280799,2019-01-12T08:13:19Z,AIC464,"30.671265,76.794487",0,28,115
1547280805,2019-01-12T08:13:25Z,AIC464,"30.671093,76.79493",0,30,115
1547280814,2019-01-12T08:13:34Z,AIC464,"30.670864,76.795509",0,33,115
1547280821,2019-01-12T08:13:41Z,AIC464,"30.670673,76.796013",0,15,115
1547280890,2019-01-12T08:14:50Z,AIC464,"30.669445,76.798927",0,19,261
1547281014,2019-01-12T08:16:54Z,AIC464,"30.694963,76.737198",2750,168,296
