Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547542206,2019-01-15T08:50:06Z,AIC464,"30.719496,76.683525",5750,224,311
1547542218,2019-01-15T08:50:18Z,AIC464,"30.730436,76.675781",6175,241,337
1547542225,2019-01-15T08:50:25Z,AIC464,"30.73732,76.673851",6350,249,349
1547542231,2019-01-15T08:50:31Z,AIC464,"30.74469,76.673584",6600,254,356
1547542251,2019-01-15T08:50:51Z,AIC464,"30.767624,76.685539",7750,271,39
1547542258,2019-01-15T08:50:58Z,AIC464,"30.773026,76.692383",8100,276,50
1547542267,2019-01-15T08:51:07Z,AIC464,"30.778803,76.704071",8600,286,65
1547542276,2019-01-15T08:51:16Z,AIC464,"30.782272,76.719093",9075,297,81
1547542282,2019-01-15T08:51:22Z,AIC464,"30.782684,76.728783",9450,301,88
1547542303,2019-01-15T08:51:43Z,AIC464,"30.780991,76.763573",10675,307,94
1547542311,2019-01-15T08:51:51Z,AIC464,"30.780304,76.774025",10875,316,94
1547542321,2019-01-15T08:52:01Z,AIC464,"30.778931,76.79438",11200,332,94
1547542333,2019-01-15T08:52:13Z,AIC464,"30.777407,76.816902",11450,350,94
1547542345,2019-01-15T08:52:25Z,AIC464,"30.775871,76.840248",11675,369,94
1547542358,2019-01-15T08:52:38Z,AIC464,"30.77449,76.865898",12025,383,93
1547542382,2019-01-15T08:53:02Z,AIC464,"30.769447,76.914131",13675,378,105
1547542390,2019-01-15T08:53:10Z,AIC464,"30.764278,76.928795",14200,378,115
1547542396,2019-01-15T08:53:16Z,AIC464,"30.75856,76.940865",14625,377,119
1547542405,2019-01-15T08:53:25Z,AIC464,"30.752687,76.952362",14950,377,120
1547542414,2019-01-15T08:53:34Z,AIC464,"30.745102,76.967041",15425,379,121
1547542446,2019-01-15T08:54:06Z,AIC464,"30.714569,77.025467",17275,378,120
1547542462,2019-01-15T08:54:22Z,AIC464,"30.696762,77.053795",18050,371,132
1547542468,2019-01-15T08:54:28Z,AIC464,"30.690445,77.060692",18200,375,137
1547542475,2019-01-15T08:54:35Z,AIC464,"30.679642,77.069633",18400,378,145
1547542481,2019-01-15T08:54:41Z,AIC464,"30.671827,77.07431",18600,380,152
1547542487,2019-01-15T08:54:47Z,AIC464,"30.660421,77.079857",18850,382,157
1547542496,2019-01-15T08:54:56Z,AIC464,"30.645151,77.086838",19250,384,158
1547542502,2019-01-15T08:55:02Z,AIC464,"30.634817,77.09156",19475,386,158
1547542563,2019-01-15T08:56:03Z,AIC464,"30.534079,77.137703",20000,387,158
1547542626,2019-01-15T08:57:06Z,AIC464,"30.428925,77.185417",20000,388,158
1547542689,2019-01-15T08:58:09Z,AIC464,"30.324547,77.242783",20000,390,153
1547542750,2019-01-15T08:59:10Z,AIC464,"30.227509,77.299644",20000,389,153
1547542813,2019-01-15T09:00:13Z,AIC464,"30.124372,77.359734",20000,389,153
1547542877,2019-01-15T09:01:17Z,AIC464,"30.02503,77.415604",20000,385,159
1547542886,2019-01-15T09:01:26Z,AIC464,"30.005951,77.420227",20000,380,172
1547542892,2019-01-15T09:01:32Z,AIC464,"29.996866,77.420708",20000,378,178
1547542912,2019-01-15T09:01:52Z,AIC464,"29.965164,77.412842",20000,369,200
1547542918,2019-01-15T09:01:58Z,AIC464,"29.956318,77.408401",20000,371,203
1547542986,2019-01-15T09:03:06Z,AIC464,"29.847198,77.351776",20000,373,204
1547543050,2019-01-15T09:04:10Z,AIC464,"29.74649,77.299225",20000,373,204
1547543109,2019-01-15T09:05:09Z,AIC464,"29.651825,77.249893",20000,373,204
