Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547883758,2019-01-19T07:42:38Z,AIC464,"30.668644,76.801155",0,19,295
1547883765,2019-01-19T07:42:45Z,AIC464,"30.668747,76.80088",0,25,295
1547883785,2019-01-19T07:43:05Z,AIC464,"30.670174,76.797195",0,72,295
1547883792,2019-01-19T07:43:12Z,AIC464,"30.671425,76.793945",0,100,295
1547883799,2019-01-19T07:43:19Z,AIC464,"30.67263,76.790833",0,125,292
1547883805,2019-01-19T07:43:25Z,AIC464,"30.674189,76.786797",0,145,295
1547883812,2019-01-19T07:43:32Z,AIC464,"30.676163,76.781723",975,161,294
1547883823,2019-01-19T07:43:43Z,AIC464,"30.679825,76.772247",1400,160,294
1547883829,2019-01-19T07:43:49Z,AIC464,"30.681885,76.767342",1675,156,296
1547883836,2019-01-19T07:43:56Z,AIC464,"30.683744,76.763069",1900,156,297
1547883846,2019-01-19T07:44:06Z,AIC464,"30.687887,76.753952",2200,159,297
1547883854,2019-01-19T07:44:14Z,AIC464,"30.689987,76.749199",2375,160,296
1547883865,2019-01-19T07:44:25Z,AIC464,"30.693474,76.740982",2750,160,296
1547883871,2019-01-19T07:44:31Z,AIC464,"30.695892,76.735298",2850,166,296
1547883878,2019-01-19T07:44:38Z,AIC464,"30.698181,76.73008",2950,173,296
1547883884,2019-01-19T07:44:44Z,AIC464,"30.700241,76.725342",3050,178,296
1547883892,2019-01-19T07:44:52Z,AIC464,"30.703203,76.716599",3175,191,284
1547883898,2019-01-19T07:44:58Z,AIC464,"30.703669,76.710114",3250,199,270
1547883919,2019-01-19T07:45:19Z,AIC464,"30.69548,76.688126",3575,233,227
1547883928,2019-01-19T07:45:28Z,AIC464,"30.687748,76.682098",3850,244,205
1547883937,2019-01-19T07:45:37Z,AIC464,"30.677971,76.67952",4175,251,183
1547883960,2019-01-19T07:46:00Z,AIC464,"30.654415,76.691269",5150,255,138
1547883969,2019-01-19T07:46:09Z,AIC464,"30.647108,76.699844",5575,255,132
1547883979,2019-01-19T07:46:19Z,AIC464,"30.637796,76.712311",6075,258,130
1547883991,2019-01-19T07:46:31Z,AIC464,"30.628098,76.725014",6625,260,131
1547884003,2019-01-19T07:46:43Z,AIC464,"30.617844,76.737671",7200,260,133
1547884020,2019-01-19T07:47:00Z,AIC464,"30.604889,76.752914",7825,262,134
1547884031,2019-01-19T07:47:11Z,AIC464,"30.59436,76.764977",8175,271,135
1547884044,2019-01-19T07:47:24Z,AIC464,"30.584076,76.776634",8550,276,135
1547884056,2019-01-19T07:47:36Z,AIC464,"30.572159,76.790016",8850,289,135
1547884069,2019-01-19T07:47:49Z,AIC464,"30.559937,76.803856",9200,296,135
1547884079,2019-01-19T07:47:59Z,AIC464,"30.548035,76.817268",9650,300,135
1547884092,2019-01-19T07:48:12Z,AIC464,"30.535801,76.831017",10125,304,135
1547884103,2019-01-19T07:48:23Z,AIC464,"30.523512,76.844971",10375,316,135
1547884115,2019-01-19T07:48:35Z,AIC464,"30.510406,76.859756",10550,328,135
1547884128,2019-01-19T07:48:48Z,AIC464,"30.497269,76.874573",10750,343,135
1547884140,2019-01-19T07:49:00Z,AIC464,"30.482895,76.890724",10925,355,135
1547884152,2019-01-19T07:49:12Z,AIC464,"30.468521,76.906937",11100,366,135
1547884164,2019-01-19T07:49:24Z,AIC464,"30.453543,76.923744",11550,370,135
1547884178,2019-01-19T07:49:38Z,AIC464,"30.438227,76.940933",12275,364,135
1547884220,2019-01-19T07:50:20Z,AIC464,"30.385437,77.00032",13950,373,135
1547884234,2019-01-19T07:50:34Z,AIC464,"30.367048,77.020973",14425,376,135
1547884292,2019-01-19T07:51:32Z,AIC464,"30.294525,77.102425",16200,396,135
1547884326,2019-01-19T07:52:06Z,AIC464,"30.247375,77.155312",16825,420,135
1547884359,2019-01-19T07:52:39Z,AIC464,"30.199677,77.208626",17700,432,135
1547884392,2019-01-19T07:53:12Z,AIC464,"30.154312,77.259521",19100,426,135
1547884455,2019-01-19T07:54:15Z,AIC464,"30.062737,77.361656",20000,436,135
1547884500,2019-01-19T07:55:00Z,AIC464,"29.986811,77.415382",20000,408,172
1547884508,2019-01-19T07:55:08Z,AIC464,"29.974195,77.415054",20000,396,183
1547884517,2019-01-19T07:55:17Z,AIC464,"29.958879,77.411263",20025,385,196
1547884523,2019-01-19T07:55:23Z,AIC464,"29.948547,77.406921",20025,382,200
